Dates,SPG
2018-06-20,208.8000030517578
2018-06-21,207.4600067138672
2018-06-25,208.08999633789062
2018-06-22,205.8699951171875
2018-06-26,206.11000061035156
2018-06-27,205.16000366210938
2018-06-28,204.3800048828125
2018-06-29,207.5800018310547
2018-07-02,204.32000732421875
2018-07-03,205.33999633789062
2018-07-05,205.2100067138672
2018-07-16,207.4600067138672
2018-09-18,209.30999755859375
2019-01-24,210.82000732421875
2019-09-05,210.27000427246094
2018-11-21,210.9199981689453
2020-01-13,211.8000030517578
2020-04-01,211.6699981689453
2020-06-19,213.00999450683594
2019-10-29,214.89999389648438
2020-01-16,214.3000030517578
2020-06-22,212.7899932861328
2018-10-03,213.6699981689453
2018-07-31,214.47999572753906
2019-03-12,215.08999633789062
2019-02-08,217.30999755859375
2019-01-07,213.52999877929688
2018-12-06,204.80999755859375
2019-08-19,203.25
2019-07-18,200.6300048828125
2019-05-15,198.2100067138672
2019-09-20,198.14999389648438
2019-11-01,198.94000244140625
2020-04-07,202.86000061035156
2020-06-25,203.19000244140625
2020-06-16,202.72000122070312
2019-11-04,201.92999267578125
2020-01-22,202.22000122070312
2019-11-07,203.44000244140625
2020-04-13,203.60000610351562
2019-07-01,203.61000061035156
2019-05-30,203.52000427246094
2018-08-15,204.4499969482422
2018-10-18,205.32000732421875
2019-03-27,204.80999755859375
2019-01-22,204.63999938964844
2018-12-21,203.6999969482422
2019-09-03,205.60000610351562
2018-11-19,205.8300018310547
2019-08-02,206.50999450683594
2020-01-28,206.72000122070312
2020-04-16,207.39999389648438
2019-11-13,208.94000244140625
2020-01-31,208.52000427246094
2018-12-04,207.36000061035156
2018-11-02,209.1999969482422
2019-07-16,208.4499969482422
2018-08-30,209.60000610351562
2018-10-01,211.11000061035156
2019-06-14,212.13999938964844
2019-05-13,214.0399932861328
2019-04-11,213.6300048828125
2019-02-06,213.64999389648438
2019-09-18,214.75
2020-02-03,214.0500030517578
2020-04-22,215.0
2019-11-19,211.25999450683594
2020-02-06,210.9199981689453
2019-11-22,207.02999877929688
2019-03-25,206.94000244140625
2019-02-21,203.8800048828125
2018-12-19,199.5399932861328
2018-07-12,199.22000122070312
2018-09-14,198.7100067138672
2018-08-13,196.66000366210938
2018-10-16,194.7899932861328
2019-07-31,193.5
2019-05-28,189.99000549316406
2019-04-26,188.1199951171875
2020-04-28,185.0500030517578
2019-11-25,187.0500030517578
2020-02-12,186.08999633789062
2020-05-01,190.0800018310547
2020-05-04,191.6300048828125
2019-06-12,190.72000122070312
2019-04-09,190.14999389648438
2019-03-08,191.0
2019-02-04,185.1699981689453
2018-07-27,186.08999633789062
2018-08-28,180.69000244140625
2019-01-03,173.5500030517578
2019-08-15,176.08999633789062
2018-10-31,176.6999969482422
2019-09-16,184.75999450683594
2020-02-18,183.3699951171875
2020-05-07,188.49000549316406
2018-08-17,184.27999877929688
2019-12-04,185.8699951171875
2020-02-21,187.41000366210938
2018-12-17,188.25
2019-08-30,187.8800048828125
2018-11-15,186.4199981689453
2019-07-29,182.39999389648438
2019-06-27,184.13999938964844
2019-04-24,181.6699981689453
2018-07-10,183.14999389648438
2018-09-12,181.61000061035156
2019-02-19,176.60000610351562
2019-01-18,179.5800018310547
2020-02-24,176.50999450683594
2020-05-13,177.92999267578125
2019-12-10,177.1300048828125
2020-02-27,183.24000549316406
2019-12-13,183.2899932861328
2020-05-19,183.16000366210938
2019-03-06,186.30999755859375
2018-11-30,184.7100067138672
2019-08-13,175.63999938964844
2019-07-12,175.6199951171875
2019-06-10,170.22999572753906
2019-05-09,171.1699981689453
2018-07-25,171.16000366210938
2018-09-27,170.58999633789062
2018-10-29,169.52999877929688
2019-10-16,167.38999938964844
2019-12-16,169.69000244140625
2020-03-04,170.69000244140625
2020-05-22,167.25
2019-10-01,168.5399932861328
2019-12-19,160.9199981689453
2018-09-10,164.9600067138672
2019-05-24,169.1699981689453
2018-08-09,170.60000610351562
2019-04-22,170.72000122070312
2019-03-21,171.27000427246094
2019-01-16,169.39999389648438
2019-08-28,172.9199981689453
2018-11-13,175.32000732421875
2018-10-12,175.25
2019-06-25,176.2899932861328
2020-03-10,177.3000030517578
2020-05-28,177.72000122070312
2019-10-07,177.5800018310547
2020-03-13,181.77000427246094
2019-10-10,185.74000549316406
2020-03-16,186.0
2020-06-03,188.80999755859375
2018-11-28,188.47000122070312
2018-09-25,188.72000122070312
2018-07-23,189.55999755859375
2018-08-24,190.55999755859375
2019-07-10,188.35000610351562
2019-05-07,188.1300048828125
2019-04-05,189.39999389648438
2019-03-04,191.85000610351562
2019-01-31,195.16000366210938
2019-09-12,194.88999938964844
2019-12-31,195.5800018310547
2020-03-19,195.08999633789062
2020-01-03,197.02999877929688
2020-06-09,193.72000122070312
2019-02-15,195.47000122070312
2019-01-14,196.30999755859375
2018-07-06,197.8000030517578
2018-08-07,196.74000549316406
2018-10-10,198.99000549316406
2018-12-13,198.30999755859375
2019-08-26,198.4600067138672
2019-07-25,198.5399932861328
2019-05-22,202.0
2019-03-19,204.27000427246094
2020-01-06,202.6199951171875
2020-03-25,202.2899932861328
2020-06-12,202.97999572753906
2019-10-22,203.49000549316406
2020-01-09,203.49000549316406
2020-06-15,200.92999267578125
2019-10-25,198.6999969482422
2020-03-31,196.9199981689453
2020-06-18,196.60000610351562
2019-04-03,198.63999938964844
2018-08-22,198.41000366210938
2018-10-25,200.13999938964844
2019-01-29,201.64999389648438
2018-12-28,203.25999450683594
2018-11-26,206.72999572753906
2019-08-09,208.7100067138672
2019-07-08,208.0800018310547
2019-06-06,210.5399932861328
2019-09-10,208.80999755859375
2020-01-15,206.08999633789062
2020-04-03,206.80999755859375
2019-10-31,206.66000366210938
2020-04-06,207.9199981689453
2020-06-24,211.27000427246094
2018-11-09,213.6199951171875
2019-07-23,213.5
2019-06-21,214.92999267578125
2019-05-20,214.27000427246094
2019-04-18,214.99000549316406
2018-09-06,214.5
2018-10-08,215.25
2019-02-13,215.6999969482422
2018-12-11,214.13999938964844
2019-09-25,214.92999267578125
2020-01-21,216.52999877929688
2020-04-09,217.94000244140625
2019-11-06,217.6699981689453
2020-01-24,217.5500030517578
2020-01-27,217.77000427246094
2020-04-15,218.0500030517578
2018-12-26,219.1999969482422
2019-08-07,219.86000061035156
2019-06-04,220.3000030517578
2018-09-21,220.9199981689453
2018-07-19,220.8699951171875
2018-08-20,222.0
2018-10-23,219.80999755859375
2019-05-03,218.61000061035156
2019-04-01,220.0399932861328
2019-02-28,217.57000732421875
2019-11-12,216.6699981689453
2020-01-30,213.74000549316406
2019-11-15,214.67999267578125
2020-04-21,211.69000244140625
2019-04-16,214.6199951171875
2019-03-15,213.33999633789062
2019-02-11,216.38999938964844
2019-01-10,215.30999755859375
2019-08-22,213.36000061035156
2018-11-07,217.22000122070312
2018-08-03,220.33999633789062
2018-09-04,216.47000122070312
2019-06-19,215.3300018310547
2019-09-23,217.3000030517578
2019-11-18,217.9600067138672
2020-02-05,219.6300048828125
2020-04-24,215.8699951171875
2019-03-29,216.02999877929688
2019-11-21,215.74000549316406
2020-04-27,220.88999938964844
2020-02-11,222.4499969482422
2020-04-30,225.22000122070312
2019-05-01,227.63999938964844
2019-02-26,229.0
2019-01-25,224.5
2018-12-24,225.52000427246094
2019-09-06,225.6999969482422
2018-07-17,225.83999633789062
2018-09-19,227.07000732421875
2019-08-05,231.25
2019-10-08,235.5800018310547
2019-12-11,231.17999267578125
2019-11-27,230.0
2020-02-14,230.6999969482422
2020-05-06,229.22000122070312
2019-01-08,227.80999755859375
2018-12-07,229.44000244140625
2019-08-20,233.3000030517578
2018-11-05,235.6699981689453
2019-07-19,238.17999267578125
2018-10-04,238.99000549316406
2019-06-17,235.5399932861328
2019-05-16,231.8800048828125
2018-08-01,236.0
2019-03-13,238.55999755859375
2019-12-03,241.2899932861328
2020-02-20,241.9199981689453
2019-12-06,240.94000244140625
2020-05-12,241.75999450683594
2019-12-09,242.41000366210938
2020-02-26,242.8000030517578
2020-05-15,242.4499969482422
2019-03-28,243.94000244140625
2018-09-17,243.24000549316406
2018-08-16,243.0
2018-10-19,244.52999877929688
2019-04-29,244.97999572753906
2019-01-23,242.74000549316406
2019-09-04,248.7100067138672
2018-11-20,262.8299865722656
2019-07-02,258.1300048828125
2019-05-31,251.3699951171875
2019-12-12,247.0500030517578
2020-05-18,250.33999633789062
2019-09-27,258.5899963378906
2020-03-03,258.0199890136719
2020-05-21,255.66000366210938
2019-05-14,259.0899963378906
2018-08-31,256.32000732421875
2018-07-30,254.07000732421875
2018-10-02,257.6700134277344
2019-04-12,261.6099853515625
2019-03-11,263.1700134277344
2019-02-07,265.6300048828125
2019-07-17,266.2200012207031
2019-09-19,263.19000244140625
2019-10-21,259.989990234375
2019-12-18,259.3999938964844
2020-03-06,258.95001220703125
2019-10-03,262.2900085449219
2020-03-09,262.8399963378906
2020-05-27,261.2900085449219
2019-12-24,260.6199951171875
2020-03-12,265.489990234375
2018-12-20,268.54998779296875
2019-08-01,269.57000732421875
2018-08-14,260.8599853515625
2018-07-13,253.67999267578125
2018-10-17,257.2900085449219
2019-05-29,252.91000366210938
2019-03-26,251.4199981689453
2019-02-22,256.9800109863281
2019-10-04,257.9800109863281
2019-11-05,257.4599914550781
2019-12-27,258.010009765625
2020-06-02,254.47999572753906
2019-12-30,255.60000610351562
2020-03-18,255.36000061035156
2020-06-05,257.1300048828125
2019-07-15,258.4599914550781
2018-12-03,249.27000427246094
2019-06-13,245.02999877929688
2019-01-04,241.89999389648438
2018-08-29,239.7100067138672
2019-02-05,245.17999267578125
2018-11-01,247.27000427246094
2019-08-16,245.3300018310547
2019-04-10,249.5500030517578
2019-09-17,252.0800018310547
2019-10-15,256.0299987792969
2020-01-02,253.77999877929688
2020-06-08,256.1000061035156
2019-10-18,252.89999389648438
2020-03-24,254.14999389648438
2020-06-11,253.0399932861328
2020-01-08,252.07000732421875
2019-04-25,253.27000427246094
2019-07-30,246.8699951171875
2019-02-20,250.13999938964844
2018-07-11,250.05999755859375
2018-09-13,250.24000549316406
