Dates,SPG
2020-05-13,1362400.0
2019-12-10,968800.0
2020-02-27,2178100.0
2019-12-13,1053900.0
2020-05-19,2376100.0
2019-03-06,1447600.0
2018-11-30,2417600.0
2019-08-13,3663500.0
2019-07-12,2728400.0
2019-06-10,2256800.0
2019-05-09,1848500.0
2018-07-25,2106200.0
2018-09-27,1765100.0
2018-10-29,1813100.0
2019-10-16,2424500.0
2019-12-16,1906100.0
2020-03-04,2527200.0
2020-05-22,2970900.0
2019-10-01,3928900.0
2019-12-19,2034000.0
2018-09-10,1992400.0
2019-05-24,1572700.0
2018-08-09,1135300.0
2019-04-22,944800.0
2019-03-21,1362200.0
2019-01-16,1569500.0
2019-08-28,1946800.0
2018-11-13,1820500.0
2018-10-12,1426700.0
2019-06-25,1280100.0
2020-03-10,1406100.0
2020-05-28,1018800.0
2019-10-07,1396900.0
2020-03-13,1455000.0
2019-10-10,1995300.0
2020-03-16,1178600.0
2020-06-03,1424200.0
2018-11-28,4011400.0
2018-09-25,2519300.0
2018-07-23,1684800.0
2018-08-24,1070800.0
2019-07-10,1763800.0
2019-05-07,1220800.0
2019-04-05,1215600.0
2019-03-04,1624000.0
2019-01-31,1147300.0
2019-09-12,1502700.0
2019-12-31,1420700.0
2020-03-19,1721300.0
2020-01-03,2398500.0
2020-06-09,1845200.0
2019-02-15,1519900.0
2019-01-14,1136700.0
2018-07-06,1410900.0
2018-08-07,1033000.0
2018-10-10,1106800.0
2018-12-13,1013600.0
2019-08-26,1266900.0
2019-07-25,1100000.0
2019-05-22,987600.0
2019-03-19,1166800.0
2020-01-06,1054000.0
2020-03-25,1054900.0
2020-06-12,1329900.0
2019-10-22,1098400.0
2020-01-09,1019100.0
2020-06-15,938400.0
2019-10-25,890100.0
2020-03-31,1103000.0
2020-06-18,664400.0
2019-04-03,856100.0
2018-08-22,1050400.0
2018-10-25,1115500.0
2019-01-29,1424000.0
2018-12-28,2047700.0
2018-11-26,1778400.0
2019-08-09,2051000.0
2019-07-08,1534800.0
2019-06-06,1275600.0
2019-09-10,882700.0
2020-01-15,760900.0
