Dates,SPG
2018-06-20,206.30999755859375
2018-06-21,206.6699981689453
2018-06-25,206.35000610351562
2018-06-22,203.9499969482422
2018-06-26,203.16000366210938
2018-06-27,201.8300018310547
2018-06-28,203.69000244140625
2018-06-29,203.88999938964844
2018-07-02,204.32000732421875
2018-07-03,202.72999572753906
2018-07-05,204.80999755859375
2018-07-16,206.3699951171875
2018-09-18,209.0800018310547
2019-01-24,209.75999450683594
2019-09-05,209.44000244140625
2018-11-21,210.75
2020-01-13,210.64999389648438
2020-04-01,211.47000122070312
2020-06-19,212.58999633789062
2019-10-29,214.25999450683594
2020-01-16,211.27000427246094
2020-06-22,212.3300018310547
2018-10-03,212.8699951171875
2018-07-31,213.1199951171875
2019-03-12,214.77999877929688
2019-02-08,212.00999450683594
2019-01-07,203.86000061035156
2018-12-06,200.8800048828125
2019-08-19,200.44000244140625
2019-07-18,197.72999572753906
2019-05-15,197.27999877929688
2019-09-20,198.0800018310547
2019-11-01,198.52999877929688
2020-04-07,202.22999572753906
2020-06-25,201.35000610351562
2020-06-16,200.9499969482422
2019-11-04,201.32000732421875
2020-01-22,200.52999877929688
2019-11-07,203.07000732421875
2020-04-13,201.72000122070312
2019-07-01,202.69000244140625
2019-05-30,203.11000061035156
2018-08-15,203.9199981689453
2018-10-18,204.35000610351562
2019-03-27,202.9199981689453
2019-01-22,202.85000610351562
2018-12-21,202.85000610351562
2019-09-03,204.1999969482422
2018-11-19,203.13999938964844
2019-08-02,206.27000427246094
2020-01-28,205.6699981689453
2020-04-16,207.0500030517578
2019-11-13,207.75999450683594
2020-01-31,204.99000549316406
2018-12-04,207.02000427246094
2018-11-02,206.8800048828125
2019-07-16,208.25
2018-08-30,209.4600067138672
2018-10-01,209.99000549316406
2019-06-14,211.8699951171875
2019-05-13,213.9499969482422
2019-04-11,211.35000610351562
2019-02-06,213.5500030517578
2019-09-18,212.97000122070312
2020-02-03,213.10000610351562
2020-04-22,211.4600067138672
2019-11-19,210.3000030517578
2020-02-06,206.82000732421875
2019-11-22,205.27999877929688
2019-03-25,204.02999877929688
2019-02-21,195.38999938964844
2018-12-19,199.41000366210938
2018-07-12,196.6999969482422
2018-09-14,195.6999969482422
2018-08-13,192.99000549316406
2018-10-16,193.60000610351562
2019-07-31,190.00999450683594
2019-05-28,187.82000732421875
2019-04-26,182.1699981689453
2020-04-28,180.02999877929688
2019-11-25,186.47000122070312
2020-02-12,184.22000122070312
2020-05-01,189.88999938964844
2020-05-04,190.6300048828125
2019-06-12,186.9199981689453
2019-04-09,188.33999633789062
2019-03-08,188.92999267578125
2019-02-04,183.85000610351562
2018-07-27,177.80999755859375
2018-08-28,177.1699981689453
2019-01-03,171.41000366210938
2019-08-15,172.25
2018-10-31,176.61000061035156
2019-09-16,182.32000732421875
2020-02-18,182.77000427246094
2020-05-07,182.97999572753906
2018-08-17,183.2100067138672
2019-12-04,183.4499969482422
2020-02-21,186.72000122070312
2018-12-17,188.16000366210938
2019-08-30,186.27000427246094
2018-11-15,182.2100067138672
2019-07-29,180.07000732421875
2019-06-27,179.0800018310547
2019-04-24,181.10000610351562
2018-07-10,181.3300018310547
2018-09-12,177.27999877929688
2019-02-19,175.5
2019-01-18,177.63999938964844
2020-02-24,174.75
2020-05-13,177.39999389648438
2019-12-10,177.0399932861328
2020-02-27,183.19000244140625
2019-12-13,180.35000610351562
2020-05-19,182.86000061035156
2019-03-06,185.1999969482422
2018-11-30,177.6199951171875
2019-08-13,173.49000549316406
2019-07-12,169.13999938964844
2019-06-10,169.1199951171875
2019-05-09,166.8000030517578
2018-07-25,169.14999389648438
2018-09-27,169.5399932861328
2018-10-29,166.6199951171875
2019-10-16,166.2899932861328
2019-12-16,167.99000549316406
2020-03-04,167.00999450683594
2020-05-22,165.55999755859375
2019-10-01,161.60000610351562
2019-12-19,159.0
2018-09-10,164.9199981689453
2019-05-24,169.13999938964844
2018-08-09,168.3000030517578
2019-04-22,169.94000244140625
2019-03-21,169.85000610351562
2019-01-16,164.3699951171875
2019-08-28,172.25999450683594
2018-11-13,173.63999938964844
2018-10-12,175.22999572753906
2019-06-25,173.66000366210938
2020-03-10,177.14999389648438
2020-05-28,175.97999572753906
2019-10-07,177.02000427246094
2020-03-13,181.6199951171875
2019-10-10,185.0
2020-03-16,185.32000732421875
2020-06-03,188.63999938964844
2018-11-28,187.2899932861328
2018-09-25,187.60000610351562
2018-07-23,188.57000732421875
2018-08-24,189.30999755859375
2019-07-10,188.16000366210938
2019-05-07,186.35000610351562
2019-04-05,189.00999450683594
2019-03-04,191.64999389648438
2019-01-31,193.8300018310547
2019-09-12,194.41000366210938
2019-12-31,194.89999389648438
