Dates,SPG
2018-06-20,208.11000061035156
2018-06-21,206.4199981689453
2018-06-25,207.8300018310547
2018-06-22,205.8699951171875
2018-06-26,203.97999572753906
2018-06-27,204.49000549316406
2018-06-28,201.39999389648438
2018-06-29,205.14999389648438
2018-07-02,202.57000732421875
2018-07-03,204.8800048828125
2018-07-05,204.11000061035156
2018-07-16,204.7100067138672
2018-09-18,207.1199951171875
2019-01-24,209.0399932861328
2019-09-05,209.0
2018-11-21,210.25
2020-01-13,210.99000549316406
2020-04-01,210.72999572753906
2020-06-19,210.86000061035156
2019-10-29,213.19000244140625
2020-01-16,213.55999755859375
2020-06-22,210.6999969482422
2018-10-03,212.89999389648438
2018-07-31,213.5399932861328
2019-03-12,213.0
2019-02-08,217.30999755859375
2019-01-07,212.5800018310547
2018-12-06,203.41000366210938
2019-08-19,202.0
2019-07-18,198.85000610351562
2019-05-15,196.69000244140625
2019-09-20,198.07000732421875
2019-11-01,198.0
2020-04-07,199.3300018310547
2020-06-25,202.17999267578125
2020-06-16,201.77000427246094
2019-11-04,200.4600067138672
2020-01-22,201.30999755859375
2019-11-07,201.9199981689453
2020-04-13,201.27000427246094
2019-07-01,202.97999572753906
2019-05-30,202.91000366210938
2018-08-15,203.39999389648438
2018-10-18,204.22999572753906
2019-03-27,203.8699951171875
2019-01-22,202.99000549316406
2018-12-21,203.07000732421875
2019-09-03,203.99000549316406
2018-11-19,204.5
2019-08-02,202.5800018310547
2020-01-28,205.72000122070312
2020-04-16,205.11000061035156
2019-11-13,207.47999572753906
2020-01-31,207.8699951171875
2018-12-04,205.49000549316406
2018-11-02,206.4199981689453
2019-07-16,207.88999938964844
2018-08-30,208.27000427246094
2018-10-01,209.4199981689453
2019-06-14,210.66000366210938
2019-05-13,212.0500030517578
2019-04-11,212.8800048828125
2019-02-06,211.11000061035156
2019-09-18,213.63999938964844
2020-02-03,213.8800048828125
2020-04-22,215.0
2019-11-19,210.49000549316406
2020-02-06,210.22000122070312
2019-11-22,206.6199951171875
2019-03-25,205.99000549316406
2019-02-21,202.89999389648438
2018-12-19,196.5
2018-07-12,199.0
2018-09-14,197.6199951171875
2018-08-13,196.07000732421875
2018-10-16,193.0800018310547
2019-07-31,192.52000427246094
2019-05-28,188.11000061035156
2019-04-26,188.1199951171875
2020-04-28,181.2899932861328
2019-11-25,183.30999755859375
2020-02-12,186.07000732421875
2020-05-01,186.10000610351562
2020-05-04,188.97999572753906
2019-06-12,189.6999969482422
2019-04-09,187.3699951171875
2019-03-08,188.99000549316406
2019-02-04,182.35000610351562
2018-07-27,184.2899932861328
2018-08-28,180.47999572753906
2019-01-03,171.52000427246094
2019-08-15,172.9199981689453
2018-10-31,172.94000244140625
2019-09-16,178.4499969482422
2020-02-18,182.25999450683594
2020-05-07,188.00999450683594
2018-08-17,183.44000244140625
2019-12-04,182.47999572753906
