Dates,ALB
2018-06-20,92.08000183105469
2018-06-21,91.41000366210938
2018-06-25,92.37999725341797
2018-06-22,93.6500015258789
2018-06-26,92.33000183105469
2018-06-27,93.73999786376953
2018-06-28,93.25
2018-06-29,94.12999725341797
2018-07-02,93.94000244140625
2018-07-03,96.66000366210938
2018-07-05,96.87999725341797
2018-07-16,94.37999725341797
2018-09-18,95.75
2019-01-24,95.9800033569336
2019-09-05,95.0
2018-11-21,95.97000122070312
2020-01-13,95.5
2020-04-01,95.48999786376953
2020-06-19,94.8499984741211
2019-10-29,96.91000366210938
2020-01-16,95.98999786376953
2020-06-22,95.66000366210938
2018-10-03,93.73999786376953
2018-07-31,91.83999633789062
2019-03-12,90.54000091552734
2019-02-08,91.9000015258789
2019-01-07,93.2699966430664
2018-12-06,93.26000213623047
2019-08-19,92.62999725341797
2019-07-18,94.0
2019-05-15,90.6500015258789
2019-09-20,92.26000213623047
2019-11-01,92.30000305175781
2020-04-07,93.0
2020-06-25,97.41000366210938
2020-06-16,99.1500015258789
2019-11-04,100.05000305175781
2020-01-22,98.12999725341797
2019-11-07,95.75
2020-04-13,96.16999816894531
2019-07-01,96.48999786376953
2019-05-30,96.61000061035156
2018-08-15,95.5999984741211
2018-10-18,95.47000122070312
2019-03-27,95.0
2019-01-22,94.5
2018-12-21,94.26000213623047
2019-09-03,96.30000305175781
2018-11-19,96.94000244140625
2019-08-02,96.80000305175781
2020-01-28,96.19000244140625
2020-04-16,94.70999908447266
2019-11-13,97.0
2020-01-31,96.56999969482422
2018-12-04,96.69000244140625
2018-11-02,96.9000015258789
2019-07-16,97.41999816894531
2018-08-30,97.08000183105469
2018-10-01,98.81999969482422
2019-06-14,99.86000061035156
2019-05-13,100.87000274658203
2019-04-11,100.9000015258789
2019-02-06,102.44999694824219
2019-09-18,103.3499984741211
2020-02-03,105.5999984741211
2020-04-22,106.97000122070312
2019-11-19,105.13999938964844
2020-02-06,105.30000305175781
2019-11-22,102.08000183105469
2019-03-25,101.41000366210938
2019-02-21,100.73999786376953
2018-12-19,100.66999816894531
2018-07-12,101.13999938964844
2018-09-14,102.02999877929688
2018-08-13,104.0
2018-10-16,104.16000366210938
2019-07-31,102.12999725341797
2019-05-28,101.19999694824219
2019-04-26,97.23999786376953
2020-04-28,94.5999984741211
2019-11-25,95.58000183105469
2020-02-12,95.16000366210938
2020-05-01,96.47000122070312
2020-05-04,96.4800033569336
2019-06-12,96.23999786376953
2019-04-09,95.55999755859375
2019-03-08,96.2699966430664
2019-02-04,95.62999725341797
2018-07-27,96.2699966430664
2018-08-28,94.37000274658203
2019-01-03,94.01000213623047
2019-08-15,96.5
2018-10-31,95.0
2019-09-16,98.08999633789062
2020-02-18,100.37999725341797
2020-05-07,105.80999755859375
2018-08-17,106.12000274658203
2019-12-04,106.25
2020-02-21,108.0
2018-12-17,104.30000305175781
2019-08-30,104.0
2018-11-15,102.26000213623047
2019-07-29,98.37999725341797
2019-06-27,100.0
2019-04-24,99.7300033569336
2018-07-10,102.0999984741211
2018-09-12,100.63999938964844
2019-02-19,97.86000061035156
2019-01-18,96.01000213623047
2020-02-24,94.94999694824219
2020-05-13,97.33999633789062
2019-12-10,95.66000366210938
2020-02-27,95.1500015258789
2019-12-13,96.69999694824219
2020-05-19,96.0
2019-03-06,98.58999633789062
2018-11-30,98.18000030517578
2019-08-13,92.04000091552734
2019-07-12,91.31999969482422
2019-06-10,88.9800033569336
2019-05-09,91.02999877929688
2018-07-25,90.2699966430664
2018-09-27,88.5999984741211
2018-10-29,87.06999969482422
2019-10-16,84.52999877929688
2019-12-16,81.22000122070312
2020-03-04,81.33000183105469
2020-05-22,77.55999755859375
2019-10-01,76.33000183105469
2019-12-19,73.95999908447266
2018-09-10,73.43000030517578
2019-05-24,75.27999877929688
2018-08-09,77.58000183105469
2019-04-22,77.0
2019-03-21,75.80000305175781
2019-01-16,76.8499984741211
2019-08-28,74.56999969482422
2018-11-13,76.29000091552734
2018-10-12,77.27999877929688
2019-06-25,77.77999877929688
2020-03-10,76.2300033569336
2020-05-28,76.72000122070312
2019-10-07,76.5999984741211
2020-03-13,74.97000122070312
2019-10-10,73.91999816894531
2020-03-16,73.83999633789062
2020-06-03,75.83000183105469
2018-11-28,75.48999786376953
2018-09-25,75.63999938964844
2018-07-23,73.97000122070312
2018-08-24,75.77999877929688
2019-07-10,76.2300033569336
2019-05-07,77.48999786376953
2019-04-05,79.08999633789062
2019-03-04,80.73999786376953
2019-01-31,80.88999938964844
2019-09-12,81.30000305175781
2019-12-31,81.25
2020-03-19,80.93000030517578
2020-01-03,81.37000274658203
2020-06-09,79.83000183105469
2019-02-15,81.56999969482422
2019-01-14,80.33999633789062
2018-07-06,81.0199966430664
2018-08-07,81.41000366210938
2018-10-10,81.80000305175781
2018-12-13,81.05000305175781
2019-08-26,83.31999969482422
2019-07-25,88.58999633789062
2019-05-22,89.83000183105469
2019-03-19,89.98999786376953
2020-01-06,91.22000122070312
2020-03-25,91.01000213623047
2020-06-12,92.18000030517578
2019-10-22,92.0
2020-01-09,91.0
2020-06-15,88.3499984741211
2019-10-25,87.94999694824219
2020-03-31,85.7300033569336
2020-06-18,83.13999938964844
2019-04-03,83.37000274658203
2018-08-22,85.86000061035156
2018-10-25,86.02999877929688
2019-01-29,85.83000183105469
2018-12-28,85.06999969482422
2018-11-26,85.58999633789062
2019-08-09,87.3499984741211
2019-07-08,85.25
2019-06-06,84.44000244140625
2019-09-10,85.0
2020-01-15,82.13999938964844
2020-04-03,81.81999969482422
