Dates,ALB
2019-05-03,1515800.0
2019-04-01,1968300.0
2019-02-28,2447500.0
2019-11-12,3919100.0
2020-01-30,3164500.0
2019-11-15,2037100.0
2020-04-21,3315500.0
2019-04-16,1605800.0
2019-03-15,2012600.0
2019-02-11,1497200.0
2019-01-10,1406300.0
2019-08-22,1206300.0
2018-11-07,1100100.0
2018-08-03,734100.0
2018-09-04,2144900.0
2019-06-19,1544400.0
2019-09-23,1514500.0
2019-11-18,1783800.0
2020-02-05,1167400.0
2020-04-24,1593200.0
2019-03-29,2087900.0
2019-11-21,1452700.0
2020-04-27,1044400.0
2020-02-11,1177000.0
2020-04-30,1311800.0
2019-05-01,1278800.0
2019-02-26,2485400.0
2019-01-25,1366300.0
2018-12-24,920600.0
2019-09-06,966800.0
2018-07-17,1008100.0
2018-09-19,1230200.0
2019-08-05,1805400.0
2019-10-08,1999900.0
2019-12-11,1889800.0
2019-11-27,988000.0
2020-02-14,1372700.0
2020-05-06,1252100.0
2019-01-08,778900.0
2018-12-07,2059500.0
2019-08-20,932000.0
2018-11-05,682500.0
2019-07-19,626300.0
2018-10-04,732900.0
2019-06-17,787900.0
2019-05-16,926300.0
2018-08-01,1376500.0
2019-03-13,813300.0
2019-12-03,1272600.0
2020-02-20,975400.0
2019-12-06,1188200.0
2020-05-12,1101700.0
2019-12-09,741200.0
2020-02-26,1455300.0
2020-05-15,1548900.0
2019-03-28,818700.0
2018-09-17,856800.0
2018-08-16,781300.0
2018-10-19,930600.0
2019-04-29,1074900.0
2019-01-23,1056200.0
2019-09-04,1361500.0
2018-11-20,1568800.0
2019-07-02,1457500.0
2019-05-31,2421400.0
2019-12-12,1731500.0
2020-05-18,2620800.0
2019-09-27,4385400.0
2020-03-03,2188000.0
2020-05-21,1312700.0
2019-05-14,1597200.0
2018-08-31,2087400.0
2018-07-30,2688300.0
2018-10-02,1666700.0
2019-04-12,1388200.0
2019-03-11,1091500.0
2019-02-07,1003800.0
2019-07-17,1850400.0
2019-09-19,1778100.0
2019-10-21,805200.0
2019-12-18,1066600.0
2020-03-06,2283800.0
2019-10-03,2307100.0
2020-03-09,1403500.0
2020-05-27,1372100.0
2019-12-24,898800.0
2020-03-12,1854400.0
2018-12-20,1023700.0
2019-08-01,1216400.0
2018-08-14,2358000.0
2018-07-13,1839300.0
2018-10-17,986700.0
2019-05-29,1169900.0
2019-03-26,1003000.0
2019-02-22,1120500.0
2019-10-04,1131000.0
2019-11-05,1238600.0
2019-12-27,2741900.0
2020-06-02,990400.0
2019-12-30,1382700.0
2020-03-18,999500.0
2020-06-05,989000.0
2019-07-15,1667600.0
2018-12-03,1387800.0
2019-06-13,1721400.0
2019-01-04,1202800.0
2018-08-29,1122100.0
2019-02-05,974100.0
2018-11-01,1073600.0
2019-08-16,1148000.0
2019-04-10,1144100.0
2019-09-17,1093100.0
2019-10-15,1318400.0
2020-01-02,1194500.0
