Dates,SNPS
2018-06-20,930100.0
2018-06-21,622300.0
2018-06-25,1020200.0
2018-06-22,1001900.0
2018-06-26,912600.0
2018-06-27,1126700.0
2018-06-28,781500.0
2018-06-29,1312500.0
2018-07-02,766100.0
2018-07-03,539400.0
2018-07-05,746400.0
2018-07-16,826500.0
2018-09-18,947000.0
2019-01-24,1081000.0
2019-09-05,998800.0
2018-11-21,892400.0
2020-01-13,643300.0
2020-04-01,864300.0
2020-06-19,1059500.0
2019-10-29,1267800.0
2020-01-16,783300.0
2020-06-22,1053800.0
2018-10-03,609700.0
2018-07-31,1011500.0
2019-03-12,1067800.0
2019-02-08,749900.0
2019-01-07,1832700.0
2018-12-06,1961600.0
2019-08-19,1258800.0
2019-07-18,733200.0
2019-05-15,1120000.0
2019-09-20,703100.0
2019-11-01,965400.0
2020-04-07,1339000.0
2020-06-25,795300.0
2020-06-16,1016900.0
2019-11-04,1159000.0
2020-01-22,914400.0
2019-11-07,588300.0
2020-04-13,770500.0
2019-07-01,768400.0
2019-05-30,820400.0
2018-08-15,816100.0
2018-10-18,768800.0
2019-03-27,1117600.0
2019-01-22,4212100.0
2018-12-21,1969600.0
2019-09-03,1202800.0
2018-11-19,803900.0
2019-08-02,799700.0
2020-01-28,747500.0
2020-04-16,797500.0
2019-11-13,853300.0
2020-01-31,1227900.0
2018-12-04,1023400.0
2018-11-02,1159400.0
2019-07-16,1379500.0
2018-08-30,1473700.0
2018-10-01,961000.0
2019-06-14,854500.0
2019-05-13,719200.0
2019-04-11,1318100.0
2019-02-06,1128600.0
2019-09-18,982800.0
2020-02-03,1237000.0
2020-04-22,2234200.0
2019-11-19,1258200.0
2020-02-06,1516400.0
2019-11-22,1337900.0
2019-03-25,1109200.0
2019-02-21,1140900.0
2018-12-19,955700.0
2018-07-12,1175400.0
2018-09-14,957400.0
2018-08-13,1397800.0
2018-10-16,1620200.0
2019-07-31,2017700.0
2019-05-28,1277500.0
2019-04-26,1643500.0
2020-04-28,1519600.0
2019-11-25,1558400.0
2020-02-12,1071500.0
