Dates,SNPS
2018-06-20,89.69999694824219
2018-06-21,90.29000091552734
2018-06-25,89.5199966430664
2018-06-22,87.69000244140625
2018-06-26,86.66999816894531
2018-06-27,86.5999984741211
2018-06-28,84.4800033569336
2018-06-29,85.2699966430664
2018-07-02,85.12999725341797
2018-07-03,86.88999938964844
2018-07-05,86.86000061035156
2018-07-16,87.13999938964844
2018-09-18,88.5199966430664
2019-01-24,88.81999969482422
2019-09-05,88.2300033569336
2018-11-21,89.68000030517578
2020-01-13,91.22000122070312
2020-04-01,91.58000183105469
2020-06-19,91.0
2019-10-29,92.11000061035156
2020-01-16,91.75
2020-06-22,91.7300033569336
2018-10-03,91.69000244140625
2018-07-31,92.25
2019-03-12,91.83999633789062
2019-02-08,93.0999984741211
2019-01-07,93.37000274658203
2018-12-06,92.38999938964844
2019-08-19,89.61000061035156
2019-07-18,89.2300033569336
2019-05-15,89.0199966430664
2019-09-20,90.9000015258789
2019-11-01,91.04000091552734
2020-04-07,92.41999816894531
2020-06-25,92.66999816894531
2020-06-16,93.0999984741211
2019-11-04,92.7699966430664
2020-01-22,93.6500015258789
2019-11-07,92.9000015258789
2020-04-13,92.58999633789062
2019-07-01,93.30999755859375
2019-05-30,93.05000305175781
2018-08-15,93.69999694824219
2018-10-18,93.62999725341797
2019-03-27,93.76000213623047
2019-01-22,98.56999969482422
2018-12-21,101.0999984741211
2019-09-03,102.5
2018-11-19,102.02999877929688
2019-08-02,102.02999877929688
2020-01-28,101.87999725341797
2020-04-16,101.94000244140625
2019-11-13,101.54000091552734
2020-01-31,101.31999969482422
2018-12-04,100.70999908447266
2018-11-02,101.27999877929688
2019-07-16,102.5
2018-08-30,102.61000061035156
2018-10-01,101.33000183105469
2019-06-14,102.54000091552734
2019-05-13,103.0
2019-04-11,102.5
2019-02-06,100.16000366210938
2019-09-18,99.93000030517578
2020-02-03,99.86000061035156
2020-04-22,100.19999694824219
2019-11-19,98.5999984741211
2020-02-06,99.31999969482422
2019-11-22,98.72000122070312
2019-03-25,98.02999877929688
2019-02-21,98.63999938964844
2018-12-19,99.16000366210938
2018-07-12,97.8499984741211
2018-09-14,97.29000091552734
2018-08-13,97.12999725341797
2018-10-16,94.62999725341797
2019-07-31,92.97000122070312
2019-05-28,91.08999633789062
2019-04-26,90.4000015258789
2020-04-28,86.69999694824219
2019-11-25,87.11000061035156
2020-02-12,87.66999816894531
2020-05-01,87.8499984741211
2020-05-04,89.47000122070312
2019-06-12,89.2300033569336
2019-04-09,89.11000061035156
2019-03-08,88.45999908447266
2019-02-04,88.7300033569336
2018-07-27,91.70999908447266
2018-08-28,88.55999755859375
2019-01-03,87.30000305175781
2019-08-15,88.9000015258789
2018-10-31,87.16999816894531
