Dates,SNPS
2018-06-20,90.30999755859375
2018-06-21,89.2300033569336
2018-06-25,88.12000274658203
2018-06-22,86.5199966430664
2018-06-26,86.41000366210938
2018-06-27,84.56999969482422
2018-06-28,84.98999786376953
2018-06-29,85.56999969482422
2018-07-02,86.4000015258789
2018-07-03,86.2699966430664
2018-07-05,87.16999816894531
2018-07-16,88.18000030517578
2018-09-18,88.48999786376953
2019-01-24,88.98999786376953
2019-09-05,89.19000244140625
2018-11-21,91.4800033569336
2020-01-13,91.41000366210938
2020-04-01,91.48999786376953
2020-06-19,92.11000061035156
2019-10-29,91.94000244140625
2020-01-16,91.7699966430664
2020-06-22,91.69000244140625
2018-10-03,91.83999633789062
2018-07-31,91.97000122070312
2019-03-12,93.16000366210938
2019-02-08,93.1500015258789
2019-01-07,92.58000183105469
2018-12-06,89.33000183105469
2019-08-19,89.43000030517578
2019-07-18,89.75
2019-05-15,90.66000366210938
2019-09-20,91.13999938964844
2019-11-01,92.33000183105469
2020-04-07,92.6500015258789
2020-06-25,92.87999725341797
2020-06-16,93.41999816894531
2019-11-04,93.52999877929688
2020-01-22,92.87000274658203
2019-11-07,93.19999694824219
2020-04-13,92.63999938964844
2019-07-01,93.41999816894531
2019-05-30,93.33999633789062
2018-08-15,93.55000305175781
2018-10-18,93.91999816894531
2019-03-27,94.66999816894531
2019-01-22,100.69000244140625
2018-12-21,102.12999725341797
2019-09-03,102.12999725341797
2018-11-19,101.86000061035156
2019-08-02,102.16999816894531
2020-01-28,102.02999877929688
2020-04-16,102.13999938964844
2019-11-13,101.81999969482422
2020-01-31,100.66999816894531
2018-12-04,101.77999877929688
2018-11-02,102.05000305175781
2019-07-16,102.58999633789062
2018-08-30,102.44000244140625
2018-10-01,102.08999633789062
2019-06-14,102.80999755859375
2019-05-13,102.72000122070312
2019-04-11,100.06999969482422
2019-02-06,99.5999984741211
2019-09-18,98.94000244140625
2020-02-03,99.77999877929688
2020-04-22,99.22000122070312
2019-11-19,99.41999816894531
2020-02-06,98.83999633789062
2019-11-22,98.0
2019-03-25,98.6500015258789
2019-02-21,98.61000061035156
2018-12-19,97.87000274658203
2018-07-12,96.97000122070312
2018-09-14,97.33000183105469
2018-08-13,94.62999725341797
2018-10-16,93.19999694824219
2019-07-31,91.29000091552734
2019-05-28,90.8499984741211
2019-04-26,86.80999755859375
2020-04-28,85.75
2019-11-25,88.12000274658203
2020-02-12,86.87999725341797
2020-05-01,89.23999786376953
2020-05-04,89.56999969482422
2019-06-12,88.56999969482422
2019-04-09,88.0999984741211
2019-03-08,88.83000183105469
2019-02-04,92.38999938964844
2018-07-27,87.76000213623047
2018-08-28,89.63999938964844
2019-01-03,87.51000213623047
2019-08-15,86.9000015258789
2018-10-31,87.80999755859375
2019-09-16,89.52999877929688
2020-02-18,90.13999938964844
2020-05-07,89.55999755859375
2018-08-17,90.0
2019-12-04,90.2699966430664
2020-02-21,93.22000122070312
2018-12-17,94.33999633789062
2019-08-30,93.3499984741211
2018-11-15,89.73999786376953
2019-07-29,89.9000015258789
2019-06-27,89.58000183105469
2019-04-24,91.55999755859375
2018-07-10,90.13999938964844
2018-09-12,85.70999908447266
2019-02-19,85.16999816894531
2019-01-18,86.66000366210938
2020-02-24,85.58999633789062
2020-05-13,88.30000305175781
2019-12-10,86.95999908447266
2020-02-27,90.44999694824219
2019-12-13,89.5199966430664
2020-05-19,91.94000244140625
2019-03-06,92.9000015258789
2018-11-30,89.44999694824219
2019-08-13,91.19000244140625
2019-07-12,87.81999969482422
2019-06-10,89.33999633789062
2019-05-09,89.06999969482422
2018-07-25,89.76000213623047
2018-09-27,89.29000091552734
2018-10-29,87.6500015258789
2019-10-16,85.62999725341797
2019-12-16,85.66000366210938
2020-03-04,84.12000274658203
2020-05-22,83.69999694824219
2019-10-01,80.80000305175781
2019-12-19,79.23999786376953
2018-09-10,82.79000091552734
2019-05-24,83.23999786376953
2018-08-09,83.63999938964844
2019-04-22,84.23999786376953
2019-03-21,84.05000305175781
2019-01-16,81.11000061035156
2019-08-28,83.9000015258789
2018-11-13,85.76000213623047
2018-10-12,86.0999984741211
2019-06-25,86.95999908447266
2020-03-10,87.81999969482422
2020-05-28,87.70999908447266
2019-10-07,87.41000366210938
2020-03-13,88.47000122070312
2019-10-10,88.94999694824219
2020-03-16,89.13999938964844
2020-06-03,91.48999786376953
2018-11-28,89.79000091552734
2018-09-25,89.9800033569336
2018-07-23,91.41999816894531
2018-08-24,93.55000305175781
2019-07-10,91.6500015258789
2019-05-07,90.33999633789062
