Dates,ECL
2018-06-20,143.47000122070312
2018-06-21,141.0
2018-06-25,137.60000610351562
2018-06-22,137.6199951171875
2018-06-26,138.3300018310547
2018-06-27,138.32000732421875
2018-06-28,138.5399932861328
2018-06-29,140.27999877929688
2018-07-02,138.64999389648438
2018-07-03,139.75999450683594
2018-07-05,140.25999450683594
2018-07-16,140.4199981689453
2018-09-18,141.69000244140625
2019-01-24,142.0500030517578
2019-09-05,141.60000610351562
2018-11-21,142.1300048828125
2020-01-13,142.61000061035156
2020-04-01,142.30999755859375
2020-06-19,142.2100067138672
2019-10-29,143.52000427246094
2020-01-16,141.8300018310547
2020-06-22,140.5800018310547
2018-10-03,139.6999969482422
2018-07-31,140.24000549316406
2019-03-12,139.8000030517578
2019-02-08,141.99000549316406
2019-01-07,140.3300018310547
2018-12-06,140.52999877929688
2019-08-19,139.50999450683594
2019-07-18,141.25
2019-05-15,143.77000427246094
2019-09-20,146.30999755859375
2019-11-01,146.5
2020-04-07,147.6699981689453
2020-06-25,147.72999572753906
2020-06-16,147.67999267578125
2019-11-04,146.7100067138672
2020-01-22,145.69000244140625
2019-11-07,145.92999267578125
2020-04-13,145.0
2019-07-01,146.14999389648438
2019-05-30,146.39999389648438
2018-08-15,147.63999938964844
2018-10-18,147.64999389648438
2019-03-27,147.14999389648438
2019-01-22,146.4499969482422
2018-12-21,147.2100067138672
2019-09-03,149.10000610351562
2018-11-19,149.25999450683594
2019-08-02,149.27000427246094
2020-01-28,149.64999389648438
2020-04-16,149.57000732421875
2019-11-13,150.1999969482422
2020-01-31,150.32000732421875
2018-12-04,152.3300018310547
2018-11-02,151.8699951171875
2019-07-16,153.33999633789062
2018-08-30,153.19000244140625
2018-10-01,154.66000366210938
2019-06-14,155.1999969482422
2019-05-13,156.0399932861328
2019-04-11,155.91000366210938
2019-02-06,155.3300018310547
2019-09-18,156.61000061035156
2020-02-03,158.08999633789062
2020-04-22,158.77000427246094
2019-11-19,157.25999450683594
2020-02-06,156.8699951171875
2019-11-22,155.5800018310547
2019-03-25,156.47999572753906
2019-02-21,155.67999267578125
2018-12-19,156.49000549316406
2018-07-12,156.52000427246094
2018-09-14,155.91000366210938
2018-08-13,154.8699951171875
2018-10-16,156.0
2019-07-31,157.0500030517578
2019-05-28,154.5399932861328
2019-04-26,150.69000244140625
2020-04-28,145.85000610351562
2019-11-25,144.27999877929688
2020-02-12,145.69000244140625
2020-05-01,145.67999267578125
2020-05-04,147.3800048828125
2019-06-12,146.88999938964844
2019-04-09,147.89999389648438
2019-03-08,146.25999450683594
2019-02-04,145.0
2018-07-27,147.41000366210938
2018-08-28,148.33999633789062
2019-01-03,146.4199981689453
2019-08-15,144.5399932861328
2018-10-31,137.6999969482422
2019-09-16,149.9199981689453
2020-02-18,151.61000061035156
2020-05-07,152.22999572753906
2018-08-17,154.6199951171875
2019-12-04,154.57000732421875
2020-02-21,157.47000122070312
2018-12-17,158.75
2019-08-30,157.6300048828125
2018-11-15,157.5399932861328
2019-07-29,156.5399932861328
2019-06-27,155.91000366210938
2019-04-24,155.57000732421875
2018-07-10,156.49000549316406
2018-09-12,157.5500030517578
2019-02-19,155.02000427246094
2019-01-18,154.0
2020-02-24,153.13999938964844
2020-05-13,152.91000366210938
2019-12-10,153.3699951171875
2020-02-27,153.97999572753906
2019-12-13,156.4499969482422
2020-05-19,158.30999755859375
2019-03-06,157.38999938964844
2018-11-30,156.52999877929688
2019-08-13,153.13999938964844
2019-07-12,153.0
2019-06-10,151.85000610351562
2019-05-09,155.0
2018-07-25,154.75999450683594
2018-09-27,153.8000030517578
2018-10-29,153.3000030517578
2019-10-16,148.63999938964844
2019-12-16,147.8699951171875
2020-03-04,146.4499969482422
2020-05-22,143.5399932861328
2019-10-01,143.41000366210938
2019-12-19,137.89999389648438
2018-09-10,135.77000427246094
2019-05-24,140.0500030517578
2018-08-09,143.77999877929688
2019-04-22,144.47999572753906
2019-03-21,143.5399932861328
2019-01-16,141.3000030517578
2019-08-28,142.58999633789062
2018-11-13,146.1999969482422
2018-10-12,147.16000366210938
2019-06-25,147.89999389648438
2020-03-10,147.5800018310547
2020-05-28,148.3699951171875
2019-10-07,148.32000732421875
2020-03-13,148.0
2019-10-10,149.6300048828125
2020-03-16,150.24000549316406
2020-06-03,152.72999572753906
2018-11-28,151.6999969482422
2018-09-25,151.24000549316406
2018-07-23,151.17999267578125
2018-08-24,152.91000366210938
2019-07-10,153.11000061035156
2019-05-07,154.63999938964844
2019-04-05,155.07000732421875
2019-03-04,155.58999633789062
2019-01-31,157.99000549316406
2019-09-12,157.11000061035156
2019-12-31,158.3300018310547
2020-03-19,158.17999267578125
2020-01-03,157.1999969482422
2020-06-09,157.19000244140625
2019-02-15,159.02000427246094
2019-01-14,160.11000061035156
2018-07-06,162.2899932861328
2018-08-07,160.8300018310547
2018-10-10,162.2100067138672
2018-12-13,163.5
2019-08-26,164.55999755859375
2019-07-25,165.22000122070312
2019-05-22,165.94000244140625
2019-03-19,166.72999572753906
2020-01-06,167.7899932861328
2020-03-25,167.2100067138672
2020-06-12,168.07000732421875
2019-10-22,168.92999267578125
2020-01-09,168.00999450683594
2020-06-15,169.47000122070312
2019-10-25,170.0
2020-03-31,168.85000610351562
2020-06-18,168.0500030517578
2019-04-03,169.08999633789062
2018-08-22,169.86000061035156
2018-10-25,171.22999572753906
2019-01-29,172.82000732421875
2018-12-28,173.25
2018-11-26,173.6999969482422
2019-08-09,174.58999633789062
2019-07-08,173.75
2019-06-06,174.3000030517578
2019-09-10,172.8699951171875
2020-01-15,172.5399932861328
2020-04-03,173.77999877929688
2019-10-31,174.0800018310547
2020-04-06,175.4199981689453
2020-06-24,175.2899932861328
2018-11-09,177.1699981689453
2019-07-23,177.24000549316406
2019-06-21,178.27999877929688
2019-05-20,180.2100067138672
2019-04-18,180.8800048828125
2018-09-06,180.1699981689453
2018-10-08,179.74000549316406
2019-02-13,179.92999267578125
2018-12-11,181.8300018310547
2019-09-25,182.82000732421875
2020-01-21,183.05999755859375
2020-04-09,183.8300018310547
2019-11-06,182.85000610351562
2020-01-24,180.05999755859375
2020-01-27,182.3800048828125
2020-04-15,182.17999267578125
2018-12-26,183.72999572753906
2019-08-07,182.22999572753906
2019-06-04,182.8699951171875
2018-09-21,183.72999572753906
2018-07-19,179.1300048828125
2018-08-20,182.25999450683594
2018-10-23,181.63999938964844
2019-05-03,183.8800048828125
2019-04-01,182.92999267578125
2019-02-28,178.5500030517578
2019-11-12,178.80999755859375
2020-01-30,177.77000427246094
2019-11-15,178.32000732421875
2020-04-21,177.47999572753906
2019-04-16,177.9600067138672
2019-03-15,177.75999450683594
2019-02-11,180.94000244140625
2019-01-10,180.69000244140625
2019-08-22,179.77000427246094
2018-11-07,181.75
2018-08-03,182.74000549316406
2018-09-04,181.60000610351562
2019-06-19,181.97999572753906
2019-09-23,181.66000366210938
2019-11-18,180.8000030517578
2020-02-05,182.22000122070312
2020-04-24,181.57000732421875
2019-03-29,183.41000366210938
2019-11-21,185.69000244140625
2020-04-27,188.72000122070312
2020-02-11,192.69000244140625
2020-04-30,197.0
2019-05-01,198.1999969482422
2019-02-26,197.11000061035156
2019-01-25,197.3699951171875
2018-12-24,198.02000427246094
2019-09-06,197.7100067138672
2018-07-17,189.4600067138672
2018-09-19,187.91000366210938
2019-08-05,186.44000244140625
2019-10-08,189.6199951171875
2019-12-11,189.32000732421875
2019-11-27,189.60000610351562
2020-02-14,190.33999633789062
2020-05-06,188.1199951171875
2019-01-08,189.13999938964844
2018-12-07,192.19000244140625
2019-08-20,193.0800018310547
2018-11-05,195.30999755859375
2019-07-19,197.64999389648438
2018-10-04,194.1999969482422
2019-06-17,195.82000732421875
2019-05-16,195.1300048828125
2018-08-01,196.6199951171875
2019-03-13,196.77999877929688
2019-12-03,197.9600067138672
2020-02-20,198.24000549316406
2019-12-06,197.4600067138672
2020-05-12,195.8000030517578
2019-12-09,195.27000427246094
2020-02-26,197.1300048828125
2020-05-15,196.64999389648438
2019-03-28,197.8699951171875
2018-09-17,197.47999572753906
2018-08-16,195.88999938964844
2018-10-19,196.47999572753906
2019-04-29,199.66000366210938
2019-01-23,198.42999267578125
2019-09-04,199.10000610351562
2018-11-20,199.4499969482422
2019-07-02,198.27000427246094
2019-05-31,192.17999267578125
2019-12-12,192.52999877929688
2020-05-18,195.0
2019-09-27,201.22999572753906
2020-03-03,203.39999389648438
2020-05-21,204.33999633789062
2019-05-14,203.75999450683594
2018-08-31,201.22000122070312
2018-07-30,201.82000732421875
2018-10-02,203.8699951171875
2019-04-12,206.00999450683594
2019-03-11,206.25999450683594
2019-02-07,206.42999267578125
2019-07-17,204.86000061035156
2019-09-19,200.6699981689453
