Dates,ECL
2018-06-20,140.76007080078125
2018-06-21,138.71214294433594
2018-06-25,136.0762481689453
2018-06-22,135.63531494140625
2018-06-26,135.63531494140625
2018-06-27,135.54710388183594
2018-06-28,137.2619171142578
2018-06-29,137.50689697265625
2018-07-02,137.41867065429688
2018-07-03,137.1541290283203
2018-07-05,137.90863037109375
2018-07-16,138.90809631347656
2018-09-18,139.1922607421875
2019-01-24,140.0349884033203
2019-09-05,139.08450317382812
2018-11-21,139.79000854492188
2020-01-13,140.27996826171875
2020-04-01,139.75079345703125
2020-06-19,140.8286895751953
2019-10-29,141.10304260253906
2020-01-16,139.04525756835938
2020-06-22,138.0751953125
2018-10-03,137.51669311523438
2018-07-31,137.78125
2019-03-12,138.75132751464844
2019-02-08,139.8291778564453
2019-01-07,138.1143798828125
2018-12-06,137.90863037109375
2019-08-19,137.8694610595703
2019-07-18,141.78895568847656
2019-05-15,143.3959503173828
2019-09-20,144.16026306152344
2019-11-01,145.18914794921875
2020-04-07,145.96327209472656
2020-06-25,145.4341278076172
2020-06-16,144.86578369140625
2019-11-04,143.90550231933594
2020-01-22,143.03341674804688
2019-11-07,144.08189392089844
2020-04-13,143.1314239501953
2019-07-01,143.73892211914062
2019-05-30,144.346435546875
2018-08-15,145.30673217773438
2018-10-18,145.09117126464844
2019-03-27,144.22885131835938
2019-01-22,144.199462890625
2018-12-21,145.93385314941406
2019-09-03,146.80596923828125
2018-11-19,146.49240112304688
2019-08-02,147.8348388671875
2020-01-28,147.09991455078125
2020-04-16,147.45269775390625
2019-11-13,147.60946655273438
2020-01-31,149.40264892578125
2018-12-04,150.11798095703125
2018-11-02,150.2649383544922
2019-07-16,150.74508666992188
2018-08-30,151.7837677001953
2018-10-01,152.5872802734375
2019-06-14,153.39076232910156
2019-05-13,153.95909118652344
2019-04-11,153.49734497070312
2019-02-06,153.90016174316406
2019-09-18,155.0594482421875
2020-02-03,156.40541076660156
2020-04-22,156.60186767578125
2019-11-19,155.2068328857422
2020-02-06,154.55841064453125
2019-11-22,154.09664916992188
2019-03-25,154.07699584960938
2019-02-21,154.0278778076172
2018-12-19,154.63697814941406
2018-07-12,154.46014404296875
2018-09-14,153.36964416503906
2018-08-13,153.36964416503906
2018-10-16,154.82366943359375
2019-07-31,154.60751342773438
2019-05-28,152.23985290527344
2019-04-26,148.1626739501953
2020-04-28,143.38800048828125
2019-11-25,143.41746520996094
2020-02-12,143.7809600830078
2020-05-01,145.86375427246094
2020-05-04,145.91287231445312
2019-06-12,144.9107666015625
2019-04-09,145.94235229492188
2019-03-08,144.4195556640625
2019-02-04,145.3921661376953
2018-07-27,145.06797790527344
2018-08-28,147.4651336669922
2019-01-03,144.75355529785156
2019-08-15,143.98728942871094
2018-10-31,146.3844451904297
2019-09-16,150.46157836914062
2020-02-18,150.04896545410156
2020-05-07,151.8763427734375
2018-08-17,153.23208618164062
2019-12-04,154.11630249023438
2020-02-21,157.56468200683594
2018-12-17,156.6804656982422
2019-08-30,156.5331268310547
2018-11-15,155.22645568847656
2019-07-29,154.7548828125
2019-06-27,154.16542053222656
2019-04-24,155.53102111816406
2018-07-10,156.56259155273438
2018-09-12,157.486083984375
2019-02-19,153.3205108642578
2019-01-18,152.2987518310547
2020-02-24,150.55003356933594
2020-05-13,152.03350830078125
2019-12-10,151.24755859375
2020-02-27,153.5072021484375
2019-12-13,155.60963439941406
2020-05-19,157.67276000976562
2019-03-06,156.7197723388672
2018-11-30,153.98858642578125
2019-08-13,154.78436279296875
2019-07-12,151.3654327392578
2019-06-10,151.88613891601562
2019-05-09,152.5443878173828
2018-07-25,152.18089294433594
2018-09-27,152.31842041015625
2018-10-29,151.7584228515625
2019-10-16,147.45233154296875
2019-12-16,146.8118133544922
2020-03-04,145.2647705078125
2020-05-22,143.57977294921875
2019-10-01,141.8553466796875
2019-12-19,135.88394165039062
2018-09-10,140.74188232421875
2019-05-24,142.7816162109375
2018-08-09,142.25933837890625
2019-04-22,145.19580078125
2019-03-21,142.8013153076172
2019-01-16,139.47071838378906
2019-08-28,144.52574157714844
2018-11-13,144.949462890625
2018-10-12,146.7132568359375
2019-06-25,146.5359344482422
2020-03-10,147.44244384765625
2020-05-28,147.38331604003906
2019-10-07,146.58517456054688
2020-03-13,147.83660888671875
2019-10-10,148.06324768066406
2020-03-16,150.2902069091797
2020-06-03,152.24127197265625
2018-11-28,150.68435668945312
2018-09-25,150.73361206054688
2018-07-23,149.698974609375
2018-08-24,151.64016723632812
2019-07-10,152.7142333984375
2019-05-07,152.74380493164062
2019-04-05,154.5864715576172
2019-03-04,155.85760498046875
2019-01-31,156.6360626220703
2019-09-12,156.8528289794922
2019-12-31,156.34043884277344
2020-03-19,156.84298706054688
2020-01-03,156.2911834716797
2020-06-09,156.84298706054688
2019-02-15,157.75938415527344
2019-01-14,160.00608825683594
2018-07-06,160.2720947265625
2018-08-07,159.24732971191406
2018-10-10,161.08995056152344
2018-12-13,164.8639678955078
2019-08-26,162.87351989746094
2019-07-25,164.647216796875
2019-05-22,164.568359375
2019-03-19,165.76068115234375
2020-01-06,165.76068115234375
2020-03-25,166.0267333984375
2020-06-12,166.44058227539062
2019-10-22,167.6723175048828
2020-01-09,167.10079956054688
2020-06-15,168.0270538330078
2019-10-25,167.83982849121094
2020-03-31,167.12049865722656
2020-06-18,167.09095764160156
2019-04-03,167.72158813476562
2018-08-22,168.4901885986328
2018-10-25,170.5890350341797
2019-01-29,171.06202697753906
2018-12-28,171.9193115234375
2018-11-26,173.04559326171875
2019-08-09,172.94680786132812
2019-07-08,172.373779296875
2019-06-06,173.7075653076172
2019-09-10,171.296875
2020-01-15,171.9983367919922
2020-04-03,173.2432098388672
2019-10-31,173.134521484375
2020-04-06,173.83599853515625
2020-06-24,174.4188995361328
2018-11-09,176.52330017089844
2019-07-23,175.99969482421875
2019-06-21,179.26991271972656
2019-05-20,180.36659240722656
2019-04-18,179.5268096923828
2018-09-06,179.06243896484375
2018-10-08,179.31930541992188
2019-02-13,180.38633728027344
2018-12-11,180.78152465820312
2019-09-25,182.8661651611328
2020-01-21,181.5620574951172
2020-04-09,183.1329345703125
2019-11-06,180.7617645263672
2020-01-24,180.99888610839844
2020-01-27,180.6728515625
2020-04-15,182.17459106445312
2018-12-26,182.32278442382812
2019-08-07,181.1865997314453
2019-06-04,182.6685791015625
2018-09-21,182.19435119628906
2018-07-19,181.86830139160156
2018-08-20,180.18873596191406
2018-10-23,182.1054229736328
2019-05-03,182.7772674560547
2019-04-01,181.43359375
2019-02-28,177.4520263671875
2019-11-12,179.13160705566406
2020-01-30,178.5783233642578
2019-11-15,178.89450073242188
2020-04-21,176.0885772705078
2019-04-16,177.0963592529297
2019-03-15,177.6990203857422
2019-02-11,179.99111938476562
2019-01-10,179.3489532470703
2019-08-22,178.79568481445312
2018-11-07,180.94947814941406
2018-08-03,181.53240966796875
2018-09-04,180.28753662109375
2019-06-19,180.28753662109375
2019-09-23,179.8133087158203
2019-11-18,180.39622497558594
2020-02-05,181.17672729492188
2020-04-24,181.87818908691406
2019-03-29,183.40957641601562
2019-11-21,188.11236572265625
2020-04-27,190.79969787597656
2020-02-11,194.40586853027344
2020-04-30,196.362060546875
2019-05-01,197.29075622558594
