Dates,AVGO
2018-06-20,261.2200012207031
2018-06-21,259.6499938964844
2018-06-25,259.7099914550781
2018-06-22,252.4199981689453
2018-06-26,251.5399932861328
2018-06-27,247.11000061035156
2018-06-28,244.89999389648438
2018-06-29,242.63999938964844
2018-07-02,242.0500030517578
2018-07-03,239.2899932861328
2018-07-05,245.39999389648438
2018-07-16,247.67999267578125
2018-09-18,247.42999267578125
2019-01-24,250.55999755859375
2019-09-05,243.44000244140625
2018-11-21,209.97999572753906
2020-01-13,202.4600067138672
2020-04-01,203.25
2020-06-19,208.30999755859375
2019-10-29,208.77999877929688
2020-01-16,210.3699951171875
2020-06-22,210.3300018310547
2018-10-03,216.72000122070312
2018-07-31,217.33999633789062
2019-03-12,225.97000122070312
2019-02-08,223.17999267578125
2019-01-07,221.0500030517578
2018-12-06,225.19000244140625
2019-08-19,221.77000427246094
2019-07-18,216.8000030517578
2019-05-15,216.35000610351562
2019-09-20,217.80999755859375
2019-11-01,216.9499969482422
2020-04-07,220.30999755859375
2020-06-25,219.4600067138672
2020-06-16,216.5800018310547
2019-11-04,212.22999572753906
2020-01-22,211.0800018310547
2019-11-07,207.3000030517578
2020-04-13,206.5800018310547
2019-07-01,208.69000244140625
2019-05-30,209.27000427246094
2018-08-15,206.72000122070312
2018-10-18,210.50999450683594
2019-03-27,207.5399932861328
2019-01-22,205.58999633789062
2018-12-21,209.0
2019-09-03,212.97000122070312
2018-11-19,214.42999267578125
2019-08-02,214.99000549316406
2020-01-28,216.64999389648438
2020-04-16,219.02999877929688
2019-11-13,219.42999267578125
2020-01-31,221.4199981689453
2018-12-04,215.97000122070312
2018-11-02,232.5800018310547
2019-07-16,240.61000061035156
2018-08-30,232.5500030517578
2018-10-01,229.88999938964844
2019-06-14,235.4199981689453
2019-05-13,236.33999633789062
2019-04-11,234.8300018310547
2019-02-06,239.72999572753906
2019-09-18,241.7899932861328
2020-02-03,244.92999267578125
2020-04-22,248.10000610351562
2019-11-19,249.4499969482422
2020-02-06,247.64999389648438
2019-11-22,245.42999267578125
2019-03-25,246.4499969482422
2019-02-21,246.72999572753906
2018-12-19,249.50999450683594
2018-07-12,248.10000610351562
2018-09-14,249.4199981689453
2018-08-13,248.1699981689453
2018-10-16,244.22999572753906
2019-07-31,241.3699951171875
2019-05-28,244.6999969482422
2019-04-26,231.8300018310547
2020-04-28,228.89999389648438
2019-11-25,232.9499969482422
2020-02-12,232.47000122070312
2020-05-01,238.32000732421875
2020-05-04,237.1699981689453
2019-06-12,228.02000427246094
2019-04-09,228.27999877929688
2019-03-08,228.6199951171875
2019-02-04,229.0500030517578
2018-07-27,218.7100067138672
2018-08-28,222.24000549316406
2019-01-03,213.14999389648438
2019-08-15,211.5
2018-10-31,221.00999450683594
2019-09-16,223.49000549316406
2020-02-18,229.8800048828125
2020-05-07,220.77000427246094
2018-08-17,220.08999633789062
2019-12-04,228.25
2020-02-21,234.39999389648438
2018-12-17,240.25
2019-08-30,238.99000549316406
2018-11-15,223.6300048828125
2019-07-29,224.8300018310547
2019-06-27,226.1999969482422
2019-04-24,236.33999633789062
2018-07-10,237.61000061035156
2018-09-12,229.1300048828125
2019-02-19,227.7100067138672
2019-01-18,230.0
2020-02-24,229.89999389648438
2020-05-13,235.30999755859375
2019-12-10,235.8300018310547
2020-02-27,235.22000122070312
2019-12-13,235.77999877929688
2020-05-19,237.41000366210938
2019-03-06,242.07000732421875
2018-11-30,232.0399932861328
2019-08-13,227.24000549316406
2019-07-12,228.55999755859375
2019-06-10,239.25
2019-05-09,246.83999633789062
2018-07-25,254.97999572753906
2018-09-27,258.29998779296875
2018-10-29,254.8300018310547
2019-10-16,254.1300048828125
2019-12-16,249.6699981689453
2020-03-04,243.88999938964844
2020-05-22,241.88999938964844
2019-10-01,244.91000366210938
2019-12-19,233.8000030517578
2018-09-10,248.13999938964844
2019-05-24,250.85000610351562
2018-08-09,253.58999633789062
2019-04-22,254.27999877929688
2019-03-21,253.50999450683594
2019-01-16,230.9600067138672
2019-08-28,233.22999572753906
2018-11-13,237.97999572753906
2018-10-12,236.07000732421875
2019-06-25,246.27999877929688
2020-03-10,249.52000427246094
2020-05-28,250.57000732421875
2019-10-07,250.8699951171875
2020-03-13,256.489990234375
2019-10-10,251.6999969482422
2020-03-16,255.3300018310547
2020-06-03,260.82000732421875
2018-11-28,258.2900085449219
2018-09-25,257.5199890136719
2018-07-23,263.54998779296875
2018-08-24,267.94000244140625
2019-07-10,267.6199951171875
2019-05-07,266.32000732421875
2019-04-05,270.82000732421875
2019-03-04,268.25
2019-01-31,266.80999755859375
2019-09-12,272.1199951171875
2019-12-31,270.0
2020-03-19,276.2099914550781
2020-01-03,269.0899963378906
2020-06-09,274.05999755859375
2019-02-15,275.7200012207031
2019-01-14,279.3900146484375
2018-07-06,281.32000732421875
2018-08-07,281.5
2018-10-10,281.92999267578125
2018-12-13,281.6600036621094
2019-08-26,283.4200134277344
2019-07-25,280.94000244140625
2019-05-22,276.5
2019-03-19,278.6000061035156
2020-01-06,275.0
2020-03-25,271.489990234375
2020-06-12,275.3599853515625
2019-10-22,272.75
2020-01-09,274.8900146484375
2020-06-15,277.010009765625
2019-10-25,271.3500061035156
2020-03-31,265.510009765625
2020-06-18,264.19000244140625
2019-04-03,269.05999755859375
2018-08-22,269.6300048828125
2018-10-25,271.2099914550781
2019-01-29,268.20001220703125
2018-12-28,290.2900085449219
2018-11-26,293.8399963378906
2019-08-09,299.30999755859375
2019-07-08,291.0299987792969
2019-06-06,296.79998779296875
2019-09-10,292.6499938964844
2020-01-15,292.1600036621094
2020-04-03,297.0299987792969
2019-10-31,295.9700012207031
2020-04-06,299.07000732421875
2020-06-24,300.7099914550781
2018-11-09,305.7900085449219
2019-07-23,303.04998779296875
2019-06-21,304.20001220703125
2019-05-20,302.0
2019-04-18,304.2799987792969
2018-09-06,304.4800109863281
2018-10-08,303.45001220703125
2019-02-13,307.510009765625
