Dates,IRR
2018-06-20,4.851405143737793
2018-06-21,4.80497932434082
2018-06-25,4.859141826629639
2018-06-22,4.835929870605469
2018-06-26,4.820455074310303
2018-06-27,4.8436665534973145
2018-06-28,4.851405143737793
2018-06-29,4.913304328918457
2018-07-02,4.8434319496154785
2018-07-03,4.906952857971191
2018-07-05,4.891072750091553
2018-07-16,4.962532997131348
2018-09-18,4.986352443695068
2019-01-24,5.1054534912109375
2019-09-05,5.033993244171143
2018-11-21,5.026053428649902
2020-01-13,5.081634044647217
2020-04-01,5.065753936767578
2020-06-19,5.1054534912109375
2019-10-29,5.129273891448975
2020-01-16,5.16103458404541
2020-06-22,5.16103458404541
2018-10-03,5.184854507446289
2018-07-31,5.232494831085205
2019-03-12,5.1054534912109375
2019-02-08,5.16103458404541
2019-01-07,5.176914215087891
2018-12-06,5.192794322967529
2019-08-19,5.248375415802002
2019-07-18,5.216614723205566
2019-05-15,5.137214183807373
2019-09-20,5.07369327545166
2019-11-01,5.065753936767578
2020-04-07,5.153094291687012
2020-06-25,5.057814121246338
2020-06-16,5.002233505249023
2019-11-04,5.018113136291504
2020-01-22,4.92283296585083
2019-11-07,4.891072750091553
2020-04-13,4.740211009979248
2019-07-01,4.748151779174805
2019-05-30,4.819612503051758
2018-08-15,4.867252349853516
2018-10-18,4.92283296585083
2019-03-27,4.954593181610107
2019-01-22,4.899012565612793
2018-12-21,4.906952857971191
2019-09-03,4.899012565612793
2018-11-19,4.914891719818115
2019-08-02,4.962532997131348
2020-01-28,4.946653366088867
2020-04-16,4.906952857971191
2019-11-13,4.867252349853516
2020-01-31,4.8434319496154785
2018-12-04,4.7957916259765625
2018-11-02,4.7878522872924805
2019-07-16,4.883131980895996
2018-08-30,4.891072750091553
2018-10-01,4.92283296585083
2019-06-14,4.93077278137207
2019-05-13,4.962532997131348
2019-04-11,4.994293212890625
2019-02-06,5.057814121246338
2019-09-18,5.089573860168457
2020-02-03,5.121334075927734
2020-04-22,5.16103458404541
2019-11-19,5.216614723205566
2020-02-06,5.248375415802002
2019-11-22,5.200735092163086
2019-03-25,5.081634044647217
2019-02-21,5.089573860168457
2018-12-19,5.099349021911621
2018-07-12,5.131933212280273
2018-09-14,5.107494831085205
2018-08-13,5.034181594848633
2018-10-16,4.977160453796387
2019-07-31,4.952722549438477
2019-05-28,4.952722549438477
2019-04-26,4.86311674118042
2020-04-28,4.7816572189331055
2019-11-25,4.854971408843994
2020-02-12,4.928284645080566
2020-05-01,4.9608683586120605
2020-05-04,4.895700931549072
2019-06-12,4.854971408843994
2019-04-09,4.895700931549072
2019-03-08,4.7816572189331055
2019-02-04,4.643177032470703
2018-07-27,4.488404750823975
2018-08-28,4.415091514587402
2019-01-03,4.333631992340088
2019-08-15,4.284757137298584
2018-10-31,4.292901992797852
2019-09-16,4.325486183166504
2020-02-18,4.292901992797852
2020-05-07,4.358069896697998
2018-08-17,4.382507801055908
2019-12-04,4.349924564361572
2020-02-21,4.325486183166504
2018-12-17,4.235881328582764
2019-08-30,4.121838092803955
2018-11-15,4.007795333862305
2019-07-29,3.9426279067993164
2019-06-27,3.9344818592071533
