Dates,IRR
2018-06-20,90300.0
2018-06-21,51500.0
2018-06-25,120800.0
2018-06-22,107300.0
2018-06-26,101500.0
2018-06-27,91500.0
2018-06-28,84400.0
2018-06-29,124300.0
2018-07-02,89600.0
2018-07-03,100800.0
2018-07-05,58900.0
2018-07-16,51700.0
2018-09-18,88700.0
2019-01-24,118700.0
2019-09-05,54400.0
2018-11-21,56700.0
2020-01-13,56000.0
2020-04-01,129700.0
2020-06-19,187400.0
2019-10-29,42800.0
2020-01-16,63500.0
2020-06-22,94400.0
2018-10-03,72600.0
2018-07-31,146900.0
2019-03-12,197500.0
2019-02-08,95100.0
2019-01-07,95100.0
2018-12-06,104000.0
2019-08-19,76800.0
2019-07-18,70100.0
2019-05-15,52900.0
2019-09-20,59600.0
2019-11-01,128200.0
2020-04-07,104500.0
2020-06-25,117300.0
2020-06-16,123400.0
2019-11-04,55700.0
2020-01-22,110000.0
2019-11-07,120100.0
2020-04-13,110400.0
2019-07-01,91400.0
2019-05-30,87200.0
2018-08-15,30500.0
2018-10-18,81500.0
2019-03-27,63000.0
2019-01-22,78800.0
2018-12-21,94500.0
2019-09-03,80500.0
2018-11-19,62900.0
2019-08-02,53100.0
2020-01-28,76700.0
2020-04-16,87300.0
2019-11-13,82400.0
2020-01-31,47600.0
2018-12-04,52500.0
2018-11-02,70200.0
2019-07-16,20500.0
2018-08-30,97900.0
2018-10-01,83300.0
2019-06-14,51900.0
2019-05-13,77500.0
2019-04-11,85300.0
2019-02-06,105600.0
2019-09-18,46700.0
2020-02-03,74900.0
2020-04-22,73000.0
2019-11-19,106900.0
2020-02-06,69900.0
2019-11-22,119200.0
2019-03-25,74700.0
2019-02-21,119900.0
2018-12-19,93100.0
2018-07-12,54500.0
2018-09-14,86000.0
2018-08-13,51600.0
2018-10-16,28600.0
2019-07-31,28500.0
2019-05-28,76400.0
2019-04-26,66600.0
2020-04-28,114900.0
2019-11-25,92600.0
2020-02-12,61100.0
2020-05-01,68900.0
2020-05-04,41300.0
2019-06-12,26600.0
2019-04-09,70500.0
2019-03-08,101700.0
2019-02-04,71700.0
2018-07-27,71600.0
2018-08-28,139400.0
2019-01-03,40600.0
2019-08-15,26600.0
2018-10-31,66500.0
2019-09-16,99300.0
2020-02-18,83300.0
2020-05-07,41000.0
2018-08-17,68000.0
2019-12-04,56000.0
2020-02-21,173400.0
2018-12-17,64400.0
2019-08-30,248500.0
2018-11-15,118300.0
2019-07-29,199200.0
2019-06-27,215800.0
2019-04-24,343700.0
2018-07-10,363400.0
2018-09-12,160600.0
2019-02-19,263900.0
2019-01-18,359000.0
2020-02-24,101100.0
2020-05-13,111900.0
2019-12-10,140500.0
2020-02-27,129100.0
2019-12-13,68200.0
2020-05-19,99900.0
2019-03-06,112300.0
2018-11-30,90600.0
2019-08-13,101000.0
2019-07-12,92400.0
2019-06-10,79200.0
2019-05-09,133000.0
