Dates,IRR
2018-06-20,6.269999980926514
2018-06-21,6.210000038146973
2018-06-25,6.28000020980835
2018-06-22,6.25
2018-06-26,6.230000019073486
2018-06-27,6.260000228881836
2018-06-28,6.269999980926514
2018-06-29,6.349999904632568
2018-07-02,6.099999904632568
2018-07-03,6.179999828338623
2018-07-05,6.159999847412109
2018-07-16,6.25
2018-09-18,6.28000020980835
2019-01-24,6.429999828338623
2019-09-05,6.340000152587891
2018-11-21,6.329999923706055
2020-01-13,6.400000095367432
2020-04-01,6.380000114440918
2020-06-19,6.429999828338623
2019-10-29,6.460000038146973
2020-01-16,6.5
2020-06-22,6.5
2018-10-03,6.53000020980835
2018-07-31,6.590000152587891
2019-03-12,6.429999828338623
2019-02-08,6.5
2019-01-07,6.519999980926514
2018-12-06,6.539999961853027
2019-08-19,6.610000133514404
2019-07-18,6.570000171661377
2019-05-15,6.46999979019165
2019-09-20,6.389999866485596
2019-11-01,6.380000114440918
2020-04-07,6.489999771118164
2020-06-25,6.369999885559082
2020-06-16,6.300000190734863
2019-11-04,6.320000171661377
2020-01-22,6.199999809265137
2019-11-07,6.159999847412109
2020-04-13,5.96999979019165
2019-07-01,5.980000019073486
2019-05-30,6.070000171661377
2018-08-15,6.130000114440918
2018-10-18,6.199999809265137
2019-03-27,6.239999771118164
2019-01-22,6.170000076293945
2018-12-21,6.179999828338623
2019-09-03,6.170000076293945
2018-11-19,6.190000057220459
2019-08-02,6.25
2020-01-28,6.230000019073486
2020-04-16,6.179999828338623
2019-11-13,6.130000114440918
2020-01-31,6.099999904632568
2018-12-04,6.039999961853027
2018-11-02,6.03000020980835
2019-07-16,6.150000095367432
2018-08-30,6.159999847412109
2018-10-01,6.199999809265137
2019-06-14,6.210000038146973
2019-05-13,6.25
2019-04-11,6.289999961853027
2019-02-06,6.369999885559082
2019-09-18,6.409999847412109
2020-02-03,6.449999809265137
2020-04-22,6.5
2019-11-19,6.570000171661377
2020-02-06,6.610000133514404
2019-11-22,6.550000190734863
2019-03-25,6.400000095367432
2019-02-21,6.409999847412109
2018-12-19,6.260000228881836
2018-07-12,6.300000190734863
2018-09-14,6.269999980926514
2018-08-13,6.179999828338623
2018-10-16,6.110000133514404
2019-07-31,6.079999923706055
2019-05-28,6.079999923706055
2019-04-26,5.96999979019165
2020-04-28,5.869999885559082
2019-11-25,5.960000038146973
2020-02-12,6.050000190734863
2020-05-01,6.090000152587891
2020-05-04,6.010000228881836
2019-06-12,5.960000038146973
2019-04-09,6.010000228881836
2019-03-08,5.869999885559082
2019-02-04,5.699999809265137
2018-07-27,5.510000228881836
2018-08-28,5.420000076293945
2019-01-03,5.320000171661377
2019-08-15,5.260000228881836
2018-10-31,5.269999980926514
2019-09-16,5.309999942779541
2020-02-18,5.269999980926514
2020-05-07,5.349999904632568
2018-08-17,5.380000114440918
2019-12-04,5.340000152587891
2020-02-21,5.309999942779541
2018-12-17,5.199999809265137
2019-08-30,5.059999942779541
2018-11-15,4.920000076293945
2019-07-29,4.840000152587891
2019-06-27,4.829999923706055
2019-04-24,4.789999961853027
2018-07-10,4.809999942779541
2018-09-12,4.909999847412109
2019-02-19,4.760000228881836
2019-01-18,4.769999980926514
2020-02-24,4.710000038146973
2020-05-13,4.849999904632568
2019-12-10,4.800000190734863
2020-02-27,4.840000152587891
2019-12-13,4.920000076293945
2020-05-19,4.96999979019165
2019-03-06,5.059999942779541
2018-11-30,4.989999771118164
2019-08-13,4.820000171661377
2019-07-12,4.820000171661377
2019-06-10,4.769999980926514
2019-05-09,4.78000020980835
2018-07-25,4.849999904632568
2018-09-27,4.730000019073486
2018-10-29,4.619999885559082
2019-10-16,4.539999961853027
2019-12-16,4.460000038146973
2020-03-04,4.460000038146973
2020-05-22,4.320000171661377
2019-10-01,4.159999847412109
2019-12-19,4.179999828338623
2018-09-10,4.329999923706055
2019-05-24,4.360000133514404
2018-08-09,4.230000019073486
2019-04-22,4.28000020980835
2019-03-21,4.340000152587891
2019-01-16,4.369999885559082
2019-08-28,4.440000057220459
2018-11-13,4.619999885559082
2018-10-12,4.71999979019165
2019-06-25,4.78000020980835
2020-03-10,4.71999979019165
2020-05-28,4.820000171661377
2019-10-07,4.809999942779541
2020-03-13,4.840000152587891
2019-10-10,4.880000114440918
2020-03-16,4.849999904632568
2020-06-03,4.809999942779541
2018-11-28,4.650000095367432
2018-09-25,4.699999809265137
2018-07-23,4.829999923706055
2018-08-24,4.900000095367432
2019-07-10,4.869999885559082
2019-05-07,4.900000095367432
2019-04-05,4.929999828338623
2019-03-04,4.929999828338623
2019-01-31,5.010000228881836
2019-09-12,5.010000228881836
2019-12-31,5.070000171661377
2020-03-19,5.010000228881836
2020-01-03,4.920000076293945
2020-06-09,4.949999809265137
2019-02-15,5.0
2019-01-14,5.079999923706055
2018-07-06,5.159999847412109
2018-08-07,5.190000057220459
2018-10-10,5.21999979019165
2018-12-13,5.25
2019-08-26,5.360000133514404
2019-07-25,5.349999904632568
2019-05-22,5.239999771118164
2019-03-19,5.28000020980835
2020-01-06,5.269999980926514
2020-03-25,5.340000152587891
2020-06-12,5.5
2019-10-22,5.369999885559082
2020-01-09,5.320000171661377
2020-06-15,5.349999904632568
2019-10-25,5.260000228881836
2020-03-31,5.150000095367432
2020-06-18,5.019999980926514
2019-04-03,5.059999942779541
2018-08-22,5.079999923706055
2018-10-25,5.090000152587891
2019-01-29,5.150000095367432
2018-12-28,5.25
2018-11-26,5.389999866485596
2019-08-09,5.440000057220459
2019-07-08,5.230000019073486
2019-06-06,5.320000171661377
