Dates,CHD
2018-06-20,50.459999084472656
2018-06-21,50.43000030517578
2018-06-25,50.61000061035156
2018-06-22,50.470001220703125
2018-06-26,51.09000015258789
2018-06-27,51.470001220703125
2018-06-28,52.20000076293945
2018-06-29,52.77000045776367
2018-07-02,52.70000076293945
2018-07-03,52.79999923706055
2018-07-05,53.380001068115234
2018-07-16,54.209999084472656
2018-09-18,53.400001525878906
2019-01-24,53.15999984741211
2019-09-05,54.33000183105469
2018-11-21,54.41999816894531
2020-01-13,54.90999984741211
2020-04-01,54.7599983215332
2020-06-19,54.66999816894531
2019-10-29,53.52000045776367
2020-01-16,53.150001525878906
2020-06-22,54.0
2018-10-03,54.470001220703125
2018-07-31,54.119998931884766
2019-03-12,54.09000015258789
2019-02-08,54.7599983215332
2019-01-07,54.93000030517578
2018-12-06,54.86000061035156
2019-08-19,54.95000076293945
2019-07-18,54.529998779296875
2019-05-15,55.2599983215332
2019-09-20,57.0
2019-11-01,56.959999084472656
2020-04-07,56.209999084472656
2020-06-25,55.900001525878906
2020-06-16,55.27000045776367
2019-11-04,55.529998779296875
2020-01-22,55.5
2019-11-07,55.40999984741211
2020-04-13,55.29999923706055
2019-07-01,56.06999969482422
2019-05-30,56.779998779296875
2018-08-15,57.290000915527344
2018-10-18,56.43000030517578
2019-03-27,56.220001220703125
2019-01-22,56.11000061035156
2018-12-21,56.209999084472656
2019-09-03,55.72999954223633
2018-11-19,56.290000915527344
2019-08-02,56.130001068115234
2020-01-28,56.27000045776367
2020-04-16,56.33000183105469
2019-11-13,56.060001373291016
2020-01-31,56.16999816894531
2018-12-04,57.22999954223633
2018-11-02,57.779998779296875
2019-07-16,58.459999084472656
2018-08-30,58.18000030517578
2018-10-01,58.86000061035156
2019-06-14,58.75
2019-05-13,59.060001373291016
2019-04-11,59.400001525878906
2019-02-06,59.08000183105469
2019-09-18,58.79999923706055
2020-02-03,59.06999969482422
2020-04-22,59.790000915527344
2019-11-19,58.88999938964844
2020-02-06,58.95000076293945
2019-11-22,58.970001220703125
2019-03-25,58.83000183105469
2019-02-21,58.849998474121094
2018-12-19,59.349998474121094
2018-07-12,59.599998474121094
2018-09-14,59.04999923706055
2018-08-13,57.65999984741211
2018-10-16,58.22999954223633
2019-07-31,59.06999969482422
2019-05-28,59.290000915527344
2019-04-26,55.84000015258789
2020-04-28,54.459999084472656
2019-11-25,55.040000915527344
2020-02-12,56.0
2020-05-01,57.25
2020-05-04,57.75
2019-06-12,58.06999969482422
2019-04-09,59.709999084472656
2019-03-08,59.099998474121094
2019-02-04,58.599998474121094
2018-07-27,59.380001068115234
2018-08-28,58.779998779296875
2019-01-03,57.36000061035156
2019-08-15,58.029998779296875
2018-10-31,59.18000030517578
