Dates,CHD
2018-06-20,51.209999084472656
2018-06-21,50.75
2018-06-25,50.66999816894531
2018-06-22,50.529998779296875
2018-06-26,51.54999923706055
2018-06-27,51.790000915527344
2018-06-28,52.31999969482422
2018-06-29,53.15999984741211
2018-07-02,53.0
2018-07-03,53.310001373291016
2018-07-05,53.43000030517578
2018-07-16,54.41999816894531
2018-09-18,54.36000061035156
2019-01-24,53.45000076293945
2019-09-05,54.790000915527344
2018-11-21,54.65999984741211
2020-01-13,55.0
2020-04-01,55.91999816894531
2020-06-19,54.869998931884766
2019-10-29,54.540000915527344
2020-01-16,53.790000915527344
2020-06-22,54.04999923706055
2018-10-03,55.029998779296875
2018-07-31,54.470001220703125
2019-03-12,54.689998626708984
2019-02-08,55.08000183105469
2019-01-07,55.13999938964844
2018-12-06,55.13999938964844
2019-08-19,55.290000915527344
2019-07-18,55.81999969482422
2019-05-15,55.630001068115234
2019-09-20,57.040000915527344
2019-11-01,57.09000015258789
2020-04-07,57.11000061035156
2020-06-25,56.33000183105469
2020-06-16,55.84000015258789
2019-11-04,55.599998474121094
2020-01-22,55.93000030517578
2019-11-07,55.77000045776367
2020-04-13,55.529998779296875
2019-07-01,56.150001525878906
2019-05-30,56.849998474121094
2018-08-15,57.29999923706055
2018-10-18,57.43000030517578
2019-03-27,56.7599983215332
2019-01-22,56.25
2018-12-21,56.5099983215332
2019-09-03,56.540000915527344
2018-11-19,56.5
2019-08-02,56.599998474121094
2020-01-28,56.5
2020-04-16,56.5099983215332
2019-11-13,56.06999969482422
2020-01-31,56.29999923706055
2018-12-04,57.5
2018-11-02,57.83000183105469
2019-07-16,59.0
2018-08-30,58.540000915527344
2018-10-01,58.939998626708984
2019-06-14,59.369998931884766
2019-05-13,59.41999816894531
2019-04-11,59.630001068115234
2019-02-06,59.720001220703125
2019-09-18,59.58000183105469
2020-02-03,59.130001068115234
2020-04-22,59.95000076293945
2019-11-19,60.029998779296875
2020-02-06,59.310001373291016
2019-11-22,59.20000076293945
2019-03-25,59.33000183105469
2019-02-21,58.91999816894531
2018-12-19,59.41999816894531
2018-07-12,59.599998474121094
2018-09-14,60.34000015258789
2018-08-13,58.709999084472656
2018-10-16,58.22999954223633
2019-07-31,59.130001068115234
2019-05-28,59.77000045776367
2019-04-26,57.13999938964844
2020-04-28,55.7599983215332
2019-11-25,55.5
2020-02-12,56.060001373291016
2020-05-01,57.56999969482422
2020-05-04,58.36000061035156
2019-06-12,58.5
2019-04-09,60.40999984741211
2019-03-08,60.560001373291016
2019-02-04,59.66999816894531
2018-07-27,59.59000015258789
2018-08-28,60.130001068115234
2019-01-03,58.90999984741211
2019-08-15,58.58000183105469
2018-10-31,59.18000030517578
2019-09-16,59.5
2020-02-18,60.779998779296875
2020-05-07,65.13999938964844
2018-08-17,65.83000183105469
2019-12-04,66.54000091552734
2020-02-21,67.88999938964844
2018-12-17,66.23999786376953
2019-08-30,64.4800033569336
2018-11-15,65.37000274658203
2019-07-29,65.98999786376953
2019-06-27,65.62000274658203
2019-04-24,65.55999755859375
2018-07-10,65.6500015258789
2018-09-12,65.16000366210938
2019-02-19,65.31999969482422
2019-01-18,64.23999786376953
2020-02-24,65.4000015258789
2020-05-13,65.88999938964844
2019-12-10,65.76000213623047
2020-02-27,66.12999725341797
2019-12-13,66.12999725341797
2020-05-19,65.88999938964844
2019-03-06,66.33000183105469
2018-11-30,66.76000213623047
2019-08-13,66.41999816894531
2019-07-12,66.7300033569336
2019-06-10,67.06999969482422
2019-05-09,67.0
2018-07-25,68.76000213623047
