Dates,TGT
2018-06-20,75.38999938964844
2018-06-21,76.13999938964844
2018-06-25,76.04000091552734
2018-06-22,76.83999633789062
2018-06-26,76.33000183105469
2018-06-27,76.87000274658203
2018-06-28,75.5999984741211
2018-06-29,76.12000274658203
2018-07-02,75.7699966430664
2018-07-03,76.62999725341797
2018-07-05,76.55000305175781
2018-07-16,76.79000091552734
2018-09-18,77.76000213623047
2019-01-24,78.30000305175781
2019-09-05,77.58000183105469
2018-11-21,76.5
2020-01-13,77.72000122070312
2020-04-01,77.20999908447266
2020-06-19,77.2699966430664
2019-10-29,76.8499984741211
2020-01-16,78.45999908447266
2020-06-22,77.76000213623047
2018-10-03,78.69000244140625
2018-07-31,79.36000061035156
2019-03-12,79.98999786376953
2019-02-08,79.86000061035156
2019-01-07,80.12999725341797
2018-12-06,81.20999908447266
2019-08-19,80.68000030517578
2019-07-18,78.94999694824219
2019-05-15,80.76000213623047
2019-09-20,81.44999694824219
2019-11-01,81.61000061035156
2020-04-07,82.23999786376953
2020-06-25,82.38999938964844
2020-06-16,82.62000274658203
2019-11-04,82.70999908447266
2020-01-22,82.05999755859375
2019-11-07,82.68000030517578
2020-04-13,80.69000244140625
2019-07-01,82.06999969482422
2019-05-30,83.04000091552734
2018-08-15,83.31999969482422
2018-10-18,83.2699966430664
2019-03-27,85.94000244140625
2019-01-22,86.70999908447266
2018-12-21,87.30999755859375
2019-09-03,86.5999984741211
2018-11-19,86.69999694824219
2019-08-02,87.62999725341797
2020-01-28,87.30999755859375
2020-04-16,87.5
2019-11-13,88.94999694824219
2020-01-31,88.5999984741211
2018-12-04,88.87999725341797
2018-11-02,88.73999786376953
2019-07-16,89.26000213623047
2018-08-30,88.80000305175781
2018-10-01,88.6500015258789
2019-06-14,88.08000183105469
2019-05-13,87.94000244140625
2019-04-11,87.27999877929688
2019-02-06,87.68000030517578
2019-09-18,87.16000366210938
2020-02-03,87.37999725341797
2020-04-22,87.30999755859375
2019-11-19,87.23999786376953
2020-02-06,87.30999755859375
2019-11-22,87.88999938964844
2019-03-25,87.51000213623047
2019-02-21,88.20999908447266
2018-12-19,88.47000122070312
2018-07-12,86.62000274658203
2018-09-14,85.97000122070312
2018-08-13,84.83999633789062
2018-10-16,84.5199966430664
2019-07-31,85.4000015258789
2019-05-28,85.66000366210938
2019-04-26,85.19999694824219
2020-04-28,82.80000305175781
2019-11-25,84.61000061035156
2020-02-12,84.5999984741211
2020-05-01,85.80999755859375
2020-05-04,84.41999816894531
2019-06-12,83.36000061035156
2019-04-09,82.0199966430664
2019-03-08,83.2300033569336
2019-02-04,82.66999816894531
2018-07-27,82.2699966430664
2018-08-28,83.83000183105469
2019-01-03,81.94000244140625
2019-08-15,84.0999984741211
2018-10-31,85.7699966430664
2019-09-16,83.62999725341797
2020-02-18,84.2300033569336
2020-05-07,84.41000366210938
2018-08-17,85.3499984741211
2019-12-04,85.58999633789062
2020-02-21,86.76000213623047
2018-12-17,87.5999984741211
2019-08-30,86.94000244140625
2018-11-15,85.47000122070312
2019-07-29,84.31999969482422
2019-06-27,83.12999725341797
2019-04-24,80.76000213623047
2018-07-10,79.68000030517578
2018-09-12,77.79000091552734
2019-02-19,69.02999877929688
2019-01-18,69.26000213623047
2020-02-24,67.3499984741211
2020-05-13,69.25
2019-12-10,71.37999725341797
2020-02-27,71.87999725341797
2019-12-13,71.16999816894531
2020-05-19,70.95999908447266
2019-03-06,72.33999633789062
2018-11-30,69.30999755859375
2019-08-13,69.54000091552734
2019-07-12,67.80999755859375
2019-06-10,68.31999969482422
2019-05-09,66.77999877929688
2018-07-25,67.79000091552734
2018-09-27,66.68000030517578
2018-10-29,67.16999816894531
2019-10-16,64.31999969482422
2019-12-16,65.30999755859375
2020-03-04,62.83000183105469
2020-05-22,61.70000076293945
2019-10-01,61.130001068115234
2019-12-19,61.54999923706055
2018-09-10,65.11000061035156
2019-05-24,64.70999908447266
2018-08-09,64.95999908447266
2019-04-22,66.08999633789062
2019-03-21,66.44000244140625
2019-01-16,65.52999877929688
2019-08-28,66.43000030517578
2018-11-13,69.68000030517578
2018-10-12,69.61000061035156
2019-06-25,70.29000091552734
2020-03-10,68.29000091552734
2020-05-28,69.61000061035156
2019-10-07,68.83999633789062
2020-03-13,68.20999908447266
2019-10-10,67.8499984741211
2020-03-16,69.37000274658203
2020-06-03,70.68000030517578
2018-11-28,70.27999877929688
2018-09-25,70.31999969482422
2018-07-23,70.61000061035156
2018-08-24,72.38999938964844
2019-07-10,72.12000274658203
2019-05-07,71.69999694824219
2019-04-05,72.33000183105469
2019-03-04,73.0
2019-01-31,71.16999816894531
2019-09-12,72.44000244140625
2019-12-31,72.7699966430664
2020-03-19,72.51000213623047
2020-01-03,71.86000061035156
2020-06-09,70.87999725341797
2019-02-15,70.1500015258789
2019-01-14,70.41000366210938
2018-07-06,72.56999969482422
2018-08-07,72.18000030517578
2018-10-10,72.83999633789062
2018-12-13,73.30000305175781
2019-08-26,72.70999908447266
2019-07-25,72.02999877929688
2019-05-22,72.25
2019-03-19,73.0999984741211
2020-01-06,72.29000091552734
2020-03-25,73.0199966430664
2020-06-12,72.63999938964844
2019-10-22,72.94000244140625
2020-01-09,72.66999816894531
2020-06-15,76.0
2019-10-25,76.9000015258789
2020-03-31,76.16999816894531
2020-06-18,75.80999755859375
2019-04-03,76.2699966430664
2018-08-22,76.18000030517578
2018-10-25,77.12000274658203
2019-01-29,76.48999786376953
2018-12-28,76.66000366210938
2018-11-26,77.87999725341797
2019-08-09,78.45999908447266
2019-07-08,77.54000091552734
2019-06-06,79.48999786376953
2019-09-10,78.31999969482422
2020-01-15,78.52999877929688
2020-04-03,79.62999725341797
2019-10-31,79.81999969482422
2020-04-06,80.31999969482422
2020-06-24,80.26000213623047
2018-11-09,79.97000122070312
2019-07-23,79.45999908447266
2019-06-21,79.30999755859375
2019-05-20,81.37999725341797
2019-04-18,80.94000244140625
2018-09-06,81.93000030517578
2018-10-08,80.66000366210938
2019-02-13,80.75
2018-12-11,80.44999694824219
2019-09-25,80.7300033569336
2020-01-21,81.9800033569336
2020-04-09,81.97000122070312
2019-11-06,82.68000030517578
2020-01-24,83.26000213623047
2020-01-27,82.0199966430664
2020-04-15,82.16000366210938
2018-12-26,82.87999725341797
2019-08-07,81.73999786376953
2019-06-04,77.12000274658203
2018-09-21,77.80000305175781
2018-07-19,77.41999816894531
2018-08-20,75.66999816894531
2018-10-23,76.41999816894531
2019-05-03,75.94000244140625
2019-04-01,75.9800033569336
2019-02-28,75.04000091552734
2019-11-12,75.41000366210938
2020-01-30,75.11000061035156
2019-11-15,74.63999938964844
2020-04-21,71.68000030517578
2019-04-16,71.26000213623047
2019-03-15,70.80999755859375
2019-02-11,70.77999877929688
2019-01-10,70.88999938964844
2019-08-22,72.08000183105469
2018-11-07,71.95999908447266
2018-08-03,77.55999755859375
2018-09-04,79.4000015258789
2019-06-19,81.56999969482422
2019-09-23,80.7699966430664
2019-11-18,79.63999938964844
2020-02-05,80.38999938964844
2020-04-24,80.44999694824219
2019-03-29,82.94999694824219
2019-11-21,85.8499984741211
2020-04-27,85.48999786376953
2020-02-11,85.69999694824219
2020-04-30,86.8499984741211
2019-05-01,87.55000305175781
2019-02-26,87.8499984741211
2019-01-25,88.26000213623047
2018-12-24,88.30000305175781
2019-09-06,87.79000091552734
2018-07-17,87.13999938964844
2018-09-19,86.47000122070312
2019-08-05,86.16000366210938
2019-10-08,86.20999908447266
2019-12-11,87.5999984741211
2019-11-27,86.72000122070312
2020-02-14,85.69999694824219
2020-05-06,85.58999633789062
2019-01-08,85.87000274658203
2018-12-07,86.61000061035156
2019-08-20,86.94000244140625
2018-11-05,87.04000091552734
2019-07-19,87.9000015258789
2018-10-04,88.63999938964844
2019-06-17,88.91000366210938
2019-05-16,87.80000305175781
2018-08-01,85.8499984741211
2019-03-13,86.47000122070312
2019-12-03,87.52999877929688
2020-02-20,86.80000305175781
2019-12-06,88.30999755859375
2020-05-12,87.86000061035156
2019-12-09,88.5
2020-02-26,88.01000213623047
2020-05-15,87.22000122070312
