Dates,VAR
2018-06-20,118.44000244140625
2018-06-21,116.80000305175781
2018-06-25,117.16999816894531
2018-06-22,115.44000244140625
2018-06-26,116.0999984741211
2018-06-27,115.73999786376953
2018-06-28,112.79000091552734
2018-06-29,113.4000015258789
2018-07-02,112.30000305175781
2018-07-03,113.58000183105469
2018-07-05,113.80000305175781
2018-07-16,115.69999694824219
2018-09-18,116.56999969482422
2019-01-24,117.94999694824219
2019-09-05,116.47000122070312
2018-11-21,115.91000366210938
2020-01-13,116.0
2020-04-01,114.43000030517578
2020-06-19,114.5999984741211
2019-10-29,115.86000061035156
2020-01-16,115.36000061035156
2020-06-22,116.13999938964844
2018-10-03,115.91000366210938
2018-07-31,116.26000213623047
2019-03-12,116.55999755859375
2019-02-08,116.31999969482422
2019-01-07,113.38999938964844
2018-12-06,111.91999816894531
2019-08-19,113.20999908447266
2019-07-18,114.27999877929688
2019-05-15,113.33999633789062
2019-09-20,113.66000366210938
2019-11-01,113.43000030517578
2020-04-07,112.76000213623047
2020-06-25,111.02999877929688
2020-06-16,111.12999725341797
2019-11-04,110.68000030517578
2020-01-22,110.55000305175781
2019-11-07,110.30999755859375
2020-04-13,108.11000061035156
2019-07-01,109.26000213623047
2019-05-30,110.11000061035156
2018-08-15,111.0
2018-10-18,112.08999633789062
2019-03-27,111.62000274658203
2019-01-22,112.05999755859375
2018-12-21,112.26000213623047
2019-09-03,112.27999877929688
2018-11-19,112.05000305175781
2019-08-02,112.05000305175781
2020-01-28,112.06999969482422
2020-04-16,111.51000213623047
2019-11-13,111.2699966430664
2020-01-31,110.1500015258789
2018-12-04,108.68000030517578
2018-11-02,106.05000305175781
2019-07-16,106.76000213623047
2018-08-30,108.56999969482422
2018-10-01,108.52999877929688
2019-06-14,110.0
2019-05-13,111.56999969482422
2019-04-11,109.69999694824219
2019-02-06,109.5
2019-09-18,109.68000030517578
2020-02-03,109.91000366210938
2020-04-22,111.77999877929688
2019-11-19,111.45999908447266
2020-02-06,112.1500015258789
2019-11-22,111.44000244140625
2019-03-25,111.94000244140625
2019-02-21,111.73999786376953
2018-12-19,111.95999908447266
2018-07-12,112.27999877929688
2018-09-14,111.36000061035156
2018-08-13,107.72000122070312
2018-10-16,106.51000213623047
2019-07-31,106.08999633789062
2019-05-28,107.16000366210938
2019-04-26,104.51000213623047
2020-04-28,103.54000091552734
2019-11-25,103.81999969482422
2020-02-12,104.37999725341797
2020-05-01,105.6500015258789
2020-05-04,106.7699966430664
2019-06-12,105.33000183105469
2019-04-09,103.75
2019-03-08,103.1500015258789
2019-02-04,101.41999816894531
2018-07-27,111.0
2018-08-28,110.0
2019-01-03,109.38999938964844
2019-08-15,109.13999938964844
2018-10-31,109.7699966430664
2019-09-16,118.05999755859375
2020-02-18,118.70999908447266
2020-05-07,118.87999725341797
2018-08-17,119.18000030517578
2019-12-04,119.70999908447266
2020-02-21,120.87999725341797
2018-12-17,121.95999908447266
2019-08-30,118.18000030517578
2018-11-15,117.11000061035156
2019-07-29,116.83000183105469
2019-06-27,114.30000305175781
2019-04-24,113.33000183105469
2018-07-10,115.98999786376953
2018-09-12,115.0
2019-02-19,113.44000244140625
2019-01-18,114.36000061035156
2020-02-24,113.62000274658203
2020-05-13,115.52999877929688
2019-12-10,116.41999816894531
2020-02-27,117.0199966430664
2019-12-13,120.70999908447266
2020-05-19,120.58000183105469
2019-03-06,123.94999694824219
2018-11-30,121.02999877929688
2019-08-13,116.91999816894531
2019-07-12,118.08999633789062
2019-06-10,116.81999969482422
2019-05-09,118.16000366210938
2018-07-25,120.7300033569336
2018-09-27,120.87000274658203
2018-10-29,118.83000183105469
2019-10-16,115.13999938964844
2019-12-16,114.19000244140625
2020-03-04,112.72000122070312
2020-05-22,109.33000183105469
2019-10-01,107.19000244140625
2019-12-19,105.31999969482422
2018-09-10,106.3499984741211
2019-05-24,107.38999938964844
2018-08-09,110.88999938964844
2019-04-22,112.13999938964844
2019-03-21,111.58999633789062
2019-01-16,109.12999725341797
2019-08-28,113.0
2018-11-13,118.56999969482422
2018-10-12,120.05000305175781
2019-06-25,122.36000061035156
2020-03-10,122.45999908447266
2020-05-28,122.97000122070312
2019-10-07,123.72000122070312
2020-03-13,123.6500015258789
