Dates,DHI
2018-06-20,41.59000015258789
2018-06-21,41.790000915527344
2018-06-25,41.31999969482422
2018-06-22,40.459999084472656
2018-06-26,41.150001525878906
2018-06-27,40.65999984741211
2018-06-28,40.029998779296875
2018-06-29,41.06999969482422
2018-07-02,40.779998779296875
2018-07-03,41.22999954223633
2018-07-05,41.41999816894531
2018-07-16,41.41999816894531
2018-09-18,41.720001220703125
2019-01-24,41.900001525878906
2019-09-05,41.25
2018-11-21,41.349998474121094
2020-01-13,41.5
2020-04-01,41.459999084472656
2020-06-19,41.91999816894531
2019-10-29,42.79999923706055
2020-01-16,43.20000076293945
2020-06-22,43.18000030517578
2018-10-03,42.54999923706055
2018-07-31,41.5099983215332
2019-03-12,40.22999954223633
2019-02-08,41.38999938964844
2019-01-07,44.310001373291016
2018-12-06,44.0
2019-08-19,43.97999954223633
2019-07-18,43.95000076293945
2019-05-15,43.63999938964844
2019-09-20,43.790000915527344
2019-11-01,43.77000045776367
2020-04-07,43.709999084472656
2020-06-25,44.27000045776367
2020-06-16,44.220001220703125
2019-11-04,44.68000030517578
2020-01-22,44.869998931884766
2019-11-07,43.5
2020-04-13,43.84000015258789
2019-07-01,43.9900016784668
2019-05-30,44.2400016784668
2018-08-15,44.5099983215332
2018-10-18,45.4900016784668
2019-03-27,46.36000061035156
2019-01-22,45.630001068115234
2018-12-21,44.959999084472656
2019-09-03,45.04999923706055
2018-11-19,45.33000183105469
2019-08-02,45.27000045776367
2020-01-28,45.04999923706055
2020-04-16,44.47999954223633
2019-11-13,44.470001220703125
2020-01-31,44.720001220703125
2018-12-04,45.22999954223633
2018-11-02,44.470001220703125
2019-07-16,43.099998474121094
2018-08-30,42.61000061035156
2018-10-01,43.130001068115234
2019-06-14,43.59000015258789
2019-05-13,42.380001068115234
2019-04-11,43.06999969482422
2019-02-06,42.540000915527344
2019-09-18,43.06999969482422
2020-02-03,42.790000915527344
2020-04-22,42.5
2019-11-19,42.2400016784668
2020-02-06,42.209999084472656
2019-11-22,43.38999938964844
2019-03-25,42.40999984741211
2019-02-21,41.75
2018-12-19,42.2599983215332
2018-07-12,42.18000030517578
2018-09-14,42.5
2018-08-13,41.400001525878906
2018-10-16,40.540000915527344
2019-07-31,39.900001525878906
2019-05-28,40.5
2019-04-26,39.18000030517578
2020-04-28,38.279998779296875
2019-11-25,38.36000061035156
2020-02-12,37.41999816894531
2020-05-01,38.08000183105469
2020-05-04,38.27000045776367
2019-06-12,37.25
2019-04-09,37.22999954223633
2019-03-08,36.04999923706055
2019-02-04,34.619998931884766
2018-07-27,35.68000030517578
2018-08-28,34.77000045776367
2019-01-03,34.9900016784668
2019-08-15,36.709999084472656
2018-10-31,34.93000030517578
2019-09-16,36.619998931884766
2020-02-18,36.04999923706055
2020-05-07,37.29999923706055
2018-08-17,36.09000015258789
2019-12-04,37.34000015258789
2020-02-21,37.83000183105469
2018-12-17,35.040000915527344
2019-08-30,34.09000015258789
2018-11-15,33.97999954223633
2019-07-29,34.06999969482422
2019-06-27,35.09000015258789
2019-04-24,33.689998626708984
2018-07-10,33.470001220703125
2018-09-12,34.560001373291016
2019-02-19,34.22999954223633
2019-01-18,34.9900016784668
2020-02-24,35.5
2020-05-13,36.040000915527344
2019-12-10,35.810001373291016
2020-02-27,36.459999084472656
2019-12-13,37.2400016784668
2020-05-19,37.29999923706055
2019-03-06,37.65999984741211
2018-11-30,37.470001220703125
2019-08-13,35.939998626708984
2019-07-12,37.0
2019-06-10,36.459999084472656
2019-05-09,36.41999816894531
2018-07-25,36.099998474121094
2018-09-27,36.09000015258789
2018-10-29,35.630001068115234
2019-10-16,35.290000915527344
2019-12-16,35.939998626708984
2020-03-04,36.16999816894531
2020-05-22,35.5099983215332
2019-10-01,35.040000915527344
2019-12-19,33.45000076293945
2018-09-10,33.099998474121094
2019-05-24,33.59000015258789
2018-08-09,34.63999938964844
2019-04-22,34.7400016784668
2019-03-21,34.150001525878906
2019-01-16,35.13999938964844
2019-08-28,35.560001373291016
2018-11-13,36.790000915527344
2018-10-12,37.959999084472656
2019-06-25,38.11000061035156
2020-03-10,39.369998931884766
2020-05-28,39.11000061035156
2019-10-07,39.29999923706055
2020-03-13,38.5099983215332
2019-10-10,38.43000030517578
2020-03-16,37.47999954223633
2020-06-03,37.709999084472656
2018-11-28,37.0
2018-09-25,37.13999938964844
2018-07-23,37.310001373291016
2018-08-24,38.56999969482422
2019-07-10,36.529998779296875
2019-05-07,35.869998931884766
2019-04-05,36.70000076293945
2019-03-04,37.650001525878906
2019-01-31,38.54999923706055
2019-09-12,37.900001525878906
2019-12-31,37.70000076293945
2020-03-19,38.209999084472656
2020-01-03,37.29999923706055
2020-06-09,37.970001220703125
2019-02-15,37.650001525878906
2019-01-14,38.25
2018-07-06,40.720001220703125
2018-08-07,39.63999938964844
2018-10-10,39.91999816894531
2018-12-13,40.0
2019-08-26,40.2400016784668
2019-07-25,39.349998474121094
2019-05-22,40.4900016784668
2019-03-19,41.04999923706055
2020-01-06,40.4900016784668
2020-03-25,40.630001068115234
2020-06-12,39.56999969482422
2019-10-22,39.16999816894531
2020-01-09,39.040000915527344
2020-06-15,39.9900016784668
2019-10-25,39.11000061035156
2020-03-31,39.34000015258789
2020-06-18,40.34000015258789
2019-04-03,40.380001068115234
2018-08-22,41.25
2018-10-25,41.400001525878906
2019-01-29,40.86000061035156
2018-12-28,41.099998474121094
2018-11-26,40.66999816894531
2019-08-09,40.459999084472656
2019-07-08,39.459999084472656
2019-06-06,39.400001525878906
2019-09-10,40.470001220703125
2020-01-15,40.790000915527344
2020-04-03,41.91999816894531
2019-10-31,42.13999938964844
2020-04-06,42.54999923706055
2020-06-24,41.849998474121094
2018-11-09,41.56999969482422
2019-07-23,41.72999954223633
2019-06-21,42.0
2019-05-20,41.72999954223633
2019-04-18,42.959999084472656
2018-09-06,43.47999954223633
2018-10-08,43.52000045776367
2019-02-13,43.540000915527344
2018-12-11,43.79999923706055
2019-09-25,44.939998626708984
2020-01-21,45.56999969482422
2020-04-09,45.58000183105469
2019-11-06,45.619998931884766
2020-01-24,45.79999923706055
2020-01-27,46.0
2020-04-15,46.119998931884766
2018-12-26,46.41999816894531
2019-08-07,43.91999816894531
2019-06-04,44.290000915527344
2018-09-21,43.869998931884766
2018-07-19,44.029998779296875
2018-08-20,44.61000061035156
2018-10-23,44.369998931884766
2019-05-03,44.61000061035156
2019-04-01,43.560001373291016
2019-02-28,43.959999084472656
2019-11-12,43.77000045776367
2020-01-30,43.13999938964844
2019-11-15,43.279998779296875
2020-04-21,42.91999816894531
2019-04-16,43.209999084472656
2019-03-15,43.7599983215332
2019-02-11,44.38999938964844
2019-01-10,44.5099983215332
2019-08-22,44.400001525878906
2018-11-07,43.36000061035156
2018-08-03,43.13999938964844
2018-09-04,43.540000915527344
2019-06-19,43.790000915527344
2019-09-23,44.66999816894531
2019-11-18,44.02000045776367
2020-02-05,43.400001525878906
2020-04-24,43.689998626708984
2019-03-29,42.689998626708984
2019-11-21,43.720001220703125
2020-04-27,44.689998626708984
2020-02-11,44.81999969482422
2020-04-30,45.2400016784668
2019-05-01,45.790000915527344
2019-02-26,45.720001220703125
2019-01-25,44.93000030517578
2018-12-24,45.27000045776367
2019-09-06,45.36000061035156
2018-07-17,45.9900016784668
2018-09-19,46.09000015258789
2019-08-05,45.63999938964844
2019-10-08,45.540000915527344
2019-12-11,45.65999984741211
2019-11-27,44.77000045776367
2020-02-14,45.209999084472656
2020-05-06,42.439998626708984
2019-01-08,42.709999084472656
2018-12-07,43.11000061035156
2019-08-20,43.72999954223633
2018-11-05,43.75
2019-07-19,44.13999938964844
2018-10-04,43.9900016784668
2019-06-17,43.400001525878906
2019-05-16,43.90999984741211
2018-08-01,44.54999923706055
2019-03-13,44.810001373291016
2019-12-03,44.68000030517578
2020-02-20,45.560001373291016
2019-12-06,45.11000061035156
2020-05-12,45.65999984741211
2019-12-09,45.209999084472656
2020-02-26,45.41999816894531
2020-05-15,45.209999084472656
2019-03-28,44.849998474121094
2018-09-17,43.599998474121094
2018-08-16,44.119998931884766
2018-10-19,44.56999969482422
2019-04-29,44.439998626708984
2019-01-23,44.29999923706055
2019-09-04,46.880001068115234
2018-11-20,46.209999084472656
2019-07-02,46.88999938964844
2019-05-31,46.38999938964844
2019-12-12,45.9900016784668
2020-05-18,45.86000061035156
2019-09-27,47.77000045776367
2020-03-03,47.63999938964844
2020-05-21,47.08000183105469
2019-05-14,47.130001068115234
2018-08-31,47.279998779296875
2018-07-30,47.310001373291016
2018-10-02,47.31999969482422
2019-04-12,48.0
2019-03-11,48.41999816894531
2019-02-07,49.0099983215332
2019-07-17,49.7599983215332
2019-09-19,50.38999938964844
2019-10-21,49.150001525878906
2019-12-18,49.66999816894531
2020-03-06,48.81999969482422
2019-10-03,49.34000015258789
2020-03-09,49.56999969482422
2020-05-27,49.150001525878906
2019-12-24,49.939998626708984
2020-03-12,50.83000183105469
2018-12-20,50.130001068115234
2019-08-01,50.20000076293945
2018-08-14,49.369998931884766
2018-07-13,49.720001220703125
2018-10-17,49.7599983215332
2019-05-29,50.22999954223633
2019-03-26,49.45000076293945
2019-02-22,49.060001373291016
2019-10-04,49.65999984741211
2019-11-05,50.779998779296875
2019-12-27,50.93000030517578
2020-06-02,51.5
2019-12-30,52.189998626708984
2020-03-18,52.150001525878906
2020-06-05,52.93000030517578
2019-07-15,52.5099983215332
2018-12-03,52.22999954223633
2019-06-13,52.61000061035156
2019-01-04,52.099998474121094
2018-08-29,51.5
2019-02-05,51.5099983215332
2018-11-01,52.38999938964844
2019-08-16,52.09000015258789
2019-04-10,53.25
2019-09-17,52.459999084472656
2019-10-15,52.93000030517578
2020-01-02,52.16999816894531
2020-06-08,52.470001220703125
