Dates,DHI
2018-06-20,42.02000045776367
2018-06-21,41.95000076293945
2018-06-25,41.439998626708984
2018-06-22,40.7599983215332
2018-06-26,41.869998931884766
2018-06-27,40.77000045776367
2018-06-28,40.5099983215332
2018-06-29,41.61000061035156
2018-07-02,41.099998474121094
2018-07-03,41.63999938964844
2018-07-05,41.5099983215332
2018-07-16,41.7400016784668
2018-09-18,42.130001068115234
2019-01-24,42.09000015258789
2019-09-05,41.63999938964844
2018-11-21,41.970001220703125
2020-01-13,41.7400016784668
2020-04-01,42.09000015258789
2020-06-19,43.349998474121094
2019-10-29,43.34000015258789
2020-01-16,43.720001220703125
2020-06-22,43.20000076293945
2018-10-03,42.720001220703125
2018-07-31,41.9900016784668
2019-03-12,40.369998931884766
2019-02-08,44.130001068115234
2019-01-07,44.91999816894531
2018-12-06,44.58000183105469
2019-08-19,44.400001525878906
2019-07-18,44.290000915527344
2019-05-15,44.2400016784668
2019-09-20,44.040000915527344
2019-11-01,43.84000015258789
2020-04-07,44.45000076293945
2020-06-25,44.4900016784668
2020-06-16,45.45000076293945
2019-11-04,45.20000076293945
2020-01-22,44.93000030517578
2019-11-07,44.459999084472656
2020-04-13,44.13999938964844
2019-07-01,44.83000183105469
2019-05-30,44.81999969482422
2018-08-15,45.09000015258789
2018-10-18,46.90999984741211
2019-03-27,46.540000915527344
2019-01-22,45.630001068115234
2018-12-21,45.27000045776367
2019-09-03,45.58000183105469
2018-11-19,45.599998474121094
2019-08-02,45.54999923706055
2020-01-28,45.41999816894531
2020-04-16,44.849998474121094
2019-11-13,44.900001525878906
2020-01-31,45.29999923706055
2018-12-04,45.720001220703125
2018-11-02,44.52000045776367
2019-07-16,43.33000183105469
2018-08-30,43.77000045776367
2018-10-01,43.66999816894531
2019-06-14,43.90999984741211
2019-05-13,43.15999984741211
2019-04-11,43.15999984741211
2019-02-06,43.63999938964844
2019-09-18,43.54999923706055
2020-02-03,43.0099983215332
2020-04-22,42.619998931884766
2019-11-19,42.40999984741211
2020-02-06,43.15999984741211
2019-11-22,43.619998931884766
2019-03-25,42.43000030517578
2019-02-21,42.689998626708984
2018-12-19,42.79999923706055
2018-07-12,42.93000030517578
2018-09-14,42.86000061035156
2018-08-13,41.47999954223633
2018-10-16,40.86000061035156
2019-07-31,40.86000061035156
2019-05-28,40.7599983215332
2019-04-26,39.619998931884766
2020-04-28,39.02000045776367
2019-11-25,38.400001525878906
2020-02-12,37.9900016784668
2020-05-01,38.66999816894531
2020-05-04,38.349998474121094
2019-06-12,37.9900016784668
2019-04-09,37.4900016784668
2019-03-08,36.099998474121094
2019-02-04,36.34000015258789
2018-07-27,36.34000015258789
2018-08-28,35.90999984741211
2019-01-03,37.130001068115234
2019-08-15,36.790000915527344
2018-10-31,36.40999984741211
2019-09-16,36.810001373291016
2020-02-18,37.369998931884766
2020-05-07,37.29999923706055
2018-08-17,37.38999938964844
2019-12-04,37.599998474121094
2020-02-21,37.93000030517578
2018-12-17,36.22999954223633
2019-08-30,35.040000915527344
2018-11-15,34.4900016784668
2019-07-29,34.90999984741211
2019-06-27,35.52000045776367
2019-04-24,33.959999084472656
2018-07-10,34.91999816894531
2018-09-12,35.150001525878906
2019-02-19,35.290000915527344
2019-01-18,36.0099983215332
2020-02-24,36.16999816894531
2020-05-13,36.38999938964844
2019-12-10,36.650001525878906
2020-02-27,37.31999969482422
2019-12-13,37.720001220703125
2020-05-19,37.5
2019-03-06,38.11000061035156
2018-11-30,37.7599983215332
2019-08-13,37.06999969482422
2019-07-12,37.810001373291016
2019-06-10,36.959999084472656
2019-05-09,36.58000183105469
2018-07-25,36.52000045776367
2018-09-27,36.47999954223633
2018-10-29,36.619998931884766
2019-10-16,35.9900016784668
2019-12-16,36.70000076293945
2020-03-04,37.06999969482422
2020-05-22,36.220001220703125
2019-10-01,35.650001525878906
2019-12-19,33.709999084472656
2018-09-10,34.2400016784668
2019-05-24,34.56999969482422
2018-08-09,35.380001068115234
2019-04-22,35.029998779296875
2019-03-21,35.560001373291016
2019-01-16,35.81999969482422
2019-08-28,36.869998931884766
2018-11-13,38.119998931884766
2018-10-12,38.0099983215332
2019-06-25,39.970001220703125
2020-03-10,39.630001068115234
2020-05-28,40.130001068115234
2019-10-07,39.41999816894531
2020-03-13,39.0099983215332
2019-10-10,38.529998779296875
2020-03-16,37.959999084472656
2020-06-03,37.810001373291016
2018-11-28,37.119998931884766
2018-09-25,37.65999984741211
2018-07-23,38.470001220703125
2018-08-24,39.209999084472656
2019-07-10,37.459999084472656
2019-05-07,36.7400016784668
2019-04-05,37.63999938964844
2019-03-04,38.9900016784668
2019-01-31,39.20000076293945
2019-09-12,38.209999084472656
2019-12-31,38.43000030517578
2020-03-19,38.33000183105469
2020-01-03,38.470001220703125
2020-06-09,38.25
2019-02-15,37.84000015258789
2019-01-14,40.66999816894531
2018-07-06,41.13999938964844
2018-08-07,40.11000061035156
2018-10-10,40.220001220703125
2018-12-13,40.86000061035156
2019-08-26,40.52000045776367
2019-07-25,40.279998779296875
2019-05-22,41.040000915527344
2019-03-19,41.47999954223633
2020-01-06,41.130001068115234
2020-03-25,40.720001220703125
2020-06-12,40.15999984741211
2019-10-22,39.279998779296875
2020-01-09,40.04999923706055
2020-06-15,40.0
2019-10-25,39.38999938964844
2020-03-31,40.61000061035156
2020-06-18,40.970001220703125
2019-04-03,41.2400016784668
2018-08-22,41.470001220703125
2018-10-25,41.77000045776367
2019-01-29,41.040000915527344
2018-12-28,41.529998779296875
2018-11-26,41.0
2019-08-09,40.65999984741211
