Dates,AON
2018-06-20,137.49000549316406
2018-06-21,136.25
2018-06-25,135.32000732421875
2018-06-22,136.47999572753906
2018-06-26,137.35000610351562
2018-06-27,134.94000244140625
2018-06-28,134.82000732421875
2018-06-29,136.2899932861328
2018-07-02,136.55999755859375
2018-07-03,136.92999267578125
2018-07-05,136.9199981689453
2018-07-16,138.3300018310547
2018-09-18,139.88999938964844
2019-01-24,142.22000122070312
2019-09-05,141.82000732421875
2018-11-21,142.7899932861328
2020-01-13,143.47000122070312
2020-04-01,144.25999450683594
2020-06-19,144.5399932861328
2019-10-29,145.25999450683594
2020-01-16,145.9499969482422
2020-06-22,145.5800018310547
2018-10-03,145.64999389648438
2018-07-31,146.75999450683594
2019-03-12,146.50999450683594
2019-02-08,147.2100067138672
2019-01-07,144.1999969482422
2018-12-06,143.25999450683594
2019-08-19,142.25
2019-07-18,142.10000610351562
2019-05-15,139.9499969482422
2019-09-20,141.0
2019-11-01,142.99000549316406
2020-04-07,143.2899932861328
2020-06-25,142.77999877929688
2020-06-16,142.6999969482422
2019-11-04,141.13999938964844
2020-01-22,139.7899932861328
2019-11-07,139.9499969482422
2020-04-13,140.08999633789062
2019-07-01,141.42999267578125
2019-05-30,142.7899932861328
2018-08-15,142.94000244140625
2018-10-18,142.67999267578125
2019-03-27,142.67999267578125
2019-01-22,142.82000732421875
2018-12-21,143.16000366210938
2019-09-03,144.6199951171875
2018-11-19,144.67999267578125
2019-08-02,144.8300018310547
2020-01-28,143.89999389648438
2020-04-16,143.8800048828125
2019-11-13,144.83999633789062
2020-01-31,146.74000549316406
2018-12-04,147.89999389648438
2018-11-02,149.67999267578125
2019-07-16,149.6300048828125
2018-08-30,149.35000610351562
2018-10-01,150.52999877929688
2019-06-14,151.08999633789062
2019-05-13,150.83999633789062
2019-04-11,151.16000366210938
2019-02-06,150.97999572753906
2019-09-18,152.75999450683594
2020-02-03,154.75999450683594
2020-04-22,155.30999755859375
2019-11-19,154.6699981689453
2020-02-06,155.13999938964844
2019-11-22,154.25999450683594
2019-03-25,154.33999633789062
2019-02-21,153.6300048828125
2018-12-19,153.86000061035156
2018-07-12,154.85000610351562
2018-09-14,156.35000610351562
2018-08-13,156.6300048828125
2018-10-16,155.30999755859375
2019-07-31,154.97999572753906
2019-05-28,155.08999633789062
2019-04-26,151.11000061035156
2020-04-28,148.14999389648438
2019-11-25,146.22999572753906
2020-02-12,147.0
2020-05-01,147.5
2020-05-04,149.2100067138672
2019-06-12,148.69000244140625
2019-04-09,149.4199981689453
2019-03-08,151.02999877929688
2019-02-04,147.82000732421875
2018-07-27,146.02999877929688
2018-08-28,146.9600067138672
2019-01-03,149.6300048828125
2019-08-15,153.7100067138672
2018-10-31,154.60000610351562
2019-09-16,156.0800018310547
2020-02-18,154.02999877929688
2020-05-07,154.1699981689453
2018-08-17,155.9499969482422
2019-12-04,157.9600067138672
2020-02-21,159.80999755859375
2018-12-17,162.7100067138672
2019-08-30,163.88999938964844
2018-11-15,162.63999938964844
2019-07-29,162.3300018310547
2019-06-27,160.52999877929688
2019-04-24,160.14999389648438
2018-07-10,161.80999755859375
2018-09-12,163.5800018310547
2019-02-19,161.08999633789062
2019-01-18,161.05999755859375
2020-02-24,160.02000427246094
2020-05-13,160.83999633789062
2019-12-10,159.83999633789062
2020-02-27,161.07000732421875
2019-12-13,163.07000732421875
2020-05-19,163.63999938964844
2019-03-06,163.00999450683594
2018-11-30,162.35000610351562
2019-08-13,156.27999877929688
2019-07-12,158.2100067138672
2019-06-10,155.61000061035156
2019-05-09,154.89999389648438
2018-07-25,155.35000610351562
2018-09-27,154.1300048828125
2018-10-29,153.10000610351562
2019-10-16,149.75
2019-12-16,149.19000244140625
2020-03-04,147.8699951171875
2020-05-22,144.86000061035156
2019-10-01,140.63999938964844
2019-12-19,137.44000244140625
2018-09-10,135.3000030517578
2019-05-24,138.02999877929688
2018-08-09,142.47999572753906
2019-04-22,143.67999267578125
2019-03-21,142.75
2019-01-16,141.6300048828125
2019-08-28,141.8000030517578
2018-11-13,143.49000549316406
2018-10-12,141.8800048828125
2019-06-25,144.7899932861328
2020-03-10,144.39999389648438
2020-05-28,145.14999389648438
2019-10-07,146.3300018310547
2020-03-13,147.1999969482422
2019-10-10,148.75
2020-03-16,150.36000061035156
2020-06-03,152.6699981689453
2018-11-28,152.67999267578125
2018-09-25,152.49000549316406
2018-07-23,152.99000549316406
2018-08-24,153.7100067138672
2019-07-10,152.1699981689453
2019-05-07,151.64999389648438
2019-04-05,152.4499969482422
2019-03-04,153.1699981689453
2019-01-31,157.5399932861328
2019-09-12,165.16000366210938
2019-12-31,166.3699951171875
2020-03-19,166.6699981689453
2020-01-03,164.69000244140625
2020-06-09,166.38999938964844
2019-02-15,168.25999450683594
2019-01-14,170.4199981689453
2018-07-06,171.24000549316406
2018-08-07,169.5800018310547
2018-10-10,170.2899932861328
