Dates,AON
2018-06-20,137.60000610351562
2018-06-21,136.5500030517578
2018-06-25,137.13999938964844
2018-06-22,137.6999969482422
2018-06-26,137.75
2018-06-27,134.99000549316406
2018-06-28,136.17999267578125
2018-06-29,137.1699981689453
2018-07-02,137.25
2018-07-03,137.0800018310547
2018-07-05,138.22000122070312
2018-07-16,139.6199951171875
2018-09-18,142.52999877929688
2019-01-24,142.82000732421875
2019-09-05,142.49000549316406
2018-11-21,143.8800048828125
2020-01-13,144.1999969482422
2020-04-01,145.2100067138672
2020-06-19,145.6199951171875
2019-10-29,147.33999633789062
2020-01-16,146.14999389648438
2020-06-22,146.16000366210938
2018-10-03,147.19000244140625
2018-07-31,147.1999969482422
2019-03-12,147.7100067138672
2019-02-08,148.19000244140625
2019-01-07,144.5
2018-12-06,143.38999938964844
2019-08-19,143.5500030517578
2019-07-18,142.32000732421875
2019-05-15,141.39999389648438
2019-09-20,143.1199951171875
2019-11-01,143.77999877929688
2020-04-07,143.4199981689453
2020-06-25,143.3800048828125
2020-06-16,142.97999572753906
2019-11-04,141.75999450683594
2020-01-22,140.47999572753906
2019-11-07,140.85000610351562
2020-04-13,141.1199951171875
2019-07-01,142.82000732421875
2019-05-30,143.4499969482422
2018-08-15,143.00999450683594
2018-10-18,144.36000061035156
2019-03-27,143.13999938964844
2019-01-22,143.16000366210938
2018-12-21,145.44000244140625
2019-09-03,145.3300018310547
2018-11-19,145.0500030517578
2019-08-02,146.13999938964844
2020-01-28,144.3800048828125
2020-04-16,145.55999755859375
2019-11-13,146.8699951171875
2020-01-31,147.72999572753906
2018-12-04,150.42999267578125
2018-11-02,150.02000427246094
2019-07-16,149.74000549316406
2018-08-30,151.02000427246094
2018-10-01,151.0800018310547
2019-06-14,151.41000366210938
2019-05-13,151.97000122070312
2019-04-11,152.14999389648438
2019-02-06,152.8800048828125
2019-09-18,155.24000549316406
2020-02-03,155.16000366210938
2020-04-22,156.47000122070312
2019-11-19,155.16000366210938
2020-02-06,155.80999755859375
2019-11-22,154.63999938964844
2019-03-25,155.67999267578125
2019-02-21,153.77999877929688
2018-12-19,154.85000610351562
2018-07-12,156.25
2018-09-14,156.88999938964844
2018-08-13,157.4199981689453
2018-10-16,155.52000427246094
2019-07-31,156.2100067138672
2019-05-28,157.1199951171875
2019-04-26,151.13999938964844
2020-04-28,148.22000122070312
2019-11-25,147.83999633789062
2020-02-12,147.17999267578125
2020-05-01,149.85000610351562
2020-05-04,150.4600067138672
2019-06-12,149.50999450683594
2019-04-09,151.10000610351562
2019-03-08,151.44000244140625
2019-02-04,149.50999450683594
2018-07-27,146.3000030517578
2018-08-28,149.97999572753906
2019-01-03,152.30999755859375
2019-08-15,155.19000244140625
2018-10-31,158.6999969482422
2019-09-16,156.17999267578125
2020-02-18,155.6999969482422
2020-05-07,156.17999267578125
2018-08-17,158.17999267578125
2019-12-04,159.58999633789062
2020-02-21,163.0500030517578
2018-12-17,164.8300018310547
2019-08-30,164.5399932861328
2018-11-15,162.88999938964844
2019-07-29,163.3000030517578
2019-06-27,162.02000427246094
2019-04-24,163.05999755859375
2018-07-10,164.0500030517578
2018-09-12,165.5800018310547
2019-02-19,161.6699981689453
2019-01-18,161.07000732421875
2020-02-24,161.25
2020-05-13,162.00999450683594
2019-12-10,161.47999572753906
2020-02-27,163.99000549316406
2019-12-13,163.67999267578125
2020-05-19,165.11000061035156
2019-03-06,164.97000122070312
2018-11-30,162.72000122070312
2019-08-13,160.55999755859375
2019-07-12,158.72999572753906
2019-06-10,157.72999572753906
2019-05-09,155.75
2018-07-25,155.39999389648438
2018-09-27,156.10000610351562
2018-10-29,153.8300018310547
2019-10-16,150.3699951171875
2019-12-16,150.30999755859375
2020-03-04,148.30999755859375
2020-05-22,145.77000427246094
2019-10-01,141.25
2019-12-19,137.44000244140625
2018-09-10,140.2899932861328
2019-05-24,143.1300048828125
2018-08-09,143.6999969482422
2019-04-22,145.36000061035156
2019-03-21,144.0399932861328
2019-01-16,141.8800048828125
2019-08-28,144.5500030517578
2018-11-13,144.22999572753906
2018-10-12,144.9199981689453
2019-06-25,145.1300048828125
2020-03-10,147.6300048828125
2020-05-28,147.25
2019-10-07,147.61000061035156
2020-03-13,149.67999267578125
2019-10-10,150.99000549316406
2020-03-16,152.5
2020-06-03,154.41000366210938
2018-11-28,153.6999969482422
2018-09-25,154.05999755859375
2018-07-23,153.91000366210938
2018-08-24,154.38999938964844
2019-07-10,153.6699981689453
2019-05-07,152.39999389648438
2019-04-05,154.5
2019-03-04,156.22999572753906
2019-01-31,167.4600067138672
2019-09-12,166.8000030517578
2019-12-31,168.75
2020-03-19,168.35000610351562
2020-01-03,166.8800048828125
2020-06-09,168.1699981689453
2019-02-15,170.75999450683594
2019-01-14,171.27999877929688
2018-07-06,172.9600067138672
2018-08-07,169.6199951171875
2018-10-10,171.97000122070312
2018-12-13,172.66000366210938
2019-08-26,172.8000030517578
