Dates,HSIC
2018-08-20,1696000.0
2018-10-23,2295900.0
2019-05-03,1916500.0
2019-04-01,2361300.0
2019-02-28,4688300.0
2019-11-12,3071700.0
2020-01-30,2626000.0
2019-11-15,2229300.0
2020-04-21,1567200.0
2019-04-16,886600.0
2019-03-15,1473100.0
2019-02-11,972300.0
2019-01-10,1972700.0
2019-08-22,1727200.0
2018-11-07,1543000.0
2018-08-03,1291300.0
2018-09-04,1492700.0
2019-06-19,1262400.0
2019-09-23,2207600.0
2019-11-18,1542700.0
2020-02-05,987700.0
2020-04-24,1329500.0
2019-03-29,1169800.0
2019-11-21,1181000.0
2020-04-27,1115200.0
2020-02-11,1493600.0
2020-04-30,1698000.0
2019-05-01,991300.0
2019-02-26,1376000.0
2019-01-25,1342500.0
2018-12-24,669800.0
2019-09-06,654500.0
2018-07-17,642900.0
2018-09-19,1057700.0
2019-08-05,1231800.0
2019-10-08,1446700.0
2019-12-11,2531600.0
2019-11-27,1143100.0
2020-02-14,1481000.0
2020-05-06,1282200.0
2019-01-08,1311000.0
2018-12-07,1774700.0
2019-08-20,1591300.0
2018-11-05,1000000.0
2019-07-19,832000.0
2018-10-04,971700.0
2019-06-17,826900.0
2019-05-16,1081800.0
2018-08-01,925100.0
2019-03-13,1560700.0
2019-12-03,2144100.0
2020-02-20,1526900.0
2019-12-06,2760300.0
2020-05-12,1137500.0
2019-12-09,1109800.0
2020-02-26,1353700.0
2020-05-15,1119000.0
2019-03-28,938700.0
2018-09-17,819100.0
2018-08-16,798500.0
2018-10-19,867500.0
2019-04-29,879200.0
2019-01-23,806000.0
2019-09-04,1669700.0
2018-11-20,1303000.0
2019-07-02,1262800.0
2019-05-31,2026800.0
2019-12-12,3141900.0
2020-05-18,3178800.0
2019-09-27,1262500.0
2020-03-03,1419000.0
2020-05-21,1168400.0
2019-05-14,1736900.0
2018-08-31,2071200.0
2018-07-30,1794700.0
2018-10-02,1030100.0
2019-04-12,855900.0
2019-03-11,1264800.0
2019-02-07,960100.0
2019-07-17,902800.0
2019-09-19,1095000.0
2019-10-21,849500.0
2019-12-18,1277100.0
2020-03-06,1209900.0
2019-10-03,1003300.0
2020-03-09,1104700.0
2020-05-27,1139700.0
2019-12-24,713100.0
2020-03-12,928200.0
2018-12-20,1463500.0
2019-08-01,909600.0
2018-08-14,1523200.0
2018-07-13,1479300.0
2018-10-17,1473400.0
2019-05-29,1323400.0
2019-03-26,1006200.0
2019-02-22,1363200.0
2019-10-04,938600.0
2019-11-05,651800.0
2019-12-27,1671300.0
2020-06-02,669900.0
2019-12-30,951600.0
2020-03-18,659100.0
2020-06-05,752900.0
2019-07-15,810000.0
2018-12-03,964300.0
2019-06-13,871000.0
2019-01-04,945500.0
2018-08-29,790800.0
2019-02-05,869300.0
2018-11-01,584700.0
2019-08-16,953800.0
2019-04-10,778700.0
2019-09-17,765300.0
2019-10-15,926300.0
2020-01-02,919800.0
2020-06-08,905500.0
2019-10-18,1627500.0
2020-03-24,1177600.0
2020-06-11,1255700.0
2020-01-08,980200.0
2019-04-25,956100.0
2019-07-30,1064700.0
2019-02-20,900100.0
2018-07-11,754900.0
2018-09-13,691000.0
2018-10-15,847200.0
2019-06-28,655700.0
2018-12-18,864400.0
2018-11-16,917000.0
2019-10-02,2221600.0
2020-03-27,3110200.0
2020-01-10,1589900.0
2019-10-24,1148900.0
2020-03-30,905200.0
2020-06-17,823100.0
2020-01-14,801900.0
2020-04-02,580500.0
2019-01-02,552900.0
2019-08-14,1031800.0
2018-10-30,800100.0
2019-06-11,849500.0
2019-05-10,1665500.0
2019-04-08,1297000.0
2018-08-27,614300.0
2018-07-26,625700.0
2018-09-28,1085200.0
2019-03-07,1015300.0
2019-10-30,653600.0
2020-01-17,1189300.0
2020-06-23,1060400.0
2020-04-08,1166500.0
2020-06-26,917800.0
2019-03-22,903700.0
2019-01-17,853400.0
2019-08-29,1075900.0
2018-11-14,691400.0
2019-06-26,714700.0
2018-09-11,874900.0
2018-07-09,1244100.0
2018-08-10,902500.0
2019-04-23,1195400.0
2019-09-30,1816900.0
2020-01-23,6929200.0
2019-11-08,1167200.0
2020-04-14,290700.0
2019-11-11,564900.0
2020-01-29,571300.0
2020-04-17,764400.0
2018-07-24,758300.0
2018-09-26,987600.0
2019-05-08,663400.0
2019-03-05,696300.0
2019-02-01,790700.0
2018-12-31,730300.0
2018-11-29,1551400.0
2019-08-12,749000.0
2019-07-11,672800.0
2019-09-13,1114900.0
2019-11-14,893500.0
2020-04-20,786800.0
2020-02-04,783600.0
2020-04-23,1255100.0
2018-12-14,692900.0
2019-08-27,664600.0
2018-08-08,1310600.0
2018-10-11,1553900.0
2018-11-12,916100.0
2019-07-26,743300.0
2019-06-24,1321200.0
2019-05-23,1103900.0
2019-03-20,696700.0
2019-01-15,796300.0
2019-11-20,1029600.0
2020-02-07,726700.0
2020-02-10,739900.0
2020-04-29,604600.0
2019-11-26,497600.0
2020-02-13,830400.0
2019-01-30,870700.0
2018-08-23,645900.0
2018-09-24,1893300.0
2018-11-27,1646500.0
2018-10-26,3952500.0
2019-07-09,1781200.0
2019-06-07,1427800.0
