Dates,DIS
2018-09-21,25746100.0
2018-07-19,15253100.0
2018-08-20,8906700.0
2018-10-23,16580400.0
2019-05-03,8874400.0
2019-04-01,9955600.0
2019-02-28,10972700.0
2019-11-12,15423500.0
2020-01-30,15297100.0
2019-11-15,9858500.0
2020-04-21,11389900.0
2019-04-16,12001700.0
2019-03-15,9734100.0
2019-02-11,9689400.0
2019-01-10,8964200.0
2019-08-22,8009000.0
2018-11-07,7050300.0
2018-08-03,5093700.0
2018-09-04,6743300.0
2019-06-19,4570100.0
2019-09-23,8938400.0
2019-11-18,7749600.0
2020-02-05,5274000.0
2020-04-24,7420700.0
2019-03-29,7901400.0
2019-11-21,8247500.0
2020-04-27,6842800.0
2020-02-11,6027300.0
2020-04-30,7026300.0
2019-05-01,8479500.0
2019-02-26,6352200.0
2019-01-25,5536400.0
2018-12-24,17939500.0
2019-09-06,11125200.0
2018-07-17,8542700.0
2018-09-19,11231400.0
2019-08-05,6877100.0
2019-10-08,8485800.0
2019-12-11,14150000.0
2019-11-27,10497400.0
2020-02-14,14675400.0
2020-05-06,8842100.0
2019-01-08,6466300.0
2018-12-07,20078800.0
2019-08-20,8996500.0
2018-11-05,7554100.0
2019-07-19,4150900.0
2018-10-04,5596000.0
2019-06-17,4993900.0
2019-05-16,7396300.0
2018-08-01,9533700.0
2019-03-13,10471100.0
2019-12-03,8510000.0
2020-02-20,5289200.0
2019-12-06,5854700.0
2020-05-12,5296400.0
2019-12-09,8035500.0
2020-02-26,6109900.0
2020-05-15,7706400.0
2019-03-28,7514500.0
2018-09-17,5896600.0
2018-08-16,7294400.0
2018-10-19,8139400.0
2019-04-29,11674100.0
2019-01-23,6563100.0
2019-09-04,9710700.0
2018-11-20,8911700.0
2019-07-02,6539100.0
2019-05-31,10669700.0
2019-12-12,18818900.0
2020-05-18,29084500.0
2019-09-27,14054800.0
2020-03-03,8811900.0
2020-05-21,7473300.0
2019-05-14,8145400.0
2018-08-31,11797700.0
2018-07-30,7590100.0
2018-10-02,6353800.0
2019-04-12,11741800.0
2019-03-11,8628000.0
2019-02-07,6325000.0
2019-07-17,6967100.0
2019-09-19,10190900.0
2019-10-21,8093800.0
2019-12-18,6013600.0
2020-03-06,5950500.0
2019-10-03,6532700.0
2020-03-09,5622200.0
2020-05-27,5997400.0
2019-12-24,4285400.0
2020-03-12,5143500.0
2018-12-20,4090000.0
2019-08-01,5458700.0
2018-08-14,10974600.0
2018-07-13,7896400.0
2018-10-17,7333900.0
2019-05-29,5209100.0
2019-03-26,6329300.0
2019-02-22,4726500.0
2019-10-04,6857900.0
2019-11-05,12216100.0
2019-12-27,25231600.0
2020-06-02,6096100.0
2019-12-30,11904000.0
2020-03-18,6523000.0
2020-06-05,11615100.0
2019-07-15,8401300.0
2018-12-03,5532500.0
2019-06-13,5978500.0
2019-01-04,8296100.0
2018-08-29,8498700.0
2019-02-05,6732900.0
2018-11-01,5784100.0
2019-08-16,6526000.0
2019-04-10,5004600.0
2019-09-17,4512000.0
2019-10-15,6559000.0
2020-01-02,3710300.0
2020-06-08,5914700.0
2019-10-18,7610800.0
2020-03-24,8005100.0
2020-06-11,8694000.0
2020-01-08,6257100.0
2019-04-25,9291600.0
2019-07-30,5970800.0
2019-02-20,5746300.0
2018-07-11,6696000.0
2018-09-13,8940300.0
2018-10-15,9305100.0
2019-06-28,10880000.0
2018-12-18,9628300.0
2018-11-16,8507600.0
2019-10-02,7631800.0
2020-03-27,7404500.0
2020-01-10,9132500.0
2019-10-24,18047600.0
2020-03-30,24175900.0
2020-06-17,10138400.0
2020-01-14,17284000.0
2020-04-02,45725400.0
2019-01-02,28393600.0
2019-08-14,13733400.0
2018-10-30,15353100.0
2019-06-11,11504300.0
2019-05-10,9448400.0
2019-04-08,6241400.0
2018-08-27,9639400.0
2018-07-26,11316800.0
2018-09-28,24949900.0
2019-03-07,6155400.0
2019-10-30,6284900.0
2020-01-17,10351000.0
2020-06-23,9273800.0
2020-04-08,7684800.0
2020-06-26,7363300.0
2019-03-22,7084900.0
2019-01-17,11515000.0
2019-08-29,7084100.0
2018-11-14,8253700.0
2019-06-26,7748300.0
2018-09-11,9350100.0
2018-07-09,9134400.0
2018-08-10,8776100.0
2019-04-23,9467800.0
2019-09-30,10243900.0
2020-01-23,12629900.0
2019-11-08,9314000.0
2020-04-14,3508500.0
2019-11-11,4422000.0
2020-01-29,5495300.0
2020-04-17,6602800.0
2018-07-24,5662900.0
2018-09-26,9502100.0
2019-05-08,7320200.0
2019-03-05,8262500.0
2019-02-01,6906500.0
2018-12-31,6984200.0
