Dates,PNW
2018-06-20,754800.0
2018-06-21,556600.0
2018-06-25,818500.0
2018-06-22,888000.0
2018-06-26,1073600.0
2018-06-27,606700.0
2018-06-28,682600.0
2018-06-29,726600.0
2018-07-02,908700.0
2018-07-03,301100.0
2018-07-05,706500.0
2018-07-16,988300.0
2018-09-18,1495600.0
2019-01-24,1615300.0
2019-09-05,680800.0
2018-11-21,1110800.0
2020-01-13,701700.0
2020-04-01,752000.0
2020-06-19,489400.0
2019-10-29,923200.0
2020-01-16,941700.0
2020-06-22,653700.0
2018-10-03,670600.0
2018-07-31,1297300.0
2019-03-12,1295100.0
2019-02-08,701200.0
2019-01-07,548700.0
2018-12-06,617100.0
2019-08-19,918600.0
2019-07-18,805100.0
2019-05-15,808900.0
2019-09-20,1031600.0
2019-11-01,1494400.0
2020-04-07,931800.0
2020-06-25,651200.0
2020-06-16,501200.0
2019-11-04,567300.0
2020-01-22,705700.0
2019-11-07,697700.0
2020-04-13,801400.0
2019-07-01,1988500.0
2019-05-30,1510900.0
2018-08-15,753800.0
2018-10-18,781300.0
2019-03-27,590800.0
2019-01-22,769200.0
2018-12-21,570000.0
2019-09-03,748100.0
2018-11-19,1045200.0
2019-08-02,1121000.0
2020-01-28,1501900.0
2020-04-16,1254000.0
2019-11-13,965500.0
2020-01-31,1191000.0
2018-12-04,616700.0
2018-11-02,695300.0
2019-07-16,644900.0
2018-08-30,636700.0
2018-10-01,719900.0
2019-06-14,576300.0
2019-05-13,656100.0
2019-04-11,825700.0
2019-02-06,790200.0
2019-09-18,1156200.0
2020-02-03,769200.0
2020-04-22,1881800.0
2019-11-19,951000.0
2020-02-06,745300.0
2019-11-22,600200.0
2019-03-25,528700.0
2019-02-21,851100.0
2018-12-19,619600.0
2018-07-12,844600.0
2018-09-14,718200.0
2018-08-13,1045400.0
2018-10-16,913000.0
2019-07-31,854000.0
2019-05-28,945800.0
2019-04-26,1487700.0
2020-04-28,1259000.0
2019-11-25,866500.0
2020-02-12,1102700.0
2020-05-01,1503900.0
2020-05-04,1129300.0
2019-06-12,1318600.0
2019-04-09,1018800.0
2019-03-08,940900.0
2019-02-04,901700.0
2018-07-27,783700.0
2018-08-28,1026300.0
2019-01-03,945400.0
2019-08-15,962300.0
2018-10-31,699400.0
2019-09-16,1222700.0
2020-02-18,1301700.0
2020-05-07,864000.0
2018-08-17,1946800.0
2019-12-04,1159700.0
