Dates,BR
2018-06-20,153.13999938964844
2018-06-21,153.0
2018-06-25,151.83999633789062
2018-06-22,147.75
2018-06-26,143.1999969482422
2018-06-27,143.9600067138672
2018-06-28,140.94000244140625
2018-06-29,144.11000061035156
2018-07-02,141.88999938964844
2018-07-03,148.86000061035156
2018-07-05,149.9600067138672
2018-07-16,147.75999450683594
2018-09-18,149.66000366210938
2019-01-24,149.5
2019-09-05,149.1199951171875
2018-11-21,147.94000244140625
2020-01-13,149.3300018310547
2020-04-01,148.58999633789062
2020-06-19,146.80999755859375
2019-10-29,147.85000610351562
2020-01-16,148.9600067138672
2020-06-22,148.66000366210938
2018-10-03,145.6199951171875
2018-07-31,146.94000244140625
2019-03-12,144.07000732421875
2019-02-08,145.2100067138672
2019-01-07,146.5500030517578
2018-12-06,140.57000732421875
2019-08-19,136.66000366210938
2019-07-18,137.39999389648438
2019-05-15,136.6300048828125
2019-09-20,142.2899932861328
2019-11-01,142.25
2020-04-07,154.0
2020-06-25,165.77999877929688
2020-06-16,158.1699981689453
2019-11-04,161.19000244140625
2020-01-22,161.92999267578125
2019-11-07,163.0
2020-04-13,163.05999755859375
2019-07-01,164.5
2019-05-30,160.8800048828125
2018-08-15,164.6999969482422
2018-10-18,165.85000610351562
2019-03-27,168.86000061035156
2019-01-22,168.63999938964844
2018-12-21,169.8300018310547
2019-09-03,169.41000366210938
2018-11-19,170.75999450683594
2019-08-02,170.1699981689453
2020-01-28,170.9600067138672
2020-04-16,170.25999450683594
2019-11-13,171.30999755859375
2020-01-31,169.6199951171875
2018-12-04,167.63999938964844
2018-11-02,166.72999572753906
2019-07-16,167.94000244140625
2018-08-30,168.97999572753906
2018-10-01,172.10000610351562
2019-06-14,175.0800018310547
2019-05-13,178.00999450683594
2019-04-11,178.02999877929688
2019-02-06,176.35000610351562
2019-09-18,176.41000366210938
2020-02-03,173.92999267578125
2020-04-22,175.3000030517578
2019-11-19,174.25
2020-02-06,174.66000366210938
2019-11-22,177.50999450683594
2019-03-25,176.0399932861328
2019-02-21,177.4199981689453
2018-12-19,177.72000122070312
2018-07-12,173.4499969482422
2018-09-14,169.9600067138672
