Dates,BR
2018-06-20,152.72000122070312
2018-06-21,150.1999969482422
2018-06-25,147.75
2018-06-22,141.02999877929688
2018-06-26,141.36000061035156
2018-06-27,141.6699981689453
2018-06-28,140.07000732421875
2018-06-29,143.22000122070312
2018-07-02,140.60000610351562
2018-07-03,147.24000549316406
2018-07-05,147.32000732421875
2018-07-16,147.11000061035156
2018-09-18,148.61000061035156
2019-01-24,149.00999450683594
2019-09-05,146.1699981689453
2018-11-21,147.5500030517578
2020-01-13,148.5
2020-04-01,145.6999969482422
2020-06-19,145.64999389648438
2019-10-29,147.64999389648438
2020-01-16,147.69000244140625
2020-06-22,145.6999969482422
2018-10-03,144.07000732421875
2018-07-31,143.27999877929688
2019-03-12,143.02000427246094
2019-02-08,142.1999969482422
2019-01-07,139.39999389648438
2018-12-06,136.5
2019-08-19,136.16000366210938
2019-07-18,137.39999389648438
2019-05-15,136.6300048828125
2019-09-20,140.27999877929688
2019-11-01,141.07000732421875
2020-04-07,152.77000427246094
2020-06-25,156.83999633789062
2020-06-16,157.5399932861328
2019-11-04,160.3300018310547
2020-01-22,160.41000366210938
2019-11-07,157.00999450683594
2020-04-13,160.19000244140625
2019-07-01,161.47000122070312
2019-05-30,160.8800048828125
2018-08-15,163.52999877929688
2018-10-18,165.11000061035156
2019-03-27,167.75999450683594
2019-01-22,168.13999938964844
2018-12-21,168.25999450683594
2019-09-03,168.3800048828125
2018-11-19,168.3699951171875
2019-08-02,169.66000366210938
2020-01-28,169.66000366210938
2020-04-16,169.42999267578125
2019-11-13,168.5399932861328
2020-01-31,165.13999938964844
2018-12-04,165.1300048828125
2018-11-02,165.9600067138672
2019-07-16,166.85000610351562
2018-08-30,168.10000610351562
2018-10-01,171.77000427246094
2019-06-14,174.2899932861328
2019-05-13,175.64999389648438
2019-04-11,174.8800048828125
2019-02-06,174.9199981689453
2019-09-18,171.47999572753906
2020-02-03,172.2100067138672
2020-04-22,174.92999267578125
2019-11-19,172.3300018310547
2020-02-06,171.5500030517578
2019-11-22,175.13999938964844
2019-03-25,175.36000061035156
2019-02-21,176.55999755859375
2018-12-19,172.9199981689453
2018-07-12,167.86000061035156
2018-09-14,167.75
2018-08-13,162.6199951171875
2018-10-16,160.17999267578125
2019-07-31,155.89999389648438
2019-05-28,155.3699951171875
2019-04-26,149.10000610351562
2020-04-28,147.88999938964844
2019-11-25,151.75999450683594
2020-02-12,155.2100067138672
2020-05-01,160.0
2020-05-04,166.11000061035156
2019-06-12,166.42999267578125
2019-04-09,163.64999389648438
2019-03-08,164.0
2019-02-04,160.91000366210938
2018-07-27,159.38999938964844
2018-08-28,159.42999267578125
2019-01-03,157.2100067138672
2019-08-15,152.80999755859375
2018-10-31,154.60000610351562
2019-09-16,165.94000244140625
2020-02-18,165.85000610351562
2020-05-07,166.77000427246094
2018-08-17,165.7100067138672
2019-12-04,167.33999633789062
2020-02-21,174.02000427246094
2018-12-17,177.00999450683594
2019-08-30,179.6300048828125
2018-11-15,174.92999267578125
2019-07-29,175.47999572753906
2019-06-27,172.4600067138672
2019-04-24,171.19000244140625
2018-07-10,177.58999633789062
2018-09-12,168.6199951171875
2019-02-19,160.50999450683594
2019-01-18,162.41000366210938
2020-02-24,162.4600067138672
2020-05-13,166.3300018310547
2019-12-10,166.4600067138672
2020-02-27,169.8699951171875
2019-12-13,176.74000549316406
2020-05-19,176.8000030517578
2019-03-06,176.47000122070312
2018-11-30,170.5
2019-08-13,165.3300018310547
2019-07-12,163.17999267578125
2019-06-10,163.7100067138672
2019-05-09,168.6999969482422
2018-07-25,172.17999267578125
2018-09-27,170.82000732421875
2018-10-29,170.25999450683594
2019-10-16,158.32000732421875
2019-12-16,161.00999450683594
2020-03-04,158.39999389648438
2020-05-22,147.55999755859375
2019-10-01,146.0399932861328
2019-12-19,140.9499969482422
2018-09-10,143.52999877929688
2019-05-24,148.0399932861328
2018-08-09,153.44000244140625
2019-04-22,155.97999572753906
2019-03-21,152.27000427246094
2019-01-16,146.52000427246094
2019-08-28,149.64999389648438
2018-11-13,152.00999450683594
2018-10-12,152.1300048828125
2019-06-25,156.7899932861328
2020-03-10,157.3000030517578
2020-05-28,159.02000427246094
2019-10-07,160.61000061035156
2020-03-13,163.6199951171875
2019-10-10,166.1699981689453
2020-03-16,167.82000732421875
2020-06-03,175.74000549316406
2018-11-28,171.1300048828125
2018-09-25,172.02000427246094
2018-07-23,172.97000122070312
2018-08-24,175.27000427246094
2019-07-10,171.75
2019-05-07,170.52999877929688
2019-04-05,168.47000122070312
2019-03-04,170.0
2019-01-31,173.85000610351562
2019-09-12,175.25999450683594
2019-12-31,176.32000732421875
2020-03-19,179.1699981689453
2020-01-03,175.00999450683594
2020-06-09,174.99000549316406
2019-02-15,176.38999938964844
2019-01-14,179.89999389648438
2018-07-06,182.35000610351562
2018-08-07,185.8800048828125
2018-10-10,194.5500030517578
2018-12-13,198.47000122070312
2019-08-26,197.52000427246094
2019-07-25,197.9199981689453
2019-05-22,199.64999389648438
2019-03-19,204.3300018310547
2020-01-06,201.19000244140625
2020-03-25,200.1300048828125
2020-06-12,200.30999755859375
2019-10-22,200.2899932861328
2020-01-09,196.00999450683594
2020-06-15,199.6199951171875
2019-10-25,200.27999877929688
2020-03-31,199.22999572753906
2020-06-18,199.35000610351562
2019-04-03,203.52000427246094
2018-08-22,207.82000732421875
2018-10-25,210.6999969482422
2019-01-29,211.00999450683594
2018-12-28,210.83999633789062
2018-11-26,204.33999633789062
2019-08-09,213.24000549316406
2019-07-08,211.7899932861328
2019-06-06,214.25
2019-09-10,207.0
2020-01-15,203.3000030517578
2020-04-03,206.3800048828125
2019-10-31,203.52999877929688
2020-04-06,205.0
2020-06-24,208.02999877929688
2018-11-09,209.5
2019-07-23,209.8300018310547
2019-06-21,214.44000244140625
2019-05-20,212.75999450683594
2019-04-18,214.67999267578125
2018-09-06,213.97999572753906
2018-10-08,219.5
2019-02-13,221.0399932861328
2018-12-11,224.3699951171875
2019-09-25,228.13999938964844
2020-01-21,230.89999389648438
2020-04-09,231.33999633789062
2019-11-06,230.00999450683594
2020-01-24,228.7100067138672
2020-01-27,229.6999969482422
2020-04-15,229.05999755859375
2018-12-26,231.00999450683594
2019-08-07,229.42999267578125
2019-06-04,227.83999633789062
2018-09-21,225.83999633789062
2018-07-19,210.02999877929688
2018-08-20,204.22000122070312
2018-10-23,202.50999450683594
2019-05-03,204.5500030517578
2019-04-01,199.33999633789062
2019-02-28,196.92999267578125
2019-11-12,198.6999969482422
2020-01-30,191.63999938964844
2019-11-15,192.6199951171875
2020-04-21,180.97999572753906
2019-04-16,181.25
2019-03-15,184.2899932861328
2019-02-11,185.5
2019-01-10,178.8800048828125
2019-08-22,171.69000244140625
2018-11-07,174.6699981689453
2018-08-03,173.64999389648438
2018-09-04,169.2899932861328
2019-06-19,172.52000427246094
2019-09-23,174.10000610351562
2019-11-18,168.02999877929688
2020-02-05,167.00999450683594
2020-04-24,167.27000427246094
2019-03-29,166.14999389648438
2019-11-21,169.7100067138672
2020-04-27,178.67999267578125
2020-02-11,179.80999755859375
2020-04-30,181.9199981689453
2019-05-01,189.1199951171875
2019-02-26,190.75999450683594
2019-01-25,190.25999450683594
2018-12-24,191.3300018310547
2019-09-06,190.14999389648438
2018-07-17,190.14999389648438
2018-09-19,195.22000122070312
2019-08-05,199.52999877929688
2019-10-08,198.7100067138672
2019-12-11,197.75999450683594
2019-11-27,198.60000610351562
2020-02-14,196.05999755859375
2020-05-06,197.69000244140625
2019-01-08,203.6999969482422
2018-12-07,206.02000427246094
2019-08-20,207.60000610351562
2018-11-05,206.55999755859375
2019-07-19,211.64999389648438
2018-10-04,213.33999633789062
2019-06-17,209.8699951171875
2019-05-16,208.0800018310547
2018-08-01,210.5500030517578
2019-03-13,186.69000244140625
2019-12-03,195.11000061035156
2020-02-20,196.6699981689453
2019-12-06,196.14999389648438
2020-05-12,196.75
2019-12-09,177.05999755859375
2020-02-26,180.25
2020-05-15,181.6999969482422
2019-03-28,181.30999755859375
2018-09-17,183.02000427246094
2018-08-16,185.97999572753906
2018-10-19,189.27000427246094
2019-04-29,187.2899932861328
2019-01-23,205.0
2019-09-04,210.85000610351562
2018-11-20,200.6999969482422
2019-07-02,195.22999572753906
2019-05-31,190.3699951171875
2019-12-12,199.9499969482422
2020-05-18,199.64999389648438
2019-09-27,206.05999755859375
2020-03-03,203.66000366210938
2020-05-21,201.1999969482422
2019-05-14,200.69000244140625
2018-08-31,197.02999877929688
2018-07-30,196.10000610351562
2018-10-02,199.80999755859375
2019-04-12,205.10000610351562
2019-03-11,201.17999267578125
2019-02-07,202.55999755859375
2019-07-17,200.72999572753906
2019-09-19,197.58999633789062
2019-10-21,195.89999389648438
2019-12-18,196.50999450683594
2020-03-06,196.5
2019-10-03,204.0
2020-03-09,203.38999938964844
2020-05-27,196.5
2019-12-24,200.1999969482422
2020-03-12,202.25
2018-12-20,201.85000610351562
2019-08-01,195.50999450683594
2018-08-14,191.13999938964844
2018-07-13,193.5399932861328
2018-10-17,194.94000244140625
2019-05-29,197.4600067138672
2019-03-26,198.50999450683594
2019-02-22,201.0500030517578
2019-10-04,205.25
2019-11-05,207.7899932861328
2019-12-27,202.7899932861328
2020-06-02,202.00999450683594
2019-12-30,202.22000122070312
2020-03-18,203.02000427246094
2020-06-05,205.27000427246094
2019-07-15,201.6300048828125
2018-12-03,202.47000122070312
2019-06-13,199.25
2019-01-04,194.75
2018-08-29,195.3800048828125
2019-02-05,200.05999755859375
2018-11-01,201.55999755859375
2019-08-16,196.61000061035156
2019-04-10,188.8000030517578
2019-09-17,190.42999267578125
2019-10-15,192.99000549316406
2020-01-02,192.6699981689453
2020-06-08,194.0
2019-10-18,197.0
2020-03-24,198.5399932861328
2020-06-11,201.94000244140625
2020-01-08,203.19000244140625
2019-04-25,202.75
2019-07-30,201.24000549316406
2019-02-20,205.05999755859375
2018-07-11,211.0800018310547
2018-09-13,220.0
2018-10-15,222.4199981689453
2019-06-28,236.0
2018-12-18,236.4199981689453
2018-11-16,237.05999755859375
2019-10-02,239.19000244140625
2020-03-27,238.66000366210938
2020-01-10,238.17999267578125
2019-10-24,239.36000061035156
2020-03-30,237.2100067138672
2020-06-17,239.4199981689453
2020-01-14,241.60000610351562
2020-04-02,242.05999755859375
2019-01-02,236.05999755859375
2019-08-14,236.7100067138672
2018-10-30,234.0500030517578
2019-06-11,233.33999633789062
2019-05-10,236.0
2019-04-08,238.22999572753906
2018-08-27,240.22000122070312
2018-07-26,243.61000061035156
2018-09-28,246.16000366210938
2019-03-07,248.8300018310547
2019-10-30,250.8000030517578
2020-01-17,247.0
2020-06-23,244.0
2020-04-08,250.8000030517578
2020-06-26,250.85000610351562
2019-03-22,253.99000549316406
2019-01-17,253.77999877929688
2019-08-29,253.1199951171875
2018-11-14,255.72999572753906
2019-06-26,255.0500030517578
2018-09-11,256.2900085449219
2018-07-09,253.8699951171875
2018-08-10,251.50999450683594
2019-04-23,249.25999450683594
2019-09-30,250.00999450683594
2020-01-23,248.89999389648438
2019-11-08,252.9600067138672
2020-04-14,253.9199981689453
