Dates,HFC
2018-06-20,74.58999633789062
2018-06-21,72.0
2018-06-25,71.19000244140625
2018-06-22,67.29000091552734
2018-06-26,67.55999755859375
2018-06-27,66.48999786376953
2018-06-28,66.9800033569336
2018-06-29,68.43000030517578
2018-07-02,68.36000061035156
2018-07-03,69.04000091552734
2018-07-05,67.27999877929688
2018-07-16,68.5999984741211
2018-09-18,70.0
2019-01-24,68.94999694824219
2019-09-05,67.26000213623047
2018-11-21,67.91999816894531
2020-01-13,68.68000030517578
2020-04-01,68.9000015258789
2020-06-19,70.56999969482422
2019-10-29,71.5999984741211
2020-01-16,71.80999755859375
2020-06-22,71.0199966430664
2018-10-03,70.95999908447266
2018-07-31,70.9000015258789
2019-03-12,72.05000305175781
2019-02-08,74.41000366210938
2019-01-07,74.06999969482422
2018-12-06,74.91000366210938
2019-08-19,74.58000183105469
2019-07-18,73.80999755859375
2019-05-15,68.91000366210938
2019-09-20,67.6500015258789
2019-11-01,68.19999694824219
2020-04-07,69.11000061035156
2020-06-25,69.41999816894531
2020-06-16,68.36000061035156
2019-11-04,69.0199966430664
2020-01-22,68.55000305175781
2019-11-07,69.02999877929688
2020-04-13,67.37000274658203
2019-07-01,67.75
2019-05-30,68.63999938964844
2018-08-15,70.68000030517578
2018-10-18,71.26000213623047
2019-03-27,71.41000366210938
2019-01-22,72.87000274658203
2018-12-21,73.58000183105469
2019-09-03,73.88999938964844
2018-11-19,73.9800033569336
2019-08-02,74.62999725341797
2020-01-28,74.66999816894531
2020-04-16,74.5199966430664
2019-11-13,76.19000244140625
2020-01-31,73.83999633789062
2018-12-04,72.01000213623047
2018-11-02,70.80999755859375
2019-07-16,71.19000244140625
2018-08-30,71.75
2018-10-01,70.6500015258789
2019-06-14,72.02999877929688
2019-05-13,70.38999938964844
2019-04-11,68.91999816894531
2019-02-06,69.5199966430664
2019-09-18,65.5
2020-02-03,65.94000244140625
2020-04-22,66.87999725341797
2019-11-19,69.58999633789062
2020-02-06,70.76000213623047
2019-11-22,71.12000274658203
2019-03-25,69.7699966430664
2019-02-21,69.9000015258789
2018-12-19,69.55999755859375
2018-07-12,68.55999755859375
2018-09-14,71.3499984741211
2018-08-13,70.20999908447266
2018-10-16,69.20999908447266
2019-07-31,67.61000061035156
2019-05-28,68.63999938964844
2019-04-26,65.87999725341797
2020-04-28,66.04000091552734
2019-11-25,66.47000122070312
2020-02-12,64.66000366210938
2020-05-01,67.2699966430664
2020-05-04,66.77999877929688
2019-06-12,67.94999694824219
2019-04-09,63.16999816894531
2019-03-08,64.80000305175781
2019-02-04,64.41000366210938
2018-07-27,61.0099983215332
2018-08-28,63.150001525878906
2019-01-03,61.9900016784668
2019-08-15,62.150001525878906
2018-10-31,63.2599983215332
2019-09-16,67.44000244140625
2020-02-18,67.26000213623047
2020-05-07,66.48999786376953
2018-08-17,65.19000244140625
2019-12-04,65.5
2020-02-21,68.12999725341797
2018-12-17,65.73999786376953
2019-08-30,64.69999694824219
2018-11-15,63.439998626708984
2019-07-29,60.810001373291016
2019-06-27,61.849998474121094
2019-04-24,63.09000015258789
2018-07-10,63.83000183105469
2018-09-12,62.33000183105469
2019-02-19,59.25
2019-01-18,59.86000061035156
2020-02-24,57.16999816894531
2020-05-13,60.439998626708984
