Dates,HFC
2018-06-20,2763300.0
2018-06-21,3214900.0
2018-06-25,5017900.0
2018-06-22,5582200.0
2018-06-26,3755600.0
2018-06-27,3145400.0
2018-06-28,2237100.0
2018-06-29,3159800.0
2018-07-02,2865500.0
2018-07-03,2207100.0
2018-07-05,3655400.0
2018-07-16,2211700.0
2018-09-18,2537300.0
2019-01-24,2884500.0
2019-09-05,2546100.0
2018-11-21,1853700.0
2020-01-13,1606000.0
2020-04-01,2453900.0
2020-06-19,3479200.0
2019-10-29,3172300.0
2020-01-16,1561900.0
2020-06-22,1578100.0
2018-10-03,1716800.0
2018-07-31,1652800.0
2019-03-12,1542600.0
2019-02-08,2771800.0
2019-01-07,2030800.0
2018-12-06,1991800.0
2019-08-19,1844800.0
2019-07-18,2588700.0
2019-05-15,5485400.0
2019-09-20,3625300.0
2019-11-01,2498800.0
2020-04-07,2139300.0
2020-06-25,4170400.0
2020-06-16,3263700.0
2019-11-04,2166700.0
2020-01-22,2391400.0
2019-11-07,1866400.0
2020-04-13,2214400.0
2019-07-01,1593300.0
2019-05-30,1570100.0
2018-08-15,1823900.0
2018-10-18,1494300.0
2019-03-27,1283100.0
2019-01-22,2205700.0
2018-12-21,1355800.0
2019-09-03,1495100.0
2018-11-19,2011300.0
2019-08-02,1708200.0
2020-01-28,1808500.0
2020-04-16,2112000.0
2019-11-13,1999800.0
2020-01-31,2331800.0
2018-12-04,1816600.0
2018-11-02,1774600.0
2019-07-16,1592500.0
2018-08-30,1660100.0
2018-10-01,2058400.0
2019-06-14,2275800.0
2019-05-13,2517300.0
2019-04-11,2251200.0
2019-02-06,2724900.0
2019-09-18,4046500.0
2020-02-03,2885900.0
2020-04-22,5066100.0
2019-11-19,2742300.0
2020-02-06,2490000.0
2019-11-22,2170800.0
2019-03-25,2109800.0
2019-02-21,1856000.0
2018-12-19,1897000.0
2018-07-12,2411800.0
2018-09-14,2262100.0
2018-08-13,1623400.0
2018-10-16,1743900.0
2019-07-31,1883900.0
2019-05-28,1786000.0
2019-04-26,2347800.0
2020-04-28,2993200.0
2019-11-25,2199300.0
2020-02-12,1730800.0
2020-05-01,2151000.0
2020-05-04,2174100.0
2019-06-12,1944500.0
2019-04-09,3095600.0
2019-03-08,2141400.0
2019-02-04,2716700.0
2018-07-27,2124300.0
2018-08-28,2591500.0
2019-01-03,2638000.0
2019-08-15,2124300.0
2018-10-31,2119100.0
2019-09-16,3984300.0
2020-02-18,2730600.0
2020-05-07,1870600.0
2018-08-17,1450600.0
2019-12-04,1667400.0
2020-02-21,1618600.0
2018-12-17,1587400.0
2019-08-30,1541900.0
2018-11-15,1628600.0
2019-07-29,3513200.0
2019-06-27,2321700.0
2019-04-24,1870200.0
