Dates,DRI
2018-06-20,88.74498748779297
2018-06-21,101.86595153808594
2018-06-25,103.5881576538086
2018-06-22,102.09432220458984
2018-06-26,102.60811614990234
2018-06-27,100.73369598388672
2018-06-28,102.76034545898438
2018-06-29,101.86595153808594
2018-07-02,104.19709777832031
2018-07-03,103.3978500366211
2018-07-05,104.8441162109375
2018-07-16,105.69092559814453
2018-09-18,105.78672790527344
2019-01-24,105.1832275390625
2019-09-05,105.81546020507812
2018-11-21,106.70636749267578
2020-01-13,107.3769302368164
2020-04-01,106.60098266601562
2020-06-19,105.73883056640625
2019-10-29,107.43441772460938
2020-01-16,107.10868835449219
2020-06-22,105.81546020507812
2018-10-03,106.29444122314453
2018-07-31,103.74629211425781
2019-03-12,102.5488510131836
2019-02-08,102.5105209350586
2019-01-07,102.29019927978516
2018-12-06,101.9453353881836
2019-08-19,102.44347381591797
2019-07-18,102.05069732666016
2019-05-15,104.19651794433594
2019-09-20,104.30189514160156
2019-11-01,106.22738647460938
2020-04-07,105.35565185546875
2020-06-25,105.25984954833984
2020-06-16,104.8191909790039
2019-11-04,104.86709594726562
2020-01-22,104.73297882080078
2019-11-07,106.48602294921875
2020-04-13,107.61640930175781
2019-07-01,108.13370513916016
2019-05-30,109.06292724609375
2018-08-15,109.55147552490234
2018-10-18,109.20661163330078
2019-03-27,108.97671508789062
2019-01-22,109.50357818603516
2018-12-21,109.52274322509766
2019-09-03,109.09165954589844
2018-11-19,110.14541625976562
2019-08-02,110.04960632324219
2020-01-28,110.75849151611328
2020-04-16,111.16084289550781
2019-11-13,112.33911895751953
2020-01-31,113.8718490600586
2018-12-04,113.81436920166016
2018-11-02,114.14965057373047
2019-07-16,113.68982696533203
2018-08-30,114.36038970947266
2018-10-01,113.74730682373047
2019-06-14,113.85267639160156
2019-05-13,114.04428100585938
2019-04-11,113.0192642211914
2019-02-06,113.90059661865234
2019-09-18,112.93305206298828
2020-02-03,111.5535888671875
2020-04-22,108.1432876586914
2019-11-19,108.51689910888672
2020-02-06,108.32530975341797
2019-11-22,107.8080062866211
2019-03-25,106.60098266601562
2019-02-21,106.51477813720703
2018-12-19,104.62761688232422
2018-07-12,102.5488510131836
2018-09-14,103.36310577392578
2018-08-13,103.593017578125
2018-10-16,103.83250427246094
2019-07-31,103.78460693359375
2019-05-28,104.7974624633789
2019-04-26,103.17689514160156
2020-04-28,100.36981964111328
2019-11-25,102.98396301269531
2020-02-12,102.96467590332031
2020-05-01,106.19618225097656
2020-05-04,106.0514907836914
2019-06-12,105.7813949584961
2019-04-09,102.56917572021484
2019-03-08,103.34088134765625
2019-02-04,103.40839385986328
2018-07-27,100.2347640991211
2018-08-28,102.6656265258789
2019-01-03,100.2347640991211
2019-08-15,101.44055938720703
2018-10-31,104.24762725830078
2019-09-16,102.7813949584961
2020-02-18,101.15117645263672
2020-05-07,101.57559967041016
2018-08-17,102.57881927490234
2019-12-04,106.73637390136719
2020-02-21,107.28620910644531
2018-12-17,108.27013397216797
2019-08-30,108.46306610107422
2018-11-15,108.41482543945312
2019-07-29,108.08685302734375
2019-06-27,107.96145629882812
2019-04-24,107.86498260498047
2018-07-10,107.90357971191406
2018-09-12,109.44699096679688
2019-02-19,107.40196228027344
2019-01-18,107.27657318115234
2020-02-24,107.62383270263672
2020-05-13,106.37946319580078
2019-12-10,106.0418472290039
2020-02-27,109.34087371826172
2019-12-13,107.32479858398438
2020-05-19,106.6302719116211
2019-03-06,106.15760803222656
2018-11-30,103.93895721435547
2019-08-13,105.51129150390625
2019-07-12,101.12222290039062
2019-06-10,101.63347625732422
2019-05-09,98.15116882324219
2018-07-25,101.58524322509766
2018-09-27,100.53380584716797
2018-10-29,99.54987335205078
2019-10-16,95.39232635498047
2019-12-16,100.17689514160156
2020-03-04,97.0707778930664
2020-05-22,95.57559967041016
2019-10-01,95.67206573486328
2019-12-19,93.28942108154297
2018-09-10,95.0836410522461
2019-05-24,95.06434631347656
2018-08-09,94.86177062988281
2019-04-22,96.3280029296875
2019-03-21,96.39553833007812
2019-01-16,94.84247589111328
2019-08-28,97.81354522705078
2018-11-13,100.26371002197266
2018-10-12,101.88428497314453
2019-06-25,101.88427734375
2020-03-10,102.76837921142578
2020-05-28,104.91545104980469
2019-10-07,102.90438842773438
2020-03-13,104.20624542236328
2019-10-10,103.74962615966797
2020-03-16,104.93489074707031
2020-06-03,105.91613006591797
2018-11-28,105.5372314453125
2018-09-25,105.01261138916016
2018-07-23,104.36167907714844
2018-08-24,103.39987182617188
2019-07-10,104.3131103515625
2019-05-07,103.19585418701172
2019-04-05,103.10841369628906
2019-03-04,101.94257354736328
2019-01-31,101.99115753173828
2019-09-12,104.11880493164062
2019-12-31,105.01261138916016
2020-03-19,106.12986755371094
2020-01-03,106.46990203857422
2020-06-09,106.29503631591797
2019-02-15,107.14997100830078
2019-01-14,108.33523559570312
2018-07-06,108.46153259277344
2018-08-07,108.71414184570312
2018-10-10,108.9278793334961
2018-12-13,108.17007446289062
2019-08-26,107.39286041259766
2019-07-25,107.9369125366211
2019-05-22,108.57813262939453
2019-03-19,107.92719268798828
2020-01-06,107.90776824951172
2020-03-25,108.18951416015625
2020-06-12,108.91815948486328
2019-10-22,108.47125244140625
2020-01-09,108.03407287597656
2020-06-15,107.52886962890625
2019-10-25,106.42133331298828
2020-03-31,105.34293365478516
2020-06-18,104.5754165649414
2019-04-03,105.6829605102539
2018-08-22,106.32417297363281
2018-10-25,106.90709686279297
2019-01-29,106.90709686279297
2018-12-28,107.50944519042969
2018-11-26,107.92719268798828
2019-08-09,107.22769927978516
2019-07-08,105.55667114257812
2019-06-06,112.80426788330078
2019-09-10,114.0964126586914
2020-01-15,115.33025360107422
2020-04-03,115.70915222167969
2019-10-31,115.63143157958984
2020-04-06,117.68134307861328
2020-06-24,118.01166534423828
2018-11-09,117.04985809326172
2019-07-23,115.78687286376953
2019-06-21,115.0776596069336
2019-05-20,115.13594818115234
2019-04-18,115.59255981445312
2018-09-06,115.9325942993164
2018-10-08,114.41719818115234
2019-02-13,114.39765167236328
2018-12-11,113.75238800048828
2019-09-25,113.89903259277344
2020-01-21,113.26354217529297
2020-04-09,113.156005859375
2019-11-06,111.86547088623047
2020-01-24,114.26078033447266
2020-01-27,114.2118911743164
2020-04-15,114.38787078857422
2018-12-26,115.297119140625
2019-08-07,116.48987579345703
2019-06-04,118.90472412109375
2018-09-21,117.6435317993164
2018-07-19,114.97447204589844
2018-08-20,112.95068359375
2018-10-23,115.17977905273438
2019-05-03,115.05268859863281
2019-04-01,116.03036499023438
2019-02-28,116.7929458618164
2019-11-12,116.21612548828125
2020-01-30,117.66307830810547
2019-11-15,119.03182220458984
2020-04-21,117.49687957763672
2019-04-16,118.3279037475586
2019-03-15,118.25946044921875
2019-02-11,116.29432678222656
2019-01-10,117.18402099609375
2019-08-22,120.16593170166016
2018-11-07,121.99417877197266
2018-08-03,120.28324890136719
2018-09-04,118.06393432617188
2019-06-19,117.44799041748047
2019-09-23,115.49264526367188
2019-11-18,113.34175872802734
2020-02-05,115.02336120605469
2020-04-24,113.72305297851562
2019-03-29,113.85014343261719
2019-11-21,115.38509368896484
2020-04-27,115.37532806396484
2020-02-11,117.9857177734375
2020-04-30,118.6114273071289
2019-05-01,116.32366180419922
2019-02-26,116.37255096435547
2019-01-25,115.17977905273438
2018-12-24,116.24545288085938
2019-09-06,117.00804138183594
2018-07-17,115.66862487792969
2018-09-19,115.297119140625
2019-08-05,114.7887191772461
2019-10-08,116.02059173583984
2019-12-11,118.5234375
2019-11-27,119.26647186279297
2020-02-14,120.39079284667969
2020-05-06,117.33067321777344
2019-01-08,118.8265151977539
2018-12-07,119.01227569580078
2019-08-20,118.87539672851562
2018-11-05,118.13236999511719
2019-07-19,118.99271392822266
2018-10-04,120.87963104248047
2019-06-17,122.18971252441406
2019-05-16,120.69310760498047
2018-08-01,119.62973022460938
2019-03-13,120.44696044921875
2019-12-03,122.83955383300781
2020-02-20,123.48938751220703
2019-12-06,121.31340789794922
2020-05-12,120.32879638671875
2019-12-09,122.16016387939453
2020-02-26,122.49494171142578
2020-05-15,123.52877044677734
2019-03-28,123.2333984375
2018-09-17,122.32754516601562
2018-08-16,121.68755340576172
2018-10-19,124.02107238769531
2019-04-29,124.6709213256836
2019-01-23,122.76078033447266
2019-09-04,119.68880462646484
2018-11-20,119.01927185058594
2019-07-02,118.24142456054688
2019-05-31,116.20329284667969
2019-12-12,116.07530212402344
2020-05-18,117.09929656982422
2019-09-27,120.1712646484375
2020-03-03,120.54541778564453
2020-05-21,118.80265808105469
2019-05-14,119.29496765136719
2018-08-31,115.00208282470703
2018-07-30,113.14117431640625
2018-10-02,115.29745483398438
2019-04-12,117.72943878173828
2019-03-11,117.04021453857422
2019-02-07,117.69004821777344
2019-07-17,119.0389633178711
2019-09-19,118.6746597290039
2019-10-21,119.3343505859375
2019-12-18,117.6801986694336
2020-03-06,118.34973907470703
2019-10-03,119.96449279785156
2020-03-09,119.11773681640625
2020-05-27,117.6801986694336
2019-12-24,120.24018859863281
2020-03-12,122.15032196044922
2018-12-20,123.54846954345703
2019-08-01,125.60629272460938
2018-08-14,124.99583435058594
2018-07-13,125.24198913574219
2018-10-17,124.11953735351562
2019-05-29,125.37982940673828
2019-03-26,124.95645141601562
2019-02-22,124.06046295166016
2019-10-04,125.17306518554688
2019-11-05,118.82234954833984
2019-12-27,117.95590209960938
2020-06-02,117.35529327392578
2019-12-30,116.0063705444336
2020-03-18,116.67591094970703
2020-06-05,114.64762115478516
2019-07-15,114.56884765625
2018-12-03,116.40021514892578
2019-06-13,115.20884704589844
2019-01-04,114.07655334472656
2018-08-29,113.67285919189453
2019-02-05,114.6279296875
2018-11-01,114.00762176513672
2019-08-16,112.18610382080078
2019-04-10,111.60066986083984
2019-09-17,111.1640625
2019-10-15,112.166259765625
2020-01-02,109.59627532958984
2020-06-08,109.43751525878906
2019-10-18,109.1497573852539
2020-03-24,108.29640197753906
2020-06-11,109.59627532958984
2020-01-08,109.30852508544922
2019-04-25,107.9788818359375
2019-07-30,109.54666900634766
2019-02-20,109.55659484863281
2018-07-11,111.5014419555664
2018-09-13,110.48931884765625
2018-10-15,112.87077331542969
2019-06-28,112.11664581298828
2018-12-18,111.40220642089844
2018-11-16,111.30298614501953
2019-10-02,110.09241485595703
2020-03-27,111.89834594726562
2020-01-10,111.91819763183594
2019-10-24,112.60285949707031
2020-03-30,114.02181243896484
2020-06-17,113.47605895996094
2020-01-14,111.5708999633789
2020-04-02,111.7098159790039
2019-01-02,111.60066986083984
2019-08-14,111.72966003417969
2018-10-30,112.40440368652344
2019-06-11,112.61277770996094
2019-05-10,113.86304473876953
2019-04-08,112.61277770996094
2018-08-27,113.78366088867188
2018-07-26,114.7660140991211
2018-09-28,116.28418731689453
2019-03-07,116.55209350585938
2019-10-30,117.52452087402344
2020-01-17,118.39772033691406
2020-06-23,117.55429077148438
2020-04-08,117.0383071899414
2020-06-26,117.57413482666016
2019-03-22,118.90377807617188
2019-01-17,117.18714904785156
2019-08-29,117.66344451904297
2018-11-14,116.53225708007812
2019-06-26,115.37129211425781
2018-09-11,114.68663024902344
2018-07-09,115.12322235107422
2018-08-10,115.1133041381836
2019-04-23,115.41098022460938
2019-09-30,108.187255859375
2020-01-23,109.38790130615234
