Dates,AIV
2018-06-20,41.45000076293945
2018-06-21,42.040000915527344
2018-06-25,42.38999938964844
2018-06-22,42.43000030517578
2018-06-26,42.349998474121094
2018-06-27,41.81999969482422
2018-06-28,42.15999984741211
2018-06-29,42.29999923706055
2018-07-02,42.02000045776367
2018-07-03,42.099998474121094
2018-07-05,42.279998779296875
2018-07-16,42.34000015258789
2018-09-18,42.099998474121094
2019-01-24,42.25
2019-09-05,42.849998474121094
2018-11-21,42.959999084472656
2020-01-13,42.65999984741211
2020-04-01,42.47999954223633
2020-06-19,42.029998779296875
2019-10-29,41.869998931884766
2020-01-16,42.25
2020-06-22,41.81999969482422
2018-10-03,41.599998474121094
2018-07-31,41.4900016784668
2019-03-12,42.04999923706055
2019-02-08,42.2599983215332
2019-01-07,41.88999938964844
2018-12-06,41.77000045776367
2019-08-19,42.650001525878906
2019-07-18,42.77000045776367
2019-05-15,42.79999923706055
2019-09-20,43.810001373291016
2019-11-01,43.34000015258789
2020-04-07,43.40999984741211
2020-06-25,43.119998931884766
2020-06-16,43.220001220703125
2019-11-04,42.88999938964844
2020-01-22,42.75
2019-11-07,43.29999923706055
2020-04-13,43.72999954223633
2019-07-01,43.5
2019-05-30,43.90999984741211
2018-08-15,43.97999954223633
2018-10-18,43.45000076293945
2019-03-27,43.47999954223633
2019-01-22,43.45000076293945
2018-12-21,43.72999954223633
2019-09-03,43.880001068115234
2018-11-19,44.220001220703125
2019-08-02,44.18000030517578
2020-01-28,43.810001373291016
2020-04-16,43.79999923706055
2019-11-13,43.4900016784668
2020-01-31,43.720001220703125
2018-12-04,43.86000061035156
2018-11-02,43.72999954223633
2019-07-16,44.189998626708984
2018-08-30,44.38999938964844
2018-10-01,44.31999969482422
2019-06-14,44.59000015258789
2019-05-13,44.130001068115234
2019-04-11,44.470001220703125
2019-02-06,44.349998474121094
2019-09-18,44.02000045776367
2020-02-03,44.459999084472656
2020-04-22,44.630001068115234
2019-11-19,43.58000183105469
2020-02-06,43.7400016784668
2019-11-22,43.29999923706055
2019-03-25,43.40999984741211
2019-02-21,44.130001068115234
2018-12-19,43.849998474121094
2018-07-12,44.119998931884766
2018-09-14,43.61000061035156
2018-08-13,43.349998474121094
2018-10-16,43.52000045776367
2019-07-31,44.150001525878906
2019-05-28,44.369998931884766
