Dates,AIV
2018-06-20,40.7400016784668
2018-06-21,41.599998474121094
2018-06-25,42.16999816894531
2018-06-22,42.4900016784668
2018-06-26,42.4900016784668
2018-06-27,42.5
2018-06-28,41.77000045776367
2018-06-29,42.0
2018-07-02,42.2599983215332
2018-07-03,42.06999969482422
2018-07-05,42.09000015258789
2018-07-16,42.43000030517578
2018-09-18,42.40999984741211
2019-01-24,42.099998474121094
2019-09-05,42.25
2018-11-21,43.0
2020-01-13,43.08000183105469
2020-04-01,42.5
2020-06-19,42.560001373291016
2019-10-29,41.9900016784668
2020-01-16,41.790000915527344
2020-06-22,42.060001373291016
2018-10-03,41.810001373291016
2018-07-31,41.560001373291016
2019-03-12,41.599998474121094
2019-02-08,42.22999954223633
2019-01-07,42.439998626708984
2018-12-06,41.88999938964844
2019-08-19,41.939998626708984
2019-07-18,42.36000061035156
2019-05-15,42.779998779296875
2019-09-20,42.08000183105469
2019-11-01,43.81999969482422
2020-04-07,43.33000183105469
2020-06-25,43.47999954223633
2020-06-16,43.099998474121094
2019-11-04,43.220001220703125
2020-01-22,42.849998474121094
2019-11-07,42.81999969482422
2020-04-13,43.15999984741211
2019-07-01,43.369998931884766
2019-05-30,43.470001220703125
2018-08-15,44.09000015258789
2018-10-18,43.91999816894531
2019-03-27,43.40999984741211
2019-01-22,43.470001220703125
2018-12-21,43.40999984741211
2019-09-03,43.779998779296875
2018-11-19,43.869998931884766
2019-08-02,44.2599983215332
2020-01-28,44.310001373291016
2020-04-16,43.88999938964844
2019-11-13,43.63999938964844
2020-01-31,43.31999969482422
2018-12-04,43.849998474121094
2018-11-02,43.650001525878906
2019-07-16,43.970001220703125
2018-08-30,43.9900016784668
2018-10-01,44.40999984741211
2019-06-14,44.560001373291016
2019-05-13,44.470001220703125
2019-04-11,44.22999954223633
2019-02-06,44.380001068115234
2019-09-18,44.529998779296875
2020-02-03,44.0099983215332
2020-04-22,44.400001525878906
2019-11-19,44.41999816894531
2020-02-06,43.68000030517578
2019-11-22,43.75
2019-03-25,43.279998779296875
2019-02-21,43.43000030517578
2018-12-19,44.130001068115234
2018-07-12,44.029998779296875
2018-09-14,44.08000183105469
2018-08-13,43.380001068115234
2018-10-16,43.41999816894531
2019-07-31,43.68000030517578
2019-05-28,44.119998931884766
2019-04-26,44.2599983215332
2020-04-28,43.650001525878906
2019-11-25,42.380001068115234
2020-02-12,42.0099983215332
2020-05-01,42.459999084472656
2020-05-04,42.90999984741211
2019-06-12,42.84000015258789
2019-04-09,42.83000183105469
2019-03-08,43.27000045776367
2019-02-04,42.40999984741211
2018-07-27,42.58000183105469
2018-08-28,42.65999984741211
2019-01-03,43.18000030517578
2019-08-15,42.869998931884766
2018-10-31,43.529998779296875
2019-09-16,43.65999984741211
2020-02-18,43.08000183105469
2020-05-07,42.66999816894531
2018-08-17,43.709999084472656
2019-12-04,43.93000030517578
