Dates,KO
2018-06-20,40.524696350097656
2018-06-21,40.365447998046875
2018-06-25,40.51533508300781
2018-06-22,40.82447052001953
2018-06-26,40.59027862548828
2018-06-27,40.346710205078125
2018-06-28,40.7214241027832
2018-06-29,41.08676528930664
2018-07-02,40.98371887207031
2018-07-03,41.20854568481445
2018-07-05,41.836177825927734
2018-07-16,41.81744384765625
2018-09-18,41.59261703491211
2019-01-24,42.126583099365234
2019-09-05,41.95795822143555
2018-11-21,41.84554672241211
2020-01-13,41.91111755371094
2020-04-01,41.90175247192383
2020-06-19,42.38887405395508
2019-10-29,42.267093658447266
2020-01-16,42.257728576660156
2020-06-22,42.416969299316406
2018-10-03,42.10784149169922
2018-07-31,42.39823913574219
2019-03-12,43.17576217651367
2019-02-08,43.316280364990234
2019-01-07,43.28817367553711
2018-12-06,43.306907653808594
2019-08-19,43.68162155151367
2019-07-18,43.456790924072266
2019-05-15,43.260066986083984
2019-09-20,43.6722526550293
2019-11-01,43.700347900390625
2020-04-07,43.55983352661133
2020-06-25,43.231971740722656
2020-06-16,43.4193229675293
2019-11-04,43.16639709472656
2020-01-22,42.93220520019531
2019-11-07,42.988407135009766
2020-04-13,43.16639709472656
2019-07-01,43.29753875732422
2019-05-30,43.65351486206055
2018-08-15,43.77529525756836
2018-10-18,43.29753875732422
2019-03-27,43.02587890625
2019-01-22,42.8104248046875
2018-12-21,42.744842529296875
2019-09-03,42.801048278808594
2018-11-19,42.50128173828125
2019-08-02,42.46381378173828
2020-01-28,42.10784149169922
2020-04-16,41.75186538696289
2019-11-13,41.92985534667969
2020-01-31,42.51065444946289
2018-12-04,42.87599563598633
2018-11-02,42.82915496826172
2019-07-16,43.14765548706055
2018-08-30,43.11018371582031
2018-10-01,43.316280364990234
2019-06-14,43.297386169433594
2019-05-13,43.44853973388672
2019-04-11,43.76029968261719
2019-02-06,43.3918571472168
2019-09-18,43.42019271850586
2020-02-03,44.062618255615234
2020-04-22,44.00593948364258
2019-11-19,43.52412033081055
2020-02-06,43.15566635131836
2019-11-22,43.3162727355957
2019-03-25,43.46742630004883
2019-02-21,43.63748550415039
2018-12-19,43.67527770996094
2018-07-12,43.93980026245117
2018-09-14,43.33517074584961
2018-08-13,43.3162727355957
2018-10-16,43.34462356567383
2019-07-31,43.911460876464844
2019-05-28,43.82643508911133
2019-04-26,43.15566635131836
2020-04-28,42.17314147949219
2019-11-25,42.2109375
2020-02-12,42.42822265625
2020-05-01,42.976173400878906
2020-05-04,43.325721740722656
2019-06-12,43.08953857421875
2019-04-09,43.769752502441406
2019-03-08,43.42964553833008
2019-02-04,43.798091888427734
2018-07-27,44.147647857666016
2018-08-28,43.93980026245117
2019-01-03,43.38240432739258
2019-08-15,43.8925666809082
2018-10-31,44.99790573120117
2019-09-16,45.23409652709961
2020-02-18,45.10183334350586
2020-05-07,45.34746170043945
2018-08-17,45.99932861328125
2019-12-04,46.39612579345703
2020-02-21,46.64175033569336
2018-12-17,46.60396957397461
2019-08-30,46.934627532958984
2018-11-15,47.11412811279297
2019-07-29,47.10468292236328
2019-06-27,47.01020431518555
2019-04-24,46.991310119628906
2018-07-10,47.39754867553711
2018-09-12,47.71875762939453
2019-02-19,46.651206970214844
2019-01-18,46.03712463378906
2020-02-24,46.311100006103516
2020-05-13,46.16938400268555
2019-12-10,46.64175033569336
2020-02-27,46.96296691894531
2019-12-13,46.63921356201172
2020-05-19,47.99135971069336
2019-03-06,47.31528854370117
2018-11-30,47.21054458618164
2019-08-13,47.02009963989258
2019-07-12,46.743953704833984
2019-06-10,46.88679122924805
2019-05-09,47.17245864868164
2018-07-25,46.86774826049805
2018-09-27,47.105796813964844
2018-10-29,46.98201370239258
2019-10-16,46.02027893066406
2019-12-16,46.01075744628906
2020-03-04,45.6108283996582
2020-05-22,45.26803970336914
2019-10-01,45.29659652709961
2019-12-19,43.763545989990234
2018-09-10,44.69670486450195
2019-05-24,45.25851821899414
2018-08-09,44.94428634643555
2019-04-22,45.08711624145508
2019-03-21,44.68718719482422
2019-01-16,44.41104507446289
2019-08-28,45.29659652709961
2018-11-13,44.706233978271484
2018-10-12,45.21090316772461
2019-06-25,44.344398498535156
2020-03-10,44.82049560546875
2020-05-28,45.077598571777344
2019-10-07,44.89667510986328
2020-03-13,45.29659652709961
2019-10-10,44.67766571044922
2020-03-16,44.810977935791016
2020-06-03,45.334686279296875
2018-11-28,45.43943786621094
2018-09-25,45.96315002441406
2018-07-23,45.410865783691406
2018-08-24,45.10615539550781
2019-07-10,44.91571044921875
2019-05-07,45.134727478027344
2019-04-05,45.57274627685547
2019-03-04,45.829833984375
2019-01-31,46.37260055541992
2019-09-12,46.89631652832031
2019-12-31,46.90583801269531
2020-03-19,46.90583801269531
2020-01-03,47.05818557739258
2020-06-09,47.13436508178711
2019-02-15,47.23910903930664
2019-01-14,47.286720275878906
2018-07-06,47.4105110168457
2018-08-07,43.41122817993164
2018-10-10,43.07795715332031
2018-12-13,42.68754959106445
2019-08-26,42.944644927978516
2019-07-25,43.6683235168457
2019-05-22,43.11603927612305
2019-03-19,42.79228973388672
2020-01-06,42.554237365722656
2020-03-25,42.79228973388672
2020-06-12,43.17317581176758
2019-10-22,43.21126937866211
2020-01-09,43.468360900878906
2020-06-15,43.420745849609375
2019-10-25,43.27791976928711
2020-03-31,43.11603927612305
2020-06-18,42.69706726074219
2019-04-03,43.973026275634766
2018-08-22,43.849246978759766
2018-10-25,44.01111602783203
2019-01-29,43.89585876464844
2018-12-28,43.51165008544922
2018-11-26,43.617305755615234
2019-08-09,43.761383056640625
2019-07-08,43.732566833496094
2019-06-06,43.71335220336914
2019-09-10,44.11677932739258
2020-01-15,44.21282958984375
2020-04-03,44.798744201660156
2019-10-31,44.769927978515625
2020-04-06,44.741119384765625
2020-06-24,45.01006317138672
2018-11-09,44.875587463378906
2019-07-23,44.73151397705078
2019-06-21,44.356903076171875
2019-05-20,44.64506530761719
2019-04-18,44.63545608520508
2018-09-06,44.71229934692383
2018-10-08,44.82756042480469
2019-02-13,44.798744201660156
2018-12-11,44.86598205566406
2019-09-25,44.894798278808594
2020-01-21,45.144535064697266
2020-04-09,45.09650802612305
2019-11-06,45.413475036621094
2020-01-24,45.60558319091797
2020-01-27,45.528743743896484
2020-04-15,46.3067626953125
2018-12-26,46.085845947265625
2019-08-07,45.95137023925781
2019-06-04,46.35478973388672
2018-09-21,46.50847244262695
2018-07-19,47.12321472167969
2018-08-20,46.6717643737793
2018-10-23,46.47966003417969
2019-05-03,46.796634674072266
2019-04-01,46.55650329589844
2019-02-28,46.10505676269531
2019-11-12,45.96097946166992
2020-01-30,45.528743743896484
2019-11-15,46.28755187988281
2020-04-21,46.15308380126953
2019-04-16,46.7678108215332
2019-03-15,47.238468170166016
2019-02-11,47.622684478759766
2019-01-10,47.25768280029297
2019-08-22,46.9214973449707
2018-11-07,46.681365966796875
2018-08-03,47.68991470336914
2018-09-04,47.882015228271484
2019-06-19,47.65149688720703
2019-09-23,47.1616325378418
2019-11-18,46.690975189208984
2020-02-05,47.30570983886719
2020-04-24,47.19044876098633
2019-03-29,48.00688934326172
2019-11-21,48.02609634399414
2020-04-27,48.775306701660156
2020-02-11,49.37083435058594
2020-04-30,49.457279205322266
2019-05-01,49.35162353515625
2019-02-26,49.303592681884766
2019-01-25,49.601356506347656
2018-12-24,49.494873046875
2019-09-06,49.66911697387695
2018-07-17,49.24319076538086
2018-09-19,49.020545959472656
2019-08-05,49.485191345214844
2019-10-08,50.0079231262207
