Dates,KLAC
2018-06-20,1202100.0
2018-06-21,1142200.0
2018-06-25,2896000.0
2018-06-22,2198900.0
2018-06-26,1492600.0
2018-06-27,1469000.0
2018-06-28,1564200.0
2018-06-29,1727600.0
2018-07-02,1365900.0
2018-07-03,803800.0
2018-07-05,1031500.0
2018-07-16,676300.0
2018-09-18,769800.0
2019-01-24,1086500.0
2019-09-05,1120100.0
2018-11-21,1363400.0
2020-01-13,606900.0
2020-04-01,903900.0
2020-06-19,2037600.0
2019-10-29,1753300.0
2020-01-16,1314700.0
2020-06-22,1105600.0
2018-10-03,852900.0
2018-07-31,1688400.0
2019-03-12,1563700.0
2019-02-08,1548800.0
2019-01-07,1419200.0
2018-12-06,1863500.0
2019-08-19,4867900.0
2019-07-18,1839100.0
2019-05-15,1623200.0
2019-09-20,1247900.0
2019-11-01,1151700.0
2020-04-07,1414300.0
2020-06-25,1241200.0
2020-06-16,999100.0
2019-11-04,2340600.0
2020-01-22,1582200.0
2019-11-07,1094400.0
2020-04-13,1722500.0
2019-07-01,1482000.0
2019-05-30,2816400.0
2018-08-15,1242800.0
2018-10-18,1453600.0
2019-03-27,1158300.0
2019-01-22,766300.0
2018-12-21,853800.0
2019-09-03,1106400.0
2018-11-19,824200.0
2019-08-02,1037800.0
2020-01-28,1100600.0
2020-04-16,853400.0
2019-11-13,1694800.0
2020-01-31,1566600.0
2018-12-04,3692600.0
2018-11-02,2120100.0
2019-07-16,1680100.0
2018-08-30,1790600.0
2018-10-01,2236900.0
2019-06-14,1397200.0
2019-05-13,1386400.0
2019-04-11,1494000.0
2019-02-06,1474200.0
2019-09-18,1647500.0
2020-02-03,2379100.0
2020-04-22,3195300.0
2019-11-19,1126600.0
2020-02-06,1260800.0
2019-11-22,1490600.0
2019-03-25,1228900.0
2019-02-21,2777800.0
2018-12-19,1400600.0
2018-07-12,1279100.0
2018-09-14,1279500.0
2018-08-13,3039700.0
2018-10-16,1472300.0
2019-07-31,1203100.0
2019-05-28,2344700.0
2019-04-26,3576500.0
2020-04-28,2129800.0
2019-11-25,1482000.0
2020-02-12,1564500.0
2020-05-01,1624400.0
2020-05-04,1937800.0
2019-06-12,1584400.0
2019-04-09,1961500.0
2019-03-08,1996100.0
2019-02-04,1412100.0
2018-07-27,2312600.0
2018-08-28,1619200.0
2019-01-03,2685600.0
2019-08-15,2113200.0
2018-10-31,2899600.0
2019-09-16,1687800.0
2020-02-18,2951400.0
2020-05-07,1578800.0
2018-08-17,2469000.0
2019-12-04,1585600.0
2020-02-21,2255900.0
2018-12-17,1430500.0
2019-08-30,1649000.0
2018-11-15,1959800.0
2019-07-29,2476500.0
2019-06-27,2093700.0
2019-04-24,2026800.0
2018-07-10,3026300.0
2018-09-12,2501900.0
2019-02-19,1625400.0
2019-01-18,1192400.0
2020-02-24,693300.0
2020-05-13,1311500.0
2019-12-10,1160100.0
2020-02-27,1358500.0
2019-12-13,1041700.0
2020-05-19,1499700.0
2019-03-06,2311900.0
2018-11-30,2642900.0
2019-08-13,2194400.0
2019-07-12,1191500.0
2019-06-10,1156800.0
2019-05-09,1682800.0
2018-07-25,2107600.0
2018-09-27,1105500.0
2018-10-29,1900100.0
2019-10-16,2065400.0
2019-12-16,2340200.0
2020-03-04,2504300.0
2020-05-22,2140100.0
2019-10-01,4273000.0
2019-12-19,1700200.0
2018-09-10,1664000.0
2019-05-24,1521000.0
2018-08-09,1256800.0
2019-04-22,1044600.0
2019-03-21,1225000.0
2019-01-16,1868400.0
2019-08-28,1692200.0
2018-11-13,1333500.0
2018-10-12,1847000.0
2019-06-25,1471900.0
2020-03-10,1131000.0
2020-05-28,793300.0
2019-10-07,899200.0
2020-03-13,764400.0
2019-10-10,1134500.0
2020-03-16,1853200.0
2020-06-03,1516400.0
2018-11-28,1548500.0
2018-09-25,1361700.0
2018-07-23,1843700.0
2018-08-24,1842000.0
2019-07-10,1682900.0
2019-05-07,1839700.0
2019-04-05,2493900.0
2019-03-04,2217100.0
2019-01-31,1443000.0
2019-09-12,1499300.0
2019-12-31,964100.0
2020-03-19,1993000.0
2020-01-03,1476800.0
2020-06-09,889900.0
2019-02-15,1046200.0
2019-01-14,757000.0
2018-07-06,1075800.0
2018-08-07,1013600.0
2018-10-10,1401700.0
2018-12-13,6295900.0
2019-08-26,3022400.0
2019-07-25,2604800.0
2019-05-22,4037600.0
2019-03-19,1611800.0
2020-01-06,1447900.0
2020-03-25,2096900.0
2020-06-12,1604000.0
2019-10-22,1273800.0
2020-01-09,1366900.0
2020-06-15,1445200.0
2019-10-25,1715000.0
2020-03-31,1716200.0
2020-06-18,1404600.0
2019-04-03,1446200.0
2018-08-22,1407300.0
2018-10-25,1616000.0
2019-01-29,1449000.0
2018-12-28,2949800.0
2018-11-26,1775500.0
2019-08-09,1256100.0
2019-07-08,1301800.0
2019-06-06,1484500.0
2019-09-10,1593000.0
2020-01-15,872400.0
2020-04-03,1079900.0
2019-10-31,1474300.0
2020-04-06,808500.0
2020-06-24,1219600.0
2018-11-09,1239900.0
2019-07-23,894300.0
2019-06-21,1960900.0
2019-05-20,898100.0
2019-04-18,1145700.0
2018-09-06,926500.0
2018-10-08,1553300.0
2019-02-13,1060500.0
2018-12-11,1037200.0
2019-09-25,1299200.0
2020-01-21,1322600.0
2020-04-09,1942500.0
2019-11-06,1503800.0
2020-01-24,1080500.0
2020-01-27,648800.0
2020-04-15,1208900.0
2018-12-26,1187400.0
2019-08-07,1305700.0
2019-06-04,1196800.0
2018-09-21,1220700.0
2018-07-19,1119900.0
2018-08-20,825700.0
2018-10-23,1476600.0
2019-05-03,1257300.0
2019-04-01,1458700.0
2019-02-28,4589400.0
2019-11-12,2311200.0
2020-01-30,2751100.0
2019-11-15,2132900.0
2020-04-21,1965100.0
2019-04-16,1999800.0
2019-03-15,2461100.0
2019-02-11,1956800.0
2019-01-10,1747500.0
2019-08-22,2152500.0
2018-11-07,1738000.0
2018-08-03,1255800.0
2018-09-04,1423200.0
2019-06-19,1007200.0
2019-09-23,2574300.0
2019-11-18,1897100.0
2020-02-05,1777800.0
2020-04-24,1373100.0
2019-03-29,1923400.0
2019-11-21,2074200.0
2020-04-27,1658700.0
2020-02-11,1939100.0
2020-04-30,1096700.0
2019-05-01,1516400.0
2019-02-26,1498000.0
2019-01-25,1771500.0
2018-12-24,1074500.0
2019-09-06,1190900.0
2018-07-17,1635400.0
2018-09-19,1969800.0
2019-08-05,1187500.0
2019-10-08,906400.0
2019-12-11,2702200.0
2019-11-27,1336700.0
2020-02-14,1577800.0
2020-05-06,1416600.0
2019-01-08,881700.0
2018-12-07,1226600.0
2019-08-20,1447600.0
2018-11-05,1447800.0
2019-07-19,1195700.0
2018-10-04,930100.0
2019-06-17,1107300.0
2019-05-16,864200.0
2018-08-01,1071900.0
2019-03-13,1559900.0
2019-12-03,1412400.0
2020-02-20,854600.0
2019-12-06,905500.0
2020-05-12,1649700.0
2019-12-09,2504700.0
2020-02-26,1171500.0
2020-05-15,1776400.0
2019-03-28,1722200.0
2018-09-17,1356200.0
2018-08-16,1587200.0
2018-10-19,1065900.0
2019-04-29,922500.0
2019-01-23,614800.0
2019-09-04,1331200.0
2018-11-20,2808700.0
2019-07-02,2269500.0
2019-05-31,3480500.0
2019-12-12,3343500.0
2020-05-18,1428100.0
2019-09-27,1554300.0
2020-03-03,1025600.0
2020-05-21,941900.0
2019-05-14,1933500.0
2018-08-31,1139000.0
2018-07-30,811600.0
2018-10-02,1336700.0
2019-04-12,1707400.0
2019-03-11,1157400.0
2019-02-07,836200.0
2019-07-17,1333400.0
2019-09-19,1888900.0
2019-10-21,1020800.0
2019-12-18,1230300.0
2020-03-06,996600.0
2019-10-03,1155600.0
2020-03-09,1820600.0
2020-05-27,2218900.0
2019-12-24,1982500.0
2020-03-12,2578200.0
2018-12-20,1985400.0
2019-08-01,2245800.0
2018-08-14,1885800.0
2018-07-13,2790200.0
2018-10-17,2282100.0
2019-05-29,1879800.0
2019-03-26,1192200.0
2019-02-22,2134400.0
2019-10-04,2718300.0
2019-11-05,1367000.0
2019-12-27,3094300.0
2020-06-02,1040100.0
2019-12-30,1724700.0
2020-03-18,1198900.0
2020-06-05,1268400.0
2019-07-15,1459100.0
2018-12-03,1115100.0
2019-06-13,917800.0
2019-01-04,1569900.0
2018-08-29,1256200.0
2019-02-05,1165500.0
2018-11-01,908700.0
2019-08-16,1476500.0
2019-04-10,1012000.0
2019-09-17,873300.0
2019-10-15,1174700.0
2020-01-02,1124400.0
2020-06-08,870900.0
2019-10-18,1275000.0
2020-03-24,1611700.0
2020-06-11,1219600.0
2020-01-08,1776400.0
2019-04-25,1183900.0
2019-07-30,1110100.0
2019-02-20,1812400.0
2018-07-11,1101700.0
2018-09-13,1586200.0
2018-10-15,1693600.0
2019-06-28,1700300.0
2018-12-18,2595600.0
2018-11-16,1462300.0
2019-10-02,1021500.0
2020-03-27,1715500.0
2020-01-10,1398000.0
2019-10-24,960500.0
2020-03-30,648900.0
2020-06-17,631000.0
2020-01-14,888900.0
2020-04-02,928500.0
2019-01-02,824000.0
2019-08-14,1570100.0
2018-10-30,1064600.0
2019-06-11,1284500.0
2019-05-10,1126400.0
2019-04-08,3498100.0
2018-08-27,2274700.0
2018-07-26,1894000.0
2018-09-28,2034900.0
2019-03-07,1377800.0
2019-10-30,705400.0
2020-01-17,1150600.0
2020-06-23,1975300.0
2020-04-08,1144800.0
2020-06-26,1320600.0
2019-03-22,989300.0
2019-01-17,766800.0
2019-08-29,1189900.0
2018-11-14,934100.0
2019-06-26,1627000.0
2018-09-11,1152800.0
2018-07-09,1306000.0
2018-08-10,1333400.0
2019-04-23,1516300.0
2019-09-30,1187800.0
2020-01-23,2695100.0
2019-11-08,969100.0
2020-04-14,257700.0
2019-11-11,527900.0
2020-01-29,553900.0
2020-04-17,756400.0
2018-07-24,869400.0
2018-09-26,1056900.0
2019-05-08,833400.0
2019-03-05,1266800.0
2019-02-01,1139300.0
2018-12-31,883500.0
2018-11-29,916900.0
2019-08-12,883800.0
2019-07-11,662000.0
2019-09-13,1279600.0
2019-11-14,922800.0
2020-04-20,1197200.0
2020-02-04,1604700.0
2020-04-23,1571400.0
2018-12-14,1084600.0
2019-08-27,1056900.0
2018-08-08,961000.0
2018-10-11,1581300.0
2018-11-12,938100.0
2019-07-26,1028900.0
2019-06-24,1448000.0
2019-05-23,1505700.0
2019-03-20,1181500.0
2019-01-15,1735900.0
2019-11-20,3113100.0
