Dates,BA,AAPL
2019-01-02,,
2019-01-03,-0.039868996920746747,-0.09960743817131479
2019-01-07,0.052042426325842994,0.04268930198522858
2019-01-04,0.0031489058766742684,-0.0022256187544578143
2019-01-08,0.03785337800875932,0.01906292565971479
2019-01-09,0.009690604719300167,0.016981739766083415
2019-01-10,0.02553595769866268,0.003196323988797989
2019-01-11,0.0008225486091937295,-0.009818137283678752
2019-01-14,-0.007197592496263283,-0.01503703831665959
2019-01-15,0.005365976138209216,0.020466755985707463
2019-01-16,-0.0005111666690442718,0.012216613606004678
2019-01-18,0.019968354438848923,0.005937681222905722
2019-01-22,0.015706388208537092,0.0061594171415571
2019-01-24,-0.018726176373817127,-0.022446141202767778
2019-01-28,0.0019837240905327125,0.004044330854046541
2019-01-30,-0.0009481234756983925,-0.007926322910504768
2019-02-01,0.016551716157712892,0.03313707767943819
2019-02-20,-0.0033772748141395192,-0.00925455030931388
2019-02-27,0.005344908025910922,-0.010364842578270195
2019-02-19,0.06250845602094501,0.06833477112885133
2019-02-15,-0.005416346502314817,0.007201062369359912
2019-02-11,0.0046938694398501735,0.00048073505699619545
2019-02-26,0.02470122176665357,0.02840498826784832
2019-02-05,0.03319886560106666,0.017109520804155842
2019-02-07,0.0022673188181643322,0.0003445295147843641
2019-02-22,-0.00949742291274569,-0.018939470082579124
2019-01-17,-0.0006416955076147257,0.0011751167034588228
2019-01-23,-0.002370858628215955,-0.0057509859294314625
2019-01-29,0.016759535813369864,0.008617185609541611
2019-01-25,-0.00034085924681515056,-0.004154774276100448
2019-01-31,-0.0018511619233908538,0.00364337662983516
2019-02-04,0.01988691407868859,-0.0022248636957893364
2019-02-06,-0.00409128526034519,0.00299247284072357
2019-02-08,0.012708421589910479,0.00643546439909648
2019-02-12,-0.009417620101676683,-0.005638533078571095
2019-02-14,0.015494008805654103,0.011165584967209208
2019-03-01,0.006650198259800177,0.007284460382412705
2019-02-25,-0.000234332740632337,0.000574001691223236
2019-02-21,0.020315428244057854,0.003097582013503075
2019-02-13,0.010380279406790649,-0.009835862139265683
2019-02-28,0.001500183003717126,0.010510970206907277
