Dates,UPS
2018-06-20,3112600.0
2018-06-21,2721900.0
2018-06-25,3536300.0
2018-06-22,4044300.0
2018-06-26,2332300.0
2018-06-27,2940800.0
2018-06-28,6173000.0
2018-06-29,3409300.0
2018-07-02,2252300.0
2018-07-03,1145700.0
2018-07-05,2866800.0
2018-07-16,2022400.0
2018-09-18,2103600.0
2019-01-24,1503900.0
2019-09-05,1765000.0
2018-11-21,1920100.0
2020-01-13,1997900.0
2020-04-01,4288800.0
2020-06-19,2102400.0
2019-10-29,2798600.0
2020-01-16,2457900.0
2020-06-22,1776000.0
2018-10-03,1871000.0
2018-07-31,2646000.0
2019-03-12,6725700.0
2019-02-08,3630300.0
2019-01-07,2094700.0
2018-12-06,2020400.0
2019-08-19,2395100.0
2019-07-18,1913000.0
2019-05-15,1653500.0
2019-09-20,1912900.0
2019-11-01,1603400.0
2020-04-07,1957400.0
2020-06-25,1603100.0
2020-06-16,2050100.0
2019-11-04,2341400.0
2020-01-22,2339100.0
2019-11-07,1914800.0
2020-04-13,2619100.0
2019-07-01,2126800.0
2019-05-30,2384200.0
2018-08-15,2272500.0
2018-10-18,2594900.0
2019-03-27,2272200.0
2019-01-22,1263600.0
2018-12-21,1969600.0
2019-09-03,2641100.0
2018-11-19,2126400.0
2019-08-02,1528000.0
2020-01-28,1314400.0
2020-04-16,2188500.0
2019-11-13,2396900.0
2020-01-31,2368300.0
2018-12-04,2282200.0
2018-11-02,2530000.0
2019-07-16,2458000.0
2018-08-30,2260400.0
2018-10-01,3243100.0
2019-06-14,5029200.0
2019-05-13,3730600.0
2019-04-11,2945200.0
2019-02-06,2851300.0
2019-09-18,1944800.0
2020-02-03,1905500.0
2020-04-22,4348400.0
2019-11-19,1889400.0
2020-02-06,2108700.0
2019-11-22,2220600.0
2019-03-25,1599800.0
2019-02-21,2641800.0
2018-12-19,1820200.0
2018-07-12,1336100.0
2018-09-14,1802900.0
2018-08-13,1799800.0
2018-10-16,2039200.0
2019-07-31,2867100.0
2019-05-28,4652400.0
2019-04-26,4669000.0
2020-04-28,5239800.0
2019-11-25,2993000.0
2020-02-12,2648300.0
2020-05-01,2681100.0
2020-05-04,2104400.0
2019-06-12,2270000.0
