Dates,UPS
2018-06-20,105.90321350097656
2018-06-21,105.68889617919922
2018-06-25,105.9498062133789
2018-06-22,102.68838500976562
2018-06-26,102.101318359375
2018-06-27,100.99243927001953
2018-06-28,98.66285705566406
2018-06-29,98.9889907836914
2018-07-02,98.66285705566406
2018-07-03,98.55103302001953
2018-07-05,99.04490661621094
2018-07-16,98.80262756347656
2018-09-18,101.18812561035156
2019-01-24,101.11357116699219
2019-09-05,100.0140151977539
2018-11-21,101.13221740722656
2020-01-13,101.54222869873047
2020-04-01,103.10770416259766
2020-06-19,103.49907684326172
2019-10-29,104.51477813720703
2020-01-16,105.14842987060547
2020-06-22,104.430908203125
2018-10-03,105.02729797363281
2018-07-31,104.77568817138672
2019-03-12,112.00675201416016
2019-02-08,110.76741027832031
2019-01-07,110.57171630859375
2018-12-06,110.6183090209961
2019-08-19,111.71788024902344
2019-07-18,111.22400665283203
2019-05-15,110.51580810546875
2019-09-20,111.0283203125
2019-11-01,111.39173889160156
2020-04-07,111.8297119140625
2020-06-25,112.36083984375
2020-06-16,112.6310806274414
2019-11-04,111.14014434814453
2020-01-22,110.1058120727539
2019-11-07,110.86991882324219
2020-04-13,111.86698150634766
2019-07-01,112.85472106933594
2019-05-30,114.35694885253906
2018-08-15,115.06111907958984
2018-10-18,115.49299621582031
2019-03-27,114.42266845703125
2019-01-22,114.27244567871094
2018-12-21,115.239501953125
2019-09-03,116.28168487548828
2018-11-19,115.24889373779297
2019-08-02,115.92489624023438
2020-01-28,115.34278869628906
2020-04-16,115.37094116210938
2019-11-13,116.7417221069336
2020-01-31,117.04217529296875
2018-12-04,116.14083862304688
2018-11-02,115.47421264648438
2019-07-16,116.7417221069336
2018-08-30,115.54934692382812
2018-10-01,115.7652816772461
2019-06-14,112.38526916503906
2019-05-13,113.03311920166016
2019-04-11,111.81254577636719
2019-02-06,111.01449584960938
2019-09-18,111.02388000488281
2020-02-03,111.84071350097656
2020-04-22,111.24921417236328
2019-11-19,110.16010284423828
2020-02-06,109.15548706054688
2019-11-22,109.56859588623047
2019-03-25,109.59677124023438
2019-02-21,109.61555480957031
2018-12-19,110.28216552734375
2018-07-12,109.84088897705078
2018-09-14,110.58260345458984
2018-08-13,110.14132690429688
2018-10-16,110.07559967041016
2019-07-31,111.52149963378906
2019-05-28,110.71404266357422
2019-04-26,109.52165222167969
2020-04-28,106.80826568603516
2019-11-25,108.57337951660156
2020-02-12,108.6954345703125
2020-05-01,110.30093383789062
2020-05-04,110.79855346679688
2019-06-12,107.71898651123047
2019-04-09,109.37142944335938
2019-03-08,108.57337951660156
2019-02-04,107.2589340209961
2018-07-27,101.33452606201172
2018-08-28,101.23124694824219
2019-01-03,98.8746337890625
2019-08-15,98.70562744140625
2018-10-31,100.5270767211914
2019-09-16,100.02947235107422
2020-02-18,100.9495849609375
2020-05-07,99.51306915283203
2018-08-17,100.2923583984375
2019-12-04,102.0105209350586
2020-02-21,104.33898162841797
2018-12-17,104.68635559082031
2019-08-30,102.8179702758789
2018-11-15,101.1373519897461
2019-07-29,102.71469116210938
2019-06-27,102.80857849121094
2019-04-24,103.70053100585938
2018-07-10,104.2212142944336
2018-09-12,105.35724639892578
2019-02-19,102.72543334960938
2019-01-18,102.97157287597656
2020-02-24,102.89584350585938
2020-05-13,104.74188995361328
2019-12-10,105.56551361083984
2020-02-27,107.49675750732422
2019-12-13,107.22221374511719
2020-05-19,109.14401245117188
2019-03-06,109.12506866455078
2018-11-30,101.07819366455078
2019-08-13,102.2804946899414
2019-07-12,99.70549774169922
2019-06-10,98.83454132080078
2019-05-09,98.05825805664062
2018-07-25,95.8145980834961
2018-09-27,95.40751647949219
2018-10-29,93.40054321289062
2019-10-16,91.70596313476562
2019-12-16,92.09410095214844
2020-03-04,89.29190063476562
2020-05-22,88.9321517944336
2019-10-01,88.51561737060547
2019-12-19,85.09805297851562
2018-09-10,91.4598159790039
2019-05-24,92.56744384765625
2018-08-09,91.38408660888672
2019-04-22,92.33077239990234
2019-03-21,92.02783203125
2019-01-16,89.41496276855469
2019-08-28,92.52957916259766
2018-11-13,92.21717834472656
2018-10-12,92.22663116455078
2019-06-25,92.69998168945312
2020-03-10,93.63719940185547
2020-05-28,92.69051361083984
2019-10-07,93.85494232177734
2020-03-13,92.35916137695312
2019-10-10,91.8195571899414
2020-03-16,94.27149963378906
2020-06-03,96.18379974365234
2018-11-28,97.20623016357422
2018-09-25,95.54004669189453
2018-07-23,94.38508605957031
2018-08-24,95.4548568725586
2019-07-10,94.98151397705078
2019-05-07,95.8998031616211
2019-04-05,95.79566955566406
2019-03-04,99.78123474121094
2019-01-31,100.4344482421875
2019-09-12,100.89832305908203
2019-12-31,101.92076110839844
2020-03-19,103.01891326904297
2020-01-03,102.18582153320312
2020-06-09,102.33728790283203
2019-02-15,103.12303924560547
2019-01-14,104.76083374023438
2018-07-06,106.03885650634766
2018-08-07,105.84004974365234
2018-10-10,104.95962524414062
2018-12-13,104.86495971679688
2019-08-26,105.14896392822266
2019-07-25,105.80218505859375
2019-05-22,104.47682189941406
2019-03-19,105.87110900878906
2020-01-06,106.04302215576172
2020-03-25,106.12896728515625
2020-06-12,105.2408218383789
2019-10-22,107.08396911621094
2020-01-09,105.50822448730469
2020-06-15,105.02117156982422
2019-10-25,103.95156860351562
2020-03-31,102.0511245727539
2020-06-18,101.87922668457031
2019-04-03,103.9324722290039
2018-08-22,104.1043701171875
2018-10-25,105.87110900878906
2019-01-29,105.89021301269531
2018-12-28,104.59141540527344
2018-11-26,105.7087631225586
2019-08-09,105.38406372070312
2019-07-08,103.06342315673828
2019-06-06,104.85881042480469
2019-09-10,102.51907348632812
2020-01-15,102.0893325805664
2020-04-03,103.5313720703125
2019-10-31,104.07572174072266
2020-04-06,105.33631896972656
2020-06-24,106.71151733398438
2018-11-09,109.28045654296875
2019-07-23,108.56421661376953
2019-06-21,109.20406341552734
2019-05-20,108.8411636352539
2019-04-18,109.1849594116211
2018-09-06,108.8411636352539
2018-10-08,107.82886505126953
2019-02-13,107.9912109375
2018-12-11,108.38275909423828
2019-09-25,109.30911254882812
2020-01-21,108.52601623535156
2020-04-09,108.81250762939453
2019-11-06,109.33775329589844
2020-01-24,109.0130615234375
2020-01-27,108.50691223144531
2020-04-15,108.4878158569336
2018-12-26,109.28045654296875
2019-08-07,100.39897155761719
2019-06-04,99.27207946777344
2018-09-21,100.12202453613281
2018-07-19,101.43992614746094
2018-08-20,99.91193389892578
2018-10-23,100.76187896728516
2019-05-03,101.85057830810547
2019-04-01,99.91193389892578
2019-02-28,97.49578094482422
2019-11-12,97.26658630371094
2020-01-30,96.21607971191406
2019-11-15,96.10147857666016
2020-04-21,94.87908172607422
2019-04-16,95.27064514160156
2019-03-15,96.97053527832031
2019-02-11,96.7508773803711
2019-01-10,95.8349609375
2019-08-22,94.98651885986328
2018-11-07,95.84459686279297
2018-08-03,94.00309753417969
2018-09-04,92.7208023071289
2019-06-19,92.41227722167969
2019-09-23,90.69612884521484
2019-11-18,91.37100982666016
2020-02-05,92.31587219238281
2020-04-24,89.58736419677734
2019-03-29,90.75396728515625
2019-11-21,94.1573715209961
2020-04-27,94.68763732910156
2020-02-11,94.48516845703125
2020-04-30,94.7069320678711
2019-05-01,96.50020599365234
2019-02-26,96.42308807373047
2019-01-25,96.7990951538086
2018-12-24,98.36100006103516
2019-09-06,97.97533416748047
2018-07-17,97.76323699951172
2018-09-19,98.486328125
2019-08-05,97.91748809814453
2019-10-08,99.69149780273438
2019-12-11,98.50559997558594
2019-11-27,96.14348602294922
2020-02-14,93.64636993408203
2020-05-06,96.384521484375
2019-01-08,98.0524673461914
2018-12-07,99.56615447998047
2019-08-20,99.27691650390625
2018-11-05,98.3416976928711
2019-07-19,99.49866485595703
2018-10-04,98.74664306640625
2019-06-17,98.26457214355469
2019-05-16,98.0813980102539
2018-08-01,97.97533416748047
2019-03-13,99.62400817871094
2019-12-03,102.1114730834961
2020-02-20,101.99577331542969
2019-12-06,101.82223510742188
2020-05-12,98.56346893310547
2019-12-09,99.11302185058594
2020-02-26,99.60472869873047
2020-05-15,100.27962493896484
2019-03-28,101.49443054199219
2018-09-17,110.2873306274414
2018-08-16,114.0088882446289
2018-10-19,116.25532531738281
2019-04-29,114.490966796875
2019-01-23,115.51293182373047
2019-09-04,115.18513488769531
2018-11-20,112.78443908691406
2019-07-02,112.99655151367188
2019-05-31,110.7308349609375
2019-12-12,110.87545013427734
2020-05-18,111.270751953125
2019-09-27,113.33399963378906
2020-03-03,111.59855651855469
2020-05-21,110.76940155029297
2019-05-14,111.6756820678711
2018-08-31,109.94989013671875
2018-07-30,109.81490325927734
2018-10-02,112.10960388183594
2019-04-12,113.5583724975586
