Dates,MYL
2018-09-21,4998800.0
2018-07-19,4850600.0
2018-08-20,7177800.0
2018-10-23,5493500.0
2019-05-03,4864700.0
2019-04-01,7222700.0
2019-02-28,51179900.0
2019-11-12,20281100.0
2020-01-30,14385000.0
2019-11-15,7795600.0
2020-04-21,16383700.0
2019-04-16,6488300.0
2019-03-15,9991900.0
2019-02-11,8423100.0
2019-01-10,5354700.0
2019-08-22,6743600.0
2018-11-07,7061900.0
2018-08-03,7192400.0
2018-09-04,7282700.0
2019-06-19,5052500.0
2019-09-23,17399900.0
2019-11-18,12998900.0
2020-02-05,7451800.0
2020-04-24,11146900.0
2019-03-29,8696900.0
2019-11-21,9038200.0
2020-04-27,6843600.0
2020-02-11,5265100.0
2020-04-30,6906000.0
2019-05-01,4801000.0
2019-02-26,4933100.0
2019-01-25,4721400.0
2018-12-24,3694300.0
2019-09-06,4399700.0
2018-07-17,5107600.0
2018-09-19,5347700.0
2019-08-05,8359600.0
2019-10-08,6978000.0
2019-12-11,10868500.0
2019-11-27,6961500.0
2020-02-14,10356300.0
2020-05-06,5787400.0
2019-01-08,5708000.0
2018-12-07,6604000.0
2019-08-20,6876900.0
2018-11-05,6633700.0
2019-07-19,4133700.0
2018-10-04,4749200.0
2019-06-17,5286200.0
2019-05-16,5089700.0
2018-08-01,8275400.0
2019-03-13,4673400.0
2019-12-03,3314100.0
2020-02-20,4299400.0
2019-12-06,6043600.0
2020-05-12,7003700.0
2019-12-09,7272800.0
2020-02-26,6100600.0
2020-05-15,4202500.0
2019-03-28,5236600.0
2018-09-17,7262200.0
2018-08-16,6439200.0
2018-10-19,3602900.0
2019-04-29,61207800.0
2019-01-23,18440600.0
2019-09-04,12073200.0
2018-11-20,10840200.0
2019-07-02,6574500.0
2019-05-31,8660800.0
2019-12-12,15592800.0
2020-05-18,9715700.0
2019-09-27,7113400.0
2020-03-03,6412500.0
2020-05-21,6010400.0
2019-05-14,5424600.0
2018-08-31,10822700.0
2018-07-30,6434900.0
2018-10-02,5901400.0
2019-04-12,5653900.0
2019-03-11,5730200.0
2019-02-07,3855800.0
2019-07-17,3578200.0
2019-09-19,5126200.0
2019-10-21,4198700.0
2019-12-18,5534500.0
2020-03-06,4127300.0
2019-10-03,5856500.0
2020-03-09,3444600.0
2020-05-27,6235000.0
2019-12-24,5517900.0
2020-03-12,5043000.0
2018-12-20,4312200.0
2019-08-01,5957800.0
2018-08-14,6377700.0
2018-07-13,6653900.0
2018-10-17,5394100.0
2019-05-29,5401400.0
2019-03-26,2968500.0
2019-02-22,3610500.0
2019-10-04,3623900.0
2019-11-05,4191100.0
2019-12-27,7744700.0
2020-06-02,4809100.0
2019-12-30,9971800.0
2020-03-18,3101900.0
2020-06-05,4004800.0
2019-07-15,8576900.0
2018-12-03,5559800.0
2019-06-13,5293900.0
2019-01-04,6518900.0
2018-08-29,4197200.0
2019-02-05,3325000.0
2018-11-01,3247200.0
2019-08-16,3780100.0
2019-04-10,4779100.0
2019-09-17,4287200.0
2019-10-15,4411200.0
2020-01-02,4003200.0
2020-06-08,5232100.0
2019-10-18,3754600.0
2020-03-24,3111800.0
