Dates,BLL
2018-06-20,35.720001220703125
2018-06-21,35.279998779296875
2018-06-25,35.90999984741211
2018-06-22,35.91999816894531
2018-06-26,35.7400016784668
2018-06-27,35.2599983215332
2018-06-28,35.25
2018-06-29,35.54999923706055
2018-07-02,35.7599983215332
2018-07-03,36.11000061035156
2018-07-05,36.45000076293945
2018-07-16,36.869998931884766
2018-09-18,37.060001373291016
2019-01-24,37.650001525878906
2019-09-05,37.7599983215332
2018-11-21,37.869998931884766
2020-01-13,37.619998931884766
2020-04-01,37.40999984741211
2020-06-19,38.25
2019-10-29,38.08000183105469
2020-01-16,38.27000045776367
2020-06-22,37.59000015258789
2018-10-03,37.880001068115234
2018-07-31,38.130001068115234
2019-03-12,38.119998931884766
2019-02-08,38.54999923706055
2019-01-07,38.77000045776367
2018-12-06,38.58000183105469
2019-08-19,38.970001220703125
2019-07-18,39.33000183105469
2019-05-15,40.529998779296875
2019-09-20,41.41999816894531
2019-11-01,41.45000076293945
2020-04-07,41.7400016784668
2020-06-25,41.459999084472656
2020-06-16,41.25
2019-11-04,40.31999969482422
2020-01-22,39.650001525878906
2019-11-07,39.70000076293945
2020-04-13,40.11000061035156
2019-07-01,40.29999923706055
2019-05-30,40.65999984741211
2018-08-15,40.91999816894531
2018-10-18,41.06999969482422
2019-03-27,40.65999984741211
2019-01-22,40.68000030517578
2018-12-21,41.09000015258789
2019-09-03,41.849998474121094
2018-11-19,41.66999816894531
2019-08-02,41.84000015258789
2020-01-28,41.84000015258789
2020-04-16,41.880001068115234
2019-11-13,41.41999816894531
2020-01-31,41.95000076293945
2018-12-04,42.13999938964844
2018-11-02,42.41999816894531
2019-07-16,43.18000030517578
2018-08-30,42.790000915527344
2018-10-01,43.20000076293945
2019-06-14,43.810001373291016
2019-05-13,44.13999938964844
2019-04-11,44.13999938964844
2019-02-06,44.91999816894531
2019-09-18,44.22999954223633
2020-02-03,44.38999938964844
2020-04-22,44.56999969482422
2019-11-19,44.86000061035156
2020-02-06,44.220001220703125
2019-11-22,44.29999923706055
2019-03-25,44.13999938964844
2019-02-21,43.9900016784668
2018-12-19,43.880001068115234
2018-07-12,44.45000076293945
2018-09-14,45.31999969482422
2018-08-13,45.810001373291016
2018-10-16,45.93000030517578
2019-07-31,46.349998474121094
2019-05-28,45.720001220703125
2019-04-26,43.86000061035156
2020-04-28,43.5099983215332
2019-11-25,44.15999984741211
2020-02-12,44.599998474121094
2020-05-01,46.099998474121094
2020-05-04,46.20000076293945
2019-06-12,46.20000076293945
2019-04-09,45.93000030517578
2019-03-08,45.130001068115234
2019-02-04,45.11000061035156
2018-07-27,43.650001525878906
2018-08-28,43.31999969482422
2019-01-03,43.38999938964844
2019-08-15,43.869998931884766
2018-10-31,44.970001220703125
2019-09-16,44.79999923706055
2020-02-18,47.619998931884766
2020-05-07,47.36000061035156
2018-08-17,47.40999984741211
2019-12-04,47.86000061035156
2020-02-21,48.84000015258789
2018-12-17,48.720001220703125
2019-08-30,48.68000030517578
2018-11-15,48.290000915527344
2019-07-29,49.099998474121094
2019-06-27,49.060001373291016
2019-04-24,50.380001068115234
2018-07-10,50.5
2018-09-12,49.5099983215332
2019-02-19,49.04999923706055
2019-01-18,49.310001373291016
2020-02-24,48.869998931884766
2020-05-13,49.099998474121094
2019-12-10,48.65999984741211
2020-02-27,49.59000015258789
2019-12-13,49.56999969482422
2020-05-19,49.11000061035156
2019-03-06,49.790000915527344
2018-11-30,49.029998779296875
2019-08-13,48.720001220703125
2019-07-12,48.38999938964844
2019-06-10,48.29999923706055
2019-05-09,47.83000183105469
2018-07-25,48.189998626708984
2018-09-27,48.529998779296875
2018-10-29,48.0099983215332
2019-10-16,46.650001525878906
2019-12-16,46.779998779296875
2020-03-04,45.869998931884766
2020-05-22,44.13999938964844
2019-10-01,43.619998931884766
2019-12-19,42.349998474121094
2018-09-10,43.4900016784668
2019-05-24,44.45000076293945
2018-08-09,44.79999923706055
2019-04-22,45.97999954223633
2019-03-21,44.66999816894531
2019-01-16,44.2599983215332
2019-08-28,45.59000015258789
2018-11-13,46.439998626708984
2018-10-12,46.90999984741211
2019-06-25,47.09000015258789
2020-03-10,47.650001525878906
2020-05-28,48.119998931884766
2019-10-07,48.470001220703125
2020-03-13,49.29999923706055
2019-10-10,48.439998626708984
2020-03-16,49.5
2020-06-03,50.2599983215332
2018-11-28,50.720001220703125
2018-09-25,50.779998779296875
2018-07-23,50.86000061035156
2018-08-24,51.75
2019-07-10,50.790000915527344
2019-05-07,51.31999969482422
2019-04-05,51.18000030517578
2019-03-04,52.279998779296875
2019-01-31,52.029998779296875
2019-09-12,51.97999954223633
2019-12-31,53.0
2020-03-19,53.209999084472656
2020-01-03,53.2599983215332
2020-06-09,53.900001525878906
2019-02-15,53.849998474121094
2019-01-14,54.900001525878906
2018-07-06,55.20000076293945
2018-08-07,54.95000076293945
2018-10-10,54.130001068115234
2018-12-13,54.060001373291016
2019-08-26,54.400001525878906
2019-07-25,54.47999954223633
2019-05-22,55.2599983215332
2019-03-19,54.880001068115234
2020-01-06,54.66999816894531
2020-03-25,55.5
2020-06-12,54.779998779296875
2019-10-22,55.209999084472656
2020-01-09,55.25
2020-06-15,55.959999084472656
2019-10-25,55.41999816894531
2020-03-31,54.68000030517578
2020-06-18,55.0099983215332
2019-04-03,55.599998474121094
2018-08-22,56.630001068115234
2018-10-25,57.11000061035156
2019-01-29,57.27000045776367
2018-12-28,57.5
2018-11-26,57.880001068115234
2019-08-09,58.060001373291016
2019-07-08,58.119998931884766
