Dates,BLL
2018-06-20,4777500.0
2018-06-21,3802700.0
2018-06-25,7007700.0
2018-06-22,3506800.0
2018-06-26,3216400.0
2018-06-27,2523900.0
2018-06-28,2002000.0
2018-06-29,2372600.0
2018-07-02,1702200.0
2018-07-03,1595800.0
2018-07-05,2721800.0
2018-07-16,2126800.0
2018-09-18,2886100.0
2019-01-24,3398100.0
2019-09-05,2714300.0
2018-11-21,2601500.0
2020-01-13,2380200.0
2020-04-01,2687000.0
2020-06-19,1952800.0
2019-10-29,1855400.0
2020-01-16,2605600.0
2020-06-22,2365300.0
2018-10-03,1525000.0
2018-07-31,1716900.0
2019-03-12,1950900.0
2019-02-08,2086800.0
2019-01-07,1374600.0
2018-12-06,2361100.0
2019-08-19,2826500.0
2019-07-18,5214400.0
2019-05-15,4016600.0
2019-09-20,3648600.0
2019-11-01,3129400.0
2020-04-07,2537800.0
2020-06-25,1468900.0
2020-06-16,3466600.0
2019-11-04,2721900.0
2020-01-22,5330300.0
2019-11-07,3095100.0
2020-04-13,2891100.0
2019-07-01,1970700.0
2019-05-30,5150700.0
2018-08-15,3087400.0
2018-10-18,1966000.0
2019-03-27,1497700.0
2019-01-22,1479900.0
2018-12-21,1417300.0
2019-09-03,2492600.0
2018-11-19,1567200.0
2019-08-02,1763900.0
2020-01-28,2253100.0
2020-04-16,2819300.0
2019-11-13,2483700.0
2020-01-31,2320700.0
2018-12-04,2578700.0
2018-11-02,2125600.0
2019-07-16,2176300.0
2018-08-30,2419900.0
2018-10-01,2332800.0
2019-06-14,2429200.0
2019-05-13,3166900.0
2019-04-11,2960500.0
2019-02-06,3766600.0
2019-09-18,3369900.0
2020-02-03,3820900.0
2020-04-22,4016800.0
2019-11-19,2638400.0
2020-02-06,3270100.0
2019-11-22,2163400.0
2019-03-25,1632800.0
2019-02-21,2178200.0
2018-12-19,2284500.0
2018-07-12,1762200.0
2018-09-14,4023800.0
2018-08-13,3745600.0
2018-10-16,5625100.0
2019-07-31,3161500.0
2019-05-28,4262500.0
2019-04-26,4519500.0
2020-04-28,5850200.0
