Dates,BLL
2018-06-20,36.119998931884766
2018-06-21,35.75
2018-06-25,36.15999984741211
2018-06-22,35.75
2018-06-26,35.970001220703125
2018-06-27,35.709999084472656
2018-06-28,35.189998626708984
2018-06-29,35.349998474121094
2018-07-02,35.08000183105469
2018-07-03,35.95000076293945
2018-07-05,36.20000076293945
2018-07-16,36.40999984741211
2018-09-18,37.029998779296875
2019-01-24,37.279998779296875
2019-09-05,37.29999923706055
2018-11-21,37.95000076293945
2020-01-13,37.689998626708984
2020-04-01,37.68000030517578
2020-06-19,37.310001373291016
2019-10-29,38.22999954223633
2020-01-16,37.9900016784668
2020-06-22,38.2400016784668
2018-10-03,37.59000015258789
2018-07-31,37.9900016784668
2019-03-12,37.970001220703125
2019-02-08,38.18000030517578
2019-01-07,38.72999954223633
2018-12-06,38.810001373291016
2019-08-19,38.70000076293945
2019-07-18,38.93000030517578
2019-05-15,38.70000076293945
2019-09-20,40.40999984741211
2019-11-01,41.220001220703125
2020-04-07,41.41999816894531
2020-06-25,41.630001068115234
2020-06-16,41.400001525878906
2019-11-04,41.0099983215332
2020-01-22,40.34000015258789
2019-11-07,39.7599983215332
2020-04-13,39.5
2019-07-01,40.310001373291016
2019-05-30,40.22999954223633
2018-08-15,40.810001373291016
2018-10-18,40.97999954223633
2019-03-27,41.13999938964844
2019-01-22,40.58000183105469
2018-12-21,40.869998931884766
2019-09-03,41.20000076293945
2018-11-19,41.849998474121094
2019-08-02,41.779998779296875
2020-01-28,41.689998626708984
2020-04-16,41.70000076293945
2019-11-13,41.650001525878906
2020-01-31,41.36000061035156
2018-12-04,42.119998931884766
2018-11-02,42.0099983215332
2019-07-16,42.61000061035156
2018-08-30,43.0
2018-10-01,42.81999969482422
2019-06-14,43.43000030517578
2019-05-13,43.880001068115234
2019-04-11,44.18000030517578
2019-02-06,44.2400016784668
2019-09-18,44.84000015258789
2020-02-03,44.59000015258789
2020-04-22,44.38999938964844
2019-11-19,44.599998474121094
2020-02-06,44.869998931884766
2019-11-22,44.27000045776367
2019-03-25,44.25
2019-02-21,44.08000183105469
2018-12-19,44.290000915527344
2018-07-12,43.88999938964844
2018-09-14,44.779998779296875
2018-08-13,45.279998779296875
2018-10-16,45.75
2019-07-31,46.0
2019-05-28,46.16999816894531
2019-04-26,45.630001068115234
2020-04-28,43.900001525878906
2019-11-25,43.90999984741211
2020-02-12,44.06999969482422
2020-05-01,44.970001220703125
2020-05-04,46.099998474121094
2019-06-12,45.689998626708984
2019-04-09,46.41999816894531
2019-03-08,46.040000915527344
2019-02-04,44.630001068115234
2018-07-27,44.90999984741211
2018-08-28,43.970001220703125
2019-01-03,42.970001220703125
2019-08-15,43.970001220703125
2018-10-31,43.84000015258789
2019-09-16,45.29999923706055
2020-02-18,45.849998474121094
2020-05-07,47.619998931884766
2018-08-17,47.38999938964844
2019-12-04,47.47999954223633
2020-02-21,48.25
2018-12-17,48.779998779296875
2019-08-30,48.599998474121094
2018-11-15,48.7599983215332
2019-07-29,48.369998931884766
2019-06-27,49.31999969482422
2019-04-24,48.68000030517578
2018-07-10,50.130001068115234
2018-09-12,50.36000061035156
2019-02-19,48.869998931884766
2019-01-18,49.22999954223633
2020-02-24,49.060001373291016
2020-05-13,49.150001525878906
2019-12-10,48.970001220703125
2020-02-27,48.83000183105469
2019-12-13,49.459999084472656
2020-05-19,49.5099983215332
2019-03-06,49.869998931884766
2018-11-30,49.619998931884766
2019-08-13,48.43000030517578
2019-07-12,48.79999923706055
2019-06-10,48.310001373291016
2019-05-09,49.04999923706055
2018-07-25,48.58000183105469
2018-09-27,48.29999923706055
2018-10-29,48.349998474121094
2019-10-16,48.189998626708984
2019-12-16,46.869998931884766
2020-03-04,46.869998931884766
2020-05-22,45.86000061035156
2019-10-01,43.86000061035156
2019-12-19,43.540000915527344
2018-09-10,42.47999954223633
2019-05-24,42.849998474121094
2018-08-09,44.7400016784668
2019-04-22,45.04999923706055
2019-03-21,45.25
2019-01-16,44.43000030517578
2019-08-28,44.869998931884766
2018-11-13,45.619998931884766
2018-10-12,46.779998779296875
2019-06-25,46.91999816894531
2020-03-10,46.81999969482422
2020-05-28,47.52000045776367
2019-10-07,47.86000061035156
2020-03-13,48.380001068115234
2019-10-10,49.22999954223633
2020-03-16,48.630001068115234
2020-06-03,49.70000076293945
2018-11-28,50.08000183105469
2018-09-25,50.849998474121094
2018-07-23,51.11000061035156
2018-08-24,51.2599983215332
2019-07-10,51.58000183105469
2019-05-07,50.779998779296875
2019-04-05,51.65999984741211
2019-03-04,50.0
2019-01-31,52.369998931884766
2019-09-12,52.15999984741211
2019-12-31,51.97999954223633
2020-03-19,52.560001373291016
2020-01-03,52.75
2020-06-09,53.08000183105469
2019-02-15,54.0
2019-01-14,54.0
2018-07-06,55.09000015258789
2018-08-07,55.0
2018-10-10,55.06999969482422
2018-12-13,54.220001220703125
2019-08-26,54.20000076293945
2019-07-25,54.63999938964844
2019-05-22,54.75
2019-03-19,55.470001220703125
2020-01-06,54.91999816894531
2020-03-25,54.58000183105469
2020-06-12,55.2599983215332
2019-10-22,55.060001373291016
2020-01-09,55.43000030517578
2020-06-15,55.25
2019-10-25,56.0
2020-03-31,55.09000015258789
2020-06-18,53.970001220703125
2019-04-03,55.040000915527344
2018-08-22,55.75
2018-10-25,56.790000915527344
2019-01-29,57.0
2018-12-28,57.209999084472656
2018-11-26,57.52000045776367
2019-08-09,58.08000183105469
2019-07-08,58.060001373291016
2019-06-06,58.06999969482422
2019-09-10,58.68000030517578
2020-01-15,57.83000183105469
