Dates,MNST
2018-06-20,56.06999969482422
2018-06-21,55.61000061035156
2018-06-25,56.08000183105469
2018-06-22,56.90999984741211
2018-06-26,56.529998779296875
2018-06-27,56.029998779296875
2018-06-28,55.9900016784668
2018-06-29,56.75
2018-07-02,57.22999954223633
2018-07-03,57.849998474121094
2018-07-05,57.84000015258789
2018-07-16,57.54999923706055
2018-09-18,58.459999084472656
2019-01-24,59.0
2019-09-05,59.11000061035156
2018-11-21,60.75
2020-01-13,61.16999816894531
2020-04-01,61.20000076293945
2020-06-19,60.880001068115234
2019-10-29,61.97999954223633
2020-01-16,61.15999984741211
2020-06-22,61.13999938964844
2018-10-03,61.36000061035156
2018-07-31,60.95000076293945
2019-03-12,61.130001068115234
2019-02-08,62.43000030517578
2019-01-07,61.68000030517578
2018-12-06,60.209999084472656
2019-08-19,59.95000076293945
2019-07-18,59.61000061035156
2019-05-15,58.43000030517578
2019-09-20,59.33000183105469
2019-11-01,59.22999954223633
2020-04-07,59.9900016784668
2020-06-25,59.810001373291016
2020-06-16,60.22999954223633
2019-11-04,60.58000183105469
2020-01-22,61.0
2019-11-07,60.470001220703125
2020-04-13,61.279998779296875
2019-07-01,61.34000015258789
2019-05-30,61.63999938964844
2018-08-15,62.5
2018-10-18,62.45000076293945
2019-03-27,61.75
2019-01-22,60.97999954223633
2018-12-21,60.84000015258789
2019-09-03,61.029998779296875
2018-11-19,60.59000015258789
2019-08-02,60.7599983215332
2020-01-28,61.08000183105469
2020-04-16,60.79999923706055
2019-11-13,60.5099983215332
2020-01-31,60.68000030517578
2018-12-04,61.38999938964844
2018-11-02,60.970001220703125
2019-07-16,60.58000183105469
2018-08-30,59.66999816894531
2018-10-01,58.150001525878906
2019-06-14,58.630001068115234
2019-05-13,59.209999084472656
2019-04-11,59.689998626708984
2019-02-06,59.7400016784668
2019-09-18,59.380001068115234
2020-02-03,59.5
2020-04-22,60.150001525878906
2019-11-19,59.47999954223633
2020-02-06,58.470001220703125
2019-11-22,58.16999816894531
2019-03-25,58.290000915527344
2019-02-21,58.29999923706055
2018-12-19,58.68000030517578
2018-07-12,57.2400016784668
2018-09-14,57.38999938964844
2018-08-13,56.459999084472656
2018-10-16,56.439998626708984
2019-07-31,56.099998474121094
2019-05-28,56.66999816894531
2019-04-26,56.279998779296875
2020-04-28,54.04999923706055
2019-11-25,52.88999938964844
2020-02-12,52.2400016784668
2020-05-01,52.439998626708984
2020-05-04,52.9900016784668
2019-06-12,52.459999084472656
2019-04-09,52.130001068115234
2019-03-08,52.16999816894531
2019-02-04,51.619998931884766
2018-07-27,52.41999816894531
2018-08-28,51.97999954223633
2019-01-03,51.650001525878906
2019-08-15,51.689998626708984
2018-10-31,51.7599983215332
2019-09-16,53.209999084472656
2020-02-18,53.0
2020-05-07,54.59000015258789
2018-08-17,54.349998474121094
2019-12-04,54.619998931884766
2020-02-21,55.2599983215332
2018-12-17,49.65999984741211
2019-08-30,54.959999084472656
2018-11-15,56.560001373291016
2019-07-29,54.779998779296875
2019-06-27,56.11000061035156
2019-04-24,54.400001525878906
2018-07-10,55.34000015258789
2018-09-12,55.88999938964844
2019-02-19,57.68000030517578
2019-01-18,55.95000076293945
2020-02-24,55.88999938964844
2020-05-13,57.5
2019-12-10,56.90999984741211
2020-02-27,57.66999816894531
2019-12-13,58.70000076293945
2020-05-19,59.0
2019-03-06,59.22999954223633
2018-11-30,59.0
2019-08-13,57.540000915527344
2019-07-12,57.88999938964844
2019-06-10,57.02000045776367
2019-05-09,57.560001373291016
2018-07-25,58.27000045776367
2018-09-27,55.630001068115234
2018-10-29,53.029998779296875
2019-10-16,52.63999938964844
2019-12-16,51.779998779296875
2020-03-04,51.279998779296875
2020-05-22,49.45000076293945
2019-10-01,49.34000015258789
2019-12-19,48.25
2018-09-10,48.11000061035156
2019-05-24,48.540000915527344
2018-08-09,49.52000045776367
2019-04-22,49.130001068115234
2019-03-21,48.560001373291016
2019-01-16,48.400001525878906
2019-08-28,48.5099983215332
2018-11-13,49.400001525878906
2018-10-12,51.7400016784668
2019-06-25,53.06999969482422
2020-03-10,53.25
2020-05-28,53.27000045776367
2019-10-07,53.81999969482422
2020-03-13,54.189998626708984
2019-10-10,54.40999984741211
2020-03-16,53.900001525878906
2020-06-03,54.849998474121094
2018-11-28,55.349998474121094
2018-09-25,55.380001068115234
2018-07-23,55.099998474121094
2018-08-24,55.77000045776367
2019-07-10,55.540000915527344
2019-05-07,55.72999954223633
2019-04-05,55.54999923706055
2019-03-04,56.2400016784668
2019-01-31,57.380001068115234
2019-09-12,58.0099983215332
2019-12-31,58.34000015258789
2020-03-19,57.43000030517578
2020-01-03,57.150001525878906
2020-06-09,57.18000030517578
2019-02-15,57.939998626708984
2019-01-14,57.97999954223633
2018-07-06,59.0099983215332
2018-08-07,58.810001373291016
2018-10-10,59.0
2018-12-13,58.5
2019-08-26,58.380001068115234
2019-07-25,58.459999084472656
2019-05-22,58.79999923706055
2019-03-19,59.08000183105469
2020-01-06,58.61000061035156
2020-03-25,58.33000183105469
2020-06-12,63.220001220703125
2019-10-22,64.37000274658203
2020-01-09,64.7699966430664
2020-06-15,64.5
2019-10-25,62.72999954223633
2020-03-31,62.0
2020-06-18,61.22999954223633
2019-04-03,60.5
2018-08-22,60.7400016784668
2018-10-25,60.11000061035156
2019-01-29,59.70000076293945
2018-12-28,60.0
2018-11-26,60.33000183105469
2019-08-09,58.880001068115234
2019-07-08,56.83000183105469
2019-06-06,56.650001525878906
2019-09-10,54.209999084472656
2020-01-15,53.52000045776367
2020-04-03,54.72999954223633
2019-10-31,55.43000030517578
2020-04-06,54.790000915527344
2020-06-24,54.54999923706055
2018-11-09,54.380001068115234
2019-07-23,52.9900016784668
2019-06-21,53.5
2019-05-20,52.7599983215332
2019-04-18,53.22999954223633
2018-09-06,53.06999969482422
2018-10-08,53.029998779296875
2019-02-13,54.70000076293945
2018-12-11,55.16999816894531
2019-09-25,54.75
2020-01-21,53.0
2020-04-09,54.09000015258789
2019-11-06,54.36000061035156
2020-01-24,55.22999954223633
2020-01-27,55.040000915527344
2020-04-15,54.9900016784668
2018-12-26,56.38999938964844
2019-08-07,56.2599983215332
2019-06-04,58.33000183105469
2018-09-21,59.459999084472656
2018-07-19,59.18000030517578
2018-08-20,59.47999954223633
2018-10-23,57.9900016784668
2019-05-03,62.900001525878906
2019-04-01,62.04999923706055
2019-02-28,62.130001068115234
2019-11-12,61.470001220703125
2020-01-30,61.15999984741211
2019-11-15,61.599998474121094
2020-04-21,62.220001220703125
2019-04-16,62.099998474121094
2019-03-15,62.25
