Dates,MNST
2018-06-20,1759100.0
2018-06-21,2917000.0
2018-06-25,3155800.0
2018-06-22,2860900.0
2018-06-26,1600700.0
2018-06-27,1949000.0
2018-06-28,1957100.0
2018-06-29,3177000.0
2018-07-02,2286300.0
2018-07-03,1160200.0
2018-07-05,2879800.0
2018-07-16,1757000.0
2018-09-18,1252300.0
2019-01-24,2249900.0
2019-09-05,3523700.0
2018-11-21,1838300.0
2020-01-13,1348800.0
2020-04-01,1460600.0
2020-06-19,1754500.0
2019-10-29,2395600.0
2020-01-16,1905800.0
2020-06-22,2228000.0
2018-10-03,1441400.0
2018-07-31,2181700.0
2019-03-12,2050600.0
2019-02-08,1410500.0
2019-01-07,2021400.0
2018-12-06,2424700.0
2019-08-19,4477200.0
2019-07-18,3199300.0
2019-05-15,2471700.0
2019-09-20,2314800.0
2019-11-01,2986200.0
2020-04-07,3026700.0
2020-06-25,2356900.0
2020-06-16,4366400.0
2019-11-04,2051500.0
2020-01-22,1614600.0
2019-11-07,2454000.0
2020-04-13,3401700.0
2019-07-01,1365300.0
2019-05-30,1756200.0
2018-08-15,2536300.0
2018-10-18,2851000.0
2019-03-27,1478200.0
2019-01-22,1754500.0
2018-12-21,1330400.0
2019-09-03,2350700.0
2018-11-19,1650500.0
2019-08-02,1522100.0
2020-01-28,2202500.0
2020-04-16,2823400.0
2019-11-13,1394000.0
2020-01-31,2196300.0
2018-12-04,1829000.0
2018-11-02,2252800.0
2019-07-16,2019500.0
2018-08-30,5504900.0
2018-10-01,4861500.0
2019-06-14,6829400.0
2019-05-13,3383500.0
2019-04-11,1942600.0
2019-02-06,2971500.0
2019-09-18,1920000.0
2020-02-03,3049200.0
2020-04-22,6213500.0
2019-11-19,3128800.0
2020-02-06,1780500.0
2019-11-22,2493000.0
2019-03-25,2560200.0
2019-02-21,2507200.0
2018-12-19,2294800.0
2018-07-12,4635000.0
2018-09-14,2736200.0
2018-08-13,3088900.0
2018-10-16,2898400.0
2019-07-31,2376400.0
2019-05-28,2470600.0
2019-04-26,3379500.0
2020-04-28,2928000.0
2019-11-25,2675800.0
2020-02-12,2687100.0
2020-05-01,2642700.0
2020-05-04,2947000.0
2019-06-12,3537900.0
2019-04-09,2820200.0
2019-03-08,2262900.0
2019-02-04,4085900.0
2018-07-27,4419300.0
2018-08-28,3743700.0
2019-01-03,3803000.0
2019-08-15,3311400.0
2018-10-31,3431600.0
2019-09-16,3156200.0
2020-02-18,3075300.0
2020-05-07,3373300.0
2018-08-17,2542600.0
2019-12-04,2017600.0
2020-02-21,4988700.0
2018-12-17,14136900.0
2019-08-30,5341000.0
2018-11-15,5010900.0
2019-07-29,2757900.0
2019-06-27,3849300.0
2019-04-24,2837900.0
2018-07-10,2202300.0
2018-09-12,4079900.0
2019-02-19,4630300.0
2019-01-18,3513200.0
2020-02-24,1782900.0
2020-05-13,4391400.0
2019-12-10,3327900.0
2020-02-27,3139000.0
2019-12-13,2677600.0
2020-05-19,2855900.0
2019-03-06,3472900.0
2018-11-30,5522300.0
2019-08-13,4617200.0
2019-07-12,3688100.0
2019-06-10,3804300.0
2019-05-09,3847300.0
2018-07-25,3056700.0
2018-09-27,4248900.0
2018-10-29,3614600.0
2019-10-16,3235700.0
2019-12-16,3229700.0
2020-03-04,3160400.0
2020-05-22,3304200.0
2019-10-01,5869900.0
2019-12-19,1998900.0
2018-09-10,3738500.0
2019-05-24,2468300.0
2018-08-09,2803000.0
2019-04-22,2261500.0
2019-03-21,3750800.0
2019-01-16,5763300.0
2019-08-28,4035300.0
2018-11-13,3326100.0
2018-10-12,6029700.0
2019-06-25,6238400.0
2020-03-10,6413900.0
2020-05-28,3970500.0
2019-10-07,3077600.0
2020-03-13,2269200.0
2019-10-10,3375500.0
2020-03-16,2564800.0
2020-06-03,3983800.0
2018-11-28,2826000.0
2018-09-25,2970500.0
2018-07-23,3008600.0
2018-08-24,1848200.0
2019-07-10,1865900.0
2019-05-07,1508300.0
2019-04-05,2000300.0
2019-03-04,2730800.0
2019-01-31,3013300.0
2019-09-12,4462000.0
2019-12-31,5050300.0
2020-03-19,2696300.0
2020-01-03,1627700.0
2020-06-09,1535700.0
2019-02-15,1516700.0
2019-01-14,2214100.0
2018-07-06,1724300.0
2018-08-07,2956700.0
2018-10-10,2613200.0
2018-12-13,3420300.0
2019-08-26,2736200.0
2019-07-25,2856100.0
2019-05-22,2560000.0
2019-03-19,2430000.0
2020-01-06,1785100.0
2020-03-25,5123400.0
2020-06-12,10474100.0
2019-10-22,3850300.0
2020-01-09,3585800.0
2020-06-15,5124400.0
2019-10-25,4753400.0
2020-03-31,5391900.0
2020-06-18,2963200.0
2019-04-03,4192700.0
2018-08-22,5498600.0
2018-10-25,3893000.0
2019-01-29,4135400.0
2018-12-28,6263300.0
2018-11-26,3055700.0
2019-08-09,6599700.0
2019-07-08,9131600.0
2019-06-06,11709700.0
2019-09-10,8341000.0
2020-01-15,6387900.0
2020-04-03,8288400.0
2019-10-31,3716900.0
2020-04-06,4523200.0
2020-06-24,4901500.0
2018-11-09,5337600.0
2019-07-23,7487300.0
2019-06-21,4976500.0
2019-05-20,3448400.0
2019-04-18,3193000.0
2018-09-06,3207800.0
2018-10-08,6231600.0
2019-02-13,5641400.0
2018-12-11,8056900.0
2019-09-25,6158300.0
2020-01-21,3030700.0
2020-04-09,4219100.0
2019-11-06,3962800.0
2020-01-24,4216200.0
2020-01-27,2591600.0
2020-04-15,4652100.0
2018-12-26,3668800.0
2019-08-07,4615600.0
2019-06-04,5413100.0
2018-09-21,4253500.0
2018-07-19,4565200.0
2018-08-20,3636500.0
2018-10-23,4844700.0
2019-05-03,9902700.0
2019-04-01,2937900.0
2019-02-28,3709100.0
2019-11-12,3259000.0
2020-01-30,2777900.0
2019-11-15,3587600.0
2020-04-21,3274600.0
2019-04-16,3035600.0
2019-03-15,2950400.0
2019-02-11,2669600.0
2019-01-10,1900000.0
2019-08-22,2113400.0
2018-11-07,1772500.0
2018-08-03,2715200.0
2018-09-04,2279900.0
2019-06-19,1411800.0
2019-09-23,3015500.0
2019-11-18,2842600.0
2020-02-05,1509100.0
2020-04-24,2623300.0
2019-03-29,2568200.0
2019-11-21,2897400.0
2020-04-27,3939100.0
2020-02-11,2599000.0
2020-04-30,6758000.0
2019-05-01,3033100.0
2019-02-26,3890300.0
2019-01-25,1992400.0
2018-12-24,5778500.0
2019-09-06,3756700.0
2018-07-17,3933900.0
2018-09-19,2238100.0
2019-08-05,1873900.0
2019-10-08,2217400.0
2019-12-11,3557700.0
2019-11-27,1793000.0
2020-02-14,1711500.0
2020-05-06,2138000.0
2019-01-08,2655300.0
2018-12-07,2905000.0
2019-08-20,2404300.0
2018-11-05,1663700.0
2019-07-19,2746200.0
2018-10-04,1094100.0
2019-06-17,2122900.0
2019-05-16,2264300.0
2018-08-01,2286800.0
2019-03-13,1649200.0
2019-12-03,1606400.0
2020-02-20,1373600.0
2019-12-06,2145400.0
2020-05-12,1690900.0
2019-12-09,2016700.0
2020-02-26,3869900.0
2020-05-15,1886000.0
2019-03-28,2528800.0
2018-09-17,1778800.0
2018-08-16,1352400.0
2018-10-19,1709100.0
2019-04-29,2192000.0
