Dates,ILMN
2018-06-20,287.6499938964844
2018-06-21,286.04998779296875
2018-06-25,282.6499938964844
2018-06-22,274.4599914550781
2018-06-26,275.510009765625
2018-06-27,270.5799865722656
2018-06-28,275.5400085449219
2018-06-29,279.2900085449219
2018-07-02,279.0400085449219
2018-07-03,280.7699890136719
2018-07-05,280.489990234375
2018-07-16,286.1300048828125
2018-09-18,288.760009765625
2019-01-24,291.44000244140625
2019-09-05,294.55999755859375
2018-11-21,304.69000244140625
2020-01-13,306.989990234375
2020-04-01,301.989990234375
2020-06-19,305.489990234375
2019-10-29,307.2799987792969
2020-01-16,309.1000061035156
2020-06-22,311.1499938964844
2018-10-03,311.0400085449219
2018-07-31,308.6400146484375
2019-03-12,315.8299865722656
2019-02-08,311.5899963378906
2019-01-07,301.1499938964844
2018-12-06,289.239990234375
2019-08-19,324.3599853515625
2019-07-18,323.2300109863281
2019-05-15,332.5
2019-09-20,332.489990234375
2019-11-01,332.3599853515625
2020-04-07,337.1600036621094
2020-06-25,338.1000061035156
2020-06-16,333.5
2019-11-04,330.25
2020-01-22,327.29998779296875
2019-11-07,330.1700134277344
2020-04-13,327.82000732421875
2019-07-01,326.9800109863281
2019-05-30,325.8800048828125
2018-08-15,325.989990234375
2018-10-18,331.44000244140625
2019-03-27,335.7799987792969
2019-01-22,335.7200012207031
2018-12-21,340.6000061035156
2019-09-03,345.1199951171875
2018-11-19,344.760009765625
2019-08-02,350.6300048828125
2020-01-28,353.010009765625
2020-04-16,354.8299865722656
2019-11-13,353.010009765625
2020-01-31,346.3500061035156
2018-12-04,348.2900085449219
2018-11-02,345.0400085449219
2019-07-16,349.3699951171875
2018-08-30,352.32000732421875
2018-10-01,349.82000732421875
2019-06-14,355.9100036621094
2019-05-13,353.1199951171875
2019-04-11,347.2200012207031
2019-02-06,350.8800048828125
2019-09-18,350.3699951171875
2020-02-03,356.32000732421875
2020-04-22,358.1600036621094
2019-11-19,358.25
2020-02-06,359.010009765625
2019-11-22,361.45001220703125
2019-03-25,366.9800109863281
2019-02-21,367.05999755859375
2018-12-19,366.5400085449219
2018-07-12,362.1400146484375
2018-09-14,359.6000061035156
2018-08-13,344.7099914550781
2018-10-16,329.5199890136719
2019-07-31,325.8900146484375
2019-05-28,323.739990234375
2019-04-26,304.760009765625
2020-04-28,307.45001220703125
2019-11-25,321.69000244140625
2020-02-12,313.4100036621094
2020-05-01,326.5799865722656
2020-05-04,328.9599914550781
2019-06-12,321.45001220703125
2019-04-09,313.1000061035156
2019-03-08,317.2300109863281
2019-02-04,313.79998779296875
2018-07-27,289.5
2018-08-28,298.1400146484375
2019-01-03,295.1000061035156
2019-08-15,292.25
2018-10-31,303.75
2019-09-16,311.1499938964844
2020-02-18,312.739990234375
2020-05-07,328.1000061035156
2018-08-17,324.1400146484375
2019-12-04,322.7300109863281
2020-02-21,342.67999267578125
2018-12-17,339.54998779296875
2019-08-30,329.25
2018-11-15,310.3900146484375
2019-07-29,311.17999267578125
2019-06-27,308.2300109863281
2019-04-24,319.510009765625
2018-07-10,319.92999267578125
2018-09-12,301.5899963378906
2019-02-19,301.0799865722656
2019-01-18,309.8800048828125
2020-02-24,310.5
2020-05-13,316.7900085449219
2019-12-10,321.7900085449219
2020-02-27,334.3299865722656
2019-12-13,337.9599914550781
2020-05-19,337.5
2019-03-06,350.25
2018-11-30,334.2099914550781
2019-08-13,334.32000732421875
2019-07-12,321.4100036621094
2019-06-10,323.04998779296875
2019-05-09,328.8999938964844
2018-07-25,336.9200134277344
2018-09-27,334.6199951171875
2018-10-29,326.4599914550781
2019-10-16,310.8900146484375
2019-12-16,313.5799865722656
2020-03-04,303.3999938964844
2020-05-22,292.25
2019-10-01,278.8599853515625
2019-12-19,272.4599914550781
2018-09-10,293.3500061035156
2019-05-24,299.54998779296875
2018-08-09,298.2300109863281
2019-04-22,299.92999267578125
2019-03-21,294.5199890136719
2019-01-16,284.239990234375
2019-08-28,302.69000244140625
2018-11-13,307.8900146484375
2018-10-12,293.75
2019-06-25,305.239990234375
2020-03-10,309.7699890136719
2020-05-28,307.07000732421875
2019-10-07,299.19000244140625
2020-03-13,305.4800109863281
2019-10-10,305.6300048828125
2020-03-16,310.04998779296875
2020-06-03,312.75
2018-11-28,303.6199951171875
2018-09-25,302.2900085449219
2018-07-23,301.05999755859375
2018-08-24,293.8800048828125
2019-07-10,287.67999267578125
2019-05-07,285.260009765625
2019-04-05,272.57000732421875
2019-03-04,279.7900085449219
2019-01-31,282.8599853515625
2019-09-12,281.0400085449219
2019-12-31,281.8699951171875
2020-03-19,284.17999267578125
2020-01-03,276.5199890136719
2020-06-09,284.1000061035156
2019-02-15,284.3699951171875
2019-01-14,292.20001220703125
2018-07-06,293.5199890136719
2018-08-07,292.4700012207031
2018-10-10,299.82000732421875
2018-12-13,302.260009765625
2019-08-26,302.239990234375
2019-07-25,296.8800048828125
2019-05-22,301.05999755859375
2019-03-19,304.739990234375
2020-01-06,301.2099914550781
2020-03-25,309.1600036621094
2020-06-12,312.7699890136719
2019-10-22,321.17999267578125
2020-01-09,307.70001220703125
2020-06-15,303.79998779296875
2019-10-25,298.6600036621094
2020-03-31,292.05999755859375
2020-06-18,294.5299987792969
2019-04-03,300.17999267578125
2018-08-22,305.2699890136719
2018-10-25,308.2699890136719
2019-01-29,309.20001220703125
2018-12-28,309.8399963378906
2018-11-26,305.7799987792969
2019-08-09,310.70001220703125
2019-07-08,315.29998779296875
2019-06-06,319.2099914550781
2019-09-10,308.7900085449219
2020-01-15,303.7099914550781
2020-04-03,307.5
2019-10-31,302.07000732421875
2020-04-06,305.1400146484375
2020-06-24,310.69000244140625
2018-11-09,316.8399963378906
2019-07-23,316.1000061035156
2019-06-21,319.20001220703125
2019-05-20,315.0199890136719
2019-04-18,323.5
2018-09-06,323.6099853515625
2018-10-08,316.6400146484375
2019-02-13,324.8599853515625
2018-12-11,328.5199890136719
2019-09-25,338.3699951171875
2020-01-21,335.1199951171875
2020-04-09,329.5
2019-11-06,318.69000244140625
2020-01-24,319.0299987792969
2020-01-27,319.0899963378906
2020-04-15,322.05999755859375
2018-12-26,314.5199890136719
2019-08-07,319.20001220703125
2019-06-04,314.0400085449219
2018-09-21,312.0400085449219
2018-07-19,312.0
2018-08-20,310.1199951171875
2018-10-23,312.69000244140625
2019-05-03,325.5199890136719
2019-04-01,324.760009765625
2019-02-28,320.510009765625
2019-11-12,319.42999267578125
2020-01-30,317.3699951171875
2019-11-15,315.80999755859375
2020-04-21,300.8699951171875
2019-04-16,304.55999755859375
2019-03-15,306.5799865722656
2019-02-11,309.8500061035156
2019-01-10,307.6300048828125
2019-08-22,300.5899963378906
2018-11-07,306.4700012207031
2018-08-03,312.8299865722656
2018-09-04,308.9700012207031
2019-06-19,312.45001220703125
2019-09-23,313.0
