Dates,ILMN
2018-06-20,287.0
2018-06-21,288.45001220703125
2018-06-25,286.8999938964844
2018-06-22,282.3500061035156
2018-06-26,275.54998779296875
2018-06-27,276.489990234375
2018-06-28,270.25
2018-06-29,276.8599853515625
2018-07-02,278.8999938964844
2018-07-03,280.6499938964844
2018-07-05,280.5199890136719
2018-07-16,281.3800048828125
2018-09-18,287.489990234375
2019-01-24,290.8599853515625
2019-09-05,288.5199890136719
2018-11-21,295.57000732421875
2020-01-13,303.3800048828125
2020-04-01,314.9599914550781
2020-06-19,300.1000061035156
2019-10-29,305.510009765625
2020-01-16,306.32000732421875
2020-06-22,309.69000244140625
2018-10-03,311.1499938964844
2018-07-31,313.2200012207031
2019-03-12,308.0
2019-02-08,317.1600036621094
2019-01-07,312.7200012207031
2018-12-06,297.9700012207031
2019-08-19,313.1099853515625
2019-07-18,324.1400146484375
2019-05-15,320.70001220703125
2019-09-20,331.9100036621094
2019-11-01,332.7900085449219
2020-04-07,337.9100036621094
2020-06-25,336.5299987792969
2020-06-16,338.5799865722656
2019-11-04,331.6300048828125
2020-01-22,330.0
2019-11-07,329.1300048828125
2020-04-13,327.5899963378906
2019-07-01,329.3500061035156
2019-05-30,329.0
2018-08-15,326.0400085449219
2018-10-18,326.1199951171875
2019-03-27,330.0199890136719
2019-01-22,335.9599914550781
2018-12-21,335.4700012207031
2019-09-03,342.2200012207031
2018-11-19,348.010009765625
2019-08-02,346.1700134277344
2020-01-28,349.8500061035156
2020-04-16,352.8599853515625
2019-11-13,354.17999267578125
2020-01-31,352.8999938964844
2018-12-04,349.1099853515625
2018-11-02,345.1400146484375
2019-07-16,346.79998779296875
2018-08-30,348.7699890136719
2018-10-01,351.6600036621094
2019-06-14,350.95001220703125
2019-05-13,357.6000061035156
2019-04-11,353.04998779296875
2019-02-06,348.1700134277344
2019-09-18,350.0899963378906
2020-02-03,352.3999938964844
2020-04-22,358.1000061035156
2019-11-19,356.32000732421875
2020-02-06,358.75
2019-11-22,361.5400085449219
2019-03-25,363.0
