Dates,ILMN
2018-06-20,651100.0
2018-06-21,442100.0
2018-06-25,2279900.0
2018-06-22,1370200.0
2018-06-26,1335200.0
2018-06-27,670700.0
2018-06-28,787600.0
2018-06-29,654100.0
2018-07-02,497100.0
2018-07-03,439600.0
2018-07-05,504800.0
2018-07-16,663000.0
2018-09-18,642500.0
2019-01-24,1120800.0
2019-09-05,784300.0
2018-11-21,1294200.0
2020-01-13,970600.0
2020-04-01,694900.0
2020-06-19,675800.0
2019-10-29,630100.0
2020-01-16,543400.0
2020-06-22,835300.0
2018-10-03,699000.0
2018-07-31,1078400.0
2019-03-12,589800.0
2019-02-08,984200.0
2019-01-07,1257300.0
2018-12-06,1879800.0
2019-08-19,3590200.0
2019-07-18,1468400.0
2019-05-15,1221600.0
2019-09-20,1526500.0
2019-11-01,809000.0
2020-04-07,989400.0
2020-06-25,795100.0
2020-06-16,861000.0
2019-11-04,913700.0
2020-01-22,953100.0
2019-11-07,810700.0
2020-04-13,655100.0
2019-07-01,1238400.0
2019-05-30,1772500.0
2018-08-15,1206800.0
2018-10-18,929300.0
2019-03-27,595200.0
2019-01-22,775400.0
2018-12-21,793300.0
2019-09-03,747300.0
2018-11-19,1029300.0
2019-08-02,714200.0
2020-01-28,658800.0
2020-04-16,1236000.0
2019-11-13,874800.0
2020-01-31,1144200.0
2018-12-04,786000.0
2018-11-02,703200.0
2019-07-16,535700.0
2018-08-30,475000.0
2018-10-01,550700.0
2019-06-14,613900.0
2019-05-13,557000.0
2019-04-11,559900.0
2019-02-06,516700.0
2019-09-18,423300.0
2020-02-03,577000.0
2020-04-22,1171300.0
2019-11-19,483300.0
2020-02-06,727900.0
2019-11-22,744400.0
2019-03-25,598700.0
2019-02-21,804800.0
2018-12-19,685300.0
2018-07-12,717900.0
2018-09-14,490800.0
2018-08-13,1230100.0
2018-10-16,2095700.0
2019-07-31,1120100.0
2019-05-28,775500.0
2019-04-26,2123100.0
2020-04-28,1779000.0
2019-11-25,1923300.0
2020-02-12,774800.0
2020-05-01,1650000.0
2020-05-04,835100.0
2019-06-12,1012100.0
2019-04-09,1482900.0
2019-03-08,903100.0
2019-02-04,1727800.0
2018-07-27,2769600.0
2018-08-28,1556400.0
2019-01-03,1524700.0
2019-08-15,1355000.0
2018-10-31,1232300.0
2019-09-16,1227900.0
2020-02-18,970900.0
2020-05-07,1859300.0
2018-08-17,801000.0
2019-12-04,852500.0
2020-02-21,1273200.0
2018-12-17,1399500.0
2019-08-30,1192400.0
2018-11-15,1396700.0
2019-07-29,998200.0
2019-06-27,753700.0
2019-04-24,1106300.0
2018-07-10,926000.0
2018-09-12,1371000.0
2019-02-19,1675000.0
2019-01-18,948600.0
2020-02-24,419700.0
2020-05-13,811700.0
2019-12-10,747500.0
2020-02-27,1086000.0
2019-12-13,872700.0
2020-05-19,1212600.0
2019-03-06,1513600.0
2018-11-30,1660200.0
2019-08-13,1489700.0
2019-07-12,1086500.0
2019-06-10,844900.0
2019-05-09,680000.0
2018-07-25,868100.0
2018-09-27,571700.0
2018-10-29,877600.0
2019-10-16,1221000.0
2019-12-16,1016600.0
2020-03-04,1250000.0
2020-05-22,1679700.0
2019-10-01,2327900.0
2019-12-19,797800.0
2018-09-10,1268400.0
2019-05-24,1364100.0
2018-08-09,738100.0
2019-04-22,647200.0
2019-03-21,806900.0
2019-01-16,1225300.0
2019-08-28,1379200.0
2018-11-13,1046900.0
2018-10-12,2564700.0
2019-06-25,1226200.0
2020-03-10,888100.0
2020-05-28,679100.0
2019-10-07,712400.0
2020-03-13,820200.0
2019-10-10,768500.0
2020-03-16,504400.0
2020-06-03,1016500.0
2018-11-28,805100.0
2018-09-25,777200.0
2018-07-23,617200.0
2018-08-24,1389500.0
2019-07-10,1262000.0
2019-05-07,1317600.0
2019-04-05,2721100.0
2019-03-04,1646200.0
2019-01-31,1051000.0
2019-09-12,837900.0
2019-12-31,972700.0
2020-03-19,757400.0
2020-01-03,925100.0
2020-06-09,1196400.0
2019-02-15,651600.0
2019-01-14,772900.0
2018-07-06,946100.0
2018-08-07,644000.0
2018-10-10,773600.0
2018-12-13,929000.0
2019-08-26,854300.0
2019-07-25,617000.0
2019-05-22,545200.0
2019-03-19,635200.0
2020-01-06,962400.0
2020-03-25,720300.0
2020-06-12,1611900.0
2019-10-22,1095400.0
2020-01-09,1368800.0
2020-06-15,632200.0
2019-10-25,783200.0
2020-03-31,1220400.0
2020-06-18,944600.0
2019-04-03,697400.0
2018-08-22,965200.0
2018-10-25,700100.0
2019-01-29,563700.0
2018-12-28,1466000.0
2018-11-26,713200.0
2019-08-09,840100.0
2019-07-08,936300.0
2019-06-06,758900.0
2019-09-10,1008900.0
2020-01-15,729400.0
2020-04-03,552800.0
2019-10-31,702100.0
2020-04-06,531700.0
2020-06-24,855900.0
2018-11-09,948600.0
2019-07-23,667500.0
2019-06-21,806600.0
2019-05-20,543400.0
