Dates,DUK
2018-06-20,3660900.0
2018-06-21,4198700.0
2018-06-25,3184200.0
2018-06-22,4768200.0
2018-06-26,4402500.0
2018-06-27,3978400.0
2018-06-28,2659400.0
2018-06-29,3385000.0
2018-07-02,2570000.0
2018-07-03,2568600.0
2018-07-05,3964600.0
2018-07-16,2963000.0
2018-09-18,4505700.0
2019-01-24,3763200.0
2019-09-05,3921000.0
2018-11-21,3655400.0
2020-01-13,3366200.0
2020-04-01,4171500.0
2020-06-19,2271400.0
2019-10-29,3103400.0
2020-01-16,3009000.0
2020-06-22,3013500.0
2018-10-03,2844900.0
2018-07-31,4065500.0
2019-03-12,2582100.0
2019-02-08,2812000.0
2019-01-07,2097200.0
2018-12-06,2306900.0
2019-08-19,3691100.0
2019-07-18,3478500.0
2019-05-15,4075600.0
2019-09-20,3122300.0
2019-11-01,3285600.0
2020-04-07,2629400.0
2020-06-25,2429900.0
2020-06-16,1658000.0
2019-11-04,3467100.0
2020-01-22,4051000.0
2019-11-07,2379000.0
2020-04-13,3683400.0
2019-07-01,3104900.0
2019-05-30,3090200.0
2018-08-15,2643600.0
2018-10-18,2623400.0
2019-03-27,3050000.0
2019-01-22,1828100.0
2018-12-21,2296600.0
2019-09-03,2559200.0
2018-11-19,2307900.0
2019-08-02,2322700.0
2020-01-28,2738700.0
2020-04-16,3837400.0
2019-11-13,2887100.0
2020-01-31,4884700.0
2018-12-04,3213600.0
2018-11-02,3113000.0
2019-07-16,4512800.0
2018-08-30,4085500.0
2018-10-01,4646300.0
2019-06-14,4725200.0
2019-05-13,3102700.0
2019-04-11,3052100.0
2019-02-06,4191000.0
2019-09-18,4469600.0
2020-02-03,4074900.0
2020-04-22,15566200.0
2019-11-19,3633700.0
2020-02-06,4748700.0
2019-11-22,5169800.0
2019-03-25,3256000.0
2019-02-21,4540900.0
2018-12-19,2727200.0
2018-07-12,2509500.0
2018-09-14,4127400.0
2018-08-13,3620300.0
2018-10-16,4824800.0
2019-07-31,4450200.0
2019-05-28,4204200.0
2019-04-26,5042100.0
2020-04-28,6074700.0
2019-11-25,5821700.0
2020-02-12,3018400.0
2020-05-01,3333200.0
2020-05-04,2670600.0
2019-06-12,4274200.0
2019-04-09,4395800.0
2019-03-08,4275800.0
2019-02-04,4882800.0
2018-07-27,4890200.0
2018-08-28,6787900.0
2019-01-03,5326900.0
2019-08-15,4157900.0
2018-10-31,2996000.0
2019-09-16,4084000.0
2020-02-18,6994300.0
2020-05-07,7038400.0
2018-08-17,3057700.0
2019-12-04,2642900.0
2020-02-21,2981500.0
2018-12-17,3002400.0
2019-08-30,4432500.0
2018-11-15,3250900.0
2019-07-29,2833200.0
2019-06-27,3860600.0
2019-04-24,4481100.0
2018-07-10,3351200.0
2018-09-12,4114400.0
2019-02-19,6879300.0
2019-01-18,3640300.0
2020-02-24,1448300.0
2020-05-13,2169100.0
2019-12-10,2383400.0
2020-02-27,2950200.0
2019-12-13,2940100.0
2020-05-19,4829300.0
2019-03-06,3904800.0
2018-11-30,5598100.0
2019-08-13,4758300.0
2019-07-12,4985100.0
2019-06-10,3904000.0
2019-05-09,4707000.0
2018-07-25,5225800.0
2018-09-27,4180900.0
2018-10-29,3651900.0
2019-10-16,5527300.0
2019-12-16,4224100.0
2020-03-04,4832800.0
2020-05-22,4622300.0
2019-10-01,6798600.0
2019-12-19,2752700.0
2018-09-10,2616900.0
2019-05-24,3081700.0
2018-08-09,2447500.0
2019-04-22,2240100.0
2019-03-21,2857400.0
2019-01-16,2959700.0
2019-08-28,3278100.0
2018-11-13,3060200.0
2018-10-12,2350500.0
2019-06-25,3264400.0
2020-03-10,3758000.0
2020-05-28,3082400.0
2019-10-07,3931000.0
2020-03-13,2722900.0
2019-10-10,2279100.0
2020-03-16,1895700.0
2020-06-03,2842600.0
2018-11-28,2693600.0
2018-09-25,2629400.0
2018-07-23,2504400.0
2018-08-24,2472900.0
2019-07-10,2079100.0
2019-05-07,3625500.0
2019-04-05,2215100.0
2019-03-04,6869400.0
2019-01-31,3207100.0
2019-09-12,3301800.0
2019-12-31,3464300.0
2020-03-19,2467400.0
2020-01-03,2844600.0
2020-06-09,3716600.0
2019-02-15,2428100.0
2019-01-14,2676900.0
2018-07-06,5281400.0
2018-08-07,3987400.0
2018-10-10,4472900.0
2018-12-13,4358600.0
2019-08-26,3471200.0
2019-07-25,3167800.0
2019-05-22,2538500.0
2019-03-19,2551000.0
2020-01-06,3234500.0
2020-03-25,2112500.0
2020-06-12,4137300.0
2019-10-22,5613700.0
2020-01-09,3104400.0
2020-06-15,3513400.0
2019-10-25,3121400.0
2020-03-31,3531000.0
2020-06-18,2443800.0
2019-04-03,3720200.0
2018-08-22,4583700.0
2018-10-25,4510500.0
2019-01-29,3600300.0
2018-12-28,7614200.0
2018-11-26,3977000.0
2019-08-09,4656600.0
2019-07-08,3838800.0
2019-06-06,4461100.0
2019-09-10,4174400.0
2020-01-15,3350900.0
2020-04-03,3342100.0
2019-10-31,3592200.0
2020-04-06,4565800.0
2020-06-24,5434800.0
2018-11-09,4555500.0
2019-07-23,3386400.0
2019-06-21,2998800.0
2019-05-20,4847600.0
2019-04-18,5433200.0
2018-09-06,3115500.0
2018-10-08,2475300.0
2019-02-13,3412300.0
2018-12-11,2424500.0
2019-09-25,3520900.0
2020-01-21,2808900.0
2020-04-09,3166400.0
2019-11-06,4518200.0
2020-01-24,2822400.0
2020-01-27,2615800.0
2020-04-15,2336800.0
2018-12-26,1942400.0
2019-08-07,2506600.0
2019-06-04,1921400.0
2018-09-21,2370800.0
2018-07-19,3242700.0
2018-08-20,2323400.0
2018-10-23,2656600.0
2019-05-03,2988600.0
2019-04-01,2659600.0
2019-02-28,2546200.0
2019-11-12,2832400.0
2020-01-30,3165000.0
2019-11-15,2965400.0
2020-04-21,4046600.0
2019-04-16,4955500.0
2019-03-15,3653200.0
2019-02-11,4151900.0
2019-01-10,4428300.0
2019-08-22,3100200.0
2018-11-07,2728300.0
2018-08-03,2225700.0
2018-09-04,3862000.0
2019-06-19,1987700.0
2019-09-23,3837700.0
2019-11-18,2319000.0
2020-02-05,2319200.0
2020-04-24,3182500.0
2019-03-29,3061800.0
2019-11-21,2498700.0
2020-04-27,2819200.0
2020-02-11,2985500.0
2020-04-30,3243300.0
2019-05-01,3028400.0
2019-02-26,2841300.0
2019-01-25,2893800.0
2018-12-24,3753100.0
2019-09-06,3237600.0
2018-07-17,2448600.0
2018-09-19,2532600.0
2019-08-05,2683200.0
2019-10-08,2428300.0
2019-12-11,6867500.0
2019-11-27,3305700.0
2020-02-14,3996800.0
2020-05-06,3437000.0
2019-01-08,2726700.0
2018-12-07,3875700.0
2019-08-20,2848000.0
2018-11-05,2039000.0
2019-07-19,1717600.0
2018-10-04,1744000.0
2019-06-17,2046900.0
2019-05-16,2598000.0
2018-08-01,2401700.0
2019-03-13,2379100.0
2019-12-03,2101400.0
2020-02-20,1847700.0
2019-12-06,1727100.0
2020-05-12,2102700.0
2019-12-09,1911700.0
2020-02-26,2408000.0
2020-05-15,2160300.0
2019-03-28,3141800.0
2018-09-17,2386500.0
2018-08-16,2680300.0
2018-10-19,2426000.0
2019-04-29,2442900.0
2019-01-23,2693400.0
2019-09-04,2824800.0
2018-11-20,3055000.0
2019-07-02,3228900.0
2019-05-31,3969200.0
2019-12-12,3943300.0
2020-05-18,2630100.0
2019-09-27,2252100.0
2020-03-03,2355200.0
2020-05-21,2223400.0
2019-05-14,2400900.0
2018-08-31,3584600.0
2018-07-30,2384800.0
2018-10-02,2285500.0
2019-04-12,2632000.0
2019-03-11,3611300.0
2019-02-07,2754400.0
2019-07-17,1945500.0
2019-09-19,3153900.0
2019-10-21,2037100.0
2019-12-18,3668000.0
2020-03-06,2639200.0
2019-10-03,2231400.0
2020-03-09,2157900.0
2020-05-27,2620200.0
2019-12-24,2102600.0
2020-03-12,2721200.0
2018-12-20,2578000.0
2019-08-01,2935100.0
2018-08-14,3179600.0
2018-07-13,2756500.0
2018-10-17,2339400.0
2019-05-29,3322200.0
2019-03-26,2934600.0
2019-02-22,2615600.0
2019-10-04,3066500.0
2019-11-05,2049900.0
2019-12-27,5069100.0
2020-06-02,2089100.0
2019-12-30,3166100.0
