Dates,DUK
2018-06-20,76.5999984741211
2018-06-21,77.18000030517578
2018-06-25,77.66999816894531
2018-06-22,79.16999816894531
2018-06-26,79.52999877929688
2018-06-27,79.70999908447266
2018-06-28,80.1500015258789
2018-06-29,79.54000091552734
2018-07-02,79.86000061035156
2018-07-03,80.43000030517578
2018-07-05,80.62000274658203
2018-07-16,81.69999694824219
2018-09-18,81.58999633789062
2019-01-24,79.94000244140625
2019-09-05,80.58000183105469
2018-11-21,80.63999938964844
2020-01-13,80.93000030517578
2020-04-01,80.9800033569336
2020-06-19,81.0
2019-10-29,80.73999786376953
2020-01-16,81.75
2020-06-22,81.33000183105469
2018-10-03,81.2300033569336
2018-07-31,80.13999938964844
2019-03-12,80.62000274658203
2019-02-08,81.33999633789062
2019-01-07,81.69999694824219
2018-12-06,81.19999694824219
2019-08-19,81.70999908447266
2019-07-18,81.44000244140625
2019-05-15,81.19999694824219
2019-09-20,81.72000122070312
2019-11-01,82.22000122070312
2020-04-07,81.18000030517578
2020-06-25,80.9000015258789
2020-06-16,80.87000274658203
2019-11-04,81.80000305175781
2020-01-22,81.12000274658203
2019-11-07,81.52999877929688
2020-04-13,82.44999694824219
2019-07-01,81.83999633789062
2019-05-30,82.72000122070312
2018-08-15,82.56999969482422
2018-10-18,81.77999877929688
2019-03-27,81.80000305175781
2019-01-22,81.44999694824219
2018-12-21,81.48999786376953
2019-09-03,81.58999633789062
2018-11-19,80.62000274658203
2019-08-02,80.77999877929688
2020-01-28,81.44999694824219
2020-04-16,81.80000305175781
2019-11-13,81.87999725341797
2020-01-31,83.30000305175781
2018-12-04,83.7699966430664
2018-11-02,83.19000244140625
2019-07-16,83.2300033569336
2018-08-30,82.80000305175781
2018-10-01,81.5
2019-06-14,82.20999908447266
2019-05-13,82.0
2019-04-11,82.13999938964844
2019-02-06,82.5
2019-09-18,81.95999908447266
2020-02-03,80.73999786376953
2020-04-22,80.91999816894531
2019-11-19,79.97000122070312
2020-02-06,79.69999694824219
2019-11-22,79.25
2019-03-25,79.31999969482422
2019-02-21,80.05999755859375
2018-12-19,80.0
2018-07-12,80.75
2018-09-14,80.61000061035156
2018-08-13,80.02999877929688
2018-10-16,81.72000122070312
2019-07-31,82.94999694824219
2019-05-28,82.69000244140625
2019-04-26,83.30999755859375
2020-04-28,82.41000366210938
2019-11-25,80.11000061035156
2020-02-12,80.8499984741211
2020-05-01,81.41000366210938
2020-05-04,81.06999969482422
2019-06-12,81.73999786376953
2019-04-09,83.41999816894531
2019-03-08,83.20999908447266
2019-02-04,84.02999877929688
2018-07-27,85.08000183105469
2018-08-28,84.55000305175781
2019-01-03,84.63999938964844
2019-08-15,83.62000274658203
2018-10-31,84.2300033569336
2019-09-16,83.3499984741211
2020-02-18,82.62999725341797
2020-05-07,83.83000183105469
2018-08-17,83.83999633789062
2019-12-04,84.44999694824219
2020-02-21,84.77999877929688
2018-12-17,85.0199966430664
2019-08-30,85.7699966430664
2018-11-15,86.95999908447266
2019-07-29,86.62000274658203
2019-06-27,86.94999694824219
2019-04-24,86.29000091552734
2018-07-10,87.0999984741211
2018-09-12,87.70999908447266
2019-02-19,89.2300033569336
2019-01-18,88.18000030517578
2020-02-24,86.98999786376953
2020-05-13,87.30000305175781
2019-12-10,88.0
2020-02-27,87.87999725341797
2019-12-13,88.05999755859375
2020-05-19,88.7300033569336
2019-03-06,89.62999725341797
2018-11-30,90.69999694824219
2019-08-13,90.63999938964844
2019-07-12,90.55000305175781
2019-06-10,90.66000366210938
2019-05-09,90.9800033569336
2018-07-25,91.25
2018-09-27,91.25
2018-10-29,91.3499984741211
2019-10-16,91.30000305175781
2019-12-16,89.2300033569336
2020-03-04,88.31999969482422
2020-05-22,89.11000061035156
2019-10-01,90.25
2019-12-19,88.38999938964844
2018-09-10,85.2699966430664
2019-05-24,85.95999908447266
2018-08-09,87.18000030517578
2019-04-22,86.5999984741211
2019-03-21,86.19000244140625
2019-01-16,85.5999984741211
2019-08-28,85.44999694824219
2018-11-13,85.38999938964844
2018-10-12,86.16999816894531
2019-06-25,86.0
2020-03-10,85.58999633789062
2020-05-28,85.20999908447266
2019-10-07,84.31999969482422
2020-03-13,85.45999908447266
2019-10-10,85.37999725341797
2020-03-16,85.7699966430664
2020-06-03,86.0199966430664
2018-11-28,86.51000213623047
2018-09-25,86.1500015258789
2018-07-23,86.7699966430664
2018-08-24,86.98999786376953
2019-07-10,86.29000091552734
2019-05-07,86.16000366210938
2019-04-05,86.54000091552734
2019-03-04,88.4800033569336
2019-01-31,88.05000305175781
2019-09-12,87.83000183105469
2019-12-31,88.6500015258789
2020-03-19,88.79000091552734
2020-01-03,89.5
2020-06-09,90.58000183105469
2019-02-15,90.6500015258789
2019-01-14,90.73999786376953
2018-07-06,90.20999908447266
2018-08-07,88.61000061035156
2018-10-10,88.48999786376953
2018-12-13,88.13999938964844
2019-08-26,89.05999755859375
2019-07-25,89.66000366210938
2019-05-22,90.29000091552734
2019-03-19,89.94999694824219
2020-01-06,89.88999938964844
2020-03-25,89.43000030517578
2020-06-12,89.98999786376953
2019-10-22,89.91000366210938
2020-01-09,89.94999694824219
2020-06-15,89.94000244140625
2019-10-25,89.95999908447266
2020-03-31,90.6500015258789
2020-06-18,90.2300033569336
2019-04-03,90.47000122070312
2018-08-22,90.87000274658203
2018-10-25,90.79000091552734
2019-01-29,91.08000183105469
2018-12-28,91.02999877929688
2018-11-26,90.91000366210938
2019-08-09,90.2300033569336
2019-07-08,90.16000366210938
2019-06-06,90.23999786376953
