Dates,DUK
2018-06-20,76.29000091552734
2018-06-21,76.19000244140625
2018-06-25,76.9000015258789
2018-06-22,77.5
2018-06-26,78.9800033569336
2018-06-27,78.76000213623047
2018-06-28,79.75
2018-06-29,79.05999755859375
2018-07-02,79.20999908447266
2018-07-03,79.76000213623047
2018-07-05,79.95999908447266
2018-07-16,80.58000183105469
2018-09-18,81.58999633789062
2019-01-24,78.41999816894531
2019-09-05,79.70999908447266
2018-11-21,80.41000366210938
2020-01-13,80.66999816894531
2020-04-01,80.69000244140625
2020-06-19,80.94000244140625
2019-10-29,80.73999786376953
2020-01-16,80.62999725341797
2020-06-22,81.05999755859375
2018-10-03,81.2300033569336
2018-07-31,80.0999984741211
2019-03-12,79.79000091552734
2019-02-08,80.44999694824219
2019-01-07,81.0
2018-12-06,80.8499984741211
2019-08-19,81.19999694824219
2019-07-18,81.13999938964844
2019-05-15,80.62999725341797
2019-09-20,80.5199966430664
2019-11-01,81.56999969482422
2020-04-07,81.12000274658203
2020-06-25,80.62000274658203
2020-06-16,80.45999908447266
2019-11-04,80.9800033569336
2020-01-22,80.91999816894531
2019-11-07,80.97000122070312
2020-04-13,81.44000244140625
2019-07-01,80.91000366210938
2019-05-30,81.63999938964844
2018-08-15,82.37999725341797
2018-10-18,81.70999908447266
2019-03-27,81.4000015258789
2019-01-22,80.7300033569336
2018-12-21,81.06999969482422
2019-09-03,81.41999816894531
2018-11-19,80.44000244140625
2019-08-02,80.48999786376953
2020-01-28,80.95999908447266
2020-04-16,81.30000305175781
2019-11-13,81.37999725341797
2020-01-31,81.51000213623047
2018-12-04,82.62000274658203
2018-11-02,82.81999969482422
2019-07-16,82.72000122070312
2018-08-30,82.44000244140625
2018-10-01,81.2300033569336
2019-06-14,80.91000366210938
2019-05-13,81.98999786376953
2019-04-11,81.7699966430664
2019-02-06,82.44000244140625
2019-09-18,81.88999938964844
2020-02-03,80.0
2020-04-22,80.5
2019-11-19,79.70999908447266
2020-02-06,79.5999984741211
2019-11-22,78.80000305175781
2019-03-25,78.0
2019-02-21,79.12999725341797
2018-12-19,79.91000366210938
2018-07-12,79.93000030517578
2018-09-14,80.33999633789062
2018-08-13,79.11000061035156
2018-10-16,79.9000015258789
2019-07-31,81.5
2019-05-28,82.2699966430664
2019-04-26,82.19999694824219
2020-04-28,82.1500015258789
2019-11-25,79.7699966430664
2020-02-12,79.91999816894531
2020-05-01,80.05000305175781
2020-05-04,80.81999969482422
2019-06-12,81.48999786376953
2019-04-09,81.25
2019-03-08,83.0199966430664
2019-02-04,82.97000122070312
2018-07-27,82.63999938964844
2018-08-28,84.5
2019-01-03,84.0199966430664
2019-08-15,82.08999633789062
2018-10-31,83.80000305175781
2019-09-16,83.22000122070312
2020-02-18,82.56999969482422
2020-05-07,83.41000366210938
2018-08-17,83.08000183105469
2019-12-04,83.66000366210938
2020-02-21,84.75
2018-12-17,84.73999786376953
2019-08-30,84.5
2018-11-15,85.25
2019-07-29,85.9000015258789
2019-06-27,85.9000015258789
2019-04-24,84.83999633789062
2018-07-10,86.44000244140625
2018-09-12,86.58000183105469
2019-02-19,88.06999969482422
2019-01-18,88.05000305175781
2020-02-24,86.62000274658203
2020-05-13,86.69999694824219
2019-12-10,87.0199966430664
2020-02-27,87.69999694824219
2019-12-13,87.61000061035156
2020-05-19,87.79000091552734
2019-03-06,88.0
2018-11-30,89.76000213623047
2019-08-13,90.5
2019-07-12,89.94999694824219
2019-06-10,90.16000366210938
2019-05-09,90.5
2018-07-25,90.79000091552734
2018-09-27,89.77999877929688
2018-10-29,91.0
2019-10-16,91.0
2019-12-16,88.43000030517578
2020-03-04,87.8499984741211
2020-05-22,87.4000015258789
2019-10-01,87.86000061035156
2019-12-19,87.66000366210938
2018-09-10,84.0
2019-05-24,85.38999938964844
2018-08-09,86.12000274658203
2019-04-22,86.33999633789062
2019-03-21,86.11000061035156
2019-01-16,84.76000213623047
2019-08-28,84.16000366210938
2018-11-13,84.8499984741211
2018-10-12,85.04000091552734
2019-06-25,84.95999908447266
2020-03-10,85.05000305175781
2020-05-28,85.20999908447266
2019-10-07,84.31999969482422
2020-03-13,83.5999984741211
2019-10-10,84.72000122070312
2020-03-16,85.29000091552734
2020-06-03,85.94000244140625
2018-11-28,85.01000213623047
2018-09-25,85.48999786376953
2018-07-23,86.2300033569336
2018-08-24,86.33999633789062
2019-07-10,86.0199966430664
2019-05-07,85.94999694824219
2019-04-05,85.36000061035156
2019-03-04,86.08999633789062
2019-01-31,87.77999877929688
2019-09-12,87.16000366210938
2019-12-31,87.91000366210938
2020-03-19,88.44999694824219
2020-01-03,88.4000015258789
2020-06-09,89.41999816894531
2019-02-15,90.08000183105469
2019-01-14,90.30000305175781
2018-07-06,89.9000015258789
2018-08-07,88.52999877929688
2018-10-10,88.44999694824219
2018-12-13,87.63999938964844
2019-08-26,87.94999694824219
2019-07-25,88.31999969482422
2019-05-22,89.69999694824219
2019-03-19,89.91000366210938
2020-01-06,89.62999725341797
2020-03-25,88.7300033569336
2020-06-12,89.20999908447266
2019-10-22,89.5999984741211
2020-01-09,89.81999969482422
2020-06-15,89.66000366210938
2019-10-25,89.6500015258789
2020-03-31,89.95999908447266
2020-06-18,89.91000366210938
2019-04-03,90.26000213623047
2018-08-22,90.47000122070312
2018-10-25,90.38999938964844
2019-01-29,90.47000122070312
2018-12-28,90.44999694824219
2018-11-26,90.86000061035156
2019-08-09,90.08000183105469
2019-07-08,89.33999633789062
2019-06-06,89.4000015258789
2019-09-10,90.16000366210938
