Dates,DTE
2018-06-20,99.47000122070312
2018-06-21,100.25
2018-06-25,100.68000030517578
2018-06-22,103.04000091552734
2018-06-26,103.98999786376953
2018-06-27,104.62999725341797
2018-06-28,105.12999725341797
2018-06-29,104.33000183105469
2018-07-02,104.66999816894531
2018-07-03,105.56999969482422
2018-07-05,106.41000366210938
2018-07-16,107.16999816894531
2018-09-18,106.94999694824219
2019-01-24,104.55000305175781
2019-09-05,105.87999725341797
2018-11-21,106.1500015258789
2020-01-13,106.27999877929688
2020-04-01,106.62999725341797
2020-06-19,106.76000213623047
2019-10-29,106.54000091552734
2020-01-16,107.80000305175781
2020-06-22,107.2699966430664
2018-10-03,107.0199966430664
2018-07-31,107.01000213623047
2019-03-12,109.56999969482422
2019-02-08,109.62000274658203
2019-01-07,109.66000366210938
2018-12-06,108.52999877929688
2019-08-19,108.87999725341797
2019-07-18,107.9000015258789
2019-05-15,108.9000015258789
2019-09-20,110.18000030517578
2019-11-01,110.88999938964844
2020-04-07,110.56999969482422
2020-06-25,110.47000122070312
2020-06-16,110.80999755859375
2019-11-04,111.7300033569336
2020-01-22,110.9000015258789
2019-11-07,111.44000244140625
2020-04-13,112.83999633789062
2019-07-01,113.2699966430664
2019-05-30,114.12000274658203
2018-08-15,113.87000274658203
2018-10-18,113.51000213623047
2019-03-27,112.94000244140625
2019-01-22,112.41999816894531
2018-12-21,112.0199966430664
2019-09-03,112.36000061035156
2018-11-19,111.25
2019-08-02,111.30999755859375
2020-01-28,112.25
2020-04-16,112.3499984741211
2019-11-13,112.31999969482422
2020-01-31,113.31999969482422
2018-12-04,114.30999755859375
2018-11-02,113.73999786376953
2019-07-16,114.0199966430664
2018-08-30,113.98999786376953
2018-10-01,113.70999908447266
2019-06-14,113.77999877929688
2019-05-13,112.77999877929688
2019-04-11,112.73999786376953
2019-02-06,112.66999816894531
2019-09-18,112.5999984741211
2020-02-03,109.25
2020-04-22,109.94999694824219
2019-11-19,109.44999694824219
2020-02-06,108.31999969482422
2019-11-22,107.94000244140625
2019-03-25,107.98999786376953
2019-02-21,109.19999694824219
2018-12-19,109.08000183105469
2018-07-12,110.8499984741211
2018-09-14,110.94000244140625
2018-08-13,109.52999877929688
2018-10-16,111.7300033569336
2019-07-31,113.51000213623047
2019-05-28,113.9800033569336
2019-04-26,114.83999633789062
2020-04-28,113.5
2019-11-25,110.61000061035156
2020-02-12,110.95999908447266
2020-05-01,111.75
2020-05-04,111.68000030517578
2019-06-12,111.83999633789062
2019-04-09,113.51000213623047
2019-03-08,113.0999984741211
2019-02-04,113.44999694824219
2018-07-27,118.22000122070312
2018-08-28,116.98999786376953
2019-01-03,115.98999786376953
2019-08-15,114.47000122070312
2018-10-31,114.81999969482422
2019-09-16,114.04000091552734
2020-02-18,112.7300033569336
2020-05-07,112.68000030517578
2018-08-17,113.5199966430664
2019-12-04,114.94000244140625
2020-02-21,116.23999786376953
2018-12-17,116.5999984741211
2019-08-30,118.5
2018-11-15,120.44999694824219
2019-07-29,120.25
2019-06-27,120.37999725341797
2019-04-24,119.81999969482422
2018-07-10,121.0
2018-09-12,119.83999633789062
2019-02-19,120.62000274658203
2019-01-18,118.25
2020-02-24,117.06999969482422
2020-05-13,116.98999786376953
2019-12-10,117.6500015258789
2020-02-27,117.94000244140625
2019-12-13,117.79000091552734
2020-05-19,119.80000305175781
2019-03-06,119.38999938964844
2018-11-30,120.76000213623047
2019-08-13,120.3499984741211
2019-07-12,120.04000091552734
2019-06-10,119.87000274658203
2019-05-09,120.2300033569336
2018-07-25,120.63999938964844
2018-09-27,120.2699966430664
2018-10-29,119.66999816894531
2019-10-16,118.7699966430664
2019-12-16,115.70999908447266
2020-03-04,115.2300033569336
2020-05-22,115.76000213623047
2019-10-01,117.30000305175781
2019-12-19,114.73999786376953
2018-09-10,110.12000274658203
2019-05-24,110.19999694824219
2018-08-09,111.41999816894531
2019-04-22,110.58999633789062
2019-03-21,110.41999816894531
2019-01-16,109.20999908447266
2019-08-28,109.98999786376953
2018-11-13,110.4000015258789
2018-10-12,110.72000122070312
2019-06-25,111.1500015258789
2020-03-10,111.80999755859375
2020-05-28,112.19999694824219
2019-10-07,111.18000030517578
2020-03-13,111.91000366210938
2019-10-10,111.87000274658203
2020-03-16,113.3499984741211
2020-06-03,114.05999755859375
2018-11-28,114.02999877929688
2018-09-25,114.33999633789062
2018-07-23,115.58999633789062
2018-08-24,115.83000183105469
2019-07-10,114.69000244140625
2019-05-07,115.1500015258789
2019-04-05,115.8499984741211
2019-03-04,118.31999969482422
2019-01-31,118.05999755859375
2019-09-12,117.41999816894531
2019-12-31,117.47000122070312
2020-03-19,117.33999633789062
2020-01-03,118.37999725341797
2020-06-09,118.8499984741211
2019-02-15,119.44999694824219
2019-01-14,119.83999633789062
2018-07-06,119.58999633789062
2018-08-07,119.94000244140625
2018-10-10,120.05999755859375
2018-12-13,120.56999969482422
2019-08-26,121.83999633789062
2019-07-25,122.98999786376953
2019-05-22,123.80000305175781
2019-03-19,123.83999633789062
2020-01-06,123.16999816894531
2020-03-25,122.52999877929688
2020-06-12,123.63999938964844
2019-10-22,123.7300033569336
2020-01-09,123.36000061035156
2020-06-15,123.26000213623047
2019-10-25,123.19000244140625
2020-03-31,123.5199966430664
2020-06-18,123.20999908447266
2019-04-03,123.87000274658203
2018-08-22,124.08000183105469
2018-10-25,124.44999694824219
2019-01-29,124.81999969482422
2018-12-28,124.47000122070312
2018-11-26,124.2300033569336
2019-08-09,123.20999908447266
2019-07-08,123.44000244140625
2019-06-06,123.44000244140625
2019-09-10,125.69999694824219
2020-01-15,125.41999816894531
2020-04-03,126.06999969482422
2019-10-31,125.95999908447266
2020-04-06,125.7300033569336
2020-06-24,124.9000015258789
2018-11-09,124.63999938964844
2019-07-23,124.05999755859375
2019-06-21,124.08000183105469
2019-05-20,124.05999755859375
2019-04-18,124.04000091552734
2018-09-06,123.79000091552734
2018-10-08,123.27999877929688
2019-02-13,124.43000030517578
2018-12-11,124.0
2019-09-25,124.55000305175781
2020-01-21,124.88999938964844
2020-04-09,124.97000122070312
2019-11-06,123.37999725341797
2020-01-24,124.12999725341797
2020-01-27,123.4800033569336
2020-04-15,123.69999694824219
2018-12-26,124.31999969482422
2019-08-07,124.91000366210938
2019-06-04,125.58000183105469
2018-09-21,124.29000091552734
2018-07-19,125.76000213623047
2018-08-20,125.54000091552734
2018-10-23,124.69999694824219
2019-05-03,125.41000366210938
2019-04-01,125.66999816894531
2019-02-28,125.58999633789062
2019-11-12,124.72000122070312
2020-01-30,123.79000091552734
2019-11-15,126.05000305175781
2020-04-21,127.72000122070312
2019-04-16,127.44000244140625
2019-03-15,126.5
2019-02-11,127.0
2019-01-10,127.88999938964844
2019-08-22,128.27999877929688
2018-11-07,128.41000366210938
2018-08-03,128.38999938964844
2018-09-04,129.35000610351562
2019-06-19,129.99000549316406
2019-09-23,129.0500030517578
2019-11-18,126.4800033569336
2020-02-05,125.33000183105469
2020-04-24,125.73999786376953
2019-03-29,126.9000015258789
2019-11-21,126.68000030517578
2020-04-27,129.6999969482422
2020-02-11,129.97999572753906
2020-04-30,131.24000549316406
2019-05-01,128.6699981689453
2019-02-26,128.5800018310547
2019-01-25,129.4499969482422
2018-12-24,129.63999938964844
2019-09-06,129.88999938964844
2018-07-17,130.27000427246094
2018-09-19,130.30999755859375
2019-08-05,130.91000366210938
2019-10-08,131.41000366210938
2019-12-11,131.4600067138672
2019-11-27,131.67999267578125
2020-02-14,131.8699951171875
2020-05-06,130.3300018310547
2019-01-08,128.13999938964844
2018-12-07,128.5
2019-08-20,128.30999755859375
2018-11-05,129.9499969482422
2019-07-19,131.5800018310547
2018-10-04,131.02999877929688
2019-06-17,131.44000244140625
2019-05-16,131.38999938964844
2018-08-01,131.94000244140625
2019-03-13,132.08999633789062
2019-12-03,131.8800048828125
2020-02-20,131.0
2019-12-06,130.2899932861328
2020-05-12,130.66000366210938
2019-12-09,131.39999389648438
2020-02-26,131.3000030517578
2020-05-15,129.13999938964844
2019-03-28,128.7100067138672
2018-09-17,128.8000030517578
2018-08-16,128.99000549316406
2018-10-19,129.42999267578125
2019-04-29,130.0
2019-01-23,129.6999969482422
2019-09-04,128.60000610351562
2018-11-20,129.72999572753906
2019-07-02,130.4499969482422
2019-05-31,129.57000732421875
2019-12-12,128.4499969482422
2020-05-18,129.0399932861328
2019-09-27,129.74000549316406
2020-03-03,130.19000244140625
2020-05-21,129.58999633789062
2019-05-14,128.97000122070312
2018-08-31,129.0
2018-07-30,129.13999938964844
2018-10-02,129.47999572753906
2019-04-12,131.22999572753906
2019-03-11,130.94000244140625
2019-02-07,130.6300048828125
2019-07-17,131.1699981689453
2019-09-19,130.97999572753906
2019-10-21,130.19000244140625
2019-12-18,131.72999572753906
2020-03-06,130.72999572753906
2019-10-03,130.3000030517578
2020-03-09,130.60000610351562
2020-05-27,131.89999389648438
2019-12-24,132.5
2020-03-12,131.64999389648438
2018-12-20,130.49000549316406
2019-08-01,128.8800048828125
2018-08-14,129.07000732421875
2018-07-13,129.63999938964844
2018-10-17,130.8699951171875
2019-05-29,129.1699981689453
2019-03-26,130.1199951171875
2019-02-22,132.02000427246094
2019-10-04,131.7100067138672
2019-11-05,132.19000244140625
2019-12-27,132.77999877929688
2020-06-02,132.7899932861328
2019-12-30,134.02000427246094
2020-03-18,134.00999450683594
2020-06-05,134.3699951171875
2019-07-15,133.66000366210938
2018-12-03,133.25
2019-06-13,133.38999938964844
2019-01-04,133.24000549316406
2018-08-29,131.58999633789062
2019-02-05,132.47000122070312
2018-11-01,133.11000061035156
2019-08-16,132.35000610351562
2019-04-10,130.83999633789062
2019-09-17,130.41000366210938
2019-10-15,130.74000549316406
2020-01-02,129.9499969482422
2020-06-08,129.52999877929688
2019-10-18,129.41000366210938
2020-03-24,129.75
2020-06-11,128.17999267578125
2020-01-08,129.25
2019-04-25,129.75
2019-07-30,129.58999633789062
2019-02-20,129.72000122070312
2018-07-11,129.47000122070312
2018-09-13,128.6199951171875
2018-10-15,126.81999969482422
2019-06-28,128.91000366210938
2018-12-18,127.7300033569336
2018-11-16,127.93000030517578
2019-10-02,127.5
2020-03-27,125.12999725341797
2020-01-10,124.87000274658203
2019-10-24,123.70999908447266
2020-03-30,122.80000305175781
2020-06-17,121.20999908447266
2020-01-14,120.98999786376953
2020-04-02,123.0199966430664
2019-01-02,123.94000244140625
2019-08-14,123.91000366210938
2018-10-30,124.93000030517578
2019-06-11,123.86000061035156
2019-05-10,124.33000183105469
2019-04-08,124.26000213623047
2018-08-27,124.12999725341797
2018-07-26,124.33000183105469
2018-09-28,124.56999969482422
2019-03-07,125.05999755859375
2019-10-30,125.62999725341797
2020-01-17,124.91000366210938
2020-06-23,124.19999694824219
2020-04-08,125.56999969482422
2020-06-26,125.66000366210938
2019-03-22,125.86000061035156
2019-01-17,125.72000122070312
2019-08-29,125.5999984741211
2018-11-14,125.43000030517578
2019-06-26,125.63999938964844
2018-09-11,125.08999633789062
2018-07-09,127.54000091552734
2018-08-10,129.25999450683594
2019-04-23,129.55999755859375
2019-09-30,130.25
2020-01-23,130.6999969482422
2019-11-08,130.25
2020-04-14,128.7899932861328
2019-11-11,128.63999938964844
2020-01-29,128.91000366210938
2020-04-17,129.0399932861328
2018-07-24,129.9600067138672
2018-09-26,130.0
2019-05-08,129.66000366210938
2019-03-05,129.42999267578125
2019-02-01,129.08999633789062
2018-12-31,128.99000549316406
2018-11-29,129.0500030517578
2019-08-12,129.44000244140625
2019-07-11,130.11000061035156
2019-09-13,130.27999877929688
2019-11-14,132.2899932861328
2020-04-20,132.99000549316406
2020-02-04,133.97000122070312
2020-04-23,134.44000244140625
2018-12-14,134.72000122070312
2019-08-27,134.1199951171875
2018-08-08,134.30999755859375
2018-10-11,133.64999389648438
2018-11-12,133.5800018310547
2019-07-26,132.8699951171875
2019-06-24,133.2899932861328
2019-05-23,133.5800018310547
2019-03-20,133.8000030517578
2019-01-15,134.30999755859375
2019-11-20,134.80999755859375
2020-02-07,135.50999450683594
2020-02-10,134.80999755859375
2020-04-29,133.80999755859375
2019-11-26,134.27000427246094
2020-02-13,134.41000366210938
2019-01-30,134.11000061035156
2018-08-23,134.49000549316406
2018-09-24,135.35000610351562
2018-11-27,134.92999267578125
2018-10-26,134.25999450683594
2019-07-09,135.6699981689453
2019-06-07,135.66000366210938
2019-05-06,133.27000427246094
2019-04-04,129.0399932861328
2019-09-11,124.37999725341797
2019-11-29,116.30999755859375
2020-05-05,116.86000061035156
2019-12-02,119.48999786376953
2020-02-19,119.3499984741211
2020-05-08,117.79000091552734
2019-05-21,116.62000274658203
2019-03-18,109.5
2018-09-07,108.13999938964844
2018-08-06,106.66000366210938
2018-10-09,99.19000244140625
2019-02-14,96.44000244140625
2018-12-12,91.61000061035156
2019-07-24,89.61000061035156
2019-09-26,83.83999633789062
2019-10-28,86.25
2019-12-05,87.66999816894531
2020-05-11,84.7699966430664
2019-07-03,87.16999816894531
2020-02-25,96.70999908447266
2020-05-14,99.08000183105469
2020-02-28,100.55000305175781
2019-08-08,100.26000213623047
2019-06-05,99.2300033569336
2018-07-20,92.0199966430664
2018-08-21,91.9800033569336
2018-10-24,89.37000274658203
2019-04-02,97.12999725341797
2019-03-01,101.48999786376953
2019-01-28,104.70999908447266
2018-12-27,113.30000305175781
2019-09-09,110.30999755859375
2020-03-02,111.2300033569336
2020-05-20,105.68000030517578
2019-12-17,107.36000061035156
2020-03-05,106.6500015258789
2019-02-12,104.08999633789062
2019-01-11,100.27999877929688
2018-12-10,103.16999816894531
2019-08-23,104.2300033569336
2018-11-08,103.54000091552734
2019-07-22,104.55999755859375
2019-06-20,106.72000122070312
2018-09-05,110.05999755859375
2019-04-17,106.30000305175781
2019-09-24,102.2699966430664
2019-12-20,100.94000244140625
2020-05-26,103.37000274658203
2019-04-30,102.7300033569336
2019-12-23,102.94999694824219
2020-03-11,101.69000244140625
2020-05-29,100.55999755859375
2019-12-26,99.69000244140625
2020-06-01,98.52999877929688
2019-05-02,98.08999633789062
2019-02-27,97.41000366210938
2018-11-23,104.19999694824219
2019-08-06,104.13999938964844
2018-07-18,104.86000061035156
2018-09-20,103.58000183105469
2018-10-22,102.18000030517578
2019-07-05,106.7699966430664
2019-06-03,108.43000030517578
2019-10-09,108.7300033569336
2019-10-11,108.6500015258789
2020-03-17,109.54000091552734
2020-06-04,110.97000122070312
2019-10-14,113.76000213623047
2020-03-20,112.47000122070312
2018-11-06,117.41000366210938
2019-06-18,117.91000366210938
2019-05-17,115.94000244140625
2019-04-15,114.7699966430664
2019-03-14,109.5
2019-01-09,107.44000244140625
2018-08-02,106.76000213623047
2018-10-05,110.86000061035156
2019-08-21,108.9000015258789
2019-10-17,107.77999877929688
2020-03-23,110.18000030517578
