Dates,DTE
2018-06-20,1877800.0
2018-06-21,2489100.0
2018-06-25,1187800.0
2018-06-22,1974500.0
2018-06-26,1606400.0
2018-06-27,1417800.0
2018-06-28,1297600.0
2018-06-29,1145300.0
2018-07-02,1349700.0
2018-07-03,616400.0
2018-07-05,1190700.0
2018-07-16,929100.0
2018-09-18,1222600.0
2019-01-24,1294500.0
2019-09-05,1131500.0
2018-11-21,974000.0
2020-01-13,895000.0
2020-04-01,1151400.0
2020-06-19,883600.0
2019-10-29,745000.0
2020-01-16,1083600.0
2020-06-22,1006200.0
2018-10-03,926300.0
2018-07-31,1507700.0
2019-03-12,1887800.0
2019-02-08,1244400.0
2019-01-07,978400.0
2018-12-06,1290000.0
2019-08-19,2062100.0
2019-07-18,1919400.0
2019-05-15,839700.0
2019-09-20,1055300.0
2019-11-01,2020900.0
2020-04-07,936100.0
2020-06-25,640800.0
2020-06-16,915000.0
2019-11-04,1221200.0
2020-01-22,1332800.0
2019-11-07,575400.0
2020-04-13,1210800.0
2019-07-01,1296700.0
2019-05-30,1383200.0
2018-08-15,1045300.0
2018-10-18,1378500.0
2019-03-27,1004600.0
2019-01-22,880800.0
2018-12-21,832100.0
2019-09-03,1161500.0
2018-11-19,732300.0
2019-08-02,678500.0
2020-01-28,808800.0
2020-04-16,740300.0
2019-11-13,904800.0
2020-01-31,981700.0
2018-12-04,1100900.0
2018-11-02,1216300.0
2019-07-16,909800.0
2018-08-30,689700.0
2018-10-01,707200.0
2019-06-14,785400.0
2019-05-13,789100.0
2019-04-11,987600.0
2019-02-06,1048500.0
2019-09-18,1473200.0
2020-02-03,1067900.0
2020-04-22,3090000.0
2019-11-19,938300.0
2020-02-06,955600.0
2019-11-22,1251500.0
2019-03-25,729300.0
2019-02-21,989800.0
2018-12-19,839400.0
2018-07-12,1335700.0
2018-09-14,1133900.0
2018-08-13,652500.0
2018-10-16,1016600.0
2019-07-31,1131300.0
2019-05-28,1266200.0
2019-04-26,1013000.0
2020-04-28,1363000.0
2019-11-25,1174900.0
2020-02-12,1297100.0
2020-05-01,1088300.0
2020-05-04,728800.0
2019-06-12,805400.0
2019-04-09,839200.0
2019-03-08,810800.0
2019-02-04,1427900.0
2018-07-27,3430000.0
2018-08-28,2801800.0
2019-01-03,1987000.0
2019-08-15,1347200.0
2018-10-31,1202200.0
2019-09-16,1611100.0
2020-02-18,1401000.0
2020-05-07,956700.0
2018-08-17,1246900.0
2019-12-04,795300.0
2020-02-21,1132600.0
2018-12-17,893300.0
2019-08-30,1114100.0
2018-11-15,1173100.0
2019-07-29,626900.0
2019-06-27,1023600.0
2019-04-24,1074200.0
2018-07-10,1143100.0
2018-09-12,811800.0
2019-02-19,1422400.0
2019-01-18,955300.0
2020-02-24,515700.0
2020-05-13,1119400.0
2019-12-10,1142200.0
2020-02-27,1061600.0
2019-12-13,897900.0
2020-05-19,1406400.0
2019-03-06,2054700.0
2018-11-30,2338300.0
2019-08-13,1570700.0
2019-07-12,1281500.0
2019-06-10,2833300.0
2019-05-09,2151700.0
2018-07-25,1446300.0
2018-09-27,1609900.0
2018-10-29,1740900.0
2019-10-16,1604300.0
2019-12-16,1318900.0
2020-03-04,1583800.0
2020-05-22,1510400.0
2019-10-01,1924800.0
2019-12-19,652500.0
2018-09-10,1436000.0
2019-05-24,1381300.0
2018-08-09,817400.0
2019-04-22,715700.0
2019-03-21,1165300.0
2019-01-16,1215700.0
2019-08-28,1214100.0
2018-11-13,923300.0
2018-10-12,727500.0
2019-06-25,784100.0
2020-03-10,1011600.0
2020-05-28,797400.0
2019-10-07,1146600.0
2020-03-13,1474100.0
2019-10-10,878200.0
2020-03-16,938900.0
2020-06-03,912500.0
2018-11-28,655300.0
2018-09-25,836800.0
2018-07-23,1060000.0
2018-08-24,1002000.0
2019-07-10,838400.0
2019-05-07,966100.0
2019-04-05,702600.0
2019-03-04,1762600.0
2019-01-31,766800.0
2019-09-12,1311500.0
2019-12-31,922700.0
2020-03-19,1076300.0
2020-01-03,1305100.0
2020-06-09,1183200.0
2019-02-15,832900.0
2019-01-14,1208700.0
2018-07-06,1099600.0
2018-08-07,830400.0
2018-10-10,893300.0
2018-12-13,998100.0
2019-08-26,1728400.0
2019-07-25,1542200.0
2019-05-22,861300.0
2019-03-19,1482100.0
2020-01-06,1003200.0
2020-03-25,738300.0
2020-06-12,1098200.0
2019-10-22,1005000.0
2020-01-09,812900.0
2020-06-15,706600.0
2019-10-25,1117800.0
2020-03-31,1380900.0
2020-06-18,1071900.0
2019-04-03,1228900.0
2018-08-22,1578300.0
2018-10-25,1204600.0
2019-01-29,1199300.0
2018-12-28,2608000.0
2018-11-26,1519200.0
2019-08-09,1148900.0
2019-07-08,1043500.0
2019-06-06,1887700.0
2019-09-10,1860500.0
2020-01-15,525400.0
2020-04-03,620300.0
2019-10-31,751000.0
2020-04-06,648700.0
2020-06-24,952200.0
2018-11-09,766900.0
2019-07-23,869700.0
2019-06-21,665100.0
2019-05-20,774900.0
2019-04-18,590000.0
2018-09-06,614300.0
2018-10-08,735100.0
2019-02-13,864600.0
2018-12-11,760200.0
2019-09-25,948400.0
2020-01-21,1009300.0
2020-04-09,706800.0
2019-11-06,1176400.0
2020-01-24,1336900.0
2020-01-27,1141100.0
2020-04-15,1429400.0
2018-12-26,1378300.0
2019-08-07,1053900.0
2019-06-04,765000.0
2018-09-21,600000.0
2018-07-19,801600.0
2018-08-20,831400.0
2018-10-23,668700.0
2019-05-03,560400.0
2019-04-01,579200.0
2019-02-28,614600.0
2019-11-12,615700.0
2020-01-30,692300.0
2019-11-15,665900.0
2020-04-21,738800.0
2019-04-16,970400.0
2019-03-15,649100.0
2019-02-11,479300.0
2019-01-10,607700.0
2019-08-22,603900.0
2018-11-07,540000.0
2018-08-03,501100.0
2018-09-04,670300.0
2019-06-19,494000.0
2019-09-23,1145500.0
