Dates,EURUSD=X
2018-06-19,1.1546010971069336
2018-06-20,1.151410460472107
2018-06-25,1.1601735353469849
2018-06-24,1.1629935503005981
2018-06-21,1.1652023792266846
2018-06-26,1.1583592891693115
2018-06-27,1.1528042554855347
2018-06-28,1.15644371509552
2018-07-01,1.1592589616775513
2018-07-02,1.1622636318206787
2018-07-03,1.1631423234939575
2018-07-16,1.165080189704895
2018-09-18,1.1680742502212524
2019-01-24,1.1742877960205078
2018-11-21,1.1691941022872925
2019-08-04,1.1698368787765503
2020-01-13,1.1650530099868774
2020-04-01,1.1614537239074707
2019-10-29,1.1676650047302246
2020-01-16,1.1664528846740723
2020-06-22,1.1603754758834839
2018-07-31,1.157594919204712
2018-10-03,1.1628042459487915
2019-03-12,1.1688660383224487
2019-02-08,1.1657185554504395
2019-01-07,1.1667522192001343
2018-12-06,1.1650937795639038
2019-08-19,1.1623716354370117
2019-07-18,1.1649445295333862
2019-06-16,1.1692761182785034
2019-05-15,1.166534423828125
2019-11-01,1.1604158878326416
2020-04-07,1.1562163829803467
2020-06-25,1.1530966758728027
2020-06-16,1.1552013158798218
2019-11-04,1.1574609279632568
2020-01-22,1.156176209449768
2020-06-28,1.1396141052246094
2019-11-07,1.1365960836410522
2020-04-13,1.134751796722412
2019-07-01,1.1302244663238525
2019-05-30,1.1338382959365845
2018-08-15,1.1367381811141968
2018-09-16,1.1395231485366821
2018-10-18,1.1486594676971436
2019-04-28,1.1554415225982666
2019-03-27,1.154521107673645
2019-01-22,1.1539349555969238
2018-12-21,1.1597161293029785
2018-11-19,1.1663440465927124
2020-01-28,1.1654006242752075
2020-04-16,1.1644154787063599
2019-11-13,1.1596487760543823
2020-01-31,1.1590977907180786
2020-04-19,1.153322696685791
2018-12-04,1.1546810865402222
2018-11-02,1.1607661247253418
2019-07-16,1.1563901901245117
2018-08-30,1.1527643203735352
2018-07-29,1.1566845178604126
2018-10-01,1.1570860147476196
2019-05-13,1.16096830368042
2019-04-11,1.1655691862106323
2019-02-06,1.162358283996582
2019-09-18,1.1669156551361084
2020-02-03,1.165338158607483
2020-04-22,1.1672834157943726
2019-11-19,1.1735711097717285
2020-02-06,1.172525405883789
2019-11-22,1.1732544898986816
2019-03-25,1.1728966236114502
2019-02-21,1.1664528846740723
2018-12-19,1.1570591926574707
2018-07-12,1.156510591506958
2018-08-13,1.1506686210632324
2018-10-16,1.1516358852386475
2019-07-31,1.1464602947235107
2019-05-28,1.1487782001495361
2019-09-01,1.146092414855957
2019-10-03,1.1433275938034058
2020-04-28,1.1480661630630493
2019-11-25,1.1532163619995117
2020-02-12,1.1536953449249268
2019-09-10,1.1543611288070679
2019-11-28,1.156711220741272
2020-05-04,1.1521799564361572
2019-06-12,1.1482902765274048
2019-04-09,1.1433666944503784
2019-03-08,1.1462368965148926
2019-02-04,1.1439945697784424
2018-08-28,1.138407588005066
2019-01-03,1.1366219520568848
2019-08-15,1.133619785308838
2018-10-31,1.1364411115646362
2019-07-14,1.1347389221191406
2019-09-16,1.1311705112457275
2020-02-18,1.1313753128051758
2020-05-07,1.1375658512115479
2019-12-04,1.135524868965149
2020-02-21,1.1393284797668457
2020-05-10,1.1400558948516846
2018-12-17,1.1405109167099
2018-11-15,1.132502794265747
2019-07-29,1.1241639852523804
2019-06-27,1.1223218441009521
2019-05-26,1.126481294631958
2019-04-24,1.1274974346160889
2018-07-10,1.1322592496871948
2018-09-12,1.1394453048706055
2018-10-14,1.1387057304382324
2019-02-19,1.1366348266601562
2020-02-24,1.1386280059814453
2020-05-13,1.1332343816757202
2019-12-10,1.132733702659607
2020-02-27,1.1279425621032715
2019-09-25,1.1267732381820679
2019-12-13,1.1349579095840454
2020-05-19,1.1314777135849
2019-03-06,1.132169485092163
2019-01-01,1.1343270540237427
2018-11-30,1.1315033435821533
2019-08-13,1.132336139678955
2018-10-29,1.1361312866210938
2019-06-10,1.1362345218658447
2019-05-09,1.1307612657546997
2018-08-26,1.1316184997558594
2018-07-25,1.1333627700805664
2018-09-27,1.1270780563354492
2019-12-16,1.1304799318313599
2020-03-04,1.133863925933838
2019-10-01,1.1375658512115479
2019-12-19,1.1378376483917236
2020-05-25,1.138783574104309
2018-11-22,1.137203574180603
2018-07-08,1.1370097398757935
2018-09-10,1.137617588043213
2018-08-09,1.1359118223190308
2019-04-22,1.1430922746658325
2019-03-21,1.14223051071167
2019-01-16,1.146499752998352
2018-11-13,1.1345715522766113
2019-06-25,1.131733775138855
2019-08-28,1.1348161697387695
2019-09-29,1.1405240297317505
2020-03-10,1.1424654722213745
2020-05-28,1.144164800643921
2019-10-07,1.151145339012146
2019-12-25,1.1459741592407227
2020-03-13,1.1451605558395386
2020-05-31,1.1386150121688843
2020-03-16,1.1378893852233887
2020-06-03,1.1372424364089966
2018-11-28,1.1354217529296875
2019-08-11,1.1357957124710083
2018-09-25,1.1336840391159058
2018-07-23,1.1351640224456787
2019-07-10,1.131324052810669
2019-05-07,1.1305822134017944
2019-03-04,1.1390948295593262
2019-01-31,1.1411746740341187
2019-09-12,1.140862226486206
2019-10-14,1.1450556516647339
2019-12-31,1.1435105800628662
2020-03-19,1.1425436735153198
2019-10-16,1.1403288841247559
2020-01-03,1.1375399827957153
2020-06-09,1.1326054334640503
2019-02-15,1.132182240486145
2019-01-14,1.1273448467254639
2018-08-07,1.125885248184204
2018-10-10,1.1282861232757568
2018-12-13,1.1250618696212769
2019-07-25,1.1234945058822632
2019-06-23,1.1294840574264526
2019-05-22,1.1277008056640625
2019-03-19,1.1325926780700684
