Dates,ALK
2018-06-20,60.90397262573242
2018-06-21,61.72309494018555
2018-06-25,60.624507904052734
2018-06-22,59.497013092041016
2018-06-26,58.42734146118164
2018-06-27,57.82986068725586
2018-06-28,58.138240814208984
2018-06-29,58.1960563659668
2018-07-02,58.95736312866211
2018-07-03,59.4295539855957
2018-07-05,59.882476806640625
2018-07-16,60.07521438598633
2018-09-18,61.18343734741211
2019-01-24,60.605228424072266
2019-09-05,58.003318786621094
2018-11-21,58.64897918701172
2020-01-13,59.198280334472656
2020-04-01,59.17900466918945
2020-06-19,59.55482864379883
2019-10-29,60.89432907104492
2020-01-16,61.4725341796875
2020-06-22,58.42734146118164
2018-10-03,59.30427551269531
2018-07-31,56.866188049316406
2019-03-12,56.96256637573242
2019-02-08,62.40729522705078
2019-01-07,61.33761978149414
2018-12-06,60.11376190185547
2019-08-19,60.54741287231445
2019-07-18,58.86098861694336
2019-05-15,59.36209487915039
2019-09-20,60.51850509643555
2019-11-01,60.82687759399414
2020-04-07,61.53999328613281
2020-06-25,61.819461822509766
2020-06-16,61.43398666381836
2019-11-04,60.932884216308594
2020-01-22,59.64155960083008
2019-11-07,60.47031784057617
2020-04-13,61.42435836791992
2019-07-01,61.97364807128906
2019-05-30,62.63857650756836
2018-08-15,64.73040771484375
2018-10-18,64.48828887939453
2019-03-27,62.85163497924805
2019-01-22,62.65794372558594
2018-12-21,62.783851623535156
2019-09-03,63.607025146484375
2018-11-19,64.79820251464844
2019-08-02,65.24368286132812
2020-01-28,65.0693588256836
2020-04-16,65.35989379882812
2019-11-13,65.72789764404297
2020-01-31,66.2218017578125
2018-12-04,64.9240951538086
2018-11-02,64.76914978027344
2019-07-16,65.99906158447266
2018-08-30,66.7931900024414
2018-10-01,65.62138366699219
2019-06-14,66.26053619384766
2019-05-13,66.73507690429688
2019-04-11,67.09339141845703
2019-02-06,67.05465698242188
2019-09-18,67.48076629638672
2020-02-03,67.5485610961914
2020-04-22,67.86815643310547
2019-11-19,65.16620635986328
2020-02-06,64.06218719482422
2019-11-22,65.00157165527344
2019-03-25,66.80287170410156
2019-02-21,66.68666076660156
2018-12-19,65.62138366699219
2018-07-12,64.16870880126953
2018-09-14,64.58515167236328
2018-08-13,64.7110366821289
2018-10-16,63.99440002441406
2019-07-31,63.248687744140625
2019-05-28,60.633914947509766
2019-04-26,58.32902908325195
2020-04-28,57.92229461669922
2019-11-25,59.626739501953125
2020-02-12,59.90758514404297
2020-05-01,61.844459533691406
2020-05-04,62.45457458496094
2019-06-12,60.4014892578125
2019-04-09,60.6048583984375
2019-03-08,61.53456497192383
2019-02-04,61.001922607421875
2018-07-27,59.18125915527344
2018-08-28,61.06971740722656
2019-01-03,59.52989196777344
2019-08-15,59.074729919433594
2018-10-31,61.2440299987793
2019-09-16,59.48147201538086
2020-02-18,61.67982482910156
2020-05-07,61.86383056640625
2018-08-17,61.88319778442383
2019-12-04,62.561100006103516
2020-02-21,64.10092163085938
2018-12-17,63.636070251464844
2019-08-30,63.88786315917969
2018-11-15,63.68449783325195
2019-07-29,65.44705963134766
2019-06-27,65.0887222290039
2019-04-24,65.57295227050781
2018-07-10,65.84410095214844
2018-09-12,65.48410034179688
2019-02-19,65.2116470336914
2019-01-18,66.6711654663086
2020-02-24,67.53717041015625
2020-05-13,67.04092407226562
2019-12-10,68.84099578857422
2020-02-27,72.72334289550781
2019-12-13,70.97191619873047
2020-05-19,71.28327941894531
2019-03-06,70.8746109008789
2018-11-30,68.14043426513672
2019-08-13,67.73176574707031
2019-07-12,63.18777847290039
2019-06-10,61.76716232299805
2019-05-09,60.74549865722656
2018-07-25,60.346561431884766
2018-09-27,59.68490219116211
2018-10-29,60.61900329589844
2019-10-16,59.63625717163086
2019-12-16,60.969295501708984
2020-03-04,60.356285095214844
2020-05-22,59.04271697998047
2019-10-01,57.738868713378906
2019-12-19,56.026363372802734
2018-09-10,59.14974594116211
2019-05-24,59.101097106933594
2018-08-09,58.68269729614258
