Dates,KHC
2018-06-20,62.27000045776367
2018-06-21,63.04999923706055
2018-06-25,62.810001373291016
2018-06-22,62.849998474121094
2018-06-26,63.58000183105469
2018-06-27,62.9900016784668
2018-06-28,62.84000015258789
2018-06-29,62.90999984741211
2018-07-02,62.5
2018-07-03,62.33000183105469
2018-07-05,63.279998779296875
2018-07-16,64.0
2018-09-18,64.6500015258789
2019-01-24,64.33999633789062
2019-09-05,63.90999984741211
2018-11-21,63.93000030517578
2020-01-13,63.63999938964844
2020-04-01,63.88999938964844
2020-06-19,62.63999938964844
2019-10-29,63.04999923706055
2020-01-16,61.310001373291016
2020-06-22,61.27000045776367
2018-10-03,60.400001525878906
2018-07-31,60.29999923706055
2019-03-12,59.709999084472656
2019-02-08,60.720001220703125
2019-01-07,60.599998474121094
2018-12-06,60.099998474121094
2019-08-19,60.61000061035156
2019-07-18,60.0
2019-05-15,59.099998474121094
2019-09-20,61.0
2019-11-01,63.849998474121094
2020-04-07,62.5
2020-06-25,60.08000183105469
2020-06-16,60.41999816894531
2019-11-04,59.7599983215332
2020-01-22,59.47999954223633
2019-11-07,59.5
2020-04-13,59.560001373291016
2019-07-01,58.970001220703125
2019-05-30,60.29999923706055
2018-08-15,61.029998779296875
2018-10-18,60.75
2019-03-27,59.97999954223633
2019-01-22,59.2599983215332
2018-12-21,58.91999816894531
2019-09-03,59.349998474121094
2018-11-19,59.5099983215332
2019-08-02,58.900001525878906
2020-01-28,59.130001068115234
2020-04-16,58.35499954223633
2019-11-13,58.45000076293945
2020-01-31,56.650001525878906
2018-12-04,57.040000915527344
2018-11-02,56.689998626708984
2019-07-16,56.900001525878906
2018-08-30,57.349998474121094
2018-10-01,58.22999954223633
2019-06-14,59.25
2019-05-13,59.29999923706055
2019-04-11,58.02000045776367
2019-02-06,57.849998474121094
2019-09-18,57.31999969482422
2020-02-03,57.279998779296875
2020-04-22,57.93000030517578
2019-11-19,57.0
2020-02-06,56.650001525878906
2019-11-22,55.90999984741211
2019-03-25,55.11000061035156
2019-02-21,54.97999954223633
2018-12-19,55.4900016784668
2018-07-12,55.56999969482422
2018-09-14,56.06999969482422
2018-08-13,55.45000076293945
2018-10-16,55.70000076293945
2019-07-31,55.849998474121094
2019-05-28,57.29999923706055
2019-04-26,55.810001373291016
2020-04-28,55.970001220703125
2019-11-25,53.939998626708984
2020-02-12,54.04999923706055
2020-05-01,54.709999084472656
2020-05-04,55.40999984741211
2019-06-12,56.40999984741211
2019-04-09,56.150001525878906
2019-03-08,57.65999984741211
2019-02-04,56.20000076293945
2018-07-27,56.41999816894531
2018-08-28,55.7599983215332
2019-01-03,55.5099983215332
2019-08-15,55.16999816894531
2018-10-31,55.619998931884766
2019-09-16,55.5
2020-02-18,55.130001068115234
2020-05-07,52.25
2018-08-17,51.06999969482422
2019-12-04,52.77000045776367
2020-02-21,53.849998474121094
2018-12-17,53.25
2019-08-30,53.36000061035156
2018-11-15,54.029998779296875
2019-07-29,53.75
2019-06-27,53.43000030517578
2019-04-24,52.0
2018-07-10,52.0099983215332
2018-09-12,51.970001220703125
2019-02-19,52.04999923706055
2019-01-18,51.029998779296875
2020-02-24,51.029998779296875
2020-05-13,51.560001373291016
2019-12-10,50.93000030517578
2020-02-27,51.31999969482422
2019-12-13,50.959999084472656
2020-05-19,51.11000061035156
2019-03-06,51.400001525878906
2018-11-30,51.400001525878906
2019-08-13,50.0
2019-07-12,49.400001525878906
2019-06-10,48.86000061035156
2019-05-09,48.709999084472656
2018-07-25,48.95000076293945
2018-09-27,48.369998931884766
2018-10-29,48.36000061035156
2019-10-16,47.5
2019-12-16,46.97999954223633
2020-03-04,46.5
2020-05-22,45.08000183105469
2019-10-01,45.04999923706055
2019-12-19,44.060001373291016
2018-09-10,42.65999984741211
2019-05-24,43.220001220703125
2018-08-09,43.88999938964844
2019-04-22,42.90999984741211
2019-03-21,42.75
2019-01-16,43.150001525878906
2019-08-28,44.08000183105469
2018-11-13,44.4900016784668
2018-10-12,45.61000061035156
2019-06-25,45.310001373291016
2020-03-10,45.150001525878906
2020-05-28,45.790000915527344
2019-10-07,45.56999969482422
2020-03-13,46.65999984741211
2019-10-10,47.0
2020-03-16,46.91999816894531
2020-06-03,47.41999816894531
2018-11-28,47.84000015258789
2018-09-25,47.529998779296875
2018-07-23,46.58000183105469
2018-08-24,46.84000015258789
2019-07-10,46.779998779296875
2019-05-07,47.040000915527344
2019-04-05,47.0
2019-03-04,46.970001220703125
2019-01-31,48.13999938964844
2019-09-12,47.81999969482422
2019-12-31,47.619998931884766
2020-03-19,47.95000076293945
2020-01-03,47.06999969482422
2020-06-09,47.20000076293945
2019-02-15,47.5
2019-01-14,47.59000015258789
2018-07-06,48.310001373291016
2018-08-07,47.47999954223633
2018-10-10,47.81999969482422
2018-12-13,47.81999969482422
2019-08-26,47.900001525878906
2019-07-25,48.38999938964844
2019-05-22,35.849998474121094
2019-03-19,35.0
2020-01-06,34.2400016784668
2020-03-25,33.150001525878906
2020-06-12,32.41999816894531
2019-10-22,33.40999984741211
2020-01-09,32.900001525878906
2020-06-15,33.380001068115234
2019-10-25,33.130001068115234
2020-03-31,32.630001068115234
2020-06-18,31.690000534057617
2019-04-03,31.989999771118164
2018-08-22,32.20000076293945
2018-10-25,32.06999969482422
2019-01-29,32.34000015258789
2018-12-28,31.950000762939453
2018-11-26,31.799999237060547
2019-08-09,31.969999313354492
2019-07-08,32.099998474121094
2019-06-06,32.040000915527344
2019-09-10,32.83000183105469
2020-01-15,32.27000045776367
2020-04-03,32.540000915527344
2019-10-31,32.900001525878906
2020-04-06,32.70000076293945
2020-06-24,32.66999816894531
2018-11-09,32.79999923706055
2019-07-23,32.560001373291016
2019-06-21,32.2400016784668
2019-05-20,32.29999923706055
2019-04-18,32.689998626708984
2018-09-06,33.22999954223633
2018-10-08,33.15999984741211
2019-02-13,32.97999954223633
2018-12-11,33.08000183105469
2019-09-25,33.119998931884766
2020-01-21,33.09000015258789
2020-04-09,33.06999969482422
2019-11-06,33.04999923706055
2020-01-24,33.02000045776367
2020-01-27,33.529998779296875
2020-04-15,32.93000030517578
2018-12-26,32.86000061035156
2019-08-07,32.66999816894531
2019-06-04,32.70000076293945
2018-09-21,33.15999984741211
2018-07-19,33.310001373291016
2018-08-20,33.20000076293945
2018-10-23,32.70000076293945
2019-05-03,32.349998474121094
2019-04-01,32.349998474121094
2019-02-28,32.630001068115234
2019-11-12,32.5
2020-01-30,32.29999923706055
2019-11-15,32.560001373291016
2020-04-21,32.290000915527344
2019-04-16,32.08000183105469
2019-03-15,32.20000076293945
2019-02-11,32.369998931884766
2019-01-10,32.40999984741211
2019-08-22,32.31999969482422
2018-11-07,31.920000076293945
2018-08-03,31.979999542236328
2018-09-04,31.709999084472656
2019-06-19,31.6200008392334
2019-09-23,31.100000381469727
2019-11-18,28.889999389648438
2020-02-05,28.280000686645508
2020-04-24,27.270000457763672
2019-03-29,27.68000030517578
2019-11-21,28.489999771118164
2020-04-27,28.850000381469727
2020-02-11,28.440000534057617
2020-04-30,28.700000762939453
2019-05-01,30.100000381469727
2019-02-26,30.299999237060547
2019-01-25,30.209999084472656
2018-12-24,30.100000381469727
2019-09-06,30.489999771118164
2018-07-17,30.3700008392334
2018-09-19,30.43000030517578
2019-08-05,30.170000076293945
2019-10-08,31.149999618530273
2019-12-11,31.110000610351562
2019-11-27,31.34000015258789
2020-02-14,30.389999389648438
2020-05-06,30.40999984741211
2019-01-08,30.68000030517578
2018-12-07,30.899999618530273
2019-08-20,31.260000228881836
2018-11-05,30.43000030517578
2019-07-19,30.84000015258789
2018-10-04,31.209999084472656
2019-06-17,30.989999771118164
2019-05-16,30.600000381469727
2018-08-01,30.600000381469727
2019-03-13,31.43000030517578
2019-12-03,30.649999618530273
2020-02-20,30.8700008392334
2019-12-06,30.68000030517578
2020-05-12,30.389999389648438
2019-12-09,30.440000534057617
2020-02-26,30.979999542236328
2020-05-15,31.579999923706055
2019-03-28,31.510000228881836
2018-09-17,31.940000534057617
2018-08-16,31.809999465942383
2018-10-19,31.670000076293945
2019-04-29,31.899999618530273
2019-01-23,31.6299991607666
2019-09-04,31.8700008392334
2018-11-20,32.099998474121094
2019-07-02,32.619998931884766
2019-05-31,31.770000457763672
2019-12-12,31.440000534057617
2020-05-18,30.530000686645508
2019-09-27,26.729999542236328
2020-03-03,27.639999389648438
2020-05-21,26.5
2019-05-14,26.1200008392334
2018-08-31,25.850000381469727
2018-07-30,25.5
2018-10-02,25.200000762939453
2019-04-12,25.700000762939453
2019-03-11,25.280000686645508
2019-02-07,25.170000076293945
2019-07-17,25.290000915527344
2019-09-19,25.610000610351562
2019-10-21,25.530000686645508
2019-12-18,25.579999923706055
2020-03-06,24.959999084472656
2019-10-03,25.40999984741211
2020-03-09,25.530000686645508
2020-05-27,25.420000076293945
2019-12-24,26.260000228881836
2020-03-12,26.360000610351562
2018-12-20,26.670000076293945
2019-08-01,27.31999969482422
2018-08-14,28.100000381469727
2018-07-13,29.110000610351562
2018-10-17,29.56999969482422
2019-05-29,29.190000534057617
2019-03-26,29.1299991607666
2019-02-22,28.489999771118164
2019-10-04,28.299999237060547
2019-11-05,28.399999618530273
2019-12-27,28.110000610351562
2020-06-02,28.200000762939453
2019-12-30,28.209999084472656
2020-03-18,27.979999542236328
2020-06-05,28.200000762939453
2019-07-15,28.100000381469727
2018-12-03,27.889999389648438
2019-06-13,27.93000030517578
2019-01-04,27.209999084472656
2018-08-29,26.489999771118164
2019-02-05,26.530000686645508
2018-11-01,27.030000686645508
2019-08-16,26.8799991607666
2019-04-10,26.8700008392334
2019-09-17,26.790000915527344
2019-10-15,27.030000686645508
2020-01-02,27.079999923706055
2020-06-08,27.299999237060547
2019-10-18,27.520000457763672
2020-03-24,27.5
2020-06-11,27.829999923706055
2020-01-08,27.610000610351562
2019-04-25,27.829999923706055
2019-07-30,28.469999313354492
2019-02-20,28.6299991607666
2018-07-11,28.420000076293945
2018-09-13,28.360000610351562
2018-10-15,28.3700008392334
2019-06-28,28.100000381469727
2018-12-18,30.09000015258789
2018-11-16,32.119998931884766
2019-10-02,32.900001525878906
2020-03-27,33.290000915527344
2020-01-10,33.13999938964844
2019-10-24,33.16999816894531
2020-03-30,32.7599983215332
2020-06-17,32.88999938964844
2020-01-14,32.709999084472656
2020-04-02,32.869998931884766
2019-01-02,32.4900016784668
2019-08-14,30.959999084472656
2018-10-30,31.239999771118164
2019-06-11,31.110000610351562
2019-05-10,31.149999618530273
2019-04-08,31.0
2018-08-27,30.350000381469727
2018-07-26,30.6200008392334
2018-09-28,31.200000762939453
2019-03-07,30.709999084472656
2019-10-30,30.31999969482422
2020-01-17,30.5
2020-06-23,30.829999923706055
2020-04-08,30.790000915527344
2020-06-26,31.280000686645508
2019-03-22,31.280000686645508
2019-01-17,31.239999771118164
2019-08-29,32.04999923706055
2018-11-14,31.940000534057617
2019-06-26,31.649999618530273
2018-09-11,32.0
2018-07-09,31.760000228881836
2018-08-10,31.690000534057617
2019-04-23,31.700000762939453
2019-09-30,31.860000610351562
2020-01-23,32.029998779296875
2019-11-08,32.20000076293945
2020-04-14,31.93000030517578
2019-11-11,31.950000762939453
2020-01-29,31.719999313354492
2020-04-17,31.670000076293945
2018-07-24,31.700000762939453
2018-09-26,32.290000915527344
2019-05-08,31.5
2019-03-05,31.170000076293945
2019-02-01,31.25
2018-12-31,30.739999771118164
2018-11-29,30.670000076293945
2019-08-12,30.59000015258789
2019-07-11,30.90999984741211
2019-09-13,31.1299991607666
2019-11-14,31.690000534057617
2020-04-20,31.700000762939453
2020-02-04,31.799999237060547
2020-04-23,30.959999084472656
2018-12-14,31.079999923706055
2019-08-27,30.530000686645508
2018-08-08,30.700000762939453
2018-10-11,30.149999618530273
2018-11-12,30.450000762939453
2019-07-26,30.110000610351562
2019-06-24,29.610000610351562
2019-05-23,29.899999618530273
2019-03-20,29.200000762939453
2019-01-15,29.5
2019-11-20,29.360000610351562
2020-02-07,29.31999969482422
2020-02-10,28.959999084472656
2020-04-29,29.649999618530273
2019-11-26,29.889999389648438
2020-02-13,30.170000076293945
2019-01-30,29.115999221801758
2018-08-23,27.850000381469727
2018-09-24,26.770000457763672
2018-11-27,27.360000610351562
2018-10-26,27.270000457763672
2019-07-09,27.200000762939453
2019-06-07,26.959999084472656
2019-05-06,26.6200008392334
2019-04-04,26.229999542236328
2019-09-11,25.3799991607666
2019-11-29,24.549999237060547
2020-05-05,24.75
2019-12-02,26.0
2020-02-19,25.93000030517578
2020-05-08,25.829999923706055
2019-05-21,25.65999984741211
2019-03-18,24.079999923706055
2018-09-07,24.670000076293945
2018-08-06,23.90999984741211
2018-10-09,21.899999618530273
2019-02-14,21.239999771118164
2018-12-12,20.899999618530273
2019-07-24,22.209999084472656
2019-09-26,22.34000015258789
2019-10-28,23.15999984741211
2019-12-05,22.450000762939453
2020-05-11,22.290000915527344
2019-07-03,21.790000915527344
2020-02-25,23.389999389648438
2020-05-14,23.239999771118164
2020-02-28,24.0
2019-08-08,24.639999389648438
2019-06-05,25.110000610351562
2018-07-20,24.020000457763672
2018-08-21,23.479999542236328
2018-10-24,24.389999389648438
2019-04-02,26.0
2019-03-01,26.969999313354492
2019-01-28,26.75
2018-12-27,27.350000381469727
2019-09-09,27.899999618530273
2020-03-02,28.09000015258789
2020-05-20,28.0
2019-12-17,28.5
2020-03-05,29.1200008392334
2019-02-12,28.979999542236328
2019-01-11,28.93000030517578
2018-12-10,28.829999923706055
2019-08-23,28.6200008392334
2018-11-08,28.59000015258789
2019-07-22,29.5
2019-06-20,30.479999542236328
2018-09-05,30.540000915527344
2019-04-17,30.1299991607666
2019-09-24,29.989999771118164
2019-12-20,29.139999389648438
2020-05-26,29.0
2019-04-30,29.139999389648438
2019-12-23,29.579999923706055
2020-03-11,29.09000015258789
2020-05-29,29.309999465942383
2019-12-26,29.34000015258789
2020-06-01,29.440000534057617
2019-05-02,28.5
2019-02-27,28.709999084472656
2018-11-23,30.059999465942383
2019-08-06,30.81999969482422
2018-07-18,30.149999618530273
2018-09-20,30.059999465942383
2018-10-22,29.56999969482422
2019-07-05,30.360000610351562
2019-06-03,30.360000610351562
2019-10-09,30.6200008392334
2019-10-11,30.270000457763672
2020-03-17,30.5
2020-06-04,30.489999771118164
2019-10-14,31.5
2020-03-20,30.974000930786133
2018-11-06,31.729999542236328
2019-06-18,32.540000915527344
2019-05-17,33.29999923706055
2019-04-15,33.09000015258789
2019-03-14,31.719999313354492
2019-01-09,31.790000915527344
2018-08-02,31.260000228881836
2018-10-05,32.58000183105469
2019-08-21,32.91999816894531
2019-10-17,32.61000061035156
2020-03-23,33.25
2020-06-10,33.06999969482422
2019-02-25,33.20000076293945
2020-01-07,32.25
2020-03-26,31.950000762939453
