Dates,KHC
2019-01-25,13484200.0
2018-12-24,10592300.0
2019-09-06,11839700.0
2018-07-17,7957600.0
2018-09-19,10298700.0
2019-08-05,11185600.0
2019-10-08,8706200.0
2019-12-11,12099000.0
2019-11-27,10618400.0
2020-02-14,7514700.0
2020-05-06,7541900.0
2019-01-08,5051500.0
2018-12-07,7589100.0
2019-08-20,8103600.0
2018-11-05,8013900.0
2019-07-19,7003100.0
2018-10-04,5234200.0
2019-06-17,4360000.0
2019-05-16,5011400.0
2018-08-01,6607400.0
2019-03-13,5846400.0
2019-12-03,4348200.0
2020-02-20,4572400.0
2019-12-06,4747100.0
2020-05-12,3901500.0
2019-12-09,6940700.0
2020-02-26,9416200.0
2020-05-15,7678900.0
2019-03-28,6696300.0
2018-09-17,7024400.0
2018-08-16,5788100.0
2018-10-19,3745800.0
2019-04-29,4465100.0
2019-01-23,4082000.0
2019-09-04,10875600.0
2018-11-20,10753300.0
2019-07-02,5842700.0
2019-05-31,9686200.0
2019-12-12,8156700.0
2020-05-18,10723200.0
2019-09-27,44732500.0
2020-03-03,19596000.0
2020-05-21,14773100.0
2019-05-14,16317800.0
2018-08-31,14678700.0
2018-07-30,9911700.0
2018-10-02,9915600.0
2019-04-12,6874800.0
2019-03-11,6652700.0
2019-02-07,5564900.0
2019-07-17,7445200.0
2019-09-19,7904100.0
2019-10-21,7259600.0
2019-12-18,7210900.0
2020-03-06,4094100.0
2019-10-03,5963500.0
2020-03-09,6646600.0
2020-05-27,8199000.0
2019-12-24,6442900.0
2020-03-12,7322500.0
2018-12-20,10224700.0
2019-08-01,9061200.0
2018-08-14,8596700.0
2018-07-13,10297200.0
2018-10-17,7024000.0
2019-05-29,5371500.0
2019-03-26,6108700.0
2019-02-22,25364700.0
2019-10-04,9318700.0
2019-11-05,8174500.0
2019-12-27,8794700.0
2020-06-02,8673100.0
2019-12-30,7334900.0
2020-03-18,5874100.0
2020-06-05,6775800.0
2019-07-15,5192400.0
2018-12-03,4796200.0
2019-06-13,4771700.0
2019-01-04,7133100.0
2018-08-29,5414000.0
2019-02-05,3582200.0
2018-11-01,4042400.0
2019-08-16,5536500.0
2019-04-10,3759900.0
2019-09-17,3611200.0
2019-10-15,9311700.0
2020-01-02,4037800.0
2020-06-08,5021500.0
2019-10-18,4074600.0
2020-03-24,4333100.0
2020-06-11,5437000.0
2020-01-08,5091700.0
2019-04-25,6029900.0
2019-07-30,6883900.0
2019-02-20,5071700.0
2018-07-11,3981700.0
2018-09-13,5500300.0
2018-10-15,6071300.0
2019-06-28,9601500.0
2018-12-18,38732500.0
2018-11-16,15048800.0
2019-10-02,9696400.0
2020-03-27,7719500.0
2020-01-10,7070300.0
2019-10-24,5570100.0
2020-03-30,4422700.0
2020-06-17,3763900.0
2020-01-14,5993200.0
2020-04-02,5227000.0
2019-01-02,14509400.0
2019-08-14,6952100.0
2018-10-30,7257300.0
2019-06-11,6661500.0
2019-05-10,5271400.0
2019-04-08,8815000.0
2018-08-27,4664400.0
2018-07-26,7140600.0
2018-09-28,8846200.0
2019-03-07,4407500.0
2019-10-30,2442200.0
2020-01-17,5816500.0
2020-06-23,5573200.0
2020-04-08,5448200.0
2020-06-26,4606300.0
2019-03-22,6496100.0
2019-01-17,8128000.0
2019-08-29,5544500.0
2018-11-14,5443200.0
2019-06-26,5689800.0
2018-09-11,5174500.0
2018-07-09,4744400.0
2018-08-10,6137700.0
2019-04-23,6317600.0
2019-09-30,7941000.0
2020-01-23,12601700.0
2019-11-08,6822800.0
2020-04-14,1594400.0
2019-11-11,3957800.0
2020-01-29,4089700.0
2020-04-17,3856500.0
2018-07-24,6069400.0
2018-09-26,6008700.0
2019-05-08,5012700.0
2019-03-05,4714700.0
2019-02-01,7165700.0
2018-12-31,5802900.0
2018-11-29,8938400.0
2019-08-12,4578200.0
2019-07-11,4269100.0
2019-09-13,6794100.0
2019-11-14,4243700.0
2020-04-20,3950400.0
2020-02-04,6645600.0
2020-04-23,7106600.0
2018-12-14,4535000.0
2019-08-27,4280600.0
2018-08-08,5951500.0
2018-10-11,5806100.0
2018-11-12,5645000.0
2019-07-26,9042600.0
2019-06-24,6169800.0
2019-05-23,8211800.0
2019-03-20,6306500.0
2019-01-15,7607100.0
2019-11-20,9092800.0
2020-02-07,6544800.0
2020-02-10,13268800.0
2020-04-29,5775800.0
2019-11-26,7123300.0
2020-02-13,8096300.0
2019-01-30,37333600.0
2018-08-23,23915700.0
2018-09-24,16772400.0
2018-11-27,7947900.0
2018-10-26,7005900.0
2019-07-09,6716800.0
2019-06-07,12622200.0
2019-05-06,11732200.0
2019-04-04,11768200.0
2019-09-11,14098600.0
2019-11-29,16285200.0
2020-05-05,14470800.0
2019-12-02,11011400.0
2020-02-19,8588100.0
2020-05-08,12581900.0
2019-05-21,8694600.0
2019-03-18,16231400.0
2018-09-07,12339200.0
2018-08-06,11763400.0
2018-10-09,15386400.0
2019-02-14,15014300.0
2018-12-12,14821500.0
2019-07-24,12594400.0
2019-09-26,11805700.0
2019-10-28,12585300.0
2019-12-05,12908300.0
2020-05-11,14829300.0
2019-07-03,11706200.0
2020-02-25,15683100.0
2020-05-14,12900700.0
2020-02-28,8529400.0
2019-08-08,8008400.0
2019-06-05,7037500.0
2018-07-20,6098600.0
2018-08-21,7376700.0
2018-10-24,9217500.0
2019-04-02,7757500.0
2019-03-01,12177900.0
2019-01-28,7458600.0
2018-12-27,11111900.0
2019-09-09,6711500.0
2020-03-02,6668600.0
2020-05-20,6209600.0
2019-12-17,9266000.0
2020-03-05,8131600.0
2019-02-12,6184200.0
2019-01-11,6143300.0
2018-12-10,4638700.0
2019-08-23,4418300.0
2018-11-08,7276600.0
2019-07-22,7071600.0
2019-06-20,6920900.0
2018-09-05,7681100.0
2019-04-17,10026500.0
2019-09-24,6200700.0
2019-12-20,6662800.0
2020-05-26,7385600.0
2019-04-30,6164200.0
2019-12-23,4934300.0
2020-03-11,5297400.0
2020-05-29,3929600.0
2019-12-26,4700200.0
2020-06-01,6637400.0
2019-05-02,4866400.0
2019-02-27,5349400.0
2018-11-23,12873400.0
2019-08-06,6538500.0
2018-07-18,4609500.0
2018-09-20,4170800.0
2018-10-22,3283400.0
2019-07-05,5977800.0
2019-06-03,5170600.0
2019-10-09,3709900.0
2019-10-11,6856500.0
2020-03-17,5396200.0
2020-06-04,7215400.0
2019-10-14,5623100.0
2020-03-20,6157000.0
2018-11-06,19534500.0
2019-06-18,11939500.0
2019-05-17,5874900.0
2019-04-15,5541200.0
2019-03-14,6965100.0
2019-01-09,5436600.0
2018-08-02,5008100.0
2018-10-05,5833900.0
2019-08-21,5040200.0
2019-10-17,3839700.0
2020-03-23,9231500.0
2020-06-10,6773000.0
2019-02-25,7113900.0
2020-01-07,5962600.0
2020-03-26,4871100.0
2019-10-23,7293900.0
