Dates,SHW
2018-06-20,397.8999938964844
2018-06-21,395.3800048828125
2018-06-25,396.1300048828125
2018-06-22,394.95001220703125
2018-06-26,400.7900085449219
2018-06-27,398.5199890136719
2018-06-28,404.8699951171875
2018-06-29,407.57000732421875
2018-07-02,406.760009765625
2018-07-03,406.92999267578125
2018-07-05,409.8599853515625
2018-07-16,413.5799865722656
2018-09-18,415.1700134277344
2019-01-24,418.8800048828125
2019-09-05,415.2799987792969
2018-11-21,414.0799865722656
2020-01-13,418.3900146484375
2020-04-01,416.8500061035156
2020-06-19,424.3599853515625
2019-10-29,426.5299987792969
2020-01-16,429.0799865722656
2020-06-22,426.1199951171875
2018-10-03,421.57000732421875
2018-07-31,429.7799987792969
2019-03-12,437.2900085449219
2019-02-08,449.0299987792969
2019-01-07,443.7699890136719
2018-12-06,440.2799987792969
2019-08-19,440.7300109863281
2019-07-18,438.25
2019-05-15,438.3699951171875
2019-09-20,442.8800048828125
2019-11-01,444.42999267578125
2020-04-07,444.0899963378906
2020-06-25,443.6600036621094
2020-06-16,444.04998779296875
2019-11-04,442.989990234375
2020-01-22,435.1499938964844
2019-11-07,436.3399963378906
2020-04-13,438.6199951171875
2019-07-01,442.3500061035156
2019-05-30,443.3900146484375
2018-08-15,444.05999755859375
2018-10-18,444.79998779296875
2019-03-27,439.0799865722656
2019-01-22,439.82000732421875
2018-12-21,447.3900146484375
2019-09-03,455.0400085449219
2018-11-19,452.6199951171875
2019-08-02,456.42999267578125
2020-01-28,456.2200012207031
2020-04-16,455.5799865722656
2019-11-13,459.3500061035156
2020-01-31,461.6600036621094
2018-12-04,462.3900146484375
2018-11-02,462.5199890136719
2019-07-16,467.010009765625
2018-08-30,469.42999267578125
2018-10-01,468.1499938964844
2019-06-14,469.8699951171875
2019-05-13,467.9800109863281
2019-04-11,469.4700012207031
2019-02-06,472.9800109863281
2019-09-18,475.0400085449219
2020-02-03,477.9800109863281
2020-04-22,469.9599914550781
2019-11-19,466.6000061035156
2020-02-06,461.6000061035156
2019-11-22,458.1099853515625
2019-03-25,455.5199890136719
2019-02-21,455.2099914550781
2018-12-19,457.0
2018-07-12,454.0
2018-09-14,442.2099914550781
2018-08-13,439.2799987792969
2018-10-16,441.95001220703125
2019-07-31,442.55999755859375
2019-05-28,424.7300109863281
2019-04-26,414.7900085449219
2020-04-28,407.2200012207031
2019-11-25,406.9700012207031
2020-02-12,402.29998779296875
2020-05-01,414.92999267578125
2020-05-04,410.6700134277344
2019-06-12,406.82000732421875
2019-04-09,403.3800048828125
2019-03-08,403.760009765625
2019-02-04,401.95001220703125
2018-07-27,387.8999938964844
2018-08-28,368.0
2019-01-03,370.44000244140625
2019-08-15,366.7200012207031
2018-10-31,384.79998779296875
2019-09-16,393.4700012207031
2020-02-18,397.8599853515625
2020-05-07,402.3800048828125
2018-08-17,404.1199951171875
2019-12-04,405.07000732421875
2020-02-21,414.7799987792969
2018-12-17,415.3399963378906
2019-08-30,414.8399963378906
2018-11-15,409.04998779296875
