Dates,COG
2018-06-20,5567000.0
2018-06-21,6363200.0
2018-06-25,14137200.0
2018-06-22,8378100.0
2018-06-26,7133600.0
2018-06-27,9371900.0
2018-06-28,7132700.0
2018-06-29,4719000.0
2018-07-02,4274900.0
2018-07-03,3063000.0
2018-07-05,2886900.0
2018-07-16,5537500.0
2018-09-18,5929600.0
2019-01-24,4408800.0
2019-09-05,3636900.0
2018-11-21,4074700.0
2020-01-13,2553500.0
2020-04-01,5104400.0
2020-06-19,3635800.0
2019-10-29,5155900.0
2020-01-16,5559200.0
2020-06-22,6422600.0
2018-10-03,7311700.0
2018-07-31,5154200.0
2019-03-12,4822900.0
2019-02-08,6364600.0
2019-01-07,15471300.0
2018-12-06,7226200.0
2019-08-19,6042500.0
2019-07-18,4475200.0
2019-05-15,5701100.0
2019-09-20,4834200.0
2019-11-01,3309400.0
2020-04-07,4267400.0
2020-06-25,5830000.0
2020-06-16,6272000.0
2019-11-04,4045600.0
2020-01-22,5805600.0
2019-11-07,5038300.0
2020-04-13,6236400.0
2019-07-01,5169200.0
2019-05-30,5164300.0
2018-08-15,5881400.0
2018-10-18,5958300.0
2019-03-27,3847700.0
2019-01-22,3085500.0
2018-12-21,2714300.0
2019-09-03,6107900.0
2018-11-19,5070300.0
2019-08-02,5196600.0
2020-01-28,4432700.0
2020-04-16,4411600.0
2019-11-13,5200800.0
2020-01-31,5902500.0
2018-12-04,6869700.0
2018-11-02,6661500.0
2019-07-16,4878700.0
2018-08-30,4737800.0
2018-10-01,3563600.0
2019-06-14,3377700.0
2019-05-13,2679600.0
2019-04-11,5032100.0
2019-02-06,6064900.0
2019-09-18,4506600.0
2020-02-03,7179500.0
2020-04-22,11794800.0
2019-11-19,7007700.0
2020-02-06,7859100.0
2019-11-22,11983700.0
2019-03-25,9207500.0
2019-02-21,9398900.0
2018-12-19,4971300.0
2018-07-12,5860300.0
2018-09-14,5371000.0
2018-08-13,8135400.0
2018-10-16,6473500.0
2019-07-31,7847300.0
2019-05-28,12247800.0
2019-04-26,8052300.0
2020-04-28,7778100.0
2019-11-25,5008800.0
2020-02-12,6401200.0
2020-05-01,4574200.0
2020-05-04,5329600.0
2019-06-12,5530900.0
2019-04-09,6045200.0
2019-03-08,5728200.0
2019-02-04,9041700.0
2018-07-27,10550400.0
2018-08-28,12359700.0
2019-01-03,15545700.0
2019-08-15,12385400.0
2018-10-31,9497500.0
2019-09-16,7050900.0
2020-02-18,6965000.0
2020-05-07,8197700.0
2018-08-17,10912100.0
2019-12-04,5220500.0
2020-02-21,4576200.0
2018-12-17,5489500.0
2019-08-30,7597900.0
2018-11-15,8369300.0
2019-07-29,14013200.0
2019-06-27,12350400.0
2019-04-24,7547600.0
2018-07-10,6027700.0
2018-09-12,8700900.0
2019-02-19,6679200.0
2019-01-18,4752000.0
2020-02-24,2346600.0
2020-05-13,5950600.0
2019-12-10,9031400.0
2020-02-27,5177400.0
2019-12-13,6101500.0
2020-05-19,7097500.0
2019-03-06,7153000.0
2018-11-30,7531000.0
2019-08-13,10276900.0
2019-07-12,8068200.0
2019-06-10,7330100.0
2019-05-09,5338000.0
2018-07-25,7991300.0
2018-09-27,8027600.0
2018-10-29,11321000.0
2019-10-16,9322700.0
2019-12-16,7419500.0
2020-03-04,9020200.0
2020-05-22,9706100.0
2019-10-01,11284600.0
2019-12-19,3613100.0
2018-09-10,6479200.0
2019-05-24,7193100.0
2018-08-09,7680200.0
2019-04-22,8639100.0
2019-03-21,8578700.0
2019-01-16,5446600.0
2019-08-28,11585000.0
2018-11-13,9121300.0
2018-10-12,7175100.0
2019-06-25,6196800.0
2020-03-10,5038900.0
2020-05-28,4698500.0
2019-10-07,6754500.0
2020-03-13,5487600.0
2019-10-10,7422900.0
2020-03-16,4924400.0
2020-06-03,7347700.0
2018-11-28,6114900.0
2018-09-25,4458800.0
2018-07-23,9736600.0
2018-08-24,7968500.0
2019-07-10,5564900.0
2019-05-07,3851800.0
2019-04-05,5694400.0
2019-03-04,5556300.0
2019-01-31,3524000.0
2019-09-12,3129000.0
2019-12-31,4015300.0
2020-03-19,5559800.0
2020-01-03,5018400.0
2020-06-09,3943600.0
2019-02-15,4297800.0
2019-01-14,5832000.0
2018-07-06,6414100.0
2018-08-07,4998000.0
2018-10-10,7552300.0
2018-12-13,4527500.0
2019-08-26,6962600.0
2019-07-25,10725500.0
2019-05-22,8461900.0
2019-03-19,10463100.0
2020-01-06,8652600.0
2020-03-25,6166500.0
2020-06-12,7091700.0
2019-10-22,5883300.0
2020-01-09,7772400.0
2020-06-15,5063200.0
2019-10-25,4445500.0
2020-03-31,4697800.0
2020-06-18,6636900.0
2019-04-03,4046700.0
2018-08-22,4337500.0
2018-10-25,6158700.0
2019-01-29,4075200.0
2018-12-28,7522000.0
2018-11-26,5171500.0
2019-08-09,6767000.0
2019-07-08,7069100.0
2019-06-06,3637700.0
2019-09-10,4599200.0
2020-01-15,4993900.0
2020-04-03,3249900.0
2019-10-31,4047600.0
2020-04-06,4978200.0
2020-06-24,4464900.0
2018-11-09,3845900.0
2019-07-23,4053000.0
2019-06-21,4531100.0
2019-05-20,3222000.0
2019-04-18,4753700.0
2018-09-06,5093700.0
2018-10-08,9108600.0
2019-02-13,4437100.0
2018-12-11,5245900.0
2019-09-25,4463300.0
2020-01-21,3474900.0
2020-04-09,4240900.0
2019-11-06,4460900.0
2020-01-24,5955900.0
2020-01-27,8052500.0
2020-04-15,7743300.0
2018-12-26,5729900.0
2019-08-07,8136700.0
2019-06-04,12312500.0
2018-09-21,10235600.0
2018-07-19,7826400.0
2018-08-20,6858700.0
2018-10-23,7044200.0
2019-05-03,5706000.0
2019-04-01,5744700.0
2019-02-28,6160100.0
2019-11-12,5280400.0
2020-01-30,5564800.0
2019-11-15,5027100.0
2020-04-21,5506600.0
2019-04-16,5359000.0
2019-03-15,4551200.0
2019-02-11,5468900.0
2019-01-10,5949400.0
2019-08-22,5569900.0
2018-11-07,7611800.0
2018-08-03,7093200.0
2018-09-04,9817700.0
2019-06-19,6153500.0
2019-09-23,11275500.0
2019-11-18,7715700.0
2020-02-05,5101100.0
2020-04-24,4648200.0
2019-03-29,5658400.0
2019-11-21,6589600.0
2020-04-27,4714300.0
2020-02-11,5421200.0
2020-04-30,7642500.0
2019-05-01,8781100.0
2019-02-26,6823500.0
2019-01-25,7253200.0
2018-12-24,4250200.0
2019-09-06,4864300.0
2018-07-17,6997900.0
2018-09-19,5690100.0
2019-08-05,6303200.0
2019-10-08,7070700.0
2019-12-11,7354400.0
2019-11-27,6240500.0
2020-02-14,5639900.0
2020-05-06,6750100.0
2019-01-08,5151500.0
2018-12-07,6194300.0
2019-08-20,5502000.0
2018-11-05,6522500.0
2019-07-19,4495700.0
2018-10-04,4138200.0
2019-06-17,5143600.0
2019-05-16,4705500.0
2018-08-01,3510500.0
2019-03-13,3006300.0
2019-12-03,2900900.0
2020-02-20,5320500.0
2019-12-06,4413800.0
2020-05-12,6688700.0
2019-12-09,4598300.0
2020-02-26,4141300.0
2020-05-15,4100500.0
2019-03-28,4257700.0
2018-09-17,4301300.0
2018-08-16,6219300.0
2018-10-19,22654200.0
2019-04-29,15141400.0
2019-01-23,14935500.0
2019-09-04,15323200.0
2018-11-20,17188000.0
2019-07-02,12909200.0
2019-05-31,15142700.0
2019-12-12,13708700.0
2020-05-18,10974700.0
2019-09-27,8531500.0
2020-03-03,5704300.0
2020-05-21,5172700.0
2019-05-14,8743000.0
2018-08-31,9237000.0
2018-07-30,8550600.0
2018-10-02,4936200.0
2019-04-12,7820700.0
2019-03-11,7462100.0
2019-02-07,10899400.0
2019-07-17,6025100.0
2019-09-19,8163400.0
2019-10-21,7844800.0
2019-12-18,5322100.0
2020-03-06,4816500.0
2019-10-03,6898900.0
2020-03-09,5695500.0
2020-05-27,6305100.0
2019-12-24,4989100.0
2020-03-12,5500900.0
2018-12-20,5489600.0
2019-08-01,15727500.0
2018-08-14,11402700.0
2018-07-13,9478400.0
2018-10-17,7139700.0
2019-05-29,7414300.0
2019-03-26,13907000.0
2019-02-22,12067100.0
2019-10-04,7106100.0
2019-11-05,6703800.0
2019-12-27,9901100.0
2020-06-02,6502100.0
2019-12-30,4895400.0
2020-03-18,5362200.0
2020-06-05,9324900.0
2019-07-15,7767700.0
2018-12-03,8151100.0
2019-06-13,6288600.0
2019-01-04,9731300.0
2018-08-29,7014200.0
2019-02-05,6260100.0
2018-11-01,6323100.0
2019-08-16,7847400.0
2019-04-10,7114400.0
2019-09-17,4408800.0
2019-10-15,4450500.0
2020-01-02,5111900.0
2020-06-08,6513500.0
2019-10-18,4315600.0
2020-03-24,4803800.0
2020-06-11,4199100.0
2020-01-08,6876300.0
2019-04-25,6653700.0
2019-07-30,8236000.0
2019-02-20,7876100.0
2018-07-11,9423000.0
2018-09-13,7116400.0
2018-10-15,7165900.0
2019-06-28,6457500.0
2018-12-18,6720300.0
2018-11-16,6945500.0
2019-10-02,8199900.0
2020-03-27,11567300.0
2020-01-10,6746600.0
2019-10-24,7020600.0
2020-03-30,4553200.0
2020-06-17,6094000.0
2020-01-14,8424300.0
2020-04-02,5717400.0
2019-01-02,5210500.0
2019-08-14,8433600.0
2018-10-30,8390900.0
2019-06-11,8014500.0
2019-05-10,9092500.0
2019-04-08,9899300.0
2018-08-27,11786400.0
2018-07-26,8891700.0
2018-09-28,14329900.0
2019-03-07,11319700.0
2019-10-30,3971300.0
2020-01-17,11661400.0
2020-06-23,13739400.0
2020-04-08,8734200.0
2020-06-26,9957000.0
2019-03-22,7040800.0
2019-01-17,6540300.0
2019-08-29,5047000.0
2018-11-14,6429100.0
2019-06-26,8242200.0
2018-09-11,6310000.0
2018-07-09,10234100.0
2018-08-10,7110400.0
2019-04-23,8732600.0
2019-09-30,6643200.0
2020-01-23,11945300.0
2019-11-08,7789900.0
2020-04-14,4629900.0
2019-11-11,4786300.0
2020-01-29,5738400.0
2020-04-17,5789500.0
2018-07-24,4829100.0
2018-09-26,8088300.0
2019-05-08,6896300.0
2019-03-05,8388500.0
2019-02-01,6983600.0
2018-12-31,10755300.0
2018-11-29,10587400.0
2019-08-12,7421000.0
2019-07-11,7588400.0
2019-09-13,6112400.0
2019-11-14,4972100.0
2020-04-20,5302900.0
2020-02-04,6091500.0
2020-04-23,15336400.0
2018-12-14,8669200.0
2019-08-27,11116600.0
2018-08-08,11093500.0
2018-10-11,10504600.0
2018-11-12,11903600.0
2019-07-26,6906900.0
2019-06-24,6365700.0
2019-05-23,7985800.0
2019-03-20,5995100.0
2019-01-15,8219000.0
2019-11-20,9762100.0
2020-02-07,5031500.0
2020-02-10,5310100.0
2020-04-29,7625300.0
2019-11-26,4883300.0
2020-02-13,5392400.0
2019-01-30,6466000.0
2018-08-23,5698300.0
2018-09-24,6369800.0
2018-11-27,6604400.0
2018-10-26,8080500.0
2019-07-09,10076400.0
2019-06-07,11811400.0
2019-05-06,10565800.0
2019-04-04,9413200.0
2019-09-11,17235500.0
2019-11-29,17766100.0
2020-05-05,11035200.0
2019-12-02,12636200.0
2020-02-19,10277100.0
2020-05-08,10134600.0
2019-05-21,22588500.0
2019-03-18,47473400.0
2018-09-07,22616800.0
2018-08-06,15850300.0
2018-10-09,24364500.0
2019-02-14,20152300.0
2018-12-12,20300800.0
2019-07-24,16454100.0
2019-09-26,15964300.0
2019-10-28,12732500.0
2019-12-05,11390400.0
2020-05-11,9369900.0
2019-07-03,9493100.0
2020-02-25,8933400.0
2020-05-14,8945300.0
2020-02-28,10358100.0
2019-08-08,8840500.0
2019-06-05,9539500.0
2018-07-20,8997100.0
2018-08-21,14925100.0
2018-10-24,9111000.0
2019-04-02,6755400.0
2019-03-01,7591200.0
2019-01-28,5128700.0
2018-12-27,7212700.0
2019-09-09,5101300.0
2020-03-02,5942900.0
2020-05-20,7113100.0
2019-12-17,7927300.0
2020-03-05,9021300.0
2019-02-12,9157900.0
2019-01-11,8133700.0
2018-12-10,7309900.0
2019-08-23,9547600.0
2018-11-08,9158000.0
2019-07-22,6225400.0
2019-06-20,6441600.0
2018-09-05,5686600.0
2019-04-17,8849700.0
2019-09-24,8058600.0
2019-12-20,6441800.0
2020-05-26,5239100.0
2019-04-30,5242200.0
2019-12-23,5443600.0
2020-03-11,3504700.0
2020-05-29,4899500.0
2019-12-26,5103900.0
2020-06-01,4900000.0
2019-05-02,5442900.0
2019-02-27,4014400.0
2018-11-23,5538300.0
2019-08-06,4161200.0
2018-07-18,6207000.0
2018-09-20,7726500.0
2018-10-22,3964100.0
2019-07-05,5424600.0
2019-06-03,6279600.0
2019-10-09,5806800.0
2019-10-11,8281100.0
2020-03-17,6879100.0
2020-06-04,5750700.0
2019-10-14,4471200.0
2020-03-20,4407900.0
2018-11-06,7256400.0
2019-06-18,7983000.0
2019-05-17,9069800.0
2019-04-15,6961000.0
2019-03-14,6608600.0
2019-01-09,5436900.0
2018-08-02,7626700.0
