Dates,MDT
2018-06-20,85.83000183105469
2018-06-21,85.62999725341797
2018-06-25,86.61000061035156
2018-06-22,85.66999816894531
2018-06-26,86.36000061035156
2018-06-27,85.38999938964844
2018-06-28,85.3499984741211
2018-06-29,84.58000183105469
2018-07-02,83.61000061035156
2018-07-03,85.27999877929688
2018-07-05,85.30000305175781
2018-07-16,85.58000183105469
2018-09-18,86.37999725341797
2019-01-24,87.11000061035156
2019-09-05,86.56999969482422
2018-11-21,86.9800033569336
2020-01-13,87.88999938964844
2020-04-01,87.52999877929688
2020-06-19,87.7300033569336
2019-10-29,87.9000015258789
2020-01-16,87.87999725341797
2020-06-22,87.70999908447266
2018-10-03,87.44999694824219
2018-07-31,88.52999877929688
2019-03-12,88.6500015258789
2019-02-08,89.12999725341797
2019-01-07,88.16999816894531
2018-12-06,88.51000213623047
2019-08-19,88.87000274658203
2019-07-18,89.70999908447266
2019-05-15,89.4800033569336
2019-09-20,89.56999969482422
2019-11-01,90.06999969482422
2020-04-07,90.25
2020-06-25,90.43000030517578
2020-06-16,90.80999755859375
2019-11-04,90.08000183105469
2020-01-22,90.29000091552734
2019-11-07,90.63999938964844
2020-04-13,90.2300033569336
2019-07-01,90.83999633789062
2019-05-30,90.41999816894531
2018-08-15,89.87000274658203
2018-10-18,93.0
2019-03-27,94.22000122070312
2019-01-22,95.19999694824219
2018-12-21,95.38999938964844
2019-09-03,95.05000305175781
2018-11-19,95.44000244140625
2019-08-02,95.69999694824219
2020-01-28,96.30999755859375
2020-04-16,96.0
2019-11-13,95.30000305175781
2020-01-31,95.11000061035156
2018-12-04,95.62000274658203
2018-11-02,96.12999725341797
2019-07-16,96.30999755859375
2018-08-30,95.51000213623047
2018-10-01,95.76000213623047
2019-06-14,96.37999725341797
2019-05-13,96.6500015258789
2019-04-11,95.81999969482422
2019-02-06,95.79000091552734
2019-09-18,96.25
2020-02-03,96.80999755859375
2020-04-22,96.95999908447266
2019-11-19,97.72000122070312
2020-02-06,98.7300033569336
2019-11-22,98.83999633789062
2019-03-25,97.2699966430664
2019-02-21,97.19999694824219
2018-12-19,98.5
2018-07-12,98.47000122070312
2018-09-14,97.11000061035156
2018-08-13,96.3499984741211
2018-10-16,96.2300033569336
2019-07-31,95.13999938964844
2019-05-28,95.37000274658203
2019-04-26,94.91000366210938
2020-04-28,92.6500015258789
2019-11-25,93.5
2020-02-12,93.2300033569336
2020-05-01,94.83000183105469
2020-05-04,95.33000183105469
2019-06-12,95.02999877929688
2019-04-09,93.69000244140625
2019-03-08,92.9800033569336
2019-02-04,91.9000015258789
2018-07-27,91.26000213623047
2018-08-28,90.79000091552734
2019-01-03,89.08000183105469
2019-08-15,88.44000244140625
2018-10-31,89.16000366210938
2019-09-16,89.75
2020-02-18,90.0
2020-05-07,90.68000030517578
2018-08-17,91.19000244140625
2019-12-04,91.25
2020-02-21,92.91000366210938
2018-12-17,93.5999984741211
2019-08-30,93.8499984741211
2018-11-15,92.2300033569336
2019-07-29,91.73999786376953
2019-06-27,91.54000091552734
2019-04-24,89.86000061035156
2018-07-10,92.72000122070312
2018-09-12,90.04000091552734
2019-02-19,91.33999633789062
2019-01-18,91.6500015258789
2020-02-24,91.70999908447266
2020-05-13,90.51000213623047
2019-12-10,91.29000091552734
2020-02-27,93.30999755859375
2019-12-13,95.30999755859375
2020-05-19,96.76000213623047
2019-03-06,97.91999816894531
2018-11-30,96.0999984741211
2019-08-13,93.66000366210938
2019-07-12,93.5
2019-06-10,92.91000366210938
2019-05-09,94.98999786376953
2018-07-25,95.68000030517578
2018-09-27,94.97000122070312
2018-10-29,93.12000274658203
2019-10-16,91.16999816894531
2019-12-16,91.19999694824219
2020-03-04,90.30000305175781
2020-05-22,89.11000061035156
2019-10-01,88.30999755859375
2019-12-19,85.80000305175781
2018-09-10,85.30000305175781
2019-05-24,86.37999725341797
2018-08-09,88.94999694824219
2019-04-22,89.5999984741211
2019-03-21,87.08999633789062
2019-01-16,85.18000030517578
2019-08-28,86.73999786376953
2018-11-13,82.23999786376953
2018-10-12,81.66000366210938
2019-06-25,83.44999694824219
2020-03-10,83.33999633789062
2020-05-28,83.44999694824219
2019-10-07,84.11000061035156
2020-03-13,85.02999877929688
2019-10-10,86.19999694824219
2020-03-16,86.79000091552734
2020-06-03,86.30999755859375
2018-11-28,86.0
2018-09-25,85.91000366210938
2018-07-23,86.43000030517578
