Dates,FITB
2018-06-20,6541600.0
2018-06-21,5474000.0
2018-06-25,6830400.0
2018-06-22,7224900.0
2018-06-26,6847200.0
2018-06-27,7450600.0
2018-06-28,7828700.0
2018-06-29,8713600.0
2018-07-02,5633700.0
2018-07-03,3614700.0
2018-07-05,5621600.0
2018-07-16,3902700.0
2018-09-18,6437700.0
2019-01-24,5475300.0
2019-09-05,5644900.0
2018-11-21,4794900.0
2020-01-13,5121700.0
2020-04-01,3672000.0
2020-06-19,4684500.0
2019-10-29,10344600.0
2020-01-16,13188800.0
2020-06-22,15014200.0
2018-10-03,9208300.0
2018-07-31,6449500.0
2019-03-12,6868200.0
2019-02-08,7941600.0
2019-01-07,8745600.0
2018-12-06,6140900.0
2019-08-19,6344900.0
2019-07-18,6684200.0
2019-05-15,6414700.0
2019-09-20,5858100.0
2019-11-01,4030800.0
2020-04-07,3977700.0
2020-06-25,2896300.0
2020-06-16,4031500.0
2019-11-04,4481200.0
2020-01-22,3958600.0
2019-11-07,3519500.0
2020-04-13,4651900.0
2019-07-01,3927600.0
2019-05-30,4442600.0
2018-08-15,2699300.0
2018-10-18,3733600.0
2019-03-27,3589200.0
2019-01-22,3758700.0
2018-12-21,2552000.0
2019-09-03,3842300.0
2018-11-19,3381900.0
2019-08-02,6874400.0
2020-01-28,7064300.0
2020-04-16,3879000.0
2019-11-13,4797200.0
2020-01-31,5054900.0
2018-12-04,4040000.0
2018-11-02,5257400.0
2019-07-16,3554000.0
2018-08-30,3783300.0
2018-10-01,4588100.0
2019-06-14,6152800.0
2019-05-13,4955500.0
2019-04-11,4408100.0
2019-02-06,5021600.0
2019-09-18,5458800.0
2020-02-03,5764800.0
2020-04-22,9683400.0
2019-11-19,4341900.0
2020-02-06,4307200.0
2019-11-22,3855200.0
2019-03-25,3885300.0
2019-02-21,8712900.0
2018-12-19,5284700.0
2018-07-12,4370500.0
2018-09-14,5017800.0
2018-08-13,8320800.0
2018-10-16,3861200.0
2019-07-31,3331000.0
2019-05-28,5193500.0
2019-04-26,5579100.0
2020-04-28,7274600.0
2019-11-25,9709500.0
2020-02-12,4971900.0
2020-05-01,4365400.0
2020-05-04,4602100.0
2019-06-12,5397700.0
2019-04-09,6782300.0
2019-03-08,10074500.0
2019-02-04,10449000.0
2018-07-27,12070500.0
2018-08-28,10484300.0
2019-01-03,10063100.0
2019-08-15,9726100.0
2018-10-31,10149900.0
2019-09-16,11524700.0
2020-02-18,7740000.0
2020-05-07,5298000.0
2018-08-17,4954600.0
2019-12-04,5404500.0
2020-02-21,6554200.0
2018-12-17,6176900.0
2019-08-30,6387200.0
2018-11-15,6347900.0
2019-07-29,5576800.0
2019-06-27,6937500.0
2019-04-24,6955700.0
2018-07-10,5181300.0
2018-09-12,4609900.0
2019-02-19,5246600.0
2019-01-18,3174900.0
2020-02-24,1144500.0
2020-05-13,3414700.0
2019-12-10,3977600.0
2020-02-27,5408600.0
2019-12-13,6241100.0
2020-05-19,6982100.0
2019-03-06,8021800.0
2018-11-30,8635700.0
2019-08-13,8156200.0
2019-07-12,5534400.0
2019-06-10,5741200.0
2019-05-09,5535500.0
2018-07-25,4665700.0
2018-09-27,6333000.0
2018-10-29,8861500.0
2019-10-16,9568000.0
2019-12-16,6059000.0
2020-03-04,9582700.0
2020-05-22,10035800.0
2019-10-01,11841300.0
2019-12-19,4808000.0
2018-09-10,7198400.0
2019-05-24,6257300.0
2018-08-09,5437600.0
2019-04-22,4096700.0
2019-03-21,5951200.0
2019-01-16,5772700.0
2019-08-28,6154900.0
2018-11-13,4732300.0
2018-10-12,4427900.0
2019-06-25,6293000.0
2020-03-10,5025400.0
2020-05-28,4185300.0
2019-10-07,4450600.0
2020-03-13,5453400.0
2019-10-10,5550200.0
2020-03-16,5731900.0
2020-06-03,7051300.0
2018-11-28,10147800.0
2018-09-25,4709600.0
2018-07-23,4886800.0
2018-08-24,3962600.0
2019-07-10,3901500.0
2019-05-07,4093700.0
2019-04-05,6513000.0
2019-03-04,6898500.0
2019-01-31,3651800.0
2019-09-12,5906100.0
2019-12-31,4239800.0
2020-03-19,4481600.0
2020-01-03,8603200.0
2020-06-09,5134700.0
2019-02-15,4608400.0
2019-01-14,4928400.0
2018-07-06,5262400.0
2018-08-07,4670700.0
2018-10-10,4904500.0
2018-12-13,5149300.0
2019-08-26,5303400.0
2019-07-25,5202600.0
2019-05-22,4745200.0
2019-03-19,5621700.0
2020-01-06,4437600.0
2020-03-25,6320900.0
2020-06-12,6957700.0
2019-10-22,6730200.0
2020-01-09,8370000.0
2020-06-15,9636700.0
2019-10-25,6604200.0
2020-03-31,15427200.0
2020-06-18,7098200.0
2019-04-03,5827600.0
2018-08-22,11098000.0
2018-10-25,6605900.0
2019-01-29,8239600.0
2018-12-28,9792700.0
2018-11-26,6090700.0
2019-08-09,9896900.0
2019-07-08,13265600.0
2019-06-06,49773000.0
2019-09-10,17101900.0
2020-01-15,9234400.0
2020-04-03,9769900.0
2019-10-31,10826900.0
2020-04-06,11870900.0
2020-06-24,10691100.0
2018-11-09,14375700.0
2019-07-23,8824400.0
2019-06-21,7998500.0
2019-05-20,9416200.0
2019-04-18,5612200.0
2018-09-06,7319200.0
2018-10-08,6073400.0
2019-02-13,6313800.0
2018-12-11,6802500.0
2019-09-25,9033200.0
2020-01-21,5983500.0
2020-04-09,8182300.0
2019-11-06,6068300.0
2020-01-24,7824900.0
2020-01-27,8936200.0
2020-04-15,11397100.0
2018-12-26,7744000.0
2019-08-07,7492100.0
2019-06-04,6924400.0
2018-09-21,6522700.0
2018-07-19,6268900.0
2018-08-20,10078100.0
2018-10-23,6301200.0
2019-05-03,5559800.0
2019-04-01,6461300.0
2019-02-28,6630400.0
2019-11-12,5807600.0
2020-01-30,5357400.0
2019-11-15,4444600.0
2020-04-21,8909800.0
2019-04-16,7171200.0
2019-03-15,7111300.0
2019-02-11,4422800.0
2019-01-10,7313900.0
2019-08-22,5004700.0
2018-11-07,4823200.0
2018-08-03,4767300.0
2018-09-04,8023700.0
2019-06-19,5542100.0
2019-09-23,7925500.0
2019-11-18,6506700.0
2020-02-05,4868100.0
2020-04-24,8431400.0
2019-03-29,6703600.0
2019-11-21,8037300.0
2020-04-27,7697200.0
2020-02-11,6160900.0
2020-04-30,5782400.0
2019-05-01,6921600.0
2019-02-26,6272200.0
2019-01-25,7410200.0
2018-12-24,6341900.0
2019-09-06,5843800.0
2018-07-17,7111800.0
2018-09-19,8542700.0
2019-08-05,8696000.0
2019-10-08,8431700.0
2019-12-11,11605900.0
2019-11-27,6383800.0
2020-02-14,7386700.0
2020-05-06,5545100.0
2019-01-08,4031000.0
2018-12-07,8183300.0
2019-08-20,6262800.0
2018-11-05,5008500.0
2019-07-19,2300000.0
2018-10-04,2636100.0
2019-06-17,4645400.0
2019-05-16,4312400.0
2018-08-01,5723900.0
2019-03-13,5608600.0
2019-12-03,4309400.0
2020-02-20,5823400.0
2019-12-06,4920400.0
2020-05-12,5674500.0
2019-12-09,4296200.0
2020-02-26,4309900.0
2020-05-15,6180100.0
2019-03-28,9840300.0
2018-09-17,6981100.0
2018-08-16,6212000.0
2018-10-19,4967500.0
2019-04-29,4570600.0
2019-01-23,4783800.0
2019-09-04,5788600.0
2018-11-20,6189800.0
2019-07-02,4044900.0
2019-05-31,5917900.0
2019-12-12,4829500.0
2020-05-18,5502000.0
2019-09-27,4826700.0
2020-03-03,3661900.0
2020-05-21,5161900.0
2019-05-14,5811500.0
2018-08-31,9994800.0
2018-07-30,5107700.0
2018-10-02,5220500.0
2019-04-12,3345100.0
2019-03-11,4525300.0
2019-02-07,4808800.0
2019-07-17,4685800.0
2019-09-19,8413500.0
2019-10-21,3490700.0
2019-12-18,8431200.0
2020-03-06,5012700.0
2019-10-03,4482900.0
2020-03-09,4240600.0
2020-05-27,5528500.0
2019-12-24,5370200.0
2020-03-12,5282200.0
2018-12-20,5535000.0
2019-08-01,6194200.0
2018-08-14,6290700.0
2018-07-13,6311300.0
2018-10-17,5386800.0
2019-05-29,4536400.0
2019-03-26,4594500.0
2019-02-22,5711200.0
2019-10-04,4088000.0
2019-11-05,4468700.0
2019-12-27,8049600.0
2020-06-02,4794000.0
2019-12-30,5499500.0
2020-03-18,3293000.0
2020-06-05,5249100.0
2019-07-15,4831500.0
2018-12-03,3654800.0
2019-06-13,4449800.0
2019-01-04,4184300.0
2018-08-29,4812800.0
2019-02-05,4576500.0
2018-11-01,3188100.0
2019-08-16,5921100.0
2019-04-10,4037800.0
2019-09-17,4585000.0
2019-10-15,5213500.0
2020-01-02,3674600.0
2020-06-08,3990400.0
2019-10-18,3897500.0
2020-03-24,5085900.0
2020-06-11,6307300.0
2020-01-08,6067100.0
2019-04-25,8416600.0
2019-07-30,4557900.0
2019-02-20,3222700.0
2018-07-11,9573400.0
2018-09-13,7465500.0
2018-10-15,6889700.0
2019-06-28,8114000.0
2018-12-18,7915000.0
2018-11-16,5209800.0
2019-10-02,5990700.0
2020-03-27,4962700.0
2020-01-10,5428700.0
2019-10-24,5180900.0
2020-03-30,3597500.0
2020-06-17,4751500.0
2020-01-14,4307000.0
2020-04-02,4469300.0
2019-01-02,3676200.0
2019-08-14,4760900.0
2018-10-30,4022200.0
2019-06-11,3151700.0
2019-05-10,3237700.0
2019-04-08,3398400.0
2018-08-27,4700900.0
2018-07-26,3717200.0
2018-09-28,4341000.0
2019-03-07,2803700.0
2019-10-30,1730900.0
2020-01-17,4450900.0
2020-06-23,6379900.0
2020-04-08,4206400.0
2020-06-26,4209400.0
2019-03-22,4065800.0
2019-01-17,3146900.0
2019-08-29,3635300.0
2018-11-14,2939400.0
2019-06-26,4697800.0
2018-09-11,4613400.0
2018-07-09,5675100.0
2018-08-10,5872900.0
2019-04-23,4830000.0
2019-09-30,4860900.0
2020-01-23,9662600.0
2019-11-08,2862200.0
2020-04-14,905200.0
2019-11-11,2081800.0
2020-01-29,2729200.0
2020-04-17,2766600.0
2018-07-24,3404200.0
2018-09-26,4618500.0
2019-05-08,4245300.0
2019-03-05,3652200.0
2019-02-01,4057900.0
2018-12-31,4795400.0
2018-11-29,5780300.0
2019-08-12,3832100.0
2019-07-11,3959800.0
2019-09-13,5539300.0
2019-11-14,4408700.0
2020-04-20,3426000.0
2020-02-04,5281600.0
2020-04-23,6437600.0
2018-12-14,7553000.0
2019-08-27,5503600.0
2018-08-08,4796400.0
2018-10-11,4688600.0
2018-11-12,4751100.0
2019-07-26,3459300.0
2019-06-24,8450100.0
2019-05-23,7780200.0
2019-03-20,4578500.0
2019-01-15,4715700.0
2019-11-20,5655100.0
2020-02-07,4520600.0
2020-02-10,3666400.0
2020-04-29,3189900.0
2019-11-26,4473700.0
2020-02-13,2652700.0
2019-01-30,2838400.0
2018-08-23,1918000.0
2018-09-24,2790500.0
2018-11-27,3505200.0
2018-10-26,3588200.0
2019-07-09,3598900.0
2019-06-07,5932000.0
2019-05-06,6472500.0
2019-04-04,5840200.0
2019-09-11,8155600.0
2019-11-29,11606900.0
2020-05-05,10718100.0
2019-12-02,11051300.0
2020-02-19,8068700.0
2020-05-08,7761200.0
2019-05-21,11039000.0
2019-03-18,9538800.0
2018-09-07,14120200.0
2018-08-06,16402500.0
2018-10-09,15085900.0
2019-02-14,9912600.0
2018-12-12,14846100.0
2019-07-24,12165700.0
2019-09-26,11484600.0
2019-10-28,11965200.0
2019-12-05,14914800.0
2020-05-11,11559300.0
2019-07-03,11749600.0
2020-02-25,11039700.0
2020-05-14,11896400.0
2020-02-28,11708800.0
2019-08-08,9791000.0
2019-06-05,9932600.0
2018-07-20,9353400.0
2018-08-21,8708100.0
2018-10-24,7931600.0
2019-04-02,10118200.0
2019-03-01,8668800.0
2019-01-28,7163600.0
2018-12-27,10667500.0
2019-09-09,8256400.0
2020-03-02,9040400.0
2020-05-20,12250900.0
2019-12-17,10716500.0
2020-03-05,10250400.0
2019-02-12,8585600.0
2019-01-11,11306500.0
2018-12-10,8011200.0
2019-08-23,8536600.0
2018-11-08,8428200.0
2019-07-22,6439400.0
2019-06-20,6413600.0
2018-09-05,6646600.0
2019-04-17,6142300.0
2019-09-24,5343000.0
2019-12-20,5472600.0
2020-05-26,5493200.0
2019-04-30,7340500.0
2019-12-23,6359500.0
2020-03-11,5411600.0
2020-05-29,5716900.0
2019-12-26,8000000.0
2020-06-01,13376500.0
2019-05-02,9130300.0
2019-02-27,7132600.0
2018-11-23,10652600.0
2019-08-06,7012600.0
2018-07-18,7080200.0
2018-09-20,6655700.0
2018-10-22,5876400.0
2019-07-05,9212100.0
2019-06-03,9498300.0
2019-10-09,7863100.0
2019-10-11,10798900.0
2020-03-17,5417100.0
2020-06-04,7438100.0
2019-10-14,8661000.0
2020-03-20,8489700.0
2018-11-06,11003400.0
2019-06-18,12236600.0
2019-05-17,8835800.0
2019-04-15,19357000.0
2019-03-14,10834700.0
2019-01-09,7169200.0
2018-08-02,10503700.0
2018-10-05,7253700.0
2019-08-21,8114200.0
2019-10-17,8145900.0
2020-03-23,31547000.0
2020-06-10,9928400.0
2019-02-25,8007800.0
2020-01-07,8176000.0
2020-03-26,6996900.0
2019-10-23,10954500.0
