Dates,SAR
2020-02-27,39200.0
2019-12-13,22200.0
2020-05-19,31800.0
2019-03-06,54100.0
2018-11-30,25500.0
2019-08-13,23700.0
2019-07-12,29300.0
2019-06-10,34400.0
2019-05-09,49500.0
2018-07-25,43100.0
2018-09-27,25800.0
2018-10-29,46300.0
2019-10-16,89400.0
2019-12-16,71300.0
2020-03-04,40500.0
2020-05-22,38400.0
2019-10-01,77900.0
2019-12-19,32300.0
2018-09-10,37200.0
2019-05-24,36200.0
2018-08-09,31100.0
2019-04-22,39400.0
2019-03-21,9800.0
2019-01-16,26400.0
2019-08-28,32500.0
2018-11-13,26200.0
2018-10-12,13100.0
2019-06-25,36900.0
2020-03-10,47900.0
2020-05-28,10900.0
2019-10-07,26400.0
2020-03-13,12300.0
2019-10-10,21700.0
2020-03-16,19200.0
2020-06-03,16300.0
2018-11-28,37100.0
2018-09-25,18200.0
2018-07-23,29900.0
2018-08-24,17000.0
2019-07-10,14100.0
2019-05-07,15300.0
2019-04-05,15700.0
2019-03-04,14300.0
2019-01-31,18200.0
2019-09-12,17500.0
2019-12-31,24700.0
2020-03-19,31900.0
2020-01-03,17000.0
2020-06-09,19700.0
2019-02-15,21900.0
2019-01-14,15700.0
2018-07-06,10100.0
2018-08-07,7800.0
2018-10-10,11900.0
2018-12-13,30000.0
2019-08-26,17900.0
2019-07-25,14900.0
2019-05-22,91300.0
2019-03-19,50000.0
2020-01-06,45700.0
2020-03-25,22400.0
2020-06-12,58800.0
2019-10-22,40400.0
2020-01-09,41100.0
2020-06-15,52300.0
2019-10-25,50600.0
2020-03-31,26300.0
2020-06-18,37300.0
2019-04-03,54300.0
2018-08-22,97800.0
2018-10-25,36700.0
2019-01-29,18000.0
2018-12-28,22600.0
2018-11-26,33400.0
2019-08-09,11500.0
2019-07-08,33400.0
2019-06-06,23500.0
2019-09-10,27700.0
2020-01-15,21600.0
2020-04-03,23000.0
2019-10-31,21500.0
2020-04-06,15600.0
2020-06-24,22800.0
2018-11-09,44000.0
2019-07-23,24800.0
2019-06-21,9700.0
2019-05-20,9300.0
2019-04-18,30400.0
2018-09-06,20600.0
2018-10-08,19200.0
2019-02-13,73700.0
2018-12-11,59900.0
2019-09-25,111200.0
2020-01-21,241500.0
2020-04-09,43400.0
2019-11-06,33200.0
2020-01-24,37200.0
2020-01-27,106600.0
2020-04-15,65200.0
2018-12-26,44600.0
2019-08-07,30700.0
2019-06-04,44300.0
2018-09-21,39900.0
2018-07-19,40300.0
2018-08-20,18000.0
2018-10-23,25200.0
2019-05-03,33300.0
2019-04-01,33700.0
2019-02-28,29900.0
2019-11-12,14300.0
2020-01-30,55200.0
2019-11-15,28200.0
2020-04-21,54600.0
2019-04-16,25400.0
2019-03-15,27400.0
2019-02-11,27600.0
2019-01-10,21200.0
2019-08-22,17700.0
2018-11-07,15100.0
2018-08-03,12000.0
2018-09-04,16800.0
2019-06-19,5800.0
2019-09-23,46800.0
2019-11-18,42800.0
2020-02-05,28800.0
2020-04-24,41800.0
2019-03-29,31500.0
2019-11-21,44900.0
2020-04-27,20900.0
2020-02-11,39800.0
2020-04-30,35000.0
2019-05-01,58600.0
2019-02-26,77800.0
2019-01-25,51500.0
2018-12-24,23100.0
2019-09-06,24700.0
2018-07-17,34700.0
2018-09-19,56300.0
2019-08-05,36600.0
2019-10-08,23100.0
2019-12-11,22600.0
2019-11-27,74100.0
2020-02-14,66800.0
2020-05-06,53000.0
2019-01-08,44100.0
2018-12-07,132400.0
2019-08-20,26500.0
2018-11-05,42300.0
2019-07-19,27600.0
2018-10-04,38100.0
2019-06-17,21100.0
2019-05-16,26500.0
2018-08-01,62800.0
2019-03-13,49400.0
2019-12-03,48900.0
2020-02-20,55200.0
2019-12-06,31500.0
2020-05-12,35900.0
2019-12-09,448500.0
2020-02-26,128900.0
2020-05-15,56200.0
2019-03-28,79200.0
2018-09-17,66800.0
2018-08-16,221400.0
2018-10-19,340500.0
2019-04-29,235300.0
2019-01-23,134200.0
2019-09-04,98300.0
2018-11-20,73500.0
2019-07-02,73700.0
2019-05-31,108900.0
2019-12-12,81100.0
2020-05-18,54800.0
