Dates,SAR
2018-06-20,24.100000381469727
2018-06-21,23.93000030517578
2018-06-25,24.280000686645508
2018-06-22,25.700000762939453
2018-06-26,27.739999771118164
2018-06-27,27.329999923706055
2018-06-28,27.600000381469727
2018-06-29,27.690000534057617
2018-07-02,26.690000534057617
2018-07-03,26.450000762939453
2018-07-05,26.639999389648438
2018-07-16,27.479999542236328
2018-09-18,27.049999237060547
2019-01-24,26.799999237060547
2019-09-05,24.739999771118164
2018-11-21,24.75
2020-01-13,24.450000762939453
2020-04-01,24.469999313354492
2020-06-19,24.799999237060547
2019-10-29,24.540000915527344
2020-01-16,24.5
2020-06-22,24.639999389648438
2018-10-03,24.510000228881836
2018-07-31,24.489999771118164
2019-03-12,24.59000015258789
2019-02-08,24.450000762939453
2019-01-07,24.149999618530273
2018-12-06,24.149999618530273
2019-08-19,24.18000030517578
2019-07-18,24.190000534057617
2019-05-15,24.219999313354492
2019-09-20,24.030000686645508
2019-11-01,24.25
2020-04-07,24.110000610351562
2020-06-25,24.149999618530273
2020-06-16,24.100000381469727
2019-11-04,24.219999313354492
2020-01-22,24.1299991607666
2019-11-07,23.950000762939453
2020-04-13,23.520000457763672
2019-07-01,23.75
2019-05-30,23.770000457763672
2018-08-15,23.850000381469727
2018-10-18,24.010000228881836
2019-03-27,24.18000030517578
2019-01-22,24.079999923706055
2018-12-21,24.1299991607666
2019-09-03,23.93000030517578
2018-11-19,24.34000015258789
2019-08-02,24.670000076293945
2020-01-28,24.829999923706055
2020-04-16,24.850000381469727
2019-11-13,24.700000762939453
2020-01-31,24.479999542236328
2018-12-04,24.139999389648438
2018-11-02,23.950000762939453
2019-07-16,24.049999237060547
2018-08-30,24.139999389648438
2018-10-01,24.399999618530273
2019-06-14,24.469999313354492
2019-05-13,23.950000762939453
2019-04-11,24.149999618530273
2019-02-06,23.799999237060547
2019-09-18,23.790000915527344
2020-02-03,23.399999618530273
2020-04-22,23.389999389648438
2019-11-19,23.149999618530273
2020-02-06,23.25
2019-11-22,23.270000457763672
2019-03-25,23.139999389648438
2019-02-21,23.079999923706055
2018-12-19,23.100000381469727
2018-07-12,23.049999237060547
2018-09-14,23.139999389648438
2018-08-13,22.8799991607666
2018-10-16,23.350000381469727
2019-07-31,23.719999313354492
2019-05-28,23.65999984741211
2019-04-26,23.3700008392334
2020-04-28,23.190000534057617
2019-11-25,23.260000228881836
2020-02-12,23.420000076293945
2020-05-01,23.209999084472656
2020-05-04,23.1299991607666
2019-06-12,22.920000076293945
2019-04-09,22.56999969482422
2019-03-08,22.43000030517578
2019-02-04,22.09000015258789
2018-07-27,21.639999389648438
2018-08-28,21.510000228881836
2019-01-03,21.110000610351562
2019-08-15,20.829999923706055
2018-10-31,20.5
2019-09-16,20.90999984741211
2020-02-18,21.309999465942383
2020-05-07,21.110000610351562
2018-08-17,20.799999237060547
2019-12-04,21.049999237060547
2020-02-21,21.420000076293945
2018-12-17,21.790000915527344
2019-08-30,21.520000457763672
2018-11-15,20.860000610351562
2019-07-29,20.799999237060547
2019-06-27,20.610000610351562
2019-04-24,20.799999237060547
2018-07-10,21.09000015258789
2018-09-12,20.860000610351562
2019-02-19,20.709999084472656
2019-01-18,20.780000686645508
2020-02-24,20.639999389648438
2020-05-13,20.860000610351562
2019-12-10,21.280000686645508
2020-02-27,21.579999923706055
2019-12-13,21.729999542236328
2020-05-19,22.059999465942383
2019-03-06,22.950000762939453
2018-11-30,22.780000686645508
2019-08-13,22.6200008392334
2019-07-12,22.850000381469727
2019-06-10,23.020000457763672
2019-05-09,23.049999237060547
2018-07-25,22.8700008392334
2018-09-27,22.610000610351562
2018-10-29,22.040000915527344
2019-10-16,20.799999237060547
2019-12-16,20.399999618530273
2020-03-04,20.209999084472656
2020-05-22,19.610000610351562
2019-10-01,18.959999084472656
2019-12-19,18.989999771118164
2018-09-10,19.469999313354492
2019-05-24,20.40999984741211
2018-08-09,20.219999313354492
2019-04-22,19.899999618530273
2019-03-21,20.549999237060547
2019-01-16,21.440000534057617
2019-08-28,21.260000228881836
2018-11-13,21.690000534057617
2018-10-12,21.809999465942383
2019-06-25,21.6200008392334
2020-03-10,22.030000686645508
2020-05-28,21.989999771118164
2019-10-07,21.75
2020-03-13,21.920000076293945
2019-10-10,22.1299991607666
2020-03-16,21.8799991607666
2020-06-03,22.09000015258789
2018-11-28,22.270000457763672
2018-09-25,22.229999542236328
2018-07-23,22.549999237060547
2018-08-24,22.649999618530273
2019-07-10,22.670000076293945
2019-05-07,23.049999237060547
2019-04-05,23.0
2019-03-04,22.889999389648438
2019-01-31,22.920000076293945
2019-09-12,22.950000762939453
2019-12-31,23.1299991607666
2020-03-19,23.149999618530273
2020-01-03,23.020000457763672
2020-06-09,23.100000381469727
2019-02-15,23.149999618530273
2019-01-14,23.06999969482422
2018-07-06,23.079999923706055
2018-08-07,23.010000228881836
2018-10-10,23.079999923706055
2018-12-13,23.1299991607666
2019-08-26,23.049999237060547
2019-07-25,23.100000381469727
2019-05-22,23.399999618530273
2019-03-19,23.219999313354492
2020-01-06,23.170000076293945
2020-03-25,23.1299991607666
2020-06-12,23.040000915527344
2019-10-22,23.1200008392334
2020-01-09,23.1299991607666
2020-06-15,23.110000610351562
2019-10-25,23.040000915527344
2020-03-31,22.969999313354492
2020-06-18,22.979999542236328
2019-04-03,23.170000076293945
2018-08-22,23.290000915527344
2018-10-25,22.799999237060547
2019-01-29,22.829999923706055
2018-12-28,22.700000762939453
2018-11-26,22.780000686645508
2019-08-09,22.729999542236328
2019-07-08,22.610000610351562
2019-06-06,22.559999465942383
2019-09-10,22.34000015258789
2020-01-15,22.299999237060547
2020-04-03,22.299999237060547
2019-10-31,22.290000915527344
2020-04-06,22.270000457763672
2020-06-24,22.280000686645508
2018-11-09,23.059999465942383
2019-07-23,23.09000015258789
2019-06-21,22.8700008392334
2019-05-20,22.989999771118164
2019-04-18,22.90999984741211
2018-09-06,23.100000381469727
2018-10-08,23.059999465942383
2019-02-13,23.549999237060547
2018-12-11,23.899999618530273
2019-09-25,24.56999969482422
2020-01-21,24.530000686645508
2020-04-09,24.450000762939453
2019-11-06,24.450000762939453
2020-01-24,24.290000915527344
2020-01-27,24.829999923706055
2020-04-15,25.010000228881836
2018-12-26,25.110000610351562
2019-08-07,24.84000015258789
2019-06-04,24.850000381469727
2018-09-21,25.079999923706055
2018-07-19,25.06999969482422
2018-08-20,25.190000534057617
2018-10-23,25.239999771118164
2019-05-03,25.600000381469727
2019-04-01,25.540000915527344
2019-02-28,25.420000076293945
2019-11-12,25.31999969482422
2020-01-30,25.1299991607666
2019-11-15,24.979999542236328
2020-04-21,24.40999984741211
2019-04-16,24.6299991607666
2019-03-15,24.31999969482422
2019-02-11,24.540000915527344
2019-01-10,24.760000228881836
2019-08-22,24.850000381469727
2018-11-07,24.790000915527344
2018-08-03,24.889999389648438
2018-09-04,24.84000015258789
2019-06-19,24.81999969482422
2019-09-23,25.209999084472656
2019-11-18,25.280000686645508
2020-02-05,25.239999771118164
2020-04-24,24.649999618530273
2019-03-29,24.579999923706055
2019-11-21,24.760000228881836
2020-04-27,24.75
2020-02-11,24.81999969482422
2020-04-30,24.799999237060547
2019-05-01,24.8799991607666
2019-02-26,24.829999923706055
2019-01-25,24.209999084472656
2018-12-24,24.200000762939453
2019-09-06,24.1299991607666
2018-07-17,23.8799991607666
2018-09-19,23.639999389648438
2019-08-05,23.920000076293945
2019-10-08,23.709999084472656
2019-12-11,23.649999618530273
2019-11-27,23.309999465942383
