Dates,NFLX
2020-01-02,326.1000061035156
2020-01-03,326.7799987792969
2020-01-08,323.1199951171875
2020-01-06,336.4700012207031
2020-01-07,331.489990234375
2020-01-09,342.0
2020-01-10,337.1300048828125
2020-01-13,331.79998779296875
2020-01-14,344.3999938964844
2020-01-15,338.67999267578125
2020-01-16,343.5
2020-01-27,341.0
2020-02-20,340.0
2020-02-12,332.54998779296875
2020-04-16,326.0400085449219
2020-02-04,348.4599914550781
2020-05-28,345.95001220703125
2020-07-08,345.8800048828125
2020-06-19,349.0
2020-05-12,341.1000061035156
2020-06-22,347.3900146484375
2020-06-03,347.239990234375
2020-05-15,361.0
2020-03-06,375.1300048828125
2020-02-27,369.6000061035156
2020-04-15,365.0400085449219
2020-02-03,365.0
2020-02-11,373.75
2020-02-19,377.17999267578125
2020-04-07,376.9599914550781
2020-03-30,381.4700012207031
2020-04-23,379.29998779296875
2020-05-01,388.1199951171875
2020-07-14,386.55999755859375
2020-06-25,385.3299865722656
2020-06-16,364.760009765625
2020-05-18,372.0
2020-06-09,366.30999755859375
2020-05-21,371.4599914550781
2020-01-17,364.2099914550781
2020-03-13,373.1099853515625
2020-03-05,381.0299987792969
2020-02-26,377.7699890136719
2020-02-18,381.0
2020-04-22,367.70001220703125
2020-02-10,343.8599853515625
2020-04-14,356.42999267578125
2020-04-06,358.9200134277344
2020-04-30,326.5
2020-06-12,330.510009765625
2020-06-15,306.6300048828125
2020-05-27,306.19000244140625
2020-05-08,302.3999938964844
2020-07-07,324.3299865722656
2020-03-31,342.30999755859375
2020-06-18,347.8900146484375
2020-04-13,369.989990234375
2020-03-20,361.0199890136719
2020-03-12,344.0
2020-01-24,359.0899963378906
2020-03-04,363.0
2020-02-25,367.92999267578125
2020-04-21,376.04998779296875
2020-04-29,364.0799865722656
2020-05-07,367.4700012207031
2020-05-11,365.2200012207031
2020-07-10,380.0
2020-06-02,374.010009765625
2020-05-14,371.05999755859375
2020-07-13,371.30999755859375
2020-06-24,397.5
2020-06-05,413.0
2020-02-28,437.0
2020-01-23,431.0
2020-04-20,435.1700134277344
2020-02-24,444.7699890136719
2020-01-31,429.7300109863281
2020-03-19,419.260009765625
2020-03-27,425.0
2020-03-11,425.0
2020-03-03,419.989990234375
2020-04-28,399.5299987792969
2020-05-06,410.30999755859375
2020-06-08,415.1000061035156
2020-05-20,417.7799987792969
2020-07-01,427.55999755859375
2020-06-30,429.29998779296875
2020-06-11,436.8900146484375
2020-03-10,434.1400146484375
2020-03-02,436.3299865722656
2020-01-22,442.0
2020-01-30,435.69000244140625
2020-02-07,444.8999938964844
2020-04-03,440.70001220703125
2020-03-26,451.1600036621094
2020-03-18,453.3999938964844
2020-04-27,454.25
2020-05-05,448.55999755859375
2020-05-26,437.0
2020-07-06,427.7699890136719
2020-06-17,410.3800048828125
2020-05-29,417.239990234375
2020-07-09,417.4599914550781
2020-06-01,418.8299865722656
2020-01-21,425.8699951171875
2020-01-29,426.95001220703125
2020-03-25,422.3900146484375
2020-03-17,407.2900085449219
2020-03-09,416.0
2020-02-14,421.6499938964844
2020-02-06,436.0
2020-04-02,428.20001220703125
2020-05-04,429.0
2020-04-24,421.3999938964844
2020-05-13,425.760009765625
2020-06-23,441.82000732421875
2020-06-04,448.7300109863281
2020-07-15,449.1199951171875
2020-04-08,455.010009765625
2020-06-26,466.5
2020-05-19,468.5400085449219
2020-04-09,458.8599853515625
2020-04-01,466.3900146484375
2020-03-24,445.2300109863281
2020-03-16,450.0199890136719
2020-01-28,454.0
2020-02-05,485.6400146484375
2020-02-13,480.7699890136719
2020-02-21,497.30999755859375
2020-04-17,498.5799865722656
2020-03-23,508.3999938964844
2020-06-29,519.72998046875
2020-06-10,567.97998046875
2020-05-22,517.0800170898438
2020-07-02,516.2999877929688
