Dates,HES
2018-06-20,5572100.0
2018-06-21,3545600.0
2018-06-25,6791900.0
2018-06-22,4374900.0
2018-06-26,2553800.0
2018-06-27,5399900.0
2018-06-28,3294400.0
2018-06-29,5443100.0
2018-07-02,3023800.0
2018-07-03,1713400.0
2018-07-05,2664300.0
2018-07-16,2138700.0
2018-09-18,2639300.0
2019-01-24,2530800.0
2019-09-05,3845100.0
2018-11-21,3117500.0
2020-01-13,3040900.0
2020-04-01,3649000.0
2020-06-19,3666400.0
2019-10-29,2801100.0
2020-01-16,2442700.0
2020-06-22,2496200.0
2018-10-03,4027900.0
2018-07-31,3505600.0
2019-03-12,4159300.0
2019-02-08,4196900.0
2019-01-07,2473100.0
2018-12-06,2108900.0
2019-08-19,2812400.0
2019-07-18,2771900.0
2019-05-15,2282700.0
2019-09-20,3088100.0
2019-11-01,2226700.0
2020-04-07,2907000.0
2020-06-25,2981600.0
2020-06-16,3669800.0
2019-11-04,2881200.0
2020-01-22,2113300.0
2019-11-07,1928400.0
2020-04-13,4760200.0
2019-07-01,2068800.0
2019-05-30,2312000.0
2018-08-15,2043200.0
2018-10-18,2016200.0
2019-03-27,1757600.0
2019-01-22,1493400.0
2018-12-21,1912600.0
2019-09-03,1449300.0
2018-11-19,2377800.0
2019-08-02,3392100.0
2020-01-28,2819700.0
2020-04-16,2012000.0
2019-11-13,2093700.0
2020-01-31,2508400.0
2018-12-04,2566700.0
2018-11-02,2893200.0
2019-07-16,1412900.0
2018-08-30,2015800.0
2018-10-01,2700600.0
2019-06-14,2847100.0
2019-05-13,2655500.0
2019-04-11,2151600.0
2019-02-06,3076300.0
2019-09-18,3298900.0
2020-02-03,2504800.0
2020-04-22,4981000.0
2019-11-19,4164600.0
2020-02-06,3550800.0
2019-11-22,3006900.0
2019-03-25,3170000.0
2019-02-21,5988500.0
2018-12-19,4977300.0
2018-07-12,2457400.0
2018-09-14,2950100.0
2018-08-13,2588200.0
2018-10-16,2742700.0
2019-07-31,2644900.0
2019-05-28,2283400.0
2019-04-26,6878200.0
2020-04-28,4032000.0
2019-11-25,2601400.0
2020-02-12,2345400.0
2020-05-01,2455000.0
2020-05-04,4552200.0
2019-06-12,3966300.0
2019-04-09,3186400.0
2019-03-08,2172000.0
2019-02-04,5267900.0
2018-07-27,4246400.0
2018-08-28,3419800.0
2019-01-03,3220600.0
2019-08-15,3233000.0
2018-10-31,3736700.0
2019-09-16,7736400.0
2020-02-18,3819500.0
2020-05-07,3465700.0
2018-08-17,3918200.0
2019-12-04,3373600.0
2020-02-21,4605600.0
2018-12-17,3079300.0
2019-08-30,2901300.0
2018-11-15,2395100.0
2019-07-29,4067800.0
2019-06-27,3075900.0
2019-04-24,2991200.0
2018-07-10,2482800.0
2018-09-12,2057700.0
2019-02-19,4306800.0
2019-01-18,2752600.0
2020-02-24,2931400.0
2020-05-13,6759500.0
2019-12-10,3233400.0
2020-02-27,3136100.0
2019-12-13,2736300.0
2020-05-19,3935200.0
2019-03-06,4241500.0
2018-11-30,6173600.0
2019-08-13,5001400.0
2019-07-12,4348100.0
2019-06-10,4496700.0
2019-05-09,3339600.0
2018-07-25,4258200.0
2018-09-27,5718500.0
2018-10-29,4306500.0
2019-10-16,4186900.0
2019-12-16,6644700.0
2020-03-04,6261100.0
2020-05-22,5920500.0
2019-10-01,8595400.0
2019-12-19,7428900.0
2018-09-10,10671300.0
2019-05-24,8029900.0
2018-08-09,5171700.0
2019-04-22,4513500.0
2019-03-21,4692200.0
2019-01-16,6034500.0
2019-08-28,9819300.0
2018-11-13,7827100.0
2018-10-12,5405900.0
2019-06-25,6525800.0
2020-03-10,8692500.0
2020-05-28,4236700.0
2019-10-07,3986300.0
2020-03-13,5974600.0
2019-10-10,4309600.0
2020-03-16,2964200.0
2020-06-03,5504600.0
2018-11-28,4486200.0
2018-09-25,3562600.0
2018-07-23,4396400.0
2018-08-24,5046700.0
2019-07-10,4012400.0
2019-05-07,4688000.0
2019-04-05,4999800.0
2019-03-04,7623100.0
2019-01-31,5369500.0
2019-09-12,2592200.0
2019-12-31,3209200.0
2020-03-19,4075600.0
2020-01-03,3740500.0
2020-06-09,3398800.0
2019-02-15,2469000.0
2019-01-14,4035600.0
2018-07-06,3762900.0
2018-08-07,2994500.0
2018-10-10,2604400.0
2018-12-13,2918900.0
2019-08-26,2388200.0
2019-07-25,3254800.0
2019-05-22,2966900.0
2019-03-19,2204900.0
2020-01-06,2859700.0
2020-03-25,3525300.0
2020-06-12,5634900.0
2019-10-22,3450700.0
2020-01-09,3319900.0
2020-06-15,4571600.0
2019-10-25,4072000.0
2020-03-31,4371100.0
2020-06-18,3367100.0
2019-04-03,4506300.0
2018-08-22,2852500.0
2018-10-25,3870900.0
2019-01-29,3572400.0
2018-12-28,4319000.0
2018-11-26,2114600.0
2019-08-09,2959300.0
2019-07-08,3905200.0
2019-06-06,2210700.0
2019-09-10,3292500.0
2020-01-15,2997200.0
2020-04-03,3149200.0
2019-10-31,2283700.0
2020-04-06,1747400.0
2020-06-24,2244600.0
2018-11-09,2580400.0
2019-07-23,3058500.0
2019-06-21,1893800.0
2019-05-20,2487900.0
2019-04-18,4768400.0
2018-09-06,4155500.0
2018-10-08,3084400.0
2019-02-13,2856800.0
2018-12-11,2128400.0
2019-09-25,6405700.0
2020-01-21,2041800.0
2020-04-09,2643200.0
2019-11-06,2135300.0
2020-01-24,2199100.0
2020-01-27,4294700.0
2020-04-15,3839000.0
2018-12-26,4279000.0
2019-08-07,7603500.0
2019-06-04,3828900.0
2018-09-21,2737400.0
2018-07-19,3587700.0
2018-08-20,2170000.0
2018-10-23,2991100.0
2019-05-03,2662900.0
2019-04-01,2618000.0
2019-02-28,9202700.0
2019-11-12,2537000.0
2020-01-30,1877800.0
2019-11-15,2329500.0
2020-04-21,2268800.0
2019-04-16,2201100.0
2019-03-15,2327100.0
2019-02-11,2268900.0
2019-01-10,1648600.0
2019-08-22,2147600.0
2018-11-07,2106000.0
2018-08-03,2984600.0
2018-09-04,4962600.0
2019-06-19,2504100.0
2019-09-23,2449400.0
2019-11-18,2569000.0
2020-02-05,1832800.0
2020-04-24,2807700.0
2019-03-29,3584400.0
2019-11-21,3408500.0
2020-04-27,4479600.0
2020-02-11,4964700.0
2020-04-30,4557300.0
2019-05-01,2174800.0
2019-02-26,2770100.0
2019-01-25,4592300.0
2018-12-24,3230400.0
2019-09-06,4809100.0
2018-07-17,2656900.0
2018-09-19,3647000.0
2019-08-05,2106400.0
2019-10-08,3548400.0
2019-12-11,3357000.0
2019-11-27,2402900.0
2020-02-14,2126900.0
2020-05-06,3620900.0
2019-01-08,2116200.0
2018-12-07,3370900.0
2019-08-20,2493000.0
2018-11-05,2130500.0
2019-07-19,1880400.0
2018-10-04,1597600.0
2019-06-17,2655600.0
2019-05-16,1878200.0
2018-08-01,2349000.0
2019-03-13,1367900.0
2019-12-03,1764100.0
2020-02-20,2163600.0
2019-12-06,1964800.0
2020-05-12,3705200.0
2019-12-09,2818200.0
2020-02-26,3940400.0
2020-05-15,1733900.0
2019-03-28,1710800.0
2018-09-17,2831000.0
2018-08-16,3004900.0
2018-10-19,2638700.0
2019-04-29,6014900.0
2019-01-23,3322400.0
2019-09-04,4855800.0
2018-11-20,4215600.0
2019-07-02,3033900.0
2019-05-31,3604400.0
2019-12-12,3075700.0
2020-05-18,4460300.0
2019-09-27,2517600.0
2020-03-03,2550500.0
2020-05-21,2213200.0
2019-05-14,2710600.0
2018-08-31,2874600.0
2018-07-30,2434500.0
2018-10-02,2387700.0
2019-04-12,4036100.0
2019-03-11,2414000.0
2019-02-07,2961500.0
2019-07-17,1386500.0
2019-09-19,3797100.0
2019-10-21,1796200.0
2019-12-18,1988700.0
2020-03-06,2939900.0
2019-10-03,2793700.0
2020-03-09,2063000.0
2020-05-27,2632800.0
2019-12-24,2561700.0
2020-03-12,2379000.0
2018-12-20,4074200.0
2019-08-01,4823100.0
2018-08-14,6012000.0
2018-07-13,3408200.0
2018-10-17,2703500.0
2019-05-29,2943900.0
2019-03-26,6852600.0
2019-02-22,4804000.0
2019-10-04,3267900.0
2019-11-05,2451100.0
2019-12-27,3605000.0
2020-06-02,1761600.0
2019-12-30,4229000.0
2020-03-18,1854700.0
2020-06-05,2294200.0
2019-07-15,3256800.0
2018-12-03,2440500.0
2019-06-13,3720100.0
2019-01-04,3356000.0
2018-08-29,3326900.0
2019-02-05,2963100.0
2018-11-01,2887100.0
2019-08-16,2579100.0
2019-04-10,2141300.0
2019-09-17,2214700.0
2019-10-15,2072800.0
2020-01-02,2343200.0
2020-06-08,1633000.0
2019-10-18,1898800.0
2020-03-24,1202600.0
2020-06-11,1567400.0
2020-01-08,1407500.0
2019-04-25,1917000.0
2019-07-30,2607400.0
2019-02-20,2092600.0
2018-07-11,1395900.0
2018-09-13,1664800.0
2018-10-15,1964300.0
2019-06-28,3409200.0
2018-12-18,2721100.0
2018-11-16,2370300.0
2019-10-02,3512700.0
2020-03-27,2853400.0
2020-01-10,2111200.0
2019-10-24,3063000.0
2020-03-30,2317000.0
2020-06-17,1846900.0
2020-01-14,3238100.0
2020-04-02,3775200.0
2019-01-02,2187900.0
2019-08-14,2356400.0
2018-10-30,3511400.0
2019-06-11,2691100.0
2019-05-10,2522700.0
2019-04-08,1760900.0
2018-08-27,2501000.0
2018-07-26,2995100.0
2018-09-28,3760600.0
2019-03-07,2531100.0
2019-10-30,1575600.0
2020-01-17,2583400.0
2020-06-23,2570800.0
2020-04-08,3054600.0
2020-06-26,1800600.0
2019-03-22,2224500.0
2019-01-17,3031500.0
2019-08-29,1777700.0
2018-11-14,1354900.0
2019-06-26,2677600.0
2018-09-11,1655500.0
2018-07-09,3467600.0
2018-08-10,2181100.0
2019-04-23,2877100.0
2019-09-30,2428500.0
2020-01-23,3596700.0
2019-11-08,1581700.0
2020-04-14,490300.0
2019-11-11,990500.0
2020-01-29,1594000.0
2020-04-17,988400.0
2018-07-24,1516700.0
2018-09-26,1561400.0
2019-05-08,2925600.0
2019-03-05,2116800.0
2019-02-01,1733200.0
2018-12-31,2377000.0
2018-11-29,1487200.0
2019-08-12,1223200.0
2019-07-11,1655900.0
2019-09-13,2509800.0
2019-11-14,1108900.0
2020-04-20,1803800.0
2020-02-04,1602800.0
2020-04-23,2058600.0
2018-12-14,2165200.0
2019-08-27,2114500.0
2018-08-08,2117100.0
2018-10-11,4966600.0
2018-11-12,11483700.0
2019-07-26,6557600.0
2019-06-24,4376700.0
2019-05-23,3553900.0
2019-03-20,3345700.0
2019-01-15,2954000.0
2019-11-20,3132200.0
2020-02-07,3005700.0
2020-02-10,3073100.0
2020-04-29,2620100.0
2019-11-26,1784700.0
2020-02-13,4015700.0
2019-01-30,3838300.0
2018-08-23,7043100.0
2018-09-24,2558400.0
2018-11-27,3994100.0
2018-10-26,2546000.0
2019-07-09,1937200.0
2019-06-07,2693800.0
2019-05-06,3143900.0
2019-04-04,3338100.0
2019-09-11,5812400.0
2019-11-29,6072200.0
2020-05-05,4752100.0
2019-12-02,4212800.0
2020-02-19,3358700.0
2020-05-08,4912700.0
2019-05-21,10523800.0
2019-03-18,14243000.0
2018-09-07,9588000.0
2018-08-06,8035100.0
2018-10-09,8121200.0
2019-02-14,6294500.0
2018-12-12,7196200.0
2019-07-24,7519300.0
2019-09-26,8249800.0
2019-10-28,4651700.0
2019-12-05,5850500.0
2020-05-11,5406700.0
2019-07-03,4221600.0
2020-02-25,4065100.0
2020-05-14,4157300.0
2020-02-28,3161700.0
2019-08-08,7572400.0
2019-06-05,3576500.0
2018-07-20,3881000.0
2018-08-21,5309000.0
2018-10-24,5667900.0
2019-04-02,3551700.0
2019-03-01,3681700.0
2019-01-28,3078500.0
2018-12-27,5153200.0
2019-09-09,2542000.0
2020-03-02,3109200.0
2020-05-20,4694500.0
2019-12-17,4296500.0
2020-03-05,4443700.0
2019-02-12,4413000.0
2019-01-11,4213300.0
2018-12-10,3213700.0
2019-08-23,3646900.0
2018-11-08,3974000.0
2019-07-22,2386300.0
2019-06-20,2632200.0
2018-09-05,3982100.0
2019-04-17,3869000.0
2019-09-24,2821600.0
2019-12-20,3527500.0
2020-05-26,2746900.0
2019-04-30,2690600.0
2019-12-23,2997400.0
2020-03-11,2087900.0
2020-05-29,2038500.0
2019-12-26,2496400.0
2020-06-01,2757500.0
2019-05-02,2829600.0
2019-02-27,2604900.0
2018-11-23,3063300.0
2019-08-06,1896200.0
2018-07-18,1616800.0
2018-09-20,1320500.0
2018-10-22,1884300.0
2019-07-05,1934700.0
2019-06-03,1450800.0
2019-10-09,2185900.0
2019-10-11,2653400.0
2020-03-17,2458300.0
2020-06-04,3169700.0
2019-10-14,2245000.0
2020-03-20,1655300.0
2018-11-06,6349800.0
2019-06-18,4411400.0
2019-05-17,2841400.0
2019-04-15,2203400.0
2019-03-14,3543700.0
2019-01-09,2928600.0
2018-08-02,2327700.0
2018-10-05,2398700.0
2019-08-21,1855800.0
2019-10-17,2140000.0
2020-03-23,4852200.0
2020-06-10,1934200.0
2019-02-25,2207000.0
2020-01-07,1971000.0
2020-03-26,1499100.0
2019-10-23,2672000.0
